,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 3,,NYY,"L,2-3",40,35,2,10,1,0,1,2,5,0,6,0,0,0,0,0,0,1,0.286,0.375,0.4,0.775,11,11,R,O.Hernandez(58)
1,2,2,Apr 4,,NYY,"L,3-5",42,36,3,10,0,0,0,3,6,0,9,0,0,0,1,2,1,0,0.282,0.378,0.338,0.716,12,9,R,R.Clemens(54)
2,3,3,Apr 5,,NYY,"W,12-6",44,33,12,12,4,0,1,12,8,0,4,1,0,2,0,0,1,0,0.308,0.413,0.413,0.826,8,10,R,D.Cone(14)
3,4,4,Apr 7,,BOS,"W,7-3",38,32,7,9,2,0,2,7,5,2,5,0,1,0,0,0,3,0,0.301,0.405,0.441,0.846,7,10,L,P.Schourek(47)
4,5,5,Apr 8,,BOS,"W,7-5",37,35,7,13,4,0,1,7,1,0,4,0,1,0,0,0,0,1,0.316,0.402,0.468,0.87,6,10,R,B.Rose(29)
5,6,6,Apr 9,,BOS,"L,2-5",35,33,2,7,0,0,1,2,1,0,14,0,1,0,0,0,2,0,0.299,0.378,0.441,0.819,6,9,R,P.Martinez(75)
6,7,7,Apr 10,,TOR,"W,6-0",38,28,6,7,2,0,1,6,9,1,1,0,0,1,0,1,0,0,0.293,0.384,0.44,0.823,8,9,R,C.Carpenter(51)
7,8,8,Apr 11,,TOR,"W,5-4",32,29,5,8,3,0,2,5,3,0,3,0,0,0,0,1,0,1,0.291,0.38,0.456,0.835,3,9,R,K.Escobar(23)
8,9,9,Apr 12,,TOR,"L,2-6",38,33,2,9,4,0,0,2,2,0,6,3,0,0,0,1,1,1,0.289,0.378,0.449,0.827,9,9,R,F.Castillo(58)
9,10,10,Apr 14,@,CHW,"L,4-9",39,38,4,12,5,0,1,4,1,0,9,0,0,0,0,1,1,0,0.292,0.374,0.458,0.832,8,12,L,M.Sirotka(51)
10,11,11,Apr 15,@,CHW,"W,3-1",36,31,3,7,1,1,0,3,5,0,8,0,0,0,0,1,0,2,0.287,0.37,0.446,0.816,6,9,R,K.Wells(47)
11,12,12,Apr 16,@,CHW,"W,3-1",40,36,3,13,3,0,0,3,3,1,5,0,0,1,0,0,1,2,0.293,0.373,0.446,0.819,10,10,L,J.Parque(40)
12,13,13,Apr 17,@,TOR,"L,1-7",35,32,1,8,4,0,0,1,2,0,1,0,0,1,0,1,1,0,0.29,0.367,0.441,0.807,7,10,R,K.Escobar(61)
13,14,14,Apr 18,@,TOR,"W,16-10",55,44,16,19,5,1,2,15,7,0,9,3,0,1,1,2,4,0,0.303,0.383,0.467,0.85,12,12,R,F.Castillo(25)
14,15,15,Apr 19,@,TOR,"L,4-12",39,36,4,8,1,0,1,4,2,0,10,1,0,0,1,0,1,0,0.297,0.376,0.458,0.834,8,13,L,D.Wells(63)
15,16,16,Apr 20,@,TOR,"L,11-12",45,41,11,19,4,0,1,11,2,0,5,0,0,2,0,2,1,1,0.31,0.383,0.471,0.854,7,11,R,R.Halladay(20)
16,17,17,Apr 21,@,TBD,"W,9-6",45,38,9,12,3,0,6,9,6,0,4,1,0,0,0,1,0,0,0.31,0.385,0.497,0.882,9,9,R,D.Gooden(25)
17,18,18,Apr 22,@,TBD,"L,9-11",47,40,9,10,2,0,0,8,4,0,4,2,0,1,1,0,3,1,0.306,0.382,0.484,0.866,8,10,R,E.Yan(29)
18,19,19,Apr 23,@,TBD,"L,0-1",34,32,0,4,1,0,0,0,2,0,6,0,0,0,1,0,1,0,0.298,0.373,0.468,0.841,7,9,R,D.Eiland(66)
19,20,20,Apr 24,,DET,"W,10-4",39,35,10,14,2,0,4,10,3,0,1,0,1,0,1,2,0,0,0.303,0.377,0.485,0.862,5,9,R,D.Mlicki(14)
20,21,21,Apr 25,,DET,"L,2-4",39,34,2,8,0,0,1,2,5,0,5,0,0,0,0,1,0,0,0.3,0.375,0.477,0.852,10,10,R,H.Nomo(54)
21,22,22,Apr 26,,DET,"W,6-1",35,32,6,11,1,0,3,6,2,0,6,0,1,0,0,0,0,2,0.301,0.375,0.485,0.86,5,9,L,C.Nitkowski(46)
22,23,23,Apr 27,,TBD,"L,3-7",38,31,3,6,1,0,1,3,4,0,8,2,1,0,0,1,0,0,0.297,0.373,0.479,0.851,8,9,R,D.Gooden(56)
23,24,24,Apr 28,,TBD,"L,2-11",35,34,2,7,3,0,1,2,1,0,5,0,0,0,0,0,0,0,0.293,0.367,0.475,0.842,6,13,R,E.Yan(62)
24,25,25,Apr 29,,TBD,"W,7-6",49,46,7,13,1,0,3,7,2,0,7,0,1,0,0,0,3,0,0.293,0.365,0.476,0.841,6,11,R,D.Eiland(27)
25,26,26,Apr 30,,TBD,"W,5-2",35,32,5,9,1,0,1,5,3,0,9,0,0,0,0,1,0,0,0.292,0.364,0.474,0.838,6,9,R,S.Trachsel(45)
26,27,27,May 2,@,BAL,"L,6-7",41,35,6,11,1,0,2,6,6,0,4,0,0,0,1,4,1,1,0.293,0.366,0.475,0.841,8,12,R,S.Ponson(34)
27,28,28,May 3,@,BAL,"W,6-5",38,35,6,9,1,0,4,5,3,0,5,0,0,0,0,1,0,0,0.292,0.364,0.481,0.845,5,10,R,J.Johnson(36)
28,29,29,May 4,@,BAL,"W,8-5",39,35,8,11,2,1,2,8,4,0,9,0,0,0,0,0,1,0,0.293,0.365,0.485,0.85,4,10,R,M.Mussina(26)
29,30,30,May 5,@,SEA,"W,6-5",38,37,6,11,4,1,1,6,1,0,7,0,0,0,0,0,1,1,0.293,0.363,0.487,0.85,5,9,R,A.Sele(48)
30,31,31,May 6,@,SEA,"L,0-1",33,26,0,2,0,0,0,0,7,0,6,0,0,0,0,2,0,1,0.288,0.361,0.477,0.838,6,10,R,G.Meche(74)
31,32,32,May 7,@,SEA,"L,2-8",38,33,2,7,1,0,0,2,5,0,11,0,0,0,0,1,0,0,0.285,0.359,0.47,0.829,9,11,L,J.Halama(69)
32,33,33,May 8,,OAK,"W,9-8",43,38,9,17,4,0,2,9,4,3,5,0,0,1,0,0,1,0,0.291,0.364,0.478,0.842,10,10,R,A.Prieto(22)
33,34,34,May 9,,OAK,"L,2-5",37,35,2,9,2,0,1,2,2,0,3,0,0,0,0,1,0,0,0.29,0.362,0.475,0.837,8,11,R,G.Heredia(63)
