,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 3,,CHC,"L,7-16",47,34,7,11,3,0,2,7,10,0,10,0,0,3,1,1,0,0,0.324,0.447,0.588,1.035,13,18,R,C.Zambrano(30)
1,2,2,Apr 5,,CHC,"W,8-6",39,31,8,9,3,0,3,7,6,1,4,0,1,1,0,0,3,0,0.308,0.424,0.631,1.054,7,13,L,G.Rusch(34)
2,3,3,Apr 6,,PIT,"W,6-5",41,35,6,14,2,0,1,6,4,1,7,0,2,0,0,1,0,0,0.34,0.435,0.6,1.035,11,14,R,I.Snell(33)
3,4,4,Apr 7,,PIT,"W,7-6",40,33,7,10,3,0,3,7,6,0,4,0,1,0,0,0,0,0,0.331,0.429,0.617,1.046,9,14,L,P.Maholm(40)
4,5,5,Apr 8,,PIT,"W,11-9",43,35,11,12,2,0,2,9,6,1,6,0,1,1,1,0,3,0,0.333,0.429,0.607,1.036,8,15,L,O.Perez(20)
5,6,6,Apr 9,,PIT,"L,3-5",36,33,3,7,4,0,0,3,3,0,11,0,0,0,1,0,1,0,0.313,0.407,0.562,0.969,6,16,R,V.Santos(55)
6,7,7,Apr 11,@,CHC,"W,9-2",40,36,9,10,0,0,6,9,4,0,7,0,0,0,0,0,0,1,0.308,0.399,0.595,0.994,4,12,L,G.Rusch(44)
7,8,8,Apr 12,@,CHC,"L,1-4",35,31,1,4,1,0,0,1,4,0,9,0,0,0,0,0,2,0,0.287,0.38,0.545,0.925,7,13,R,G.Maddux(67)
8,9,9,Apr 13,@,CHC,"W,8-3",39,33,8,7,1,1,3,7,5,0,10,1,0,0,0,1,0,0,0.279,0.375,0.548,0.923,4,12,R,C.Zambrano(51)
9,10,10,Apr 14,@,STL,"W,1-0",35,31,1,5,3,0,0,1,3,1,6,0,1,0,0,0,1,0,0.268,0.362,0.521,0.884,7,13,R,C.Carpenter(73)
10,11,11,Apr 15,@,STL,"L,3-9",35,32,3,7,4,0,1,3,2,0,7,1,0,0,0,1,0,0,0.264,0.356,0.514,0.87,5,13,R,S.Ponson(58)
11,12,12,Apr 16,@,STL,"L,7-8",45,40,7,12,3,0,3,7,5,1,6,0,0,0,1,0,0,0,0.267,0.358,0.522,0.88,11,15,L,M.Mulder(35)
12,13,13,Apr 17,,FLA,"W,9-1",38,34,9,12,6,0,2,9,3,0,4,1,0,0,1,2,0,1,0.274,0.363,0.537,0.899,5,12,R,B.Moehler(19)
13,14,14,Apr 18,,FLA,"L,6-12",44,36,6,10,3,0,3,6,8,0,5,0,0,0,1,2,2,0,0.274,0.367,0.542,0.909,11,16,L,J.Vargas(23)
