,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 6,,STL,"L,5-11",39,36,5,10,1,1,1,5,2,0,6,1,0,0,0,2,0,0,0.278,0.333,0.444,0.778,7,17,L,J.Garcia(55)
1,2,2,Apr 7,,STL,"W,6-0",33,31,6,8,4,0,3,6,1,0,9,0,1,0,1,1,0,0,0.269,0.31,0.552,0.862,3,13,R,A.Wainwright(54)
2,3,3,Apr 8,,STL,"L,3-9",32,31,3,5,1,0,2,3,1,0,13,0,0,0,0,0,0,0,0.235,0.272,0.5,0.772,2,15,R,L.Lynn(73)
3,4,4,Apr 9,@,CHC,"W,7-5",41,33,7,11,3,1,1,7,3,0,10,1,2,2,0,0,2,1,0.26,0.303,0.519,0.822,7,16,R,C.Volstad(49)
4,5,5,Apr 10,@,CHC,"W,7-4",44,33,7,7,1,0,2,7,7,0,5,3,0,1,0,0,1,1,0.25,0.323,0.5,0.823,10,16,L,P.Maholm(26)
5,6,6,Apr 11,@,CHC,"W,2-1",35,30,2,5,1,0,1,2,4,0,11,0,1,0,1,1,1,0,0.237,0.314,0.469,0.783,6,11,R,R.Dempster(58)
6,7,7,Apr 12,@,CHC,"L,0-8",32,30,0,3,0,0,0,0,2,0,9,0,0,0,1,1,0,0,0.219,0.294,0.42,0.713,5,14,R,M.Garza(85)
7,8,8,Apr 13,@,ATL,"L,8-10",41,37,8,13,2,0,3,8,3,0,6,0,1,0,0,1,3,1,0.238,0.308,0.452,0.76,6,16,R,J.Jurrjens(34)
8,9,9,Apr 14,@,ATL,"L,1-2",34,30,1,5,1,0,0,0,3,0,7,1,0,0,0,2,0,0,0.23,0.304,0.426,0.73,6,12,L,M.Minor(75)
9,10,10,Apr 15,@,ATL,"L,4-7",35,33,4,7,2,0,1,4,2,0,7,0,0,0,1,1,0,0,0.228,0.299,0.42,0.719,4,16,R,B.Beachy(73)
10,11,11,Apr 17,,LAD,"W,5-4",35,32,5,9,3,1,1,5,1,0,6,1,1,0,0,0,2,1,0.233,0.301,0.43,0.731,5,14,R,C.Billingsley(56)
11,12,12,Apr 18,,LAD,"W,3-2",39,33,3,7,3,0,1,3,5,1,7,0,0,1,0,0,2,1,0.231,0.302,0.427,0.729,7,16,L,C.Capuano(54)
12,13,13,Apr 19,,LAD,"L,3-4",37,34,3,8,1,0,0,3,2,0,11,0,0,1,1,1,1,0,0.232,0.299,0.414,0.713,7,16,R,A.Harang(47)
13,14,14,Apr 20,,COL,"L,3-4",35,32,3,5,2,0,1,3,1,0,9,2,0,0,0,0,1,0,0.226,0.294,0.407,0.701,5,14,R,J.Chacin(62)
14,15,15,Apr 21,,COL,"W,9-4",37,32,9,9,2,2,2,8,4,1,8,0,1,0,0,0,1,0,0.23,0.299,0.423,0.722,4,16,L,D.Pomeranz(58)
15,16,16,Apr 22,,COL,"L,1-4",35,31,1,4,2,0,0,1,4,0,3,0,0,0,0,0,1,0,0.224,0.295,0.409,0.704,7,13,R,J.Guthrie(66)
16,17,17,Apr 23,,HOU,"W,6-5",37,28,6,8,1,2,1,5,6,0,4,1,0,2,0,1,0,0,0.227,0.301,0.418,0.719,7,14,R,L.Harrell(35)
17,18,18,Apr 24,,HOU,"W,9-6",39,36,9,13,1,0,4,9,2,0,7,1,0,0,0,1,2,0,0.235,0.308,0.436,0.744,6,15,R,B.Norris(27)
18,19,19,Apr 25,,HOU,"L,5-7",39,37,5,10,2,1,3,4,2,0,11,0,0,0,0,0,0,0,0.237,0.308,0.447,0.755,7,15,L,J.Happ(43)
19,20,20,Apr 27,@,STL,"L,1-13",34,32,1,7,1,0,0,1,0,0,5,2,0,0,0,2,0,0,0.237,0.306,0.438,0.744,6,17,R,J.Westbrook(64)
20,21,21,Apr 28,@,STL,"L,3-7",37,32,3,7,1,0,2,3,4,0,9,0,1,0,0,1,0,0,0.236,0.306,0.438,0.744,7,12,R,K.Lohse(49)
21,22,22,Apr 29,@,STL,"W,3-2",36,35,3,9,1,0,0,3,1,0,7,0,0,0,0,1,1,0,0.237,0.305,0.43,0.735,6,15,L,J.Garcia(52)
22,23,23,Apr 30,@,SDP,"W,8-3",40,34,8,7,1,1,3,8,5,1,13,1,0,0,1,0,0,1,0.235,0.305,0.436,0.742,5,14,R,J.Wieland(47)
23,24,24,May 1,@,SDP,"L,0-2",33,30,0,3,0,0,0,0,3,0,6,0,0,0,1,1,1,0,0.23,0.301,0.423,0.724,6,12,R,E.Volquez(73)
24,25,25,May 2,@,SDP,"L,0-5",33,31,0,6,1,0,0,0,2,1,6,0,0,0,0,2,0,0,0.229,0.299,0.416,0.714,6,13,R,J.Suppan(59)
25,26,26,May 4,@,SFG,"W,6-4",38,31,6,7,0,1,0,5,4,0,6,1,2,0,0,0,0,1,0.229,0.3,0.411,0.711,5,16,R,T.Lincecum(51)
26,27,27,May 5,@,SFG,"L,2-5",38,34,2,8,1,0,1,2,2,0,6,0,2,0,1,0,1,0,0.229,0.299,0.409,0.708,9,15,L,M.Bumgarner(65)
27,28,28,May 6,@,SFG,"L,3-4",43,40,3,8,3,0,0,3,2,0,14,0,0,1,1,0,1,0,0.228,0.296,0.403,0.699,7,19,R,M.Cain(66)
28,29,29,May 7,,CIN,"L,1-6",35,34,1,7,1,0,1,1,1,0,12,0,0,0,0,0,0,0,0.227,0.294,0.4,0.694,7,13,R,B.Arroyo(66)
29,30,30,May 8,,CIN,"W,8-3",39,34,8,11,2,1,1,8,3,0,10,2,0,0,0,1,0,0,0.23,0.298,0.405,0.703,7,15,R,H.Bailey(26)
