,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 1,,BOS,"L,2-8",37,33,2,6,1,0,0,2,4,0,10,0,0,0,0,1,0,0,0.182,0.27,0.212,0.482,8,11,L,J.Lester(54)
1,2,2,Apr 3,,BOS,"L,4-7",38,35,4,9,0,0,2,4,2,0,5,1,0,0,0,1,1,0,0.221,0.293,0.324,0.617,7,12,R,C.Buchholz(63)
2,3,3,Apr 4,,BOS,"W,4-2",33,29,4,8,2,0,2,4,4,0,9,0,0,0,0,0,0,2,0.237,0.315,0.392,0.707,5,9,R,R.Dempster(49)
3,4,4,Apr 5,@,DET,"L,3-8",36,32,3,6,0,0,1,2,2,0,7,2,0,0,0,1,0,0,0.225,0.306,0.364,0.67,6,11,R,D.Fister(43)
4,5,5,Apr 6,@,DET,"L,4-8",37,31,4,6,2,1,1,4,5,0,10,1,0,0,0,0,0,0,0.219,0.309,0.375,0.684,6,10,R,M.Scherzer(46)
5,6,6,Apr 7,@,DET,"W,7-0",42,38,7,13,3,0,1,7,3,0,4,0,0,1,0,1,0,0,0.242,0.323,0.399,0.722,8,11,R,J.Verlander(54)
6,7,7,Apr 8,@,CLE,"W,11-6",43,38,11,13,2,0,3,9,4,0,7,0,0,1,0,0,2,1,0.258,0.335,0.436,0.771,5,11,R,U.Jimenez(22)
7,8,8,Apr 9,@,CLE,"W,14-1",48,45,14,18,6,0,5,14,2,0,6,1,0,0,2,2,0,0,0.281,0.35,0.505,0.856,7,12,R,C.Carrasco(19)
8,9,9,Apr 12,,BAL,"W,5-2",37,27,5,6,0,0,0,2,6,1,5,2,2,0,1,1,0,0,0.276,0.355,0.481,0.836,8,10,R,M.Gonzalez(51)
9,10,10,Apr 13,,BAL,"L,3-5",39,38,3,11,1,0,2,3,1,0,5,0,0,0,1,1,0,0,0.277,0.351,0.48,0.83,9,11,R,J.Hammel(49)
10,11,11,Apr 14,,BAL,"W,3-0",32,29,3,7,0,0,1,3,2,0,5,0,0,1,0,1,0,0,0.275,0.345,0.469,0.815,5,9,L,W.Chen(49)
11,12,12,Apr 16,,ARI,"W,4-2",38,34,4,12,3,0,1,4,3,2,9,0,0,1,0,1,0,0,0.281,0.349,0.474,0.824,10,9,R,B.McCarthy(34)
12,13,13,Apr 17,,ARI,"W,4-3",33,29,4,6,2,0,1,4,3,0,5,1,0,0,0,1,0,0,0.276,0.346,0.468,0.814,5,11,L,W.Miley(54)
13,14,14,Apr 18,,ARI,"L,2-6",47,42,2,7,0,0,2,2,5,0,12,0,0,0,0,0,0,0,0.267,0.338,0.454,0.792,9,12,L,P.Corbin(73)
14,15,15,Apr 19,@,TOR,"W,9-4",44,40,9,13,6,1,3,7,3,0,6,1,0,0,0,0,0,0,0.271,0.342,0.477,0.819,8,9,R,B.Morrow(29)
15,16,16,Apr 20,@,TOR,"W,5-3",46,43,5,10,2,0,1,1,1,1,10,0,2,0,2,1,0,0,0.268,0.335,0.467,0.803,8,10,L,M.Buehrle(59)
16,17,17,Apr 21,@,TOR,"L,4-8",40,34,4,11,1,0,1,4,3,0,6,0,2,1,0,1,2,0,0.271,0.337,0.466,0.803,9,9,R,J.Johnson(37)
17,18,18,Apr 22,@,TBR,"L,1-5",32,29,1,2,0,0,1,1,3,0,9,0,0,0,0,0,0,0,0.262,0.329,0.452,0.781,4,9,L,M.Moore(80)
18,19,19,Apr 23,@,TBR,"W,4-3",36,34,4,9,0,0,0,4,2,1,7,0,0,0,0,2,2,1,0.262,0.328,0.442,0.77,5,10,L,D.Price(59)
19,20,20,Apr 24,@,TBR,"L,0-3",31,30,0,4,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0.257,0.321,0.429,0.75,4,9,R,A.Cobb(83)
20,21,21,Apr 25,,TOR,"W,5-3",35,32,5,9,0,0,3,5,2,0,4,1,0,0,0,1,1,0,0.258,0.322,0.435,0.757,6,9,L,M.Buehrle(37)
21,22,22,Apr 26,,TOR,"W,6-4",39,26,6,6,1,1,1,4,10,1,7,1,1,1,0,2,0,0,0.257,0.328,0.436,0.764,9,11,L,A.Laffey(41)
22,23,23,Apr 27,,TOR,"W,5-4",37,35,5,11,1,1,1,5,2,0,6,0,0,0,0,0,1,0,0.259,0.329,0.438,0.767,8,9,L,J.Happ(47)
23,24,24,Apr 28,,TOR,"W,3-2",31,28,3,4,0,0,2,3,3,0,5,0,0,0,0,0,0,0,0.255,0.325,0.435,0.76,4,10,R,R.Dickey(60)
24,25,25,Apr 29,,HOU,"L,1-9",36,31,1,8,0,0,0,1,3,0,4,2,0,0,0,4,0,0,0.255,0.327,0.429,0.755,8,10,R,L.Harrell(56)
25,26,26,Apr 30,,HOU,"W,7-4",41,39,7,15,2,0,1,7,2,1,3,0,0,0,0,1,2,0,0.261,0.33,0.432,0.763,10,10,R,P.Humber(38)
26,27,27,May 1,,HOU,"W,5-4",38,30,5,9,2,1,2,4,7,1,7,0,0,1,0,2,2,0,0.262,0.334,0.439,0.773,9,10,L,E.Bedard(32)
27,28,28,May 3,,OAK,"L,0-2",33,31,0,6,2,0,0,0,1,0,6,0,1,0,0,1,0,0,0.26,0.33,0.433,0.763,6,11,R,A.Griffin(68)
28,29,29,May 4,,OAK,"W,4-2",33,33,4,8,2,1,2,4,0,0,6,0,0,0,1,0,0,0,0.259,0.327,0.437,0.764,5,9,R,B.Colon(47)
29,30,30,May 5,,OAK,"L,4-5",39,35,4,9,2,0,0,4,4,1,8,0,0,0,0,0,1,0,0.259,0.328,0.433,0.76,8,12,R,D.Straily(49)
30,31,31,May 7,@,COL,"L,0-2",32,30,0,4,0,0,0,0,2,0,4,0,0,0,0,1,4,0,0.256,0.324,0.424,0.748,5,12,L,J.De La Rosa(67)
31,32,32,May 8,@,COL,"W,3-2",35,31,3,6,0,0,1,3,3,1,10,0,1,0,0,0,1,1,0.254,0.322,0.42,0.742,5,16,R,J.Nicasio(59)
32,33,33,May 9,@,COL,"W,3-1",35,32,3,6,1,0,1,3,2,0,7,0,0,1,0,0,0,0,0.252,0.319,0.417,0.736,5,16,L,J.Francis(47)
33,34,34,May 10,@,KCR,"W,11-6",46,43,11,16,5,1,2,11,2,0,7,1,0,0,0,0,2,0,0.257,0.323,0.427,0.75,8,9,R,W.Davis(26)
34,35,35,May 11,@,KCR,"W,3-2",35,32,3,6,2,0,1,2,2,0,6,1,0,0,1,1,0,1,0.255,0.321,0.424,0.746,5,9,R,J.Shields(63)
35,36,36,May 12,@,KCR,"W,4-2",35,35,4,9,2,0,2,4,0,0,8,0,0,0,1,0,1,0,0.255,0.319,0.426,0.746,4,9,R,E.Santana(45)
36,37,37,May 13 (1),@,CLE,"L,0-1",33,30,0,4,0,0,0,0,3,0,9,0,0,0,0,1,0,0,0.252,0.317,0.419,0.736,6,12,R,J.Masterson(85)
37,38,38,May 13 (2),@,CLE,"W,7-0",41,38,7,11,3,0,0,6,3,0,8,0,0,0,1,1,0,0,0.253,0.318,0.418,0.735,7,9,R,T.Bauer(53)
38,39,39,May 14,,SEA,"W,4-3",36,29,4,7,2,0,0,4,5,1,12,0,0,1,0,2,1,0,0.253,0.318,0.415,0.733,8,9,R,F.Hernandez(64)
39,40,40,May 15,,SEA,"L,2-12",35,34,2,8,1,0,2,2,1,0,7,0,0,0,0,1,1,0,0.252,0.317,0.416,0.733,6,12,R,H.Iwakuma(57)
40,41,41,May 16,,SEA,"L,2-3",39,35,2,8,1,0,0,2,3,0,10,1,0,0,0,0,3,0,0.252,0.316,0.412,0.728,10,10,R,H.Noesi(58)
41,42,42,May 17,,TOR,"W,5-0",34,29,5,8,2,1,0,5,3,0,6,0,0,2,0,0,1,0,0.252,0.317,0.412,0.729,5,9,L,M.Buehrle(41)
42,43,43,May 18,,TOR,"W,7-2",34,34,7,8,0,0,3,7,0,0,6,0,0,0,2,0,0,0,0.252,0.315,0.414,0.729,3,9,R,B.Morrow(34)
