,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 5,,HOU,"L,3-5",33,29,3,4,1,0,1,3,4,0,8,0,0,0,0,2,1,0,0.138,0.242,0.276,0.518,3,10,L,D.Keuchel(64)
1,1,2,2,Apr 6,,HOU,"W,16-6",49,41,16,17,2,1,3,16,7,0,7,0,0,0,0,0,2,0,0.3,0.395,0.543,0.938,9,14,R,C.McHugh(21)
2,2,3,3,Apr 7,,HOU,"W,8-5",37,35,8,12,2,0,3,8,1,0,6,0,0,1,1,0,1,0,0.314,0.381,0.581,0.962,5,10,R,M.Fiers(32)
3,3,4,4,Apr 8,@,DET,"L,0-4",32,28,0,3,0,0,0,0,4,0,7,0,0,0,0,1,0,1,0.271,0.347,0.481,0.828,5,10,R,J.Zimmermann(73)
4,4,5,5,Apr 9,@,DET,"W,8-4",44,38,8,13,0,1,2,8,4,0,7,1,0,1,1,1,1,1,0.287,0.361,0.497,0.858,9,10,R,M.Pelfrey(33)
5,5,6,6,Apr 12,@,TOR,"W,3-2",38,33,3,7,1,0,1,3,4,0,9,0,1,0,0,0,1,0,0.275,0.351,0.471,0.821,8,11,R,A.Sanchez(62)
6,6,7,7,Apr 13,@,TOR,"L,2-7",36,33,2,8,1,0,1,2,3,0,6,0,0,0,0,1,0,0,0.27,0.345,0.456,0.8,7,9,L,J.Happ(55)
7,7,8,8,Apr 14,@,TOR,"L,2-4",33,30,2,3,0,0,0,1,2,0,3,1,0,0,0,0,1,0,0.251,0.327,0.416,0.742,4,9,R,M.Stroman(69)
8,8,9,9,Apr 15,,SEA,"L,1-7",40,33,1,6,1,0,1,1,7,0,10,0,0,0,0,0,1,0,0.243,0.326,0.403,0.73,12,10,R,N.Karns(56)
9,9,10,10,Apr 16,,SEA,"L,2-3",43,37,2,10,3,0,1,2,6,0,7,0,0,0,1,1,3,0,0.246,0.332,0.407,0.738,14,11,R,F.Hernandez(51)
10,10,11,11,Apr 17,,SEA,"W,4-3",35,32,4,8,2,0,1,3,2,0,4,1,0,0,0,0,2,0,0.247,0.33,0.407,0.737,7,10,R,H.Iwakuma(46)
11,11,12,12,Apr 19,,OAK,"L,2-3",43,39,2,8,3,0,0,2,3,0,7,0,0,1,1,0,0,2,0.243,0.323,0.395,0.718,8,11,L,E.Surkamp(47)
12,12,13,13,Apr 20,,OAK,"L,2-5",35,31,2,6,1,0,2,2,3,0,9,0,0,0,0,1,0,0,0.239,0.319,0.396,0.716,6,9,R,K.Graveman(68)
13,13,14,14,Apr 21,,OAK,"L,3-7",39,34,3,8,0,0,0,3,5,0,14,0,0,0,0,1,1,0,0.239,0.32,0.385,0.705,9,12,L,R.Hill(66)
14,14,15,15,Apr 22,,TBR,"W,6-3",35,32,6,10,1,0,1,5,3,0,6,0,0,0,0,1,2,0,0.244,0.323,0.388,0.711,5,10,L,M.Moore(45)
15,15,16,16,Apr 23,,TBR,"W,3-2",38,34,3,7,0,0,1,2,3,0,9,0,0,0,1,0,1,0,0.241,0.32,0.382,0.702,9,9,L,B.Snell(64)
16,16,17,17,Apr 24,,TBR,"L,1-8",34,32,1,6,1,0,0,1,1,0,8,1,0,0,0,1,0,0,0.238,0.316,0.373,0.689,6,12,L,D.Smyly(66)
17,17,18,18,Apr 25,@,TEX,"W,3-1",38,36,3,10,1,0,2,3,2,0,9,0,0,0,0,1,0,0,0.241,0.316,0.379,0.695,8,9,L,C.Ramos(45)
18,18,19,19,Apr 26,@,TEX,"L,1-10",32,31,1,6,0,0,0,1,1,0,6,0,0,0,0,2,0,0,0.238,0.311,0.37,0.681,4,9,R,A.Griffin(74)
19,19,20,20,Apr 27,@,TEX,"L,2-3",34,32,2,7,1,0,1,2,2,0,4,0,0,0,0,2,0,0,0.237,0.309,0.369,0.678,5,10,L,M.Perez(53)
20,20,21,21,Apr 29,@,BOS,"L,2-4",33,29,2,6,0,1,1,2,3,0,5,1,0,0,0,2,0,1,0.236,0.309,0.369,0.678,4,9,L,H.Owens(52)
21,21,22,22,Apr 30,@,BOS,"L,0-8",33,32,0,5,0,0,0,0,1,0,8,0,0,0,1,1,0,0,0.233,0.304,0.36,0.663,6,13,R,R.Porcello(72)
22,23,23,23,May 1,@,BOS,"L,7-8",38,33,7,9,4,0,1,6,2,0,7,1,2,0,0,1,0,0,0.234,0.305,0.365,0.67,4,12,L,D.Price(39)
23,24,24,24,May 3,@,BAL,"L,1-4",36,32,1,7,1,0,0,1,4,0,9,0,0,0,0,1,0,0,0.234,0.305,0.361,0.666,8,10,R,C.Tillman(68)
24,25,25,25,May 4,@,BAL,"W,7-0",42,35,7,10,3,0,0,6,5,0,5,1,0,1,1,2,2,0,0.236,0.308,0.361,0.669,8,10,R,T.Wilson(55)
25,26,26,26,May 5,@,BAL,"L,0-1",33,32,0,4,1,0,0,0,1,0,8,0,0,0,0,1,1,0,0.232,0.303,0.353,0.656,3,12,R,K.Gausman(80)
26,27,27,27,May 6,,BOS,"W,3-2",31,27,3,6,2,0,1,3,3,0,5,0,1,0,0,1,3,0,0.231,0.303,0.355,0.658,4,11,R,R.Porcello(56)
27,28,28,28,May 7,,BOS,"W,8-2",38,32,8,11,4,0,0,8,4,0,7,0,1,1,0,1,0,0,0.235,0.307,0.359,0.666,6,10,L,D.Price(27)
28,29,29,29,May 8,,BOS,"L,1-5",29,28,1,3,1,0,1,1,1,0,7,0,0,0,0,1,0,0,0.232,0.302,0.356,0.658,1,10,R,S.Wright(83)
29,30,30,30,May 9,,KCR,"W,6-3",34,32,6,9,0,0,5,6,1,0,5,0,0,1,0,0,0,0,0.233,0.302,0.369,0.67,4,10,R,C.Young(28)
30,31,31,31,May 10,,KCR,"W,10-7",41,35,10,13,6,0,0,10,4,0,6,1,0,1,1,1,0,1,0.238,0.307,0.375,0.681,7,9,R,K.Medlen(25)
31,32,32,32,May 11,,KCR,"L,3-7",38,34,3,7,2,0,1,3,3,0,4,1,0,0,0,0,0,0,0.237,0.306,0.374,0.68,8,9,R,Y.Ventura(46)
32,33,33,33,May 12,,KCR,"W,7-3",36,31,7,7,0,0,3,7,5,0,8,0,0,0,0,0,0,0,0.237,0.307,0.378,0.685,5,10,R,I.Kennedy(38)
33,34,34,34,May 13,,CHW,"L,1-7",33,33,1,6,1,0,1,1,0,0,6,0,0,0,0,0,0,0,0.235,0.304,0.376,0.679,5,9,L,C.Sale(77)
34,35,35,35,May 14,,CHW,"W,2-1",30,28,2,5,3,0,0,2,2,0,6,0,0,0,0,1,0,0,0.234,0.302,0.374,0.676,4,10,L,J.Quintana(62)
35,36,36,36,May 15,,CHW,"W,7-5",43,34,7,10,2,0,2,7,6,0,3,1,0,1,1,0,2,0,0.235,0.305,0.378,0.683,12,11,R,M.Gonzalez(38)
36,37,37,37,May 16,@,ARI,"L,2-12",35,34,2,8,1,1,0,1,1,1,10,0,0,0,0,1,0,0,0.235,0.304,0.377,0.681,6,13,L,R.Ray(62)
37,38,38,38,May 17,@,ARI,"L,3-5",34,33,3,6,0,0,1,3,1,0,10,0,0,0,0,0,0,0,0.234,0.302,0.374,0.675,4,13,R,Z.Greinke(62)
38,39,39,39,May 18,@,ARI,"W,4-2",41,36,4,11,2,0,1,3,4,1,10,0,1,0,0,0,0,0,0.236,0.304,0.376,0.679,10,14,R,S.Miller(40)
39,40,40,40,May 19,@,OAK,"W,4-1",40,35,4,10,3,0,1,4,4,0,7,1,0,0,1,1,1,0,0.237,0.306,0.378,0.684,9,10,R,K.Graveman(47)
40,41,41,41,May 20,@,OAK,"W,8-3",47,40,8,13,3,2,0,7,6,0,7,0,0,0,1,1,0,0,0.24,0.309,0.382,0.69,12,9,R,S.Gray(29)
41,42,42,42,May 21,@,OAK,"W,5-1",38,34,5,8,2,0,0,5,3,0,7,0,0,1,1,1,0,0,0.24,0.308,0.379,0.688,6,10,L,S.Manaea(44)
42,43,43,43,May 22,@,OAK,"W,5-4",37,35,5,10,1,0,2,5,0,0,6,1,1,0,1,1,0,1,0.241,0.308,0.382,0.69,5,9,R,J.Hahn(44)
43,44,44,44,May 24,,TOR,"W,6-0",36,31,6,8,1,1,1,6,4,0,8,0,0,1,0,0,0,0,0.241,0.309,0.384,0.692,6,10,R,R.Dickey(53)
44,45,45,45,May 25,,TOR,"L,4-8",37,33,4,6,0,0,3,4,4,0,5,0,0,0,0,0,0,0,0.24,0.308,0.385,0.693,6,10,R,M.Estrada(55)
45,46,46,46,May 26,,TOR,"L,1-3",33,30,1,4,0,0,1,1,3,0,8,0,0,0,0,1,0,0,0.238,0.306,0.382,0.688,5,11,L,J.Happ(69)
46,47,47,47,May 27,@,TBR,"W,4-1",34,31,4,4,0,0,2,4,3,0,8,0,0,0,1,0,1,1,0.236,0.304,0.381,0.685,3,10,R,C.Archer(68)
47,48,48,48,May 28,@,TBR,"L,5-9",41,37,5,12,0,0,1,5,4,0,10,0,0,0,0,1,0,1,0.238,0.306,0.381,0.688,9,11,L,M.Moore(50)
48,49,49,49,May 29,@,TBR,"W,2-1",29,28,2,1,0,0,1,2,1,0,6,0,0,0,1,1,0,0,0.234,0.302,0.377,0.68,0,10,R,J.Odorizzi(72)
49,50,50,50,May 30,@,TOR,"L,2-4",34,30,2,5,2,0,1,2,3,0,8,1,0,0,0,2,1,0,0.233,0.302,0.377,0.678,5,10,R,M.Estrada(79)
50,51,51,51,May 31,@,TOR,"L,1-4",35,33,1,6,2,0,0,1,2,0,7,0,0,0,0,0,2,0,0.232,0.3,0.374,0.674,7,11,L,J.Happ(61)
51,53,52,52,Jun 1,@,TOR,"L,0-7",36,34,0,7,1,0,0,0,2,0,8,0,0,0,0,0,1,0,0.231,0.299,0.371,0.67,9,9,R,A.Sanchez(64)
52,54,53,53,Jun 2,@,DET,"W,5-4",36,34,5,8,1,1,0,5,1,0,6,0,0,1,0,0,0,0,0.232,0.298,0.37,0.669,4,11,L,M.Boyd(47)
53,55,54,54,Jun 3,@,BAL,"L,5-6",36,34,5,10,1,0,3,5,2,0,5,0,0,0,1,2,0,1,0.233,0.299,0.374,0.673,4,11,R,C.Tillman(36)
54,56,55,55,Jun 4,@,BAL,"W,8-6",42,41,8,16,4,0,0,7,0,0,5,0,0,1,0,1,2,0,0.236,0.301,0.377,0.678,7,12,R,T.Wilson(29)
55,57,56,56,Jun 5,@,BAL,"L,1-3",38,36,1,10,2,0,0,1,2,0,8,0,0,0,1,2,0,0,0.237,0.301,0.376,0.677,10,11,R,K.Gausman(57)
56,58,57,57,Jun 6,,LAA,"W,5-2",31,31,5,9,1,0,3,5,0,0,6,0,0,0,0,0,0,1,0.238,0.301,0.38,0.681,2,11,R,M.Shoemaker(53)
57,59,58,58,Jun 7,,LAA,"W,6-3",35,31,6,10,1,0,2,6,2,0,4,0,1,1,1,2,1,0,0.239,0.302,0.383,0.684,5,11,L,D.Huff(25)
