,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 2,@,DET,"W,5-3",43,36,5,7,2,0,0,5,6,0,5,1,0,0,0,1,2,0,0.194,0.326,0.25,0.576,8,13,R,J.Bonderman(51)
1,2,2,Apr 4,@,DET,"L,9-10",46,42,9,16,2,1,1,9,4,0,5,0,0,0,0,1,1,0,0.295,0.382,0.41,0.792,10,11,L,N.Robertson(49)
2,3,3,Apr 6,@,TBD,"L,5-6",37,34,5,9,2,1,1,5,2,0,4,1,0,0,0,0,0,2,0.286,0.365,0.429,0.794,5,11,R,J.Shields(51)
3,4,4,Apr 7,@,TBD,"W,8-5",47,37,8,12,2,1,1,8,7,2,6,2,0,1,0,1,1,0,0.295,0.387,0.45,0.837,12,11,L,C.Fossum(19)
4,5,5,Apr 8,@,TBD,"W,6-3",38,36,6,10,2,0,2,6,2,0,12,0,0,0,0,1,0,0,0.292,0.374,0.459,0.834,5,9,L,S.Kazmir(57)
5,6,6,Apr 9,,KCR,"W,9-1",40,37,9,14,5,0,1,8,3,0,9,0,0,0,0,0,0,0,0.306,0.382,0.482,0.864,7,11,L,O.Perez(24)
6,7,7,Apr 10,,KCR,"L,3-6",35,35,3,8,4,0,1,3,0,0,9,0,0,0,0,0,0,0,0.296,0.364,0.475,0.838,5,10,R,Z.Greinke(61)
7,8,8,Apr 11,,KCR,"W,7-4",41,36,7,12,6,0,1,6,5,1,5,0,0,0,1,0,0,0,0.3,0.37,0.488,0.858,10,10,L,J.De La Rosa(35)
8,9,9,Apr 12,,DET,"L,4-5",40,36,4,12,4,0,1,4,3,0,6,0,0,1,0,1,0,0,0.304,0.371,0.492,0.863,9,12,L,M.Maroth(46)
9,10,10,Apr 13,,DET,"W,2-1",37,35,2,9,2,0,1,2,0,0,4,1,0,1,0,1,0,0,0.299,0.361,0.484,0.845,7,9,R,J.Bonderman(75)
10,11,11,Apr 14,,DET,"L,7-10",39,35,7,10,2,0,3,7,3,0,4,0,0,1,0,1,1,0,0.298,0.359,0.494,0.853,5,10,R,C.Durbin(23)
11,12,12,Apr 15,,DET,"W,2-1",32,30,2,7,3,0,0,2,2,0,5,0,0,0,0,0,0,0,0.294,0.354,0.483,0.836,6,9,L,N.Robertson(58)
12,13,13,Apr 17,,BOS,"W,2-1",30,27,2,3,0,0,0,2,3,0,13,0,0,0,0,0,0,0,0.283,0.345,0.461,0.805,4,9,R,D.Matsuzaka(65)
13,14,14,Apr 18,,BOS,"L,1-4",36,32,1,5,2,0,0,1,4,0,8,0,0,0,0,0,0,0,0.275,0.338,0.445,0.783,8,12,R,T.Wakefield(66)
14,15,15,Apr 19,,BOS,"L,3-5",37,33,3,8,4,0,2,3,4,2,7,0,0,0,0,2,0,0,0.273,0.337,0.451,0.788,7,10,R,J.Tavarez(48)
15,16,16,Apr 20,@,BAL,"L,4-5",41,38,4,11,3,0,0,4,2,0,8,1,0,0,0,0,1,0,0.274,0.338,0.445,0.783,10,10,R,D.Cabrera(47)
