,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 3,,CHC,"L,7-16",9.0,18,16,10,6,7,4,1,0,10.0,52,188,122,5.0,5.0,0,0,42,5,1,2,1,2,2,1,6,Gerry Davis,"A.Harang (99-19-L), C.Hammond (99), M.Burns (99), M.Belisle (99), T.Coffey (99), R.White (99)"
1,2,2,Apr 5,,CHC,"W,8-6",9.0,7,6,4,2,0,7,3,0,7.0,34,127,92,1.0,1.0,0,0,34,2,0,0,0,0,0,0,4,Brian Gorman,"B.Arroyo (99-53-W), K.Mercker (99-H), T.Coffey (1-H), D.Weathers (99-Sv)"
2,3,3,Apr 6,,PIT,"W,6-5",9.0,9,5,5,0,0,9,2,3,6.33,39,142,98,0.0,0.0,0,0,35,1,0,0,1,0,0,0,4,Ed Hickox,"B.Claussen (99-50), M.Burns (2-H), R.White (2-BW), D.Weathers (0-Sv)"
3,4,4,Apr 7,,PIT,"W,7-6",9.0,10,6,6,0,3,5,2,1,6.25,41,144,95,3.0,1.0,0,0,37,2,0,0,0,0,1,1,5,Gary Darling,"E.Milton (99-60-W), T.Coffey (1), C.Hammond (3), D.Weathers (0-H), K.Mercker (1-Sv)"
4,5,5,Apr 8,,PIT,"W,11-9",9.0,13,9,9,0,3,14,1,0,6.8,43,179,118,5.0,5.0,0,0,40,5,0,0,0,0,0,0,5,Larry Poncino,"A.Harang (4-48-W), M.Burns (1), M.Belisle (4), C.Hammond (0), R.White (1-Sv)"
5,6,6,Apr 9,,PIT,"L,3-5",9.0,7,5,4,1,2,8,1,1,6.33,37,140,86,0.0,0.0,0,0,31,3,0,0,1,2,1,0,4,Bruce Dreckman,"D.Williams (99-53-L), M.Belisle (0), K.Mercker (1), T.Coffey (1)"
6,7,7,Apr 11,@,CHC,"W,9-2",9.0,10,2,2,0,0,4,1,0,5.71,36,133,88,1.0,0.0,0,0,36,2,0,0,0,0,0,1,3,Ted Barrett,"B.Arroyo (5-69-W), C.Hammond (2), R.White (2)"
7,8,8,Apr 12,@,CHC,"L,1-4",8.0,8,4,3,1,2,4,0,0,5.45,34,143,95,0.0,0.0,4,2,31,2,0,0,0,1,4,0,3,Laz Diaz,"B.Claussen (5-44-L), M.Burns (3), D.Weathers (4)"
8,9,9,Apr 13,@,CHC,"W,8-3",9.0,7,3,2,1,4,10,1,0,5.06,38,149,98,0.0,0.0,0,0,32,1,0,0,2,0,1,1,3,Rick Reed,"E.Milton (5-55-W), T.Coffey (3-H), K.Mercker (3)"
9,10,10,Apr 14,@,STL,"W,1-0",9.0,5,0,0,0,3,7,0,0,4.55,34,143,94,3.0,0.0,1,0,29,1,0,0,2,0,0,1,4,Jeff Nelson,"A.Harang (5-72-W), K.Mercker (0-H), T.Coffey (0-H), D.Weathers (1-Sv)"
10,11,11,Apr 15,@,STL,"L,3-9",8.0,11,9,9,0,5,5,3,0,5.01,40,118,76,0.0,0.0,0,0,34,3,0,0,1,0,1,0,4,Tim Timmons,"D.Williams (5-22-L), M.Belisle (5), M.Burns (2), C.Hammond (3)"
11,12,12,Apr 16,@,STL,"L,7-8",8.0,13,8,8,0,4,3,4,0,5.31,39,141,80,0.0,0.0,1,1,35,1,1,1,0,0,0,1,4,Joe Brinkman,"B.Arroyo (4-35), R.White (4), T.Coffey (1-H), D.Weathers (1-BL)"
12,13,13,Apr 17,,FLA,"W,9-1",9.0,8,1,1,0,3,9,0,1,4.97,37,149,83,0.0,0.0,0,1,33,2,0,0,0,0,0,1,3,Jerry Crawford,"B.Claussen (4-72-W), M.Burns (1), C.Hammond (1)"
13,14,14,Apr 18,,FLA,"L,6-12",9.0,18,12,12,0,3,11,3,0,5.49,47,160,108,3.0,3.0,0,0,44,7,0,1,0,0,0,0,4,Chuck Meriwether,"E.Milton (4-13-L), M.Belisle (2), M.Burns (0), R.White (1)"
14,15,15,Apr 19,,FLA,"W,9-8",9.0,15,8,8,0,4,9,4,1,5.66,45,158,98,1.0,1.0,0,1,40,1,0,1,0,0,1,1,5,Brian O'Nora,"A.Harang (4-28), M.Gosling (99), R.White (0), D.Weathers (2), T.Coffey (2-W)"
15,16,16,Apr 20,@,MIL,"W,12-8",9.0,16,8,8,0,4,7,2,1,5.81,47,191,120,4.0,1.0,0,0,40,3,0,0,0,2,0,1,4,Paul Nauert,"D.Williams (4-17), M.Belisle (1-W), B.Shackelford (99), T.Coffey (0)"
16,17,17,Apr 21,@,MIL,"W,3-1",9.0,6,1,1,0,2,10,1,0,5.52,35,129,85,0.0,0.0,0,0,33,2,0,0,0,0,0,0,2,Charlie Reliford,"B.Arroyo (4-72-W), D.Weathers (1-Sv)"
17,18,18,Apr 22,@,MIL,"L,0-11",8.0,13,11,11,0,4,8,5,0,5.87,41,169,102,0.0,0.0,0,0,36,4,0,0,0,1,0,0,5,Larry Vanover,"B.Claussen (4-7-L), C.Hammond (4), R.White (2), K.Mercker (7), B.Shackelford (1)"
18,19,19,Apr 23,@,MIL,"W,11-0",9.0,5,0,0,0,2,4,0,0,5.55,32,120,75,,,0,0,30,2,0,1,0,0,0,2,1,Greg Gibson,A.Harang (3-79-W)
19,20,20,Apr 24,@,WSN,"W,4-2",9.0,6,2,2,0,2,5,0,1,5.37,36,119,77,3.0,0.0,0,0,33,1,0,0,0,0,0,0,4,Dan Iassogna,"E.Ramirez (99-60-W), B.Shackelford (1-H), T.Coffey (3-H), D.Weathers (2-Sv)"
20,21,21,Apr 25,@,WSN,"W,6-5",9.0,11,5,4,1,3,1,2,0,5.3,39,136,88,2.0,1.0,1,0,36,0,0,0,0,0,1,3,4,James Hoye,"D.Williams (4-32-W), T.Coffey (0-H), K.Mercker (2-H), D.Weathers (0-Sv)"
21,22,22,Apr 26,@,WSN,"W,5-0",9.0,1,0,0,0,4,9,0,0,5.06,33,156,98,2.0,0.0,0,0,29,0,0,0,0,0,0,0,3,Ron Kulpa,"B.Arroyo (4-86-W), K.Mercker (0), D.Weathers (0)"
22,23,23,Apr 28,,HOU,"W,5-4",9.0,9,4,4,0,6,3,2,1,5.01,41,152,90,2.0,0.0,0,0,32,2,0,0,2,0,0,2,4,Brian Gorman,"B.Claussen (5-45-W), R.White (5-H), T.Coffey (2-H), D.Weathers (1-Sv)"
23,24,24,Apr 29,,HOU,"W,6-3",9.0,7,3,3,0,3,8,1,0,4.92,36,135,80,1.0,1.0,0,1,33,2,0,0,0,0,1,0,3,Eric Cooper,"A.Harang (5-62-W), K.Mercker (2), D.Weathers (0-Sv)"
24,25,25,Apr 30,,HOU,"L,2-3",9.0,7,3,3,0,2,5,2,1,4.85,37,161,100,0.0,0.0,0,0,34,1,0,0,0,0,0,0,4,Bill Miller,"E.Ramirez (5-51-L), M.Belisle (9), R.White (1), T.Coffey (1)"
25,26,26,May 1,,STL,"W,6-1",9.0,4,1,1,0,3,4,1,0,4.7,33,109,73,,,0,0,30,1,0,0,0,0,0,1,1,Gary Darling,B.Arroyo (4-76-W)
