,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Mar 31,,SFG,"W,5-0",9.0,5,0,0,0,3,4,0,0,0.0,32,117,74,3.0,0.0,0,2,28,0,0,0,1,0,0,1,4,Ed Montague,"B.Penny (99-67-W), S.Proctor (99), J.Beimel (99), T.Saito (99)"
1,2,2,Apr 1,,SFG,"W,3-2",9.0,10,2,2,0,2,9,0,0,1.0,36,126,83,6.0,2.0,1,0,34,0,0,0,0,0,0,3,5,Jerry Layne,"D.Lowe (99-50), J.Beimel (0), R.Troncoso (99), J.Broxton (99), T.Saito (0-W)"
2,3,3,Apr 2,,SFG,"L,1-2",9.0,7,2,2,0,4,8,0,0,1.33,40,158,96,2.0,0.0,2,0,33,1,0,0,1,2,1,0,5,Phil Cuzzi,"H.Kuo (99-57), R.Troncoso (0), C.Billingsley (99-BSv), E.Loaiza (99-L), S.Proctor (1)"
3,4,4,Apr 4,@,SDP,"W,7-1",9.0,4,1,1,0,1,6,1,0,1.25,32,108,72,0.0,0.0,0,0,31,0,1,0,0,0,0,0,2,Tim Tschida,"H.Kuroda (99-71-W), C.Billingsley (1)"
4,5,5,Apr 5,@,SDP,"L,1-4",8.0,10,4,4,0,1,4,0,0,1.84,35,136,91,0.0,0.0,0,0,33,0,0,0,0,1,0,0,3,Jim Joyce,"B.Penny (4-38-L), J.Beimel (3), R.Troncoso (2)"
5,6,6,Apr 6,@,SDP,"W,3-2",9.0,6,2,1,1,3,7,0,1,1.7,37,133,79,3.0,0.0,1,0,31,2,0,0,1,1,1,0,5,Jeff Nelson,"D.Lowe (4-61), S.Proctor (3), J.Beimel (0), J.Broxton (4-W), T.Saito (4-Sv)"
6,7,7,Apr 7,@,ARI,"L,3-9",8.0,12,9,9,0,3,4,4,0,2.8,38,131,80,5.0,1.0,0,0,35,1,1,1,0,0,0,1,5,Dale Scott,"E.Loaiza (4-39-L), C.Park (99), J.Beimel (0), S.Proctor (0), R.Troncoso (1)"
7,8,8,Apr 8,@,ARI,"L,5-10",8.0,12,10,9,1,6,9,1,4,3.65,46,186,100,3.0,0.0,0,0,34,2,2,0,1,1,1,1,4,Ron Kulpa,"C.Billingsley (3-27-L), H.Kuo (5), R.Troncoso (0), J.Broxton (1)"
8,9,9,Apr 9,@,ARI,"L,3-4",8.0,11,4,2,2,3,6,0,1,3.51,38,143,100,2.0,0.0,0,1,34,1,0,1,0,0,1,0,3,Dan Iassogna,"H.Kuroda (4-41-L), C.Park (1), J.Broxton (0)"
9,10,10,Apr 11,,SDP,"L,5-7",9.0,16,7,7,0,4,4,0,0,3.87,45,173,104,2.0,1.0,1,0,40,1,0,0,0,1,0,2,5,Jeff Kellogg,"B.Penny (5-36-L), J.Beimel (3), S.Proctor (3), R.Troncoso (2), C.Park (1)"
