,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 6,,STL,"L,5-11",9.0,16,11,10,1,7,6,4,0,10.0,48,182,106,2,0,2,0,40,4,0,0,1,0,0,0,4,Angel Hernandez,"Y.Gallardo (99-21-L), M.Estrada (99), M.Parra (99), T.Dillard (99)"
1,2,2,Apr 7,,STL,"W,6-0",9.0,6,0,0,0,0,8,0,0,5.0,32,124,82,0,0,0,0,32,0,0,0,0,0,0,1,3,Laz Diaz,"Z.Greinke (99-76-W), F.Rodriguez (99), J.Veras (99)"
2,3,3,Apr 8,,STL,"L,3-9",9.0,14,9,9,0,3,12,2,1,6.33,45,188,119,2,2,0,0,41,2,0,0,0,0,0,0,5,Ed Hickox,"R.Wolf (99-43-L), M.Estrada (1), T.Dillard (1), J.Axford (99), K.Loe (99)"
3,4,4,Apr 9,@,CHC,"W,7-5",9.0,8,5,5,0,4,9,2,0,6.0,39,154,99,3,2,0,1,34,1,1,0,0,1,2,1,6,Adrian Johnson,"S.Marcum (99-56-W), J.Veras (1-H), F.Rodriguez (1), M.Parra (2), T.Dillard (0), J.Axford (0-Sv)"
4,5,5,Apr 10,@,CHC,"W,7-4",9.0,7,4,3,1,5,7,1,0,5.4,38,149,89,1,0,1,0,32,1,0,0,0,1,1,2,5,Gary Cederstrom,"C.Narveson (99-47-W), M.Estrada (1-H), K.Loe (1), J.Veras (0), F.Rodriguez (0-Sv)"
5,6,6,Apr 11,@,CHC,"W,2-1",9.0,6,1,1,0,4,12,0,0,4.67,36,156,96,0,0,1,0,31,2,0,0,0,1,0,1,3,Lance Barksdale,"Y.Gallardo (4-67-W), F.Rodriguez (0-H), J.Axford (1-Sv)"
6,7,7,Apr 12,@,CHC,"L,0-8",8.0,13,8,8,0,1,10,0,1,5.23,36,140,93,2,1,1,0,34,2,0,0,0,0,0,3,3,Fieldin Culbreth,"Z.Greinke (4-15-L), M.Parra (2), T.Dillard (2)"
7,8,8,Apr 13,@,ATL,"L,8-10",8.0,14,10,10,0,6,4,2,0,5.91,44,174,101,3,1,1,0,37,2,1,0,1,0,1,1,5,Bill Welke,"R.Wolf (4-11), M.Estrada (2), K.Loe (2), F.Rodriguez (1-L), T.Dillard (0)"
8,9,9,Apr 14,@,ATL,"L,1-2",8.0,3,2,2,0,3,7,0,0,5.54,30,127,77,0,0,0,0,27,1,0,0,0,0,0,0,2,Chris Guccione,"S.Marcum (4-67-L), J.Veras (3)"
9,10,10,Apr 15,@,ATL,"L,4-7",8.0,9,7,6,1,6,7,2,0,5.65,39,170,93,2,0,2,1,31,2,0,0,1,1,1,0,5,Tim Tschida,"C.Narveson (4-33-L), M.Estrada (1), M.Parra (2), J.Axford (3), T.Dillard (1)"
