,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 1,,BOS,"L,2-8",9.0,13,8,8,0,8,8,0,0,8.0,48,190,115,4.0,1.0,0,0,40,1,1,1,0,0,0,0,6,Ted Barrett,"C.Sabathia (99-36-L), D.Phelps (99), B.Logan (99), S.Kelley (99), J.Chamberlain (99), C.Eppley (99)"
1,1,2,2,Apr 3,,BOS,"L,4-7",9.0,14,7,7,0,3,7,0,2,7.5,44,177,106,5.0,2.0,1,0,39,3,0,0,0,0,0,2,4,Alfonso Marquez,"H.Kuroda (99-38-L), C.Eppley (1), A.Warren (99), S.Kelley (1)"
2,2,3,3,Apr 4,,BOS,"W,4-2",9.0,9,2,2,0,2,4,0,0,5.67,34,114,78,0.0,0.0,0,0,32,2,0,0,0,0,0,3,2,Mike DiMuro,"A.Pettitte (99-64-W), M.Rivera (99-Sv)"
3,3,4,4,Apr 5,@,DET,"L,3-8",8.0,9,8,8,0,4,8,3,1,6.43,37,157,91,2.0,2.0,1,0,32,0,0,0,0,0,0,1,4,Alan Porter,"I.Nova (99-41-L), B.Logan (3), S.Kelley (1), D.Robertson (99)"
4,4,5,5,Apr 6,@,DET,"L,4-8",8.0,17,8,6,2,3,7,0,0,6.49,43,169,101,3.0,2.0,0,1,37,3,0,0,0,3,1,0,4,Jerry Layne,"P.Hughes (99-36-L), B.Logan (0), D.Phelps (4), J.Chamberlain (4)"
5,5,6,6,Apr 7,@,DET,"W,7-0",9.0,8,0,0,0,3,7,0,0,5.37,38,155,100,0.0,0.0,0,0,35,0,0,0,0,0,0,0,3,Brian O'Nora,"C.Sabathia (5-70-W), D.Robertson (1), M.Rivera (2)"
6,6,7,7,Apr 8,@,CLE,"W,11-6",9.0,9,6,6,0,8,13,1,0,5.46,43,198,116,3.0,0.0,0,0,33,2,1,0,0,2,0,1,4,Marvin Hudson,"H.Kuroda (4-48-W), B.Logan (1), S.Kelley (2), J.Chamberlain (1)"
7,7,8,8,Apr 9,@,CLE,"W,14-1",9.0,7,1,1,0,3,5,1,0,4.89,36,123,77,0.0,0.0,0,0,33,2,0,0,0,0,0,1,2,Jordan Baker,"A.Pettitte (4-64-W), A.Warren (5)"
8,8,9,9,Apr 12,,BAL,"W,5-2",9.0,9,2,1,1,0,9,0,0,4.44,33,117,83,0.0,0.0,0,0,33,1,0,0,0,0,1,2,2,Dan Bellino,"C.Sabathia (4-69-W), M.Rivera (4-Sv)"
9,9,10,10,Apr 13,,BAL,"L,3-5",9.0,11,5,5,0,2,7,3,1,4.5,38,126,82,1.0,0.0,0,0,34,3,0,0,1,0,0,1,4,Larry Vanover,"P.Hughes (6-19-L), D.Phelps (6), J.Chamberlain (4), D.Robertson (5)"
10,10,11,11,Apr 14,,BAL,"W,3-0",9.0,5,0,0,0,0,5,0,0,4.08,32,113,79,,,0,0,32,0,0,0,0,0,2,2,1,Manny Gonzalez,H.Kuroda (5-82-W)
11,11,12,12,Apr 16,,ARI,"W,4-2",9.0,8,2,2,0,2,9,0,0,3.91,37,144,95,0.0,0.0,1,0,33,2,0,0,1,1,0,0,5,Tom Hallion,"I.Nova (10-49-W), B.Logan (7-H), J.Chamberlain (2-H), D.Robertson (2-H), M.Rivera (3-Sv)"
12,12,13,13,Apr 17,,ARI,"W,4-3",9.0,6,3,3,0,1,6,1,0,3.83,34,125,87,0.0,0.0,0,0,32,1,1,0,0,1,0,0,2,Phil Cuzzi,"C.Sabathia (4-63-W), M.Rivera (0-Sv)"
13,13,14,14,Apr 18,,ARI,"L,2-6",12.0,13,6,5,1,1,9,2,1,3.83,53,202,141,0.0,0.0,1,0,49,5,0,0,0,0,1,1,5,Ron Kulpa,"P.Hughes (4-63), B.Logan (1), J.Chamberlain (1), D.Robertson (1), D.Phelps (4-L)"
14,14,15,15,Apr 19,@,TOR,"W,9-4",9.0,7,4,4,0,1,7,2,0,3.84,33,118,79,0.0,0.0,0,0,32,0,1,0,0,0,0,1,2,Mark Wegner,"A.Pettitte (9-58-W), S.Kelley (10)"
15,15,16,16,Apr 20,@,TOR,"W,5-3",11.0,7,3,3,0,3,13,0,0,3.73,42,178,107,2.0,1.0,1,0,38,2,0,0,1,0,0,1,6,Laz Diaz,"H.Kuroda (5-74), D.Robertson (1-BSv), J.Chamberlain (1), B.Logan (1), S.Kelley (0-W), M.Rivera (2-Sv)"
16,16,17,17,Apr 21,@,TOR,"L,4-8",8.0,11,8,8,0,6,8,1,1,4.01,39,168,97,4.0,3.0,0,1,31,3,0,0,0,1,0,1,3,Tim Timmons,"I.Nova (4-38), B.Logan (0-L), D.Phelps (2-BSv)"
17,17,18,18,Apr 22,@,TBR,"L,1-5",8.0,7,5,5,0,2,8,3,1,4.09,32,120,77,0.0,0.0,0,1,28,0,1,0,1,0,1,2,2,Andy Fletcher,"C.Sabathia (4-49-L), A.Warren (12)"
18,18,19,19,Apr 23,@,TBR,"W,4-3",9.0,7,3,3,0,2,8,1,0,4.03,34,131,94,0.0,0.0,0,1,31,1,0,0,0,1,0,0,3,Rob Drake,"P.Hughes (4-61), D.Robertson (2-W), M.Rivera (2-Sv)"
19,19,20,20,Apr 24,@,TBR,"L,0-3",8.0,8,3,2,1,2,13,1,1,3.95,35,138,88,0.0,0.0,0,0,32,1,0,0,0,0,0,0,2,Sam Holbrook,"A.Pettitte (4-57-L), S.Kelley (3)"
20,20,21,21,Apr 25,,TOR,"W,5-3",9.0,7,3,3,0,1,6,2,0,3.9,35,140,91,0.0,0.0,0,0,34,1,0,0,0,0,1,1,4,Paul Schrieber,"H.Kuroda (4-50-W), J.Chamberlain (4-H), D.Robertson (1-H), M.Rivera (1-Sv)"
21,21,22,22,Apr 26,,TOR,"W,6-4",9.0,10,4,4,0,2,13,3,1,3.91,38,173,112,2.0,1.0,0,2,35,0,0,0,0,0,0,0,5,Chad Fairchild,"I.Nova (4-42), D.Phelps (4-W), J.Chamberlain (0-H), D.Robertson (0-H), M.Rivera (0-Sv)"
22,22,23,23,Apr 27,,TOR,"W,5-4",9.0,11,4,3,1,0,5,2,0,3.87,38,137,96,0.0,0.0,0,0,38,1,0,0,0,0,0,0,2,Jeff Kellogg,"C.Sabathia (4-54-W), J.Chamberlain (0-Sv)"
23,23,24,24,Apr 28,,TOR,"W,3-2",9.0,8,2,2,0,1,13,0,0,3.79,36,146,101,0.0,0.0,1,0,35,2,0,1,0,0,0,0,4,Chris Conroy,"P.Hughes (4-58), B.Logan (6-W), D.Robertson (1-H), M.Rivera (1-Sv)"
24,24,25,25,Apr 29,,HOU,"L,1-9",9.0,17,9,9,0,2,7,1,1,4.0,46,171,115,2.0,2.0,1,0,43,5,1,0,0,0,1,1,3,Ed Hickox,"A.Pettitte (4-17-L), A.Warren (6), V.Nuno (99)"
25,25,26,26,Apr 30,,HOU,"W,7-4",9.0,9,4,4,0,4,12,1,0,4.0,39,151,101,1.0,0.0,0,1,35,3,0,0,0,0,0,0,4,Jim Wolf,"H.Kuroda (4-73-W), D.Robertson (1), S.Kelley (5), M.Rivera (1-Sv)"
26,27,27,27,May 1,,HOU,"W,5-4",9.0,10,4,4,0,1,9,0,2,4.0,36,118,84,1.0,0.0,0,0,32,2,0,1,1,0,0,2,4,Cory Blaser,"D.Phelps (4-41), B.Logan (2-W), D.Robertson (0-H), M.Rivera (0-Sv)"
27,28,28,28,May 3,,OAK,"L,0-2",9.0,10,2,2,0,4,10,1,0,3.93,40,175,107,0.0,0.0,0,0,36,0,0,0,0,0,0,0,2,Jordan Baker,"C.Sabathia (5-52-L), A.Warren (3)"
28,29,29,29,May 4,,OAK,"W,4-2",9.0,6,2,2,0,3,9,0,0,3.86,35,140,96,1.0,1.0,0,0,32,1,0,0,0,0,0,1,3,Tim McClelland,"P.Hughes (5-81-W), S.Kelley (3), M.Rivera (2)"
29,30,30,30,May 5,,OAK,"L,4-5",9.0,7,5,4,1,4,5,3,1,3.87,39,152,91,1.0,0.0,0,0,34,2,0,0,0,0,0,0,4,Jerry Meals,"A.Pettitte (5-43), P.Claiborne (99), B.Logan (3-L), S.Kelley (0)"
30,31,31,31,May 7,@,COL,"L,0-2",8.0,8,2,2,0,1,4,1,0,3.82,31,114,74,0.0,0.0,0,0,30,1,0,0,0,0,0,1,2,Ron Kulpa,"H.Kuroda (6-57-L), S.Kelley (1)"
31,32,32,32,May 8,@,COL,"W,3-2",9.0,4,2,2,0,1,5,1,1,3.76,32,122,73,0.0,0.0,2,0,30,1,0,0,0,0,0,1,4,Chris Guccione,"D.Phelps (6-61), P.Claiborne (2), D.Robertson (6-W), M.Rivera (3-Sv)"
32,33,33,33,May 9,@,COL,"W,3-1",9.0,4,1,1,0,4,5,0,1,3.68,35,135,94,4.0,0.0,1,0,29,0,0,0,0,1,0,1,6,Phil Cuzzi,"C.Sabathia (5-57), A.Warren (5-W), B.Logan (3-H), P.Claiborne (0-H), D.Robertson (0-H), M.Rivera (0-Sv)"
33,34,34,34,May 10,@,KCR,"W,11-6",9.0,7,6,6,0,2,11,2,1,3.75,36,146,101,0.0,0.0,0,0,33,1,0,0,0,0,0,0,3,Mike Winters,"P.Hughes (5-32-W), S.Kelley (2), B.Logan (0)"
34,35,35,35,May 11,@,KCR,"W,3-2",9.0,6,2,2,0,1,10,1,0,3.7,34,130,89,0.0,0.0,1,0,33,1,0,0,0,0,0,0,3,Mark Wegner,"A.Pettitte (5-65-W), D.Robertson (1-H), M.Rivera (1-Sv)"
35,36,36,36,May 12,@,KCR,"W,4-2",9.0,7,2,2,0,1,1,0,0,3.65,34,109,74,1.0,0.0,0,0,31,3,0,0,1,1,0,1,3,Laz Diaz,"H.Kuroda (4-59-W), D.Robertson (0-H), M.Rivera (0-Sv)"
36,37,37,37,May 13(1),@,CLE,"L,0-1",8.0,5,1,1,0,5,9,1,0,3.59,32,128,75,2.0,0.0,0,1,27,2,0,0,0,0,0,1,3,Mark Carlson,"D.Phelps (4-64-L), B.Logan (2), P.Claiborne (3)"
37,38,38,38,May 13(2),@,CLE,"W,7-0",9.0,5,0,0,0,3,7,0,0,3.49,35,140,93,0.0,0.0,0,0,32,1,0,0,0,0,0,0,2,Gerry Davis,"V.Nuno (13-61-W), A.Warren (3-Sv)"
