,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 1,@,ATL,"L,2-7",8.0,8,7,4,3,4,4,2,0,4.5,38,118,74,0.0,0.0,0,0,34,3,0,0,0,0,2,0,3,Mike Reilly,"R.Person (99-42-L), C.Silva (99), C.Politte (99)"
1,2,2,Apr 3,@,ATL,"W,3-1",9.0,4,1,1,0,2,9,1,1,2.65,34,144,96,0.0,0.0,0,0,31,0,0,0,0,0,1,1,3,Jeff Kellogg,"V.Padilla (99-68-W), J.Santiago (99-H), J.Mesa (99-Sv)"
2,3,3,Apr 4,@,ATL,"L,2-11",8.0,15,11,10,1,3,8,3,0,5.4,42,152,104,2.0,2.0,0,0,39,2,0,0,0,0,1,1,5,Jerry Meals,"T.Adams (99-33-L), H.Mercado (99), R.Bottalico (99), C.Silva (2), C.Politte (2)"
3,4,4,Apr 5,,FLA,"W,6-2",9.0,8,2,2,0,2,12,0,3,4.5,40,159,95,4.0,0.0,0,0,35,4,0,0,0,0,0,0,5,Phil Cuzzi,"B.Duckworth (99-68-W), R.Cormier (99), J.Santiago (1), R.Bottalico (0), J.Mesa (1-Sv)"
4,5,5,Apr 6,,FLA,"L,3-7",9.0,10,7,6,1,8,7,2,0,4.81,45,175,98,1.0,1.0,0,0,36,1,0,1,1,0,0,0,5,Jerry Crawford,"D.Coggin (99-45), H.Mercado (1), C.Silva (1), J.Santiago (0-L), R.Cormier (0)"
5,6,6,Apr 7,,FLA,"W,3-2",11.0,7,2,2,0,5,8,1,1,4.17,45,159,98,0.0,0.0,1,1,38,1,0,2,1,0,0,0,3,Joe West,"R.Person (5-75), J.Mesa (1), C.Politte (2-W)"
6,7,7,Apr 8,,ATL,"L,1-2",9.0,6,2,1,1,5,5,0,1,3.71,37,131,73,0.0,0.0,0,0,30,0,0,1,1,0,0,2,3,Hunter Wendelstedt,"V.Padilla (4-54-L), C.Silva (1), J.Santiago (1)"
7,8,8,Apr 9,,ATL,"W,7-4",9.0,8,4,4,0,2,3,1,0,3.75,36,113,75,2.0,0.0,0,0,33,0,1,0,1,0,0,1,4,Mike DiMuro,"T.Adams (4-43), J.Santiago (0-W), R.Bottalico (3-H), J.Mesa (1-Sv)"
8,9,9,Apr 10,,ATL,"W,7-5",11.0,8,5,5,0,5,14,2,0,3.8,44,171,100,0.0,0.0,2,0,39,3,0,1,0,0,0,1,5,Ed Montague,"B.Duckworth (4-60), C.Silva (1-BSv), R.Bottalico (0), J.Mesa (0), C.Politte (2-W)"
9,10,10,Apr 11,,ATL,"L,2-6",9.0,8,6,6,0,7,9,1,3,4.01,45,146,81,0.0,0.0,0,0,35,2,0,2,0,0,0,0,4,Mike Vanvleet,"D.Coggin (4-35-L), H.Mercado (4), R.Cormier (4), C.Silva (0)"
10,11,11,Apr 12,,CIN,"L,5-8",9.0,12,8,8,0,0,6,1,0,4.37,38,142,99,4.0,2.0,2,0,37,2,2,0,0,1,0,0,5,Ed Rapuano,"R.Wolf (99-56), J.Santiago (2-H), R.Cormier (0-L), C.Politte (1-BSv), H.Mercado (0)"
11,12,12,Apr 13,,CIN,"L,2-5",9.0,10,5,5,0,5,6,1,1,4.42,38,140,82,0.0,0.0,0,3,30,2,1,1,2,0,0,1,2,Larry Poncino,"R.Person (5-47-L), C.Silva (1)"
12,13,13,Apr 14,,CIN,"W,3-1",9.0,6,1,0,1,0,13,0,0,4.08,33,113,87,1.0,0.0,0,0,33,2,0,0,0,0,0,0,2,Tony Randazzo,"V.Padilla (5-79-W), J.Mesa (3-Sv)"
13,14,14,Apr 16,@,FLA,"L,6-7",8.2,11,7,7,0,2,13,2,0,4.3,39,190,120,0.0,0.0,1,0,36,1,0,0,1,0,0,0,4,Andy Fletcher,"B.Duckworth (5-71), J.Santiago (3), R.Bottalico (5-H), J.Mesa (1-BL)"
14,15,15,Apr 17,@,FLA,"W,7-5",9.0,5,5,5,0,3,9,0,1,4.35,35,142,88,0.0,0.0,0,0,29,2,1,0,0,2,0,0,4,Joe Brinkman,"R.Wolf (4-41), C.Silva (3), R.Cormier (4-W), J.Mesa (0-Sv)"
15,16,16,Apr 18,@,FLA,"L,7-8",8.0,9,8,7,1,2,4,1,2,4.54,35,137,83,2.0,2.0,3,1,31,3,1,0,0,0,0,1,4,Scott Higgins,"R.Person (4-48), J.Santiago (1), C.Politte (5), R.Bottalico (1-L)"
16,17,17,Apr 19,@,PIT,"L,4-7",8.0,7,7,6,1,3,9,1,0,4.66,35,116,76,5.0,3.0,0,0,31,2,0,0,1,0,2,1,3,Jeff Nelson,"V.Padilla (4-51-L), R.Cormier (1), R.Bottalico (0)"
17,18,18,Apr 20,@,PIT,"L,5-6",8.0,11,6,1,5,4,3,0,0,4.48,39,151,90,0.0,0.0,0,0,33,2,0,1,2,0,2,1,3,Ron Kulpa,"T.Adams (10-34-L), D.Coggin (8), C.Silva (2)"
18,19,19,Apr 21,@,PIT,"L,3-9",8.0,15,9,9,0,5,3,0,0,4.75,41,153,89,3.0,2.0,3,1,36,3,1,1,0,0,0,1,6,Jim Joyce,"B.Duckworth (4-10-L), C.Politte (2), D.Coggin (0), R.Cormier (1), J.Santiago (2), J.Mesa (3)"
19,20,20,Apr 23,,SDP,"W,8-5",9.0,5,5,5,0,6,9,1,0,4.76,37,162,100,0.0,0.0,0,0,31,1,0,1,0,0,0,1,3,Fieldin Culbreth,"R.Wolf (5-42-W), C.Silva (2-H), J.Mesa (1-Sv)"
20,21,21,Apr 24,,SDP,"L,2-7",9.0,13,7,7,0,2,3,1,0,4.87,39,146,93,0.0,0.0,0,0,37,4,0,0,0,0,0,0,3,Bill Miller,"R.Person (5-33-L), J.Santiago (2), C.Politte (2)"
21,22,22,Apr 25,,SDP,"L,4-6",9.0,11,6,6,0,5,7,1,0,4.92,42,161,99,3.0,2.0,0,0,37,0,1,0,0,0,0,1,4,Bill Hohn,"V.Padilla (5-49), R.Cormier (3-BL), R.Bottalico (5), D.Coggin (3)"
22,23,23,Apr 26,@,COL,"L,1-4",8.0,10,4,4,0,7,7,0,1,4.91,39,167,90,2.0,1.0,1,2,31,2,0,2,0,0,1,2,3,Ted Barrett,"T.Adams (5-51-L), R.Cormier (0), C.Silva (2)"
23,24,24,Apr 27,@,COL,"L,6-8",8.0,9,8,8,0,6,11,1,1,5.06,42,148,82,0.0,0.0,1,0,34,1,1,0,1,0,1,0,3,Brian Runge,"B.Duckworth (5-43-L), D.Coggin (1), R.Bottalico (1)"
