,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Mar 31,,MIL,"W,11-9",9.0,12,9,8,1,2,7,4,0,8.0,42,150,99,1.0,0.0,0,0,39,2,0,0,0,1,1,0,5,Jerry Crawford,"M.Morris (99-41), R.Springer (99-W), J.Fassero (99), C.Eldred (99), S.Kline (99-Sv)"
1,2,2,Apr 2,,MIL,"W,7-0",9.0,5,0,0,0,3,7,0,0,4.0,36,148,87,4.0,0.0,0,0,33,1,1,0,0,0,1,0,5,Brian O'Nora,"W.Williams (99-74-W), L.Painter (99), K.Calero (99), J.Fassero (1), D.Hermanson (99)"
2,3,3,Apr 3,,MIL,"W,6-4",9.0,8,4,4,0,3,3,2,0,4.0,38,153,91,0.0,0.0,0,0,34,0,0,0,1,0,1,1,5,Larry Poncino,"G.Stephenson (99-61-W), J.Fassero (0), R.Springer (2), C.Eldred (2), S.Kline (2-Sv)"
3,4,4,Apr 4,,HOU,"L,5-6",12.0,7,6,1,5,4,6,2,0,3.0,47,180,110,0.0,0.0,0,0,43,1,0,0,0,0,1,0,5,Tony Randazzo,"B.Tomko (99-52), L.Painter (1), K.Calero (1), S.Kline (0), R.Springer (0-L)"
4,5,5,Apr 5,,HOU,"L,1-2",9.0,7,2,2,0,2,10,0,1,2.81,34,124,85,2.0,1.0,0,1,31,1,0,0,0,0,0,1,3,Tim McClelland,"M.Morris (4-84), J.Fassero (1-BL), D.Hermanson (2)"
5,6,6,Apr 8,@,COL,"W,15-12",13.0,19,12,11,1,9,6,2,0,3.84,64,244,136,5.0,3.0,0,0,54,3,2,1,1,0,1,4,8,Derryl Cousins,"J.Simontacchi (99-21), L.Painter (3), J.Fassero (2), K.Calero (3-BSv), D.Hermanson (2-BSv), R.Springer (3), S.Kline (3), C.Eldred (4-W)"
6,7,7,Apr 9,@,COL,"L,4-9",8.0,10,9,9,0,2,6,2,0,4.57,35,115,74,0.0,0.0,1,0,33,4,1,0,0,0,0,1,3,Mike DiMuro,"B.Tomko (4-21-L), J.Fassero (0), K.Calero (0)"
7,8,8,Apr 10,@,COL,"L,6-7",8.0,8,7,7,0,3,8,2,0,4.91,35,121,77,1.0,1.0,0,0,30,3,1,0,0,2,0,0,4,Andy Fletcher,"G.Stephenson (6-48), C.Eldred (1), L.Painter (1-H), S.Kline (1-BL)"
8,9,9,Apr 11,@,HOU,"L,2-3",8.2,6,3,3,0,1,5,2,0,4.73,32,119,74,,,0,0,31,1,0,0,0,0,0,1,1,Jerry Meals,M.Morris (5-64-L)
9,10,10,Apr 12,@,HOU,"W,3-0",9.0,6,0,0,0,2,2,0,1,4.28,34,129,74,1.0,0.0,0,1,30,1,0,0,1,0,0,1,4,Steve Rippley,"W.Williams (9-60-W), R.Springer (3-H), J.Fassero (2-H), D.Hermanson (3-Sv)"
