,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Mar 31,,ATL,"L,0-2",9.0,5,2,2,0,1,5,1,0,2.0,32,115,74,3.0,0.0,0,0,31,1,0,0,0,0,0,1,5,Tim Welke,"L.Hernández (99-60-L), D.Slaten (99), T.Clippard (99), T.Coffey (99), S.Burnett (99)"
1,2,2,Apr 2,,ATL,"W,6-3",9.0,10,3,3,0,2,5,2,1,2.5,39,138,83,3.0,0.0,0,0,35,1,0,0,1,0,0,1,6,Jim Reynolds,"J.Lannan (99-55-W), C.Gaudin (99-H), D.Slaten (1), T.Clippard (1-H), D.Storen (99-H), S.Burnett (1-Sv)"
2,3,3,Apr 3,,ATL,"L,2-11",9.0,12,11,10,1,6,3,0,0,5.0,46,163,98,3.0,3.0,1,0,39,4,1,0,0,1,0,0,6,Mike DiMuro,"J.Zimmermann (99-53-L), T.Coffey (2), D.Slaten (0), B.Broderick (99), C.Gaudin (0), D.Storen (0)"
3,4,4,Apr 5,@,FLA,"L,2-3",9.2,8,3,2,1,4,4,1,0,4.17,43,152,94,4.0,2.0,0,0,35,4,0,2,3,1,2,0,4,Bill Welke,"J.Marquis (99-55), T.Clippard (2-BSv), D.Storen (1-L), S.Burnett (2)"
4,5,5,Apr 6,@,FLA,"L,4-7",8.0,10,7,6,1,8,6,0,0,4.63,41,161,85,2.0,0.0,0,1,31,4,1,0,1,1,1,1,4,Tim Tschida,"L.Hernández (5-35), C.Gaudin (2-L), T.Coffey (2), D.Slaten (2)"
5,6,6,Apr 7,@,FLA,"W,5-3",11.0,9,3,3,0,2,12,0,0,4.2,44,155,110,2.0,1.0,0,1,42,2,0,0,0,0,1,0,5,Jeff Nelson,"J.Lannan (4-43), T.Clippard (1-BSv), D.Storen (1), T.Coffey (0-W), S.Burnett (1-Sv)"
6,7,7,Apr 8,@,NYM,"W,6-2",9.0,7,2,2,0,2,7,0,0,3.9,36,152,102,4.0,0.0,0,0,32,3,0,0,1,1,0,0,6,Tony Randazzo,"J.Zimmermann (4-52-W), D.Slaten (1-H), C.Gaudin (1-H), T.Clippard (0-H), D.Storen (0), T.Coffey (0)"
7,8,8,Apr 9,@,NYM,"L,4-8",8.0,8,8,7,1,3,10,2,3,4.33,38,159,96,4.0,3.0,2,1,32,2,1,0,0,0,1,0,3,Dan Bellino,"T.Gorzelanny (99-44-L), B.Broderick (5), D.Slaten (0)"
8,9,9,Apr 10,@,NYM,"W,7-3",11.0,8,3,3,0,3,17,0,0,4.09,44,183,112,0.0,0.0,1,0,41,0,0,1,0,0,0,0,5,Brian Gorman,"J.Marquis (4-53), C.Gaudin (1), T.Clippard (1), D.Storen (1-W), S.Burnett (2)"
9,10,10,Apr 12,,PHI,"W,7-4",9.0,10,4,4,0,2,7,1,0,4.08,39,147,98,6.0,2.0,0,0,37,0,0,0,0,0,0,0,3,Phil Cuzzi,"L.Hernández (5-62-W), T.Clippard (1-H), S.Burnett (1-Sv)"
10,11,11,Apr 13,,PHI,"L,2-3",9.0,6,3,2,1,4,5,0,1,3.9,36,141,77,0.0,0.0,0,0,30,1,0,0,1,0,1,3,4,Alan Porter,"J.Lannan (5-50-L), C.Gaudin (2), D.Slaten (3), B.Broderick (3)"
11,12,12,Apr 14,,PHI,"L,0-4",9.0,6,4,1,3,0,6,1,0,3.66,34,104,81,5.0,2.0,0,0,34,1,0,0,0,0,1,0,4,Tom Hallion,"J.Zimmermann (5-61-L), D.Storen (3), D.Slaten (0), B.Broderick (0)"
12,13,13,Apr 15,,MIL,"W,4-3",10.0,10,3,3,0,2,7,1,2,3.58,42,155,95,0.0,0.0,0,0,38,2,0,0,0,0,0,1,5,Mike Winters,"T.Gorzelanny (5-56), T.Clippard (2-H), D.Storen (0-H), S.Burnett (2-BSv), C.Gaudin (1-W)"
13,14,14,Apr 17(1),,MIL,"W,8-4",9.0,13,4,4,0,3,7,0,0,3.61,41,143,95,6.0,2.0,0,0,38,0,0,0,0,0,0,2,4,Mike Everitt,"J.Marquis (6-54-W), D.Slaten (2), C.Gaudin (1), T.Clippard (1)"
14,15,15,Apr 17(2),,MIL,"W,5-1",9.0,7,1,1,0,0,4,0,0,3.44,34,111,74,0.0,0.0,0,0,34,1,1,0,0,0,0,0,2,Mark Wegner,"L.Hernández (4-64-W), D.Storen (1-Sv)"
15,16,16,Apr 20(1),@,STL,"W,8-6",9.0,14,6,3,3,6,4,2,0,3.41,44,189,112,7.0,2.0,1,0,38,2,0,0,0,0,1,4,6,Jeff Nelson,"J.Lannan (6-44-W), C.Gaudin (2), D.Slaten (2), T.Clippard (2-H), S.Burnett (4-H), D.Storen (2-Sv)"
