,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 2,@,MIL,"L,1-7",29,29,1,2,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0.069,0.069,0.207,0.276,1,14,R,B.Sheets(82)
1,1,2,2,Apr 3,@,MIL,"L,3-4",38,34,3,7,2,0,1,3,4,0,9,0,0,0,0,0,0,0,0.143,0.194,0.286,0.48,8,14,L,C.Capuano(49)
2,2,3,3,Apr 4,@,MIL,"W,5-4",40,31,5,8,4,0,0,5,6,0,3,0,1,2,0,0,0,0,0.181,0.255,0.319,0.574,8,17,R,J.Suppan(54)
3,3,4,4,Apr 6,@,SFG,"W,2-1",36,33,2,8,1,0,0,2,3,0,5,0,0,0,0,3,0,0,0.197,0.268,0.307,0.575,7,13,L,N.Lowry(61)
4,4,5,5,Apr 7,@,SFG,"W,4-1",37,33,4,9,2,0,0,4,3,0,6,0,0,1,0,0,1,0,0.213,0.279,0.313,0.592,6,12,R,R.Ortiz(42)
5,5,6,6,Apr 8,@,SFG,"W,10-4",44,40,10,15,3,1,2,10,3,0,4,0,0,1,0,0,2,0,0.245,0.305,0.38,0.685,7,14,L,B.Zito(23)
6,6,7,7,Apr 9,,COL,"L,3-6",38,33,3,7,2,0,1,3,4,0,7,0,0,1,1,1,0,0,0.24,0.303,0.378,0.68,8,16,L,J.Francis(59)
7,7,8,8,Apr 10,,COL,"W,2-1",30,26,2,6,1,0,0,2,3,1,2,0,0,1,0,1,1,1,0.239,0.302,0.367,0.669,4,14,R,R.Lopez(58)
8,8,9,9,Apr 11,,COL,"W,3-0",32,30,3,7,0,0,0,3,2,0,4,0,0,0,0,1,2,0,0.239,0.3,0.353,0.653,5,12,R,J.Hirsh(44)
9,9,10,10,Apr 13,,SDP,"W,9-1",41,36,9,13,3,0,1,9,4,0,4,0,1,0,0,0,2,0,0.252,0.314,0.372,0.686,8,13,L,D.Wells(22)
10,10,11,11,Apr 14,,SDP,"L,2-7",36,33,2,7,0,0,0,2,2,0,5,0,0,1,0,0,0,0,0.249,0.308,0.358,0.666,7,14,R,J.Peavy(68)
11,11,12,12,Apr 15,,SDP,"W,9-3",44,35,9,13,6,0,1,9,7,0,7,0,1,0,0,0,5,0,0.26,0.324,0.382,0.706,11,14,R,C.Young(21)
12,12,13,13,Apr 16,@,ARI,"W,5-1",40,33,5,9,3,0,1,4,3,0,7,1,1,1,0,0,1,1,0.261,0.326,0.387,0.713,8,13,R,E.Gonzalez(37)
