,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 1,@,DET,"L,2-3",38,32,2,6,1,0,1,2,6,0,5,0,0,0,0,1,0,0,0.188,0.316,0.313,0.628,9,12,L,M.Boyd(61)
1,1,2,2,Apr 3,@,DET,"L,2-5",36,31,2,7,1,0,1,2,4,0,6,0,0,1,0,2,0,0,0.206,0.311,0.333,0.644,7,11,R,J.Teheran(55)
2,2,3,3,Apr 4,@,DET,"W,9-3",39,36,9,10,3,0,3,9,3,0,6,0,0,0,0,0,1,1,0.232,0.319,0.434,0.753,3,10,L,T.Skubal(54)
3,3,4,4,Apr 5,,KCR,"L,0-3",32,28,0,3,1,0,0,0,4,0,5,0,0,0,0,2,0,0,0.205,0.297,0.37,0.667,5,11,L,D.Duffy(70)
4,4,5,5,Apr 7,,KCR,"W,4-2",34,31,4,8,0,0,2,4,3,0,11,0,0,0,0,1,0,0,0.215,0.302,0.386,0.688,6,9,R,J.Junis(69)
5,5,6,6,Apr 9,,DET,"W,4-1",32,32,4,7,0,0,2,4,0,0,10,0,0,0,1,0,0,0,0.216,0.289,0.389,0.679,4,10,L,D.Holland(41)
6,6,7,7,Apr 10,,DET,"W,11-3",39,33,11,9,3,0,5,11,6,0,6,0,0,0,0,0,0,0,0.224,0.304,0.453,0.757,4,10,L,T.Skubal(28)
7,7,8,8,Apr 11,,DET,"W,5-2",36,29,5,7,3,0,0,3,7,0,8,0,0,0,0,2,1,0,0.226,0.315,0.44,0.755,7,12,R,J.Urena(49)
8,8,9,9,Apr 12,@,CHW,"L,3-4",35,30,3,5,1,0,1,3,3,0,9,1,0,1,0,1,0,0,0.22,0.308,0.426,0.734,5,9,L,D.Keuchel(49)
9,9,10,10,Apr 13,@,CHW,"W,2-0",38,35,2,5,2,0,0,2,2,0,12,0,1,0,1,0,0,0,0.211,0.296,0.401,0.697,7,12,R,L.Giolito(77)
10,10,11,11,Apr 14,@,CHW,"L,0-8",28,27,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0.195,0.277,0.369,0.646,1,11,L,C.Rodon(94)
11,11,12,12,Apr 15,@,CHW,"W,4-2",37,35,4,8,2,0,1,3,1,0,14,0,1,0,1,0,3,0,0.198,0.275,0.369,0.644,6,10,R,L.Lynn(64)
