,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 5,@,KCR,"W,8-4",41,39,8,12,4,0,0,7,2,0,9,0,0,0,1,1,0,0,0.308,0.341,0.41,0.752,6,11,R,Z.Greinke(57)
1,2,2,Apr 7,@,KCR,"L,2-3",43,40,2,11,0,1,1,2,2,0,6,0,1,0,0,2,0,1,0.291,0.325,0.405,0.73,8,12,R,L.Hochevar(70)
2,3,3,Apr 8,@,KCR,"W,7-3",43,38,7,12,4,0,2,7,4,0,6,1,0,0,0,0,0,1,0.299,0.349,0.462,0.811,9,11,R,B.Bannister(59)
3,4,4,Apr 9,,CLE,"W,5-2",35,32,5,7,2,0,0,2,3,0,2,0,0,0,1,0,1,0,0.282,0.335,0.423,0.758,6,10,L,D.Huff(50)
4,5,5,Apr 10,,CLE,"W,4-2",37,26,4,6,0,0,1,4,9,1,5,1,0,1,0,2,0,1,0.274,0.354,0.411,0.765,9,10,R,M.Talbot(35)
5,6,6,Apr 11,,CLE,"W,9-8",53,42,9,18,2,0,0,7,9,0,7,2,0,0,0,1,1,0,0.304,0.394,0.424,0.818,18,11,R,J.Westbrook(43)
6,7,7,Apr 12,,KCR,"L,5-10",40,34,5,8,3,0,1,4,4,0,6,2,0,0,0,1,0,0,0.295,0.388,0.422,0.811,8,9,R,L.Hochevar(39)
7,8,8,Apr 13,,KCR,"W,6-5",39,32,6,9,4,0,0,6,6,0,4,0,1,0,0,0,0,0,0.293,0.389,0.42,0.81,9,11,R,B.Bannister(59)
8,9,9,Apr 14,,KCR,"L,3-7",39,32,3,7,4,0,1,2,6,0,8,1,0,0,0,2,0,0,0.286,0.386,0.422,0.808,9,11,R,K.Davies(50)
9,10,10,Apr 16,@,SEA,"L,3-11",36,34,3,8,3,0,0,3,2,0,10,0,0,0,0,1,0,0,0.281,0.376,0.413,0.789,6,12,R,F.Hernandez(65)
10,11,11,Apr 17,@,SEA,"L,2-4",37,32,2,7,1,0,1,2,4,0,5,0,1,0,0,1,0,0,0.276,0.37,0.407,0.777,8,12,L,R.Rowland-Smith(56)
11,12,12,Apr 18,@,SEA,"W,4-2",43,34,4,9,3,1,1,4,9,1,6,0,0,0,0,2,0,0,0.275,0.375,0.414,0.789,12,10,R,I.Snell(45)
12,13,13,Apr 19,@,LAA,"L,0-2",35,34,0,9,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0.274,0.369,0.405,0.774,8,9,R,J.Pineiro(64)
13,14,14,Apr 20,@,LAA,"L,5-6",42,38,5,11,2,1,0,5,4,0,13,0,0,0,0,0,1,0,0.275,0.368,0.405,0.772,10,10,L,S.Kazmir(56)
14,15,15,Apr 21,@,LAA,"W,4-3",36,32,4,8,1,0,2,4,4,0,9,0,0,0,0,1,2,1,0.274,0.366,0.408,0.774,5,12,R,J.Weaver(61)
15,16,16,Apr 22,@,LAA,"W,5-4",43,34,5,11,7,0,0,5,7,1,5,0,1,1,0,0,0,1,0.277,0.37,0.416,0.786,11,10,L,J.Saunders(24)
16,17,17,Apr 23,@,TEX,"L,4-5",40,36,4,10,3,0,0,4,4,0,9,0,0,0,0,0,0,0,0.277,0.369,0.413,0.781,9,11,R,R.Harden(44)
17,18,18,Apr 24,@,TEX,"W,8-4",43,36,8,11,4,0,0,6,7,0,4,0,0,0,0,1,1,0,0.278,0.372,0.413,0.785,8,11,R,S.Feldman(18)
18,19,19,Apr 25,@,TEX,"L,4-8",35,33,4,8,2,0,1,4,2,0,10,0,0,0,0,2,0,0,0.277,0.368,0.412,0.78,4,9,R,C.Lewis(51)
19,20,20,Apr 26,@,TEX,"W,8-6",43,39,8,13,4,0,3,8,4,0,7,0,0,0,0,0,0,0,0.28,0.369,0.426,0.795,8,10,L,M.Harrison(34)
20,21,21,Apr 27,,MIN,"L,0-2",32,31,0,5,2,0,0,0,1,0,12,0,0,0,0,1,0,0,0.275,0.362,0.418,0.78,5,9,L,F.Liriano(83)
21,22,22,Apr 28,,MIN,"W,11-6",42,37,11,13,6,0,1,11,4,0,8,1,0,0,1,1,0,0,0.278,0.365,0.426,0.792,7,10,R,S.Baker(26)
22,23,23,Apr 29,,MIN,"W,3-0",33,30,3,7,2,0,0,3,2,1,5,0,0,1,0,0,2,0,0.277,0.362,0.421,0.783,6,10,R,C.Pavano(61)
23,24,24,Apr 30,,LAA,"W,10-6",44,41,10,16,2,1,3,10,2,0,4,0,0,1,2,0,1,0,0.282,0.364,0.435,0.8,10,10,R,J.Pineiro(2)
24,25,25,May 1,,LAA,"W,3-2",38,32,3,7,2,0,1,3,5,0,7,0,0,1,0,0,3,0,0.28,0.362,0.433,0.796,10,10,L,S.Kazmir(59)
25,26,26,May 2,,LAA,"W,5-1",38,35,5,11,3,0,0,4,2,0,9,0,1,0,1,0,0,0,0.281,0.362,0.432,0.794,9,10,R,J.Weaver(39)
26,27,27,May 3,@,MIN,"L,4-10",38,35,4,9,3,1,0,4,3,0,8,0,0,0,0,1,0,0,0.28,0.36,0.431,0.791,7,12,R,S.Baker(55)
27,28,28,May 4,@,MIN,"L,3-4",36,35,3,11,2,0,1,3,1,0,2,0,0,0,0,2,0,0,0.282,0.359,0.432,0.791,6,11,R,N.Blackburn(54)
28,29,29,May 5,@,MIN,"L,4-5",37,34,4,8,0,0,4,4,3,0,5,0,0,0,0,1,0,0,0.28,0.357,0.437,0.794,6,11,R,K.Slowey(44)
29,30,30,May 8,@,CLE,"W,6-4",43,35,6,9,3,0,0,5,8,0,11,0,0,0,1,2,1,0,0.279,0.359,0.434,0.793,10,10,R,J.Masterson(55)
30,31,31,May 9,@,CLE,"L,4-7",39,33,4,8,2,0,0,4,5,1,8,0,0,1,0,0,1,1,0.278,0.358,0.43,0.788,8,11,R,M.Talbot(39)
31,32,32,May 10,,NYY,"W,5-4",36,30,5,8,1,1,1,5,5,1,9,0,1,0,0,1,1,0,0.278,0.358,0.431,0.789,7,10,R,S.Mitre(41)
32,33,33,May 12 (1),,NYY,"W,2-0",30,28,2,5,0,0,0,2,2,0,8,0,0,0,0,1,0,0,0.275,0.355,0.425,0.78,4,10,R,J.Vazquez(64)
33,34,34,May 12 (2),,NYY,"L,0-8",33,32,0,6,1,0,0,0,1,0,10,0,0,0,0,1,0,0,0.273,0.352,0.419,0.771,6,9,R,P.Hughes(74)
