,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 2,@,MON,"L,6-7",40,35,6,8,1,0,2,6,3,1,8,1,1,0,1,0,0,0,0.229,0.308,0.429,0.736,7,13,R,J.Vazquez(54)
1,2,2,Apr 3,@,MON,"W,6-5",40,36,6,10,1,0,2,6,4,1,9,0,0,0,0,0,2,1,0.254,0.329,0.451,0.78,7,14,R,T.Armas(37)
2,3,3,Apr 4,@,MON,"W,1-0",40,35,1,9,2,0,1,1,5,2,8,0,0,0,1,1,1,1,0.255,0.336,0.434,0.77,12,10,R,C.Pavano(57)
3,4,4,Apr 5,@,PHI,"L,2-6",40,35,2,8,4,0,0,1,2,0,12,3,0,0,0,0,0,0,0.248,0.333,0.411,0.745,11,18,R,B.Duckworth(68)
4,5,5,Apr 6,@,PHI,"W,7-3",45,36,7,10,1,0,2,6,8,1,7,0,1,0,0,0,0,0,0.254,0.35,0.424,0.773,11,12,R,D.Coggin(45)
5,6,6,Apr 7,@,PHI,"L,2-3",45,38,2,7,1,0,1,2,5,2,8,1,1,0,0,0,1,1,0.242,0.34,0.4,0.74,10,16,R,R.Person(75)
6,7,7,Apr 8,,MON,"L,2-10",33,30,2,4,0,1,1,2,3,0,8,0,0,0,0,1,0,0,0.229,0.325,0.388,0.713,4,16,R,T.Armas(71)
7,8,8,Apr 10,,MON,"L,7-9",43,41,7,15,4,0,2,6,2,1,8,0,0,0,0,1,2,0,0.248,0.334,0.42,0.754,9,15,R,C.Pavano(49)
8,9,9,Apr 11,,MON,"W,7-5",38,34,7,11,2,2,0,7,4,1,6,0,0,0,2,0,1,1,0.256,0.341,0.428,0.769,7,15,R,M.Yoshii(33)
9,10,10,Apr 12,,ATL,"L,0-2",33,27,0,5,0,0,0,0,6,0,7,0,0,0,0,5,0,0,0.251,0.34,0.409,0.749,6,18,R,G.Maddux(61)
10,11,11,Apr 13,,ATL,"W,5-4",66,50,5,8,3,0,0,4,12,5,11,2,2,0,3,0,2,0,0.239,0.341,0.385,0.726,20,18,R,K.Millwood(47)
11,12,12,Apr 14,,ATL,"W,7-0",43,37,7,14,1,0,3,7,6,2,5,0,0,0,0,0,0,0,0.251,0.351,0.408,0.759,12,9,R,J.Marquis(22)
12,13,13,Apr 16,,PHI,"W,7-6",39,36,7,11,1,0,2,7,2,0,13,0,1,0,0,0,1,0,0.255,0.351,0.415,0.766,6,14,R,B.Duckworth(71)
13,14,14,Apr 17,,PHI,"L,5-7",35,29,5,5,2,1,0,5,3,0,9,1,0,2,0,0,0,0,0.251,0.345,0.409,0.754,3,13,L,R.Wolf(41)
14,15,15,Apr 18,,PHI,"W,8-7",35,31,8,9,3,1,1,7,2,0,4,2,0,0,0,1,3,1,0.253,0.346,0.417,0.763,3,15,R,R.Person(48)
15,16,16,Apr 19,@,ATL,"L,2-3",34,32,2,6,1,0,2,2,2,0,5,0,0,0,0,1,0,0,0.249,0.341,0.416,0.757,5,10,L,D.Moss(60)
16,17,17,Apr 20,@,ATL,"L,1-3",34,31,1,7,1,0,1,1,3,1,6,0,0,0,0,2,1,1,0.248,0.338,0.413,0.751,6,13,R,G.Maddux(58)
17,18,18,Apr 21,@,ATL,"L,2-4",35,34,2,7,2,0,0,1,0,0,11,0,0,1,1,0,1,0,0.246,0.331,0.405,0.737,6,14,L,T.Glavine(68)
18,19,19,Apr 22,@,ATL,"W,8-3",42,39,8,13,2,0,3,8,2,1,6,1,0,0,1,0,2,2,0.251,0.334,0.417,0.752,7,13,R,K.Millwood(28)
19,20,20,Apr 23,,HOU,"W,4-3",47,42,4,12,2,1,1,3,4,0,13,0,1,0,0,1,0,1,0.253,0.335,0.419,0.754,9,16,L,C.Hernandez(62)
20,21,21,Apr 24,,HOU,"L,4-7",38,33,4,8,3,0,0,4,4,0,9,0,0,1,1,2,3,0,0.252,0.334,0.416,0.75,7,13,R,R.Oswalt(65)
21,22,22,Apr 25,,HOU,"W,5-4",32,29,5,6,1,1,1,5,3,1,6,0,0,0,0,1,1,0,0.251,0.332,0.416,0.748,3,12,R,S.Reynolds(56)
22,23,23,Apr 26,,ARI,"L,3-5",37,31,3,7,2,0,0,3,5,0,12,0,0,1,0,0,2,2,0.25,0.332,0.411,0.743,7,16,L,R.Johnson(72)
23,24,24,Apr 27,,ARI,"W,6-3",35,32,6,10,4,0,0,6,3,0,4,0,0,0,0,1,0,0,0.252,0.333,0.412,0.745,5,13,R,M.Batista(35)
24,25,25,Apr 28,,ARI,"L,4-5",38,35,4,8,1,0,2,4,3,0,17,0,0,0,0,0,1,0,0.251,0.332,0.412,0.744,7,15,R,C.Schilling(61)
25,26,26,Apr 30,@,STL,"W,7-2",42,35,7,11,2,0,3,7,3,0,5,1,2,1,1,1,0,0,0.254,0.333,0.421,0.754,8,10,R,D.Kile(42)
26,27,27,May 1,@,STL,"L,4-6",41,36,4,8,2,0,1,3,5,0,6,0,0,0,1,0,1,0,0.252,0.333,0.419,0.751,10,15,R,T.Smith(64)
27,28,28,May 2,@,STL,"W,9-6",48,42,9,17,4,0,2,9,5,0,3,0,0,1,0,1,1,0,0.259,0.338,0.428,0.766,12,18,R,J.Pearce(30)
28,29,29,May 3,@,MIL,"W,8-4",43,39,8,12,1,0,3,8,4,0,7,0,0,0,0,0,3,0,0.261,0.339,0.433,0.773,8,13,R,N.Neugebauer(63)
