,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 3,,NYM,"W,4-3",33,30,4,9,0,0,0,4,2,0,3,0,0,1,1,3,1,0,0.3,0.333,0.3,0.633,5,9,R,M.Harvey(39)
1,2,2,Apr 5,,NYM,"L,0-2",32,31,0,3,1,1,0,0,1,0,12,0,0,0,0,0,1,0,0.197,0.231,0.246,0.477,5,9,R,N.Syndergaard(74)
2,3,3,Apr 8,,MIN,"W,4-3",37,32,4,9,2,1,0,4,4,0,10,0,0,1,1,0,0,1,0.226,0.275,0.301,0.576,9,9,R,E.Santana(57)
3,4,4,Apr 9,,MIN,"W,7-0",40,35,7,10,1,1,3,6,5,0,8,0,0,0,1,0,0,0,0.242,0.303,0.391,0.693,9,9,L,T.Milone(47)
4,5,5,Apr 10,,MIN,"W,4-3",38,35,4,7,1,1,1,3,2,0,8,0,0,1,0,0,0,0,0.233,0.289,0.387,0.675,5,10,R,R.Nolasco(72)
5,6,6,Apr 11,@,HOU,"L,2-8",38,37,2,11,1,0,1,2,1,0,5,0,0,0,0,2,0,0,0.245,0.294,0.39,0.684,9,11,R,C.McHugh(64)
6,7,7,Apr 12,@,HOU,"W,3-2",35,33,3,7,1,0,1,3,2,0,6,0,0,0,0,1,1,0,0.24,0.289,0.382,0.671,5,9,R,M.Fiers(50)
7,8,8,Apr 13,@,HOU,"W,4-2",38,35,4,8,3,0,1,3,2,1,11,0,0,1,1,0,0,0,0.239,0.285,0.384,0.67,7,9,R,S.Feldman(58)
8,9,9,Apr 14,@,HOU,"W,6-2",40,39,6,13,3,0,1,6,1,0,5,0,0,0,0,0,0,0,0.251,0.293,0.397,0.69,7,10,R,D.Fister(29)
9,10,10,Apr 15,@,OAK,"W,4-2",42,37,4,12,1,0,1,3,5,0,13,0,0,0,1,3,1,0,0.259,0.306,0.401,0.707,11,9,L,R.Hill(36)
10,11,11,Apr 16,@,OAK,"L,3-5",38,36,3,9,0,0,0,3,2,0,7,0,0,0,2,2,1,0,0.258,0.304,0.387,0.691,8,10,R,S.Gray(57)
11,12,12,Apr 17,@,OAK,"L,2-3",35,33,2,6,1,0,1,2,2,0,6,0,0,0,1,1,1,0,0.252,0.298,0.38,0.678,6,10,R,C.Bassitt(62)
12,13,13,Apr 19,,DET,"W,8-6",37,32,8,9,3,0,1,8,4,0,5,1,0,0,0,1,0,0,0.254,0.304,0.387,0.691,5,9,R,S.Greene(21)
13,14,14,Apr 20,,DET,"L,2-3",38,35,2,10,1,0,2,2,3,0,10,0,0,0,1,1,2,1,0.256,0.307,0.394,0.701,9,9,R,J.Zimmermann(66)
14,15,15,Apr 21,,DET,"W,4-0",36,29,4,10,2,0,1,3,5,0,3,0,1,1,0,2,4,0,0.261,0.315,0.401,0.716,8,9,R,M.Pelfrey(34)
15,16,16,Apr 22,,BAL,"W,4-2",32,31,4,8,3,0,1,4,1,0,2,0,0,0,0,0,0,1,0.261,0.313,0.404,0.717,4,9,R,Y.Gallardo(29)
16,17,17,Apr 23,,BAL,"L,3-8",35,34,3,7,2,0,1,3,1,0,6,0,0,0,1,1,0,0,0.258,0.308,0.401,0.709,5,9,R,T.Wilson(45)
17,18,18,Apr 24,,BAL,"W,6-1",37,33,6,11,3,0,2,6,2,0,4,1,1,0,0,0,0,0,0.262,0.313,0.412,0.724,7,9,R,M.Wright(41)
18,19,19,Apr 25,@,LAA,"L,1-6",36,31,1,4,1,0,0,1,5,0,7,0,0,0,1,0,0,0,0.255,0.309,0.4,0.709,8,9,R,G.Richards(66)
19,20,20,Apr 26,@,LAA,"L,4-9",37,33,4,9,6,0,1,4,4,0,6,0,0,0,0,3,0,0,0.256,0.311,0.407,0.718,6,9,R,J.Weaver(40)
20,21,21,Apr 27,@,LAA,"L,2-4",38,35,2,10,1,0,1,2,3,0,9,0,0,0,0,1,2,0,0.258,0.313,0.407,0.72,9,9,R,N.Tropeano(48)
21,22,22,Apr 29,@,SEA,"L,0-1",34,30,0,6,0,0,0,0,3,0,6,0,1,0,0,1,4,1,0.255,0.311,0.398,0.709,7,9,R,F.Hernandez(70)
22,23,23,Apr 30,@,SEA,"L,0-6",32,31,0,5,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0.252,0.307,0.39,0.696,5,9,L,W.Miley(81)
23,24,24,May 1,@,SEA,"W,4-1",39,37,4,11,1,0,1,3,0,0,12,2,0,0,0,0,2,1,0.254,0.308,0.391,0.698,8,9,R,T.Walker(47)
24,25,25,May 2,,WSN,"L,0-2",34,31,0,5,1,0,0,0,2,0,5,1,0,0,0,0,0,1,0.25,0.305,0.383,0.688,7,9,L,G.Gonzalez(63)
25,26,26,May 3,,WSN,"W,7-6",38,35,7,11,0,0,0,7,2,0,5,0,1,0,0,1,2,0,0.253,0.307,0.38,0.687,5,11,R,T.Roark(54)
26,27,27,May 4,,WSN,"L,2-13",34,32,2,5,1,0,0,2,2,0,11,0,0,0,1,1,0,0,0.249,0.303,0.374,0.677,5,13,R,S.Strasburg(60)
27,28,28,May 6,@,CLE,"L,1-7",36,35,1,9,0,0,0,1,1,0,9,0,0,0,0,0,0,1,0.25,0.302,0.369,0.672,8,9,R,D.Salazar(79)
