,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 3,@,ATL,"W,6-4",40,34,6,7,1,0,3,6,6,1,5,0,0,0,0,1,0,2,0.206,0.325,0.5,0.825,4,16,L,T.Glavine(56)
1,2,2,Apr 4,@,ATL,"L,2-3",34,31,2,6,0,0,0,1,3,0,3,0,0,0,1,1,0,0,0.2,0.297,0.354,0.651,5,18,R,K.Millwood(63)
2,3,3,Apr 5,@,ATL,"W,7-1",44,39,7,13,2,0,0,7,4,0,5,0,1,0,0,0,2,0,0.25,0.333,0.365,0.699,10,10,L,O.Perez(33)
3,4,4,Apr 6,@,MON,"L,6-10",37,33,6,9,2,0,3,6,2,0,5,0,1,1,0,1,0,0,0.255,0.327,0.423,0.75,4,16,R,M.Thurman(33)
4,5,5,Apr 7,@,MON,"L,0-10",31,29,0,4,2,0,0,0,1,0,11,0,1,0,0,0,1,0,0.235,0.301,0.386,0.686,4,15,R,J.Vazquez(78)
5,6,6,Apr 8,@,MON,"L,2-5",43,36,2,10,1,0,0,2,5,0,6,2,0,0,0,0,0,1,0.243,0.319,0.371,0.69,14,16,L,C.Peters(53)
6,7,7,Apr 9,,ATL,"W,9-4",37,34,9,10,1,0,3,9,3,0,7,0,0,0,0,0,1,0,0.25,0.323,0.403,0.726,4,12,R,K.Millwood(29)
7,8,8,Apr 11,,ATL,"L,0-2",28,28,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.227,0.296,0.364,0.659,1,12,R,G.Maddux(81)
8,9,9,Apr 12,,ATL,"W,1-0",35,32,1,6,2,1,0,1,2,0,8,0,1,0,0,0,0,1,0.223,0.289,0.358,0.647,6,15,R,J.Burkett(71)
9,10,10,Apr 13,,CIN,"L,2-3",41,35,2,10,2,0,1,2,6,0,5,0,0,0,0,1,1,1,0.23,0.301,0.366,0.666,12,16,R,O.Fernandez(54)
