,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Mar 28,,ATL,"W,10-4",37,31,10,7,0,0,3,10,6,2,9,0,0,0,0,0,0,0,0.226,0.351,0.516,0.867,3,14,R,J.Teheran(52)
1,1,2,2,Mar 30,,ATL,"W,8-6",36,31,8,9,2,1,3,8,5,1,9,0,0,0,0,0,1,1,0.258,0.37,0.613,0.983,4,17,R,B.Wilson(33)
2,2,3,3,Mar 31,,ATL,"W,5-1",39,27,5,5,1,0,2,5,9,0,8,2,0,1,0,1,0,0,0.236,0.384,0.562,0.946,10,14,R,K.Wright(46)
3,3,4,4,Apr 2,@,WSN,"W,8-2",45,41,8,14,5,0,2,7,4,3,12,0,0,0,0,0,0,0,0.269,0.389,0.577,0.965,10,17,R,M.Scherzer(55)
4,4,5,5,Apr 3,@,WSN,"L,8-9",44,37,8,10,3,0,0,8,7,2,8,0,0,0,0,0,0,0,0.269,0.388,0.527,0.915,9,18,R,A.Sanchez(37)
5,5,6,6,Apr 5,,MIN,"W,10-4",44,33,10,11,3,0,0,9,9,1,7,1,0,1,1,1,0,0,0.28,0.404,0.51,0.914,10,15,R,J.Odorizzi(28)
6,6,7,7,Apr 6,,MIN,"L,2-6",36,32,2,7,2,0,1,2,3,0,6,0,0,1,0,0,0,0,0.272,0.388,0.491,0.879,7,15,R,M.Pineda(55)
7,7,8,8,Apr 7,,MIN,"W,2-1",32,28,2,4,2,0,1,2,4,0,7,0,0,0,0,0,1,0,0.258,0.374,0.473,0.847,6,13,R,J.Berrios(64)
8,8,9,9,Apr 8,,WSN,"W,4-3",35,33,4,10,0,0,3,4,2,0,7,0,0,0,1,1,0,1,0.263,0.371,0.485,0.855,7,15,R,A.Sanchez(47)
9,9,10,10,Apr 9,,WSN,"L,6-10",44,39,6,9,0,1,2,6,5,1,9,0,0,0,0,0,0,0,0.259,0.365,0.479,0.844,8,15,R,S.Strasburg(25)
10,10,11,11,Apr 10,,WSN,"L,1-15",36,28,1,3,0,0,0,1,7,0,10,1,0,0,0,2,0,0,0.247,0.36,0.45,0.81,8,16,R,J.Hellickson(68)
11,11,12,12,Apr 12,@,MIA,"W,9-1",44,40,9,14,3,0,1,9,3,1,8,1,0,0,0,1,0,0,0.258,0.364,0.455,0.819,8,13,R,S.Alcantara(25)
12,12,13,13,Apr 13,@,MIA,"L,3-10",37,33,3,6,5,0,0,3,4,0,11,0,0,0,0,0,0,0,0.252,0.358,0.446,0.803,7,15,L,C.Smith(73)
13,13,14,14,Apr 14,@,MIA,"W,3-1",58,53,3,12,2,1,2,3,5,1,13,0,0,0,0,0,2,0,0.249,0.351,0.442,0.793,13,20,R,J.Urena(66)
14,14,15,15,Apr 15,,NYM,"L,6-7",50,42,6,12,1,0,1,6,8,0,16,0,0,0,0,2,1,1,0.252,0.355,0.438,0.792,11,17,R,N.Syndergaard(35)
15,15,16,16,Apr 16,,NYM,"W,14-3",44,39,14,13,7,0,3,14,3,0,5,2,0,0,3,1,0,0,0.257,0.359,0.459,0.817,6,13,L,S.Matz(13)
16,16,17,17,Apr 17,,NYM,"W,3-2",32,28,3,5,0,0,2,3,3,0,6,0,0,1,0,0,0,0,0.254,0.354,0.455,0.809,5,12,R,Z.Wheeler(57)
17,17,18,18,Apr 18,@,COL,"L,2-6",35,32,2,5,0,0,1,2,2,0,12,1,0,0,0,0,0,0,0.249,0.348,0.445,0.793,6,13,L,K.Freeland(75)
18,18,19,19,Apr 19,@,COL,"L,3-4",58,51,3,17,3,0,0,3,6,1,11,0,0,1,0,1,0,0,0.255,0.351,0.441,0.792,19,19,R,G.Marquez(42)
19,19,20,20,Apr 20,@,COL,"W,8-5",41,39,8,14,2,0,2,8,1,0,6,0,1,0,0,1,0,0,0.261,0.352,0.448,0.8,6,15,R,A.Senzatela(44)
20,20,21,21,Apr 21,@,COL,"L,1-4",38,31,1,6,2,0,0,1,6,0,7,0,1,0,0,1,0,0,0.258,0.351,0.44,0.791,10,12,R,J.Gray(69)
21,21,22,22,Apr 22,@,NYM,"L,1-5",32,29,1,3,1,0,1,1,2,0,10,0,1,0,0,0,0,0,0.252,0.345,0.432,0.777,4,14,L,S.Matz(66)
