,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 3,,BOS,"L,3-7",35,33,3,7,1,0,1,3,1,0,6,0,0,1,0,0,0,0,0.212,0.229,0.333,0.562,5,9,R,C.Schilling(63)
1,2,2,Apr 4,,BOS,"W,10-4",43,38,10,13,3,0,3,10,5,0,6,0,0,0,0,0,1,0,0.282,0.333,0.507,0.84,9,10,R,T.Wakefield(19)
2,3,3,Apr 5,,BOS,"L,1-2",37,35,1,9,2,0,0,1,2,0,7,0,0,0,0,0,0,0,0.274,0.322,0.443,0.765,9,10,R,J.Beckett(63)
3,4,4,Apr 6,,DET,"L,6-10",39,37,6,11,6,0,1,6,2,0,6,0,0,0,0,1,0,0,0.28,0.325,0.469,0.793,6,10,L,N.Robertson(44)
4,5,5,Apr 7,,DET,"L,2-5",38,35,2,11,0,0,1,2,2,0,2,1,0,0,0,3,0,0,0.287,0.333,0.455,0.788,9,9,L,M.Maroth(47)
5,6,6,Apr 8,,DET,"L,0-7",32,29,0,2,0,0,0,0,2,0,7,1,0,0,0,0,0,0,0.256,0.308,0.401,0.709,5,10,R,J.Verlander(78)
6,7,7,Apr 9,,DET,"W,5-3",38,35,5,12,4,0,0,5,3,1,8,0,0,0,0,1,0,0,0.269,0.321,0.409,0.73,9,9,L,K.Rogers(28)
7,8,8,Apr 10,@,LAA,"L,2-5",33,31,2,5,1,0,1,2,2,0,11,0,0,0,0,1,0,0,0.256,0.308,0.396,0.704,4,9,R,J.Lackey(68)
8,9,9,Apr 11,@,LAA,"L,4-5",39,34,4,10,0,0,2,4,3,1,7,0,1,1,0,0,0,1,0.261,0.312,0.404,0.716,8,10,R,J.Weaver(42)
9,10,10,Apr 12,@,LAA,"W,11-3",44,40,11,13,1,1,2,10,3,0,8,1,0,0,1,1,1,0,0.268,0.321,0.421,0.742,6,10,R,K.Escobar(25)
10,11,11,Apr 14,@,OAK,"W,6-3",38,33,6,8,4,0,0,5,3,0,6,1,0,1,0,1,1,0,0.266,0.32,0.416,0.736,5,10,L,B.Zito(49)
11,12,12,Apr 15,@,OAK,"L,4-5",33,28,4,5,1,0,1,3,5,0,10,0,0,0,0,3,0,1,0.26,0.319,0.409,0.729,2,9,R,R.Harden(58)
12,13,13,Apr 16,@,OAK,"W,5-3",36,35,5,9,1,0,2,5,1,0,5,0,0,0,1,2,0,0,0.26,0.316,0.413,0.729,4,10,R,D.Haren(74)
13,14,14,Apr 18,@,SEA,"W,7-4",40,32,7,7,1,0,2,7,7,0,14,0,0,1,0,1,0,0,0.257,0.319,0.415,0.733,6,9,R,F.Hernandez(47)
14,15,15,Apr 19,@,SEA,"L,6-9",41,38,6,12,3,0,0,6,3,0,6,0,0,0,1,1,1,0,0.261,0.322,0.413,0.735,8,10,L,J.Moyer(42)
15,16,16,Apr 20,@,SEA,"W,4-3",41,31,4,7,3,0,1,4,9,1,11,0,1,0,0,2,1,0,0.259,0.327,0.414,0.741,10,11,R,J.Pineiro(47)
16,17,17,Apr 21,,TBD,"W,13-7",46,41,13,18,4,0,2,13,3,0,7,2,0,0,1,2,0,0,0.272,0.339,0.432,0.772,9,10,R,S.McClung(8)
17,18,18,Apr 22,,TBD,"W,6-5",38,30,6,6,2,1,1,6,6,0,10,0,1,1,0,0,0,0,0.268,0.339,0.433,0.771,7,11,R,E.Jackson(52)
18,19,19,Apr 23,,TBD,"W,8-3",39,38,8,14,4,0,4,8,1,0,6,0,0,0,1,1,0,0,0.274,0.341,0.453,0.794,7,9,L,C.Fossum(12)
19,20,20,Apr 24,,OAK,"L,2-3",39,38,2,11,2,0,1,2,1,0,6,0,0,0,1,1,0,0,0.275,0.339,0.452,0.791,10,9,R,J.Blanton(49)
20,21,21,Apr 25,,OAK,"W,6-5",41,34,6,11,2,0,3,6,6,0,8,1,0,0,0,1,0,2,0.277,0.344,0.461,0.805,9,9,L,B.Zito(41)
21,22,22,Apr 26,,OAK,"L,4-6",41,36,4,9,0,0,1,4,5,0,12,0,0,0,0,0,0,3,0.276,0.344,0.455,0.799,7,11,R,R.Harden(47)
22,23,23,Apr 28,@,CLE,"L,6-7",42,38,6,15,4,0,1,6,3,0,3,0,0,1,0,2,0,0,0.282,0.348,0.461,0.809,9,9,R,J.Johnson(31)
23,24,24,Apr 29,@,CLE,"W,7-5",40,36,7,11,2,0,1,7,3,0,7,0,0,1,0,1,0,0,0.283,0.348,0.46,0.808,6,9,R,R.Hernandez(33)
24,25,25,Apr 30,@,CLE,"W,8-4",40,36,8,10,3,0,1,8,4,0,10,0,0,0,0,1,1,0,0.282,0.348,0.459,0.808,5,9,R,J.Westbrook(49)
25,26,26,May 1,@,TBD,"W,3-0",35,30,3,6,2,1,1,3,4,0,3,0,0,1,0,1,0,0,0.28,0.346,0.458,0.805,5,9,R,S.McClung(60)
26,27,27,May 2,@,TBD,"W,7-5",39,35,7,11,4,0,3,7,3,0,5,0,1,0,0,1,0,1,0.281,0.347,0.467,0.814,5,9,L,M.Hendrickson(32)
27,28,28,May 3,,BAL,"W,2-1",45,39,2,8,2,0,1,2,3,0,7,1,1,1,1,2,0,0,0.278,0.344,0.462,0.806,9,10,R,D.Cabrera(65)
28,29,29,May 4,,BAL,"W,8-2",42,36,8,14,1,0,2,7,4,0,5,1,0,1,0,0,0,0,0.282,0.348,0.466,0.814,10,10,L,B.Chen(11)
29,30,30,May 5,,NYY,"L,7-8",39,37,7,10,0,1,0,7,1,0,6,1,0,0,1,1,0,0,0.281,0.347,0.461,0.808,5,9,R,M.Mussina(68)
30,31,31,May 6,,NYY,"L,1-6",39,34,1,7,2,0,0,1,5,0,7,0,0,0,0,0,0,0,0.279,0.345,0.455,0.8,11,9,R,S.Chacon(61)
31,32,32,May 7,,NYY,"L,5-8",39,36,5,9,2,0,0,5,3,0,4,0,0,0,2,2,0,0,0.278,0.344,0.45,0.794,7,10,R,C.Wang(48)
32,33,33,May 8,,MIN,"W,6-4",35,32,6,13,4,0,0,5,3,1,3,0,0,0,0,1,0,0,0.282,0.347,0.452,0.8,5,10,R,B.Radke(19)
33,34,34,May 9,,MIN,"L,5-15",41,41,5,15,4,0,2,5,0,0,4,0,0,0,2,3,0,0,0.285,0.348,0.458,0.806,9,13,R,C.Silva(33)
