,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 2,@,MIL,"L,1-7",8.0,10,7,7,0,5,8,1,0,7.88,39,141,87,0.0,0.0,1,0,33,2,0,0,0,1,0,0,3,Gerry Davis,"D.Lowe (99-21-L), M.Hendrickson (99), R.Seanez (99)"
1,1,2,2,Apr 3,@,MIL,"L,3-4",8.0,8,4,4,0,1,9,2,2,6.19,34,115,84,0.0,0.0,0,1,31,2,0,0,0,0,0,0,3,John Hirschbeck,"R.Wolf (99-46-L), C.Billingsley (99), J.Broxton (99)"
2,2,3,3,Apr 4,@,MIL,"W,5-4",9.0,12,4,4,0,4,7,1,0,5.4,42,170,107,3.0,2.0,0,0,38,4,1,1,0,0,0,0,5,Brian Gorman,"J.Schmidt (99-59-W), J.Beimel (99-H), J.Broxton (0-H), R.Seanez (1), T.Saito (99-Sv)"
3,3,4,4,Apr 6,@,SFG,"W,2-1",9.0,12,1,1,0,2,3,0,0,4.24,37,118,75,1.0,1.0,0,2,34,4,0,1,1,0,1,2,3,Mark Wegner,"B.Penny (99-53-W), J.Beimel (1-H), T.Saito (1-Sv)"
4,4,5,5,Apr 7,@,SFG,"W,4-1",9.0,5,1,1,0,2,1,0,0,3.56,33,119,82,0.0,0.0,0,0,31,1,0,0,0,0,0,1,3,Bruce Froemming,"D.Lowe (4-64-W), J.Broxton (2-H), T.Saito (0-Sv)"
5,5,6,6,Apr 8,@,SFG,"W,10-4",9.0,9,4,4,0,4,5,1,0,3.63,38,149,94,0.0,0.0,0,0,34,2,0,0,0,0,0,2,3,Brian Runge,"R.Wolf (4-62-W), C.Billingsley (4), J.Broxton (0)"
6,6,7,7,Apr 9,,COL,"L,3-6",9.0,11,6,5,1,1,10,1,0,3.84,40,162,103,3.0,1.0,1,0,35,2,1,0,1,3,1,0,4,Paul Emmel,"J.Schmidt (4-40-L), M.Hendrickson (6), R.Seanez (4), J.Beimel (2)"
7,7,8,8,Apr 10,,COL,"W,2-1",9.0,4,1,1,0,5,13,0,1,3.47,35,144,84,2.0,0.0,0,1,29,3,0,1,0,0,0,1,4,Dale Scott,"B.Tomko (99-76), C.Billingsley (1-BSv), J.Beimel (0-W), T.Saito (2-Sv)"
8,8,9,9,Apr 11,,COL,"W,3-0",9.0,2,0,0,0,5,6,0,1,3.08,35,150,88,1.0,0.0,2,0,29,0,0,0,0,0,0,0,3,Chris Guccione,"B.Penny (4-68-W), J.Broxton (2-H), T.Saito (0-Sv)"
9,9,10,10,Apr 13,,SDP,"W,9-1",9.0,7,1,1,0,3,8,0,0,2.86,36,127,82,0.0,0.0,0,0,33,0,0,0,0,0,1,2,2,Mark Carlson,"D.Lowe (5-68-W), R.Seanez (3)"
10,10,11,11,Apr 14,,SDP,"L,2-7",9.0,10,7,6,1,3,9,2,0,3.15,40,137,89,2.0,0.0,0,0,36,2,0,0,1,0,1,0,3,Larry Young,"J.Schmidt (4-20-L), M.Hendrickson (4), R.Seanez (0)"
11,11,12,12,Apr 15,,SDP,"W,9-3",9.0,6,3,3,0,2,10,1,0,3.14,35,127,79,0.0,0.0,1,0,33,3,0,0,0,0,0,0,4,Angel Hernandez,"R.Wolf (6-54-W), J.Beimel (4-H), J.Broxton (3-H), T.Saito (3)"
12,12,13,13,Apr 16,@,ARI,"W,5-1",9.0,6,1,1,0,3,2,0,0,2.97,34,123,80,0.0,0.0,1,0,31,4,0,0,0,0,0,1,3,Brian Gorman,"B.Penny (4-62-W), J.Beimel (0), C.Billingsley (5)"
13,13,14,14,Apr 17,@,ARI,"W,6-4",9.0,11,4,2,2,5,5,0,0,2.9,40,163,99,0.0,0.0,0,1,33,4,0,0,0,2,1,2,4,Tom Hallion,"B.Tomko (6-36), C.Billingsley (0-W), J.Broxton (1-H), T.Saito (1-Sv)"
14,14,15,15,Apr 18,@,COL,"L,2-7",8.0,13,7,6,1,5,5,0,1,3.14,40,160,101,2.0,0.0,0,1,34,4,0,0,0,0,1,2,3,Jim Wolf,"D.Lowe (4-29-L), C.Tsao (99), R.Seanez (3)"
