,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 6,,SFG,"W,5-4",9.0,11,4,4,0,2,6,1,0,4.0,40,130,94,2.0,0.0,0,0,37,3,0,0,1,0,0,0,4,Jim Joyce,"I.Kennedy (99-45-W), J.Paterson (99-H), D.Hernandez (99-H), J.Putz (99-Sv)"
1,2,2,Apr 7,,SFG,"W,5-4",9.0,6,4,4,0,2,7,2,0,4.0,35,120,75,0.0,0.0,0,0,33,1,0,0,0,0,0,0,4,Jim Reynolds,"D.Hudson (99-50-W), B.Shaw (99-H), D.Hernandez (0-H), J.Putz (0-Sv)"
2,3,3,Apr 8,,SFG,"W,7-6",9.0,6,6,5,1,4,7,1,1,4.33,40,143,88,0.0,0.0,0,0,35,2,0,0,0,0,4,2,4,Mike DiMuro,"J.Collmenter (99-30), W.Miley (99-W), C.Breslow (99-H), B.Shaw (0-Sv)"
3,4,4,Apr 10,@,SDP,"W,4-2",11.0,6,2,2,0,8,11,0,0,3.55,44,179,95,1.0,0.0,1,1,36,1,1,0,0,0,0,1,6,Jeff Kellogg,"T.Cahill (99-63), B.Ziegler (99-BSv), B.Shaw (1), D.Hernandez (2), C.Breslow (1-W), J.Putz (2-Sv)"
4,5,5,Apr 11,@,SDP,"L,1-2",8.0,5,2,2,0,3,4,1,1,3.33,31,122,67,0.0,0.0,0,1,27,0,0,0,0,0,0,0,2,Eric Cooper,"J.Saunders (99-71), D.Hernandez (0-BL)"
5,6,6,Apr 12,@,SDP,"W,3-1",9.0,5,1,1,0,2,13,0,0,2.95,34,143,102,0.0,0.0,0,0,32,1,1,0,0,0,0,0,4,Marty Foster,"I.Kennedy (5-66-W), B.Ziegler (1-H), B.Shaw (1-H), J.Putz (1-Sv)"
6,7,7,Apr 13,@,COL,"L,6-7",8.0,14,7,6,1,5,7,2,0,3.43,42,178,107,1.0,0.0,0,0,37,3,0,0,0,0,0,1,4,Mark Wegner,"D.Hudson (5-17), B.Ziegler (0), C.Breslow (2), B.Shaw (0-L)"
7,8,8,Apr 14,@,COL,"L,7-8",8.2,10,8,8,0,4,5,3,1,4.02,40,152,101,0.0,0.0,1,0,35,1,2,0,0,0,0,1,4,Brian Knight,"J.Collmenter (5-31), W.Miley (5), D.Hernandez (2-H), J.Putz (1-BL)"
8,9,9,Apr 15,@,COL,"W,5-2",9.0,6,2,2,0,4,7,0,0,3.79,35,146,81,8.0,2.0,0,0,31,0,0,0,0,0,0,1,5,Mike Winters,"T.Cahill (4-70-W), J.Paterson (8), B.Ziegler (1), C.Breslow (1), B.Shaw (1-Sv)"
9,10,10,Apr 16,,PIT,"W,5-1",9.0,6,1,1,0,3,8,0,0,3.51,35,137,88,0.0,0.0,1,1,32,1,0,0,0,0,0,0,3,Dan Bellino,"J.Saunders (4-64-W), D.Hernandez (1), B.Ziegler (0)"
