,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 1,@,DET,"L,2-3",8.0,5,3,3,0,5,14,1,0,3.38,35,125,77,0,0,1,0,30,1,0,0,0,0,0,0,3,Greg Gibson,"S.Bieber (99-59-L), B.Shaw (99), J.Karinchak (99)"
1,2,2,Apr 3,@,DET,"L,2-5",8.0,10,5,5,0,5,6,0,0,4.5,39,154,89,2,0,0,0,32,1,1,0,0,1,0,1,4,Lance Barksdale,"Z.Plesac (99-54-L), N.Wittgren (99), P.Maton (99), T.Stephan (99)"
2,3,3,Apr 4,@,DET,"W,9-3",9.0,2,3,3,0,3,9,2,0,3.96,30,119,75,0,0,0,0,27,0,0,0,0,0,0,1,3,Ryan Additon,"A.Civale (99-64-W), C.Quantrill (99), E.Clase (99)"
3,4,4,Apr 5,,KCR,"L,0-3",9.0,7,3,3,0,6,9,1,0,3.71,38,133,79,2,0,0,1,31,0,0,0,0,1,0,0,3,Chad Whitson,"L.Allen (99-50-L), T.McKenzie (99), J.Karinchak (3)"
4,5,5,Apr 7,,KCR,"W,4-2",9.0,4,2,2,0,4,14,1,0,3.35,35,139,90,2,1,0,0,31,0,0,0,0,0,0,0,4,Jim Reynolds,"S.Bieber (5-67), J.Karinchak (1-BSv), E.Clase (2-W), N.Wittgren (3-Sv)"
5,6,6,Apr 9,,DET,"W,4-1",9.0,4,1,1,0,1,10,1,0,2.94,31,132,94,0,0,0,0,30,0,0,0,0,0,0,1,3,Chad Fairchild,"Z.Plesac (5-77-W), B.Shaw (7), E.Clase (1-Sv)"
6,7,7,Apr 10,,DET,"W,11-3",9.0,5,3,3,0,0,7,2,0,2.95,32,128,80,0,0,0,0,32,0,0,0,0,0,2,2,3,Kerwin Danley,"A.Civale (5-75-W), O.Perez (99), T.Stephan (6)"
7,8,8,Apr 11,,DET,"W,5-2",9.0,4,2,2,0,5,11,1,1,2.83,35,154,90,0,0,1,0,29,0,0,0,0,0,0,2,5,Ryan Wills,"L.Allen (5-61-W), B.Shaw (1-H), N.Wittgren (3-H), J.Karinchak (3-H), E.Clase (1-Sv)"
8,9,9,Apr 12,@,CHW,"L,3-4",8.1,5,4,3,1,4,8,1,1,2.87,34,149,94,0,0,0,0,29,1,0,0,0,0,0,2,5,Gabe Morales,"T.McKenzie (6-50), P.Maton (8), C.Quantrill (7), B.Shaw (0), E.Clase (0-L)"
9,10,10,Apr 13,@,CHW,"W,2-0",10.0,3,0,0,0,1,12,0,1,2.55,34,129,94,0,0,0,0,32,0,0,0,0,0,0,0,2,Bill Miller,"S.Bieber (5-91-W), J.Karinchak (1-Sv)"
10,11,11,Apr 14,@,CHW,"L,0-8",8.0,12,8,8,0,3,6,1,2,3.08,41,148,97,3,2,0,0,36,3,0,0,0,0,0,0,6,Doug Eddings,"Z.Plesac (4-14-L), T.Stephan (3), P.Maton (1), C.Quantrill (1), O.Perez (3), B.Shaw (1)"
11,12,12,Apr 15,@,CHW,"W,4-2",9.0,8,2,1,1,2,8,0,1,2.91,38,148,95,0,0,0,0,35,1,1,0,0,0,1,0,4,Brian Knight,"A.Civale (4-60-W), N.Wittgren (3-H), J.Karinchak (1-H), E.Clase (2-Sv)"
12,13,13,Apr 16,@,CIN,"L,3-10",8.0,11,10,8,2,3,10,2,2,3.34,40,167,103,2,2,0,1,34,2,0,0,1,0,1,0,5,Chris Conroy,"L.Allen (4-36-L), P.Maton (1), C.Quantrill (1), T.Stephan (1), O.Perez (1)"
13,14,14,Apr 17,@,CIN,"L,2-3",9.1,10,3,1,2,6,12,1,0,3.15,43,155,89,0,0,0,0,37,2,0,1,0,0,1,0,6,Pat Hoberg,"T.McKenzie (4-56), B.Shaw (2-H), N.Wittgren (1-H), J.Karinchak (1-H), E.Clase (1-BSv), O.Perez (0-L)"
14,15,15,Apr 18,@,CIN,"W,6-3",9.0,7,3,3,0,2,16,1,0,3.14,37,123,85,0,0,0,0,35,2,0,0,0,0,1,1,2,Ben May,"S.Bieber (4-69-W), E.Clase (0-Sv)"
15,16,16,Apr 20,,CHW,"L,5-8",9.0,11,8,8,0,1,9,4,0,3.45,39,158,106,1,1,1,0,38,2,0,0,0,0,0,0,5,Rob Drake,"Z.Plesac (5-33-L), C.Quantrill (3), S.Hentges (99), P.Maton (3), T.Stephan (3)"
16,17,17,Apr 22,,NYY,"L,3-6",9.0,11,6,5,1,9,10,1,0,3.55,46,175,93,3,0,0,0,37,1,0,0,0,0,0,0,6,Will Little,"A.Civale (6-52), B.Shaw (4), N.Wittgren (4-L), J.Karinchak (4), C.Quantrill (1), O.Perez (4)"
17,18,18,Apr 23,,NYY,"L,3-5",9.0,6,5,5,0,4,7,4,0,3.63,36,146,92,1,0,0,0,32,0,0,0,0,0,0,0,5,Andy Fletcher,"L.Allen (6-31-L), P.Maton (2), T.Stephan (2), C.Quantrill (0), E.Clase (4)"
18,19,19,Apr 24,,NYY,"L,1-2",9.0,5,2,2,0,4,13,2,0,3.54,36,160,99,0,0,0,0,32,1,0,0,0,0,0,0,3,Greg Gibson,"S.Bieber (5-67-L), B.Shaw (1), J.Karinchak (1)"
19,20,20,Apr 25,,NYY,"W,7-3",9.0,6,3,3,0,5,9,2,1,3.52,39,167,92,1,0,0,0,33,1,0,0,0,0,1,0,5,Rob Drake,"T.McKenzie (7-43), S.Hentges (4-W), C.Quantrill (1-H), J.Karinchak (0), E.Clase (1)"
20,21,21,Apr 26,,MIN,"W,5-3",10.0,5,3,3,0,1,7,1,0,3.47,36,121,83,2,0,0,0,34,1,0,0,0,1,0,0,3,Tom Hallion,"Z.Plesac (5-60), B.Shaw (1), E.Clase (0-W)"
21,22,22,Apr 27,,MIN,"W,7-4",9.0,8,4,4,0,0,6,1,0,3.5,34,115,79,0,0,0,0,34,1,1,0,0,0,0,0,2,Phil Cuzzi,"A.Civale (4-51-W), J.Karinchak (1-Sv)"
22,23,23,Apr 28,,MIN,"L,2-10",9.0,13,10,9,1,2,7,6,0,3.74,42,171,100,2,2,1,0,40,2,0,0,0,0,1,1,6,Cory Blaser,"L.Allen (4-20-L), T.Stephan (4), S.Hentges (2), N.Wittgren (5), P.Maton (4), K.Nelson (99)"
23,24,24,Apr 30,@,CHW,"W,5-3",9.0,8,3,3,0,1,14,0,0,3.71,37,138,94,0,0,2,0,36,2,0,0,0,0,1,0,4,Bill Welke,"S.Bieber (5-56-W), B.Shaw (3-H), J.Karinchak (2-H), E.Clase (3-Sv)"
24,25,25,May 1,@,CHW,"L,3-7",8.0,4,7,7,0,8,13,1,1,3.86,36,161,94,1,0,0,1,27,1,0,0,0,0,0,0,6,Ben May,"T.McKenzie (5-36-L), P.Maton (2), C.Quantrill (5), N.Sandlin (99), N.Wittgren (2), K.Nelson (2)"
25,26,26,May 2,@,CHW,"W,5-0",9.0,4,0,0,0,4,11,0,1,3.71,36,153,96,1,0,0,0,31,0,0,0,0,0,0,0,4,Tripp Gibson,"Z.Plesac (5-65-W), B.Shaw (1-H), J.Karinchak (1), E.Clase (1)"
26,27,27,May 3,@,KCR,"W,8-6",9.0,10,6,6,0,5,6,2,1,3.79,43,159,96,3,1,0,0,36,1,1,0,0,1,1,1,4,Dan Bellino,"A.Civale (5-42), B.Shaw (0-W), J.Karinchak (0), E.Clase (0-Sv)"
27,28,28,May 4,@,KCR,"W,7-3",9.0,10,3,3,0,4,8,1,0,3.76,39,155,91,2,0,3,0,35,2,0,0,0,0,0,1,5,Edwin Moscoso,"P.Maton (2-48), S.Hentges (5), N.Sandlin (2), N.Wittgren (2-W), C.Quantrill (2)"
28,29,29,May 5,@,KCR,"W,5-4",9.0,9,4,3,1,1,15,1,1,3.74,37,149,97,0,0,0,1,35,3,0,0,0,0,1,1,4,Angel Hernandez,"S.Bieber (4-48), B.Shaw (1), N.Wittgren (0-W), J.Karinchak (1-Sv)"
29,30,30,May 6,@,KCR,"W,4-0",9.0,4,0,0,0,5,9,0,0,3.61,34,152,95,2,0,0,0,29,0,0,0,0,0,1,3,4,David Rackley,"T.McKenzie (4-64-W), N.Sandlin (1-H), J.Karinchak (0), E.Clase (2)"
30,31,31,May 7,,CIN,"L,0-3",9.0,6,3,2,1,0,10,0,0,3.56,34,145,100,1,0,0,0,34,1,0,0,0,0,0,1,3,Lance Barksdale,"Z.Plesac (4-83), E.Clase (0-L), P.Maton (2)"
31,32,32,May 8,,CIN,"W,9-2",9.0,7,2,2,0,3,5,1,0,3.51,36,138,85,0,0,0,0,32,1,0,0,0,1,0,1,3,Ted Barrett,"A.Civale (4-66-W), C.Quantrill (3), N.Wittgren (2)"
32,33,33,May 11,,CHC,"W,3-2",9.0,11,2,2,0,4,10,1,1,3.46,39,152,95,1,0,0,1,34,3,0,0,0,0,0,2,3,Stu Scheurwater,"S.Bieber (5-53-W), J.Karinchak (4-H), E.Clase (3-Sv)"
