,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 3,@,ATL,"L,0-2",8.0,7,2,2,0,1,6,2,1,2.25,32,112,71,3.0,0.0,1,0,30,0,0,0,0,0,0,1,3,John Hirschbeck,"P.Astacio (99-62-L), M.Myers (99), S.Belinda (99)"
1,2,2,Apr 4,@,ATL,"W,5-3",9.0,6,3,3,0,4,4,1,1,2.65,38,141,85,2.0,0.0,1,1,33,2,0,2,0,0,1,0,3,Charlie Williams,"R.Arrojo (99-46), J.Tavarez (99-W), J.Jimenez (99-Sv)"
2,3,3,Apr 5,@,ATL,"L,6-9",8.0,12,9,6,3,5,4,1,2,3.96,43,151,92,2.0,0.0,0,0,36,1,0,0,0,0,1,1,4,Mark Wegner,"B.Bohanon (99-35), M.Aybar (99-L), S.Belinda (1), D.Lee (99)"
3,4,4,Apr 7,@,FLA,"L,3-4",8.0,5,4,4,0,5,7,0,0,4.09,32,119,68,2.0,2.0,0,2,27,2,2,0,0,0,0,0,3,Brian Runge,"M.Yoshii (99-51-L), S.Belinda (1), J.Tavarez (2)"
4,5,5,Apr 8,@,FLA,"W,4-2",9.0,9,2,2,0,4,8,1,0,3.64,39,137,84,1.0,0.0,1,0,35,1,0,1,0,0,0,1,5,Richard Shulock,"S.Karl (99-52), J.Jimenez (3-W), J.Tavarez (0-H), M.Myers (4-H), D.Lee (2-Sv)"
5,6,6,Apr 9,@,FLA,"L,6-7",8.0,9,7,7,0,4,12,2,0,4.32,36,153,89,1.0,0.0,0,1,32,3,0,0,0,0,0,0,4,Ed Rapuano,"P.Astacio (5-25-L), G.White (3), S.Belinda (1), J.Jimenez (0)"
6,7,7,Apr 10,,CIN,"W,7-5",9.0,10,5,5,0,1,6,2,1,4.42,37,142,91,1.0,0.0,0,0,34,1,0,0,0,1,1,2,5,Paul Schrieber,"R.Arrojo (5-56-W), J.Tavarez (1-H), J.Jimenez (0), D.Lee (1), S.Belinda (0-Sv)"
7,8,8,Apr 11,,CIN,"L,3-10",9.0,14,10,10,0,1,7,3,0,5.16,42,145,93,3.0,3.0,0,0,39,3,0,1,1,1,0,0,4,Phil Cuzzi,"B.Bohanon (5-10-L), G.White (1), R.Croushore (99), M.Myers (2)"
8,9,9,Apr 12,,CIN,"W,7-5",9.0,9,5,5,0,6,3,0,0,5.14,41,147,87,5.0,1.0,0,0,35,1,1,1,0,0,0,1,6,Tim McClelland,"M.Yoshii (4-49), J.Jimenez (1-BW), S.Belinda (1-H), D.Lee (1-H), M.Myers (0), J.Tavarez (1-Sv)"
9,10,10,Apr 13,,STL,"W,12-6",9.0,11,6,6,0,3,8,3,1,5.23,41,137,78,3.0,1.0,0,0,37,2,0,0,0,0,1,1,5,Jeff Kellogg,"S.Karl (4-20), R.Croushore (1-W), G.White (1), D.Lee (0), M.Myers (0)"
