,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 6,,MON,"W,4-3",9.0,8,3,3,0,5,11,1,0,3.0,40,141,88,3.0,0.0,0,0,35,3,0,0,0,0,0,0,4,Bruce Froemming,"J.Beckett (99-71), C.Fox (99-BSv), M.Perisho (99-W), A.Benitez (99-Sv)"
1,2,2,Apr 7,,MON,"L,2-3",9.0,5,3,3,0,2,7,2,0,3.0,33,124,78,2.0,0.0,0,0,31,0,0,0,0,0,0,1,3,Marvin Hudson,"B.Penny (99-62-L), T.Phelps (99), N.Bump (99)"
2,3,3,Apr 8,,MON,"W,3-0",9.0,5,0,0,0,1,9,0,1,2.0,34,134,90,1.0,0.0,0,0,32,1,0,0,0,0,0,0,3,Hunter Wendelstedt,"D.Willis (99-76-W), C.Fox (1-H), A.Benitez (1-Sv)"
3,4,4,Apr 9,,PHI,"W,4-3",9.0,8,3,3,0,2,9,0,1,2.25,38,131,81,2.0,0.0,0,0,34,3,0,1,1,0,0,0,4,Mike Reilly,"C.Pavano (99-49), M.Perisho (2-W), C.Fox (0-H), A.Benitez (0-Sv)"
4,5,5,Apr 10,,PHI,"W,5-3",9.0,9,3,2,1,3,5,0,0,2.2,38,133,86,0.0,0.0,0,0,35,2,0,0,0,0,0,1,3,Chuck Meriwether,"D.Oliver (99-51-W), C.Fox (0-H), A.Benitez (0-Sv)"
5,6,6,Apr 11,,PHI,"W,3-1",9.0,3,1,0,1,3,12,0,2,1.83,35,146,93,2.0,0.0,0,0,30,0,0,0,0,0,1,1,4,CB Bucknor,"J.Beckett (4-81-W), N.Bump (3-H), T.Phelps (3-H), A.Benitez (0-Sv)"
6,7,7,Apr 13,@,MON,"W,5-0",9.0,4,0,0,0,1,10,0,0,1.57,30,119,81,0.0,0.0,0,1,29,0,0,0,0,0,0,1,2,Bill Welke,"B.Penny (5-87-W), T.Phelps (1)"
7,8,8,Apr 14,@,MON,"W,9-0",9.0,8,0,0,0,5,6,0,0,1.38,37,135,87,0.0,0.0,0,0,32,0,0,0,0,0,0,2,4,John Hirschbeck,"D.Willis (5-59-W), J.Wayne (99), N.Bump (2), M.Perisho (4)"
8,9,9,Apr 15,@,MON,"W,3-0",9.0,3,0,0,0,2,6,0,0,1.22,31,118,79,0.0,0.0,0,0,29,0,1,0,0,0,0,1,3,Wally Bell,"C.Pavano (5-73-W), C.Fox (4-H), A.Benitez (3-Sv)"
9,10,10,Apr 16,@,ATL,"L,4-5",8.0,8,5,5,0,0,6,2,0,1.62,29,99,67,0.0,0.0,0,2,29,3,0,0,0,0,0,0,2,Brian Gorman,"D.Oliver (5-42-L), N.Bump (1)"
10,11,11,Apr 17,@,ATL,"L,1-4",8.0,8,4,4,0,2,7,2,0,1.86,33,122,82,2.0,0.0,0,0,31,1,1,0,0,0,0,1,3,Bill Miller,"J.Beckett (5-46-L), M.Perisho (2), C.Fox (1)"
11,12,12,Apr 18,@,ATL,"L,2-3",9.2,6,3,3,0,7,15,1,0,1.94,42,165,101,3.0,0.0,2,0,35,2,0,0,0,0,0,0,4,Chris Guccione,"B.Penny (4-52), C.Fox (0), A.Benitez (2), M.Perisho (0-L)"
12,13,13,Apr 20,@,PHI,"W,3-1",9.0,4,1,0,1,1,5,0,1,1.79,36,132,83,1.0,0.0,0,0,34,0,0,0,0,0,3,1,3,Ed Rapuano,"D.Willis (5-67-W), C.Fox (1-H), A.Benitez (1-Sv)"
13,14,14,Apr 21,@,PHI,"W,8-7",12.0,13,7,7,0,5,8,2,0,2.11,51,190,121,4.0,0.0,0,0,46,5,0,1,0,0,0,3,7,Ted Barrett,"C.Pavano (5-30), M.Perisho (2), N.Bump (4), T.Phelps (7-H), C.Fox (0-BSv), A.Benitez (0), J.Wayne (6-W)"
14,15,15,Apr 22,@,PHI,"W,9-7",9.0,11,7,7,0,3,7,1,1,2.44,40,132,84,2.0,1.0,0,0,36,2,0,0,0,0,0,1,3,Alfonso Marquez,"D.Oliver (5-37-W), N.Bump (0-H), A.Benitez (0-Sv)"
15,16,16,Apr 23,,ATL,"L,1-6",9.0,9,6,6,0,4,6,1,0,2.66,40,144,86,3.0,0.0,0,0,34,1,0,0,1,1,0,0,4,Jim Reynolds,"J.Beckett (5-31-L), M.Perisho (1), J.Wayne (1), T.Phelps (1)"
16,17,17,Apr 24,,ATL,"W,7-4",9.0,14,4,4,0,2,8,1,0,2.73,41,154,110,2.0,0.0,0,0,39,2,0,0,0,0,0,2,5,Gary Cederstrom,"B.Penny (5-54-W), T.Phelps (0-H), N.Bump (1-H), C.Fox (2), A.Benitez (1-Sv)"
17,18,18,Apr 25,,ATL,"L,2-7",9.0,11,7,5,2,4,3,1,0,2.86,42,157,93,4.0,4.0,0,0,34,1,1,2,3,1,0,0,4,Andy Fletcher,"D.Willis (4-50), N.Bump (0-L), T.Phelps (0), J.Wayne (1)"
18,19,19,Apr 26,@,COL,"W,6-3",9.0,7,3,3,0,2,2,1,1,2.87,36,127,82,2.0,0.0,0,0,33,3,0,0,0,0,0,1,3,Jerry Meals,"C.Pavano (4-63-W), C.Fox (1), A.Benitez (1-Sv)"
19,20,20,Apr 27,@,COL,"L,10-13",8.0,12,13,13,0,5,10,5,1,3.39,41,163,96,7.0,4.0,0,0,34,3,0,1,1,0,0,1,5,Paul Schrieber,"D.Oliver (4-15), M.Perisho (3), J.Wayne (1), C.Fox (0-L), N.Bump (1-BSv)"
20,21,21,Apr 28,@,COL,"W,9-4",9.0,9,4,4,0,2,9,0,0,3.42,38,155,103,0.0,0.0,0,0,36,4,0,0,0,0,1,0,3,Ed Montague,"J.Beckett (4-50-W), T.Phelps (2-H), A.Benitez (1)"
21,22,22,Apr 29,@,SFG,"W,4-3",9.0,9,3,3,0,3,3,1,0,3.4,37,131,83,6.0,1.0,1,0,32,2,0,1,2,0,0,2,4,Eric Cooper,"B.Penny (4-49), M.Perisho (1), J.Wayne (1-BW), F.Gracesqui (99-Sv)"
22,23,23,Apr 30,@,SFG,"L,9-12",8.0,16,12,11,1,7,1,2,3,3.75,48,167,94,5.0,3.0,0,0,36,1,0,1,1,1,0,1,5,Joe Brinkman,"D.Willis (4-14), T.Phelps (1), N.Bump (2-L), M.Perisho (0), F.Gracesqui (0)"
23,24,24,May 1,@,SFG,"L,3-6",8.0,7,6,6,0,9,4,0,0,3.86,41,120,61,3.0,2.0,1,0,32,2,1,4,0,0,1,0,3,Tim Tschida,"C.Pavano (4-43-L), F.Gracesqui (0), A.Benitez (2)"
24,25,25,May 2,@,SFG,"L,8-9",10.1,16,9,8,1,5,3,1,0,4.0,53,169,110,2.0,1.0,1,0,44,3,1,0,2,2,1,0,5,Jeff Nelson,"D.Oliver (4-28), J.Wayne (2), N.Bump (1-BSv), A.Benitez (0), M.Perisho (1-L)"
25,26,26,May 4,,LAD,"L,3-4",11.0,7,4,1,3,4,7,0,1,3.85,47,172,110,2.0,0.0,0,1,39,0,1,1,3,0,3,0,4,Terry Craft,"J.Beckett (5-75), A.Benitez (1-BSv), J.Wayne (1-L), F.Gracesqui (2)"
26,27,27,May 5,,LAD,"W,2-0",9.0,5,0,0,0,1,6,0,0,3.71,30,135,89,3.0,0.0,0,0,29,2,0,0,0,0,0,3,3,Mike DiMuro,"B.Penny (5-75-W), M.Perisho (2-H), A.Benitez (0-Sv)"
27,28,28,May 6,,LAD,"L,4-9",9.0,14,9,9,0,2,6,4,0,3.9,43,166,103,0.0,0.0,0,0,40,1,0,0,1,0,0,0,4,Paul Emmel,"D.Willis (5-32-L), N.Bump (3), T.Phelps (5), F.Gracesqui (1)"
28,29,29,May 7,,SDP,"W,3-1",9.0,4,1,1,0,0,4,0,1,3.8,31,112,76,0.0,0.0,2,0,30,0,0,0,0,0,0,0,2,Doug Eddings,"C.Pavano (5-73-W), A.Benitez (1-Sv)"
29,30,30,May 8,,SDP,"L,3-6",10.0,17,6,6,0,5,4,0,2,3.86,50,182,114,3.0,0.0,1,0,43,3,0,0,0,0,0,3,5,Dan Iassogna,"D.Oliver (5-35), J.Wayne (3), M.Perisho (2), N.Bump (1), F.Gracesqui (1-L)"
30,31,31,May 9,,SDP,"W,7-4",9.0,9,4,4,0,3,5,1,0,3.86,37,160,107,1.0,0.0,1,1,33,3,0,0,0,1,0,1,3,Charlie Reliford,"J.Beckett (4-59-W), J.Wayne (0), A.Benitez (1-Sv)"
31,32,32,May 11,@,HOU,"L,1-6",8.0,9,6,6,0,4,6,1,0,3.94,37,148,93,6.0,3.0,0,0,33,2,0,1,0,0,0,0,5,Dana DeMuth,"B.Penny (5-60-L), M.Perisho (2), J.Wayne (1), F.Gracesqui (2), N.Bump (2)"
32,33,33,May 12,@,HOU,"W,5-2",9.0,6,2,2,0,2,1,1,0,3.88,34,91,58,,,0,0,32,1,0,1,0,0,0,1,1,Jim Joyce,D.Willis (5-66-W)
33,34,34,May 13,@,HOU,"W,3-2",9.0,8,2,2,0,4,9,0,0,3.83,38,130,83,5.0,1.0,0,0,33,2,0,2,1,0,1,2,4,Kerwin Danley,"C.Pavano (5-60), T.Borland (99), M.Perisho (1-W), A.Benitez (3-Sv)"
34,35,35,May 14,@,STL,"L,3-6",8.0,9,6,6,0,2,8,1,0,3.9,33,111,73,0.0,0.0,0,0,30,2,0,0,0,1,0,2,3,Jack Samuels,"J.Beckett (4-33-L), T.Phelps (7), T.Borland (0)"
35,36,36,May 15,@,STL,"L,0-4",8.0,6,4,4,0,4,4,0,0,3.92,34,128,72,2.0,0.0,2,0,27,0,0,1,2,1,0,1,3,Jerry Crawford,"D.Oliver (6-42-L), N.Bump (3), M.Perisho (1)"
36,37,37,May 16,@,STL,"W,3-2",9.0,6,2,2,0,4,9,1,1,3.86,36,155,92,1.0,0.0,3,1,31,2,0,0,0,0,0,1,4,Darren Spagnardi,"B.Penny (4-62-W), T.Borland (1-H), M.Perisho (0), A.Benitez (2-Sv)"
37,38,38,May 18,,HOU,"L,2-9",9.0,15,9,9,0,5,13,2,1,4.0,47,173,112,0.0,0.0,0,1,40,2,0,0,0,1,1,1,4,John Hirschbeck,"D.Willis (5-20-L), J.Wayne (6), T.Phelps (3), T.Borland (1)"
38,39,39,May 19,,HOU,"L,2-10",9.0,15,10,6,4,2,5,1,0,4.05,43,140,93,0.0,0.0,0,0,38,4,0,1,1,2,1,2,2,Wally Bell,"C.Pavano (5-43-L), N.Bump (3)"
39,40,40,May 20,,HOU,"W,6-2",9.0,5,2,2,0,3,10,1,0,4.0,35,140,93,3.0,0.0,0,0,31,1,0,0,1,0,0,0,2,Laz Diaz,"J.Beckett (5-65-W), A.Benitez (3-Sv)"
40,41,41,May 21,,ARI,"W,6-5",10.0,8,5,5,0,5,8,2,0,4.01,43,182,112,4.0,1.0,0,1,37,3,1,0,1,0,1,0,6,Jerry Meals,"D.Oliver (5-38), T.Phelps (2), T.Borland (2-H), M.Perisho (4-H), N.Bump (1-BSv), A.Benitez (0-W)"
41,42,42,May 22,,ARI,"W,11-2",9.0,6,2,2,0,2,8,1,0,3.97,34,137,88,0.0,0.0,0,0,32,0,1,0,0,0,0,1,3,Ed Montague,"B.Penny (5-62-W), T.Phelps (0), T.Borland (0)"
42,43,43,May 23,,ARI,"L,3-4",9.0,11,4,4,0,5,8,0,0,3.97,42,166,103,0.0,0.0,1,0,37,4,0,1,0,0,0,1,3,Paul Schrieber,"D.Willis (4-36-L), J.Wayne (4), M.Perisho (1)"
43,44,44,May 24,,ARI,"W,13-5",9.0,11,5,5,0,1,6,3,0,3.99,38,137,91,0.0,0.0,0,1,37,1,1,0,0,0,0,0,3,Jerry Layne,"C.Pavano (4-56-W), M.Perisho (0), T.Borland (1)"
44,45,45,May 25,@,CIN,"L,2-5",8.0,7,5,5,0,2,9,2,1,4.02,33,123,79,2.0,0.0,0,0,29,0,0,1,1,0,0,0,4,Mike DiMuro,"J.Beckett (4-54-L), N.Bump (3), M.Perisho (0), J.Wayne (1)"
45,46,46,May 26,@,CIN,"W,3-0",9.0,1,0,0,0,4,3,0,0,3.93,30,123,72,1.0,0.0,0,1,26,1,0,0,0,0,0,1,3,Joe West,"T.Phelps (3-75-W), M.Perisho (0-H), A.Benitez (4-Sv)"
46,47,47,May 27,@,CIN,"W,5-2",9.0,6,2,2,0,1,5,0,0,3.89,33,110,70,0.0,0.0,0,0,31,2,0,0,1,0,0,1,2,Paul Emmel,"B.Penny (4-66-W), A.Benitez (0-Sv)"
47,48,48,May 28,,NYM,"W,2-1",9.0,5,1,1,0,2,7,1,0,3.83,33,128,83,1.0,0.0,0,1,31,1,0,1,0,0,0,0,4,Bruce Dreckman,"D.Willis (4-68-W), T.Borland (3-H), M.Perisho (1-H), A.Benitez (0-Sv)"
48,49,49,May 29,,NYM,"W,3-2",10.0,7,2,2,0,3,9,1,0,3.79,39,150,92,1.0,0.0,1,0,36,0,1,1,0,0,0,1,4,Mike Fichter,"C.Pavano (4-59), T.Borland (0), M.Perisho (0), J.Wayne (3-W)"
49,50,50,May 30,,NYM,"W,8-6",9.0,11,6,6,0,5,8,4,0,3.83,42,177,111,2.0,0.0,0,0,36,2,0,0,1,0,0,1,6,Larry Poncino,"J.Beckett (4-42), D.Oliver (8), N.Bump (4-H), T.Borland (0-BW), J.Wayne (0-H), A.Benitez (1-Sv)"
50,51,51,May 31,,CIN,"L,7-9",9.0,10,9,9,0,4,4,5,0,3.93,41,154,94,1.0,0.0,0,0,37,0,1,0,0,0,0,0,5,Joe Brinkman,"T.Phelps (4-31), T.Borland (0), J.Wayne (0-BL), N.Bump (0), M.Perisho (1)"
51,52,52,Jun 1,,CIN,"L,6-7",10.0,12,7,7,0,4,9,3,1,3.98,45,165,111,1.0,0.0,4,0,40,3,0,1,0,0,0,2,4,Tim Tschida,"B.Penny (4-40), M.Perisho (0-BSv), B.Howard (99), N.Bump (0-L)"
52,53,53,Jun 2,,CIN,"L,1-3",9.0,5,3,3,0,1,6,1,0,3.96,32,119,83,1.0,1.0,0,0,31,1,0,0,0,0,0,0,3,Jeff Nelson,"D.Willis (4-76), B.Howard (0-L), M.Perisho (0)"
53,54,54,Jun 3,@,NYM,"L,1-4",8.0,8,4,4,0,2,5,0,0,3.97,32,137,81,3.0,1.0,2,1,30,1,1,0,0,0,0,0,4,Alfonso Marquez,"A.Burnett (99-48-L), J.Wayne (2), N.Bump (1), D.Oliver (3)"
54,55,55,Jun 4,@,NYM,"W,5-1",9.0,6,1,1,0,0,3,1,0,3.92,32,106,72,1.0,0.0,1,0,32,0,0,0,0,0,0,1,2,Rick Reed,"C.Pavano (5-66-W), A.Benitez (4-Sv)"
55,56,56,Jun 5,@,NYM,"W,7-6",9.0,12,6,6,0,4,12,2,0,3.96,43,171,107,3.0,0.0,1,0,37,2,0,0,1,1,0,0,5,Ed Rapuano,"T.Phelps (4-51), B.Howard (2), T.Borland (4), M.Perisho (2-W), A.Benitez (0-Sv)"
56,57,57,Jun 6,@,NYM,"L,2-5",8.0,10,5,3,2,1,5,1,0,3.95,35,135,88,0.0,0.0,2,0,34,2,0,0,0,0,1,0,3,Ted Barrett,"B.Penny (4-38-L), D.Oliver (2), N.Bump (2)"
57,58,58,Jun 8,@,CLE,"W,7-5",9.0,11,5,3,2,4,10,0,2,3.93,42,187,105,4.0,2.0,3,1,35,2,0,1,1,0,0,0,5,Larry Young,"D.Willis (5-47), T.Borland (2), M.Perisho (2), N.Bump (1-W), A.Benitez (2-Sv)"
58,59,59,Jun 9,@,CLE,"L,1-8",8.0,13,8,8,0,3,8,1,0,4.01,38,135,89,2.0,1.0,0,1,33,4,0,0,1,1,0,1,3,Angel Hernandez,"A.Burnett (5-8-L), B.Howard (3), D.Oliver (2)"
59,60,60,Jun 10,@,CLE,"W,4-1",9.0,4,1,1,0,1,7,1,0,3.96,32,111,72,1.0,0.0,0,0,31,1,0,0,0,0,0,0,2,Mark Wegner,"C.Pavano (5-78-W), A.Benitez (1-Sv)"
60,61,61,Jun 11,@,DET,"L,4-8",8.0,11,8,8,0,4,5,3,0,4.03,37,133,81,0.0,0.0,0,0,32,1,2,0,0,1,0,2,3,Tim Welke,"T.Phelps (5-25-L), M.Neu (99), D.Oliver (1)"
61,62,62,Jun 12,@,DET,"L,2-6",8.0,9,6,4,2,3,10,0,0,4.04,36,123,83,0.0,0.0,2,0,32,1,1,2,0,1,2,1,2,Jim Reynolds,"B.Penny (5-61-L), T.Borland (3)"
62,63,63,Jun 13,@,DET,"W,9-2",9.0,7,2,2,0,0,8,0,0,4.01,31,108,78,,,0,1,31,0,0,0,0,0,0,1,1,Andy Fletcher,D.Willis (4-73-W)
63,64,64,Jun 15,,CHW,"L,5-7",10.0,8,7,7,0,10,6,2,0,4.05,46,182,104,7.0,4.0,1,0,35,2,0,1,1,0,0,1,7,Tony Randazzo,"A.Burnett (5-66), B.Howard (5-H), M.Perisho (6), A.Benitez (4-BSv), T.Borland (2-L), T.Phelps (3), N.Bump (6)"
64,65,65,Jun 16,,CHW,"W,4-0",9.0,3,0,0,0,1,8,0,0,3.98,32,125,85,,,0,0,31,3,0,1,0,0,1,0,1,Fieldin Culbreth,C.Pavano (5-88-W)
65,66,66,Jun 17,,CHW,"W,2-1",11.0,7,1,1,0,3,14,0,1,3.92,42,168,102,0.0,0.0,1,1,38,2,0,0,0,0,0,1,5,Jim Wolf,"J.Beckett (17-65), B.Howard (1), D.Oliver (5), J.Manzanillo (99), A.Benitez (1-W)"
66,67,67,Jun 18,,TEX,"L,1-8",9.0,14,8,8,0,1,12,1,0,3.99,42,155,107,3.0,2.0,0,0,41,3,0,0,0,0,0,0,5,Brian Knight,"B.Penny (5-50-L), M.Perisho (2), B.Howard (0), T.Borland (2), B.Koch (8)"
67,68,68,Jun 19,,TEX,"L,6-7",9.0,12,7,4,3,4,6,2,1,3.99,44,178,116,1.0,1.0,1,0,39,2,0,1,0,0,1,0,5,Brian O'Nora,"D.Willis (5-26-L), J.Manzanillo (1), D.Oliver (1), T.Borland (0), A.Benitez (1)"
68,69,69,Jun 20,,TEX,"L,2-4",11.0,6,4,4,0,1,8,2,0,3.97,41,146,97,0.0,0.0,0,0,40,1,0,0,0,0,1,0,3,Phil Cuzzi,"A.Burnett (4-68), J.Manzanillo (0), B.Koch (1-L)"
69,70,70,Jun 22,,ATL,"W,4-3",9.0,11,3,3,0,1,7,0,0,3.96,38,134,82,0.0,0.0,0,0,37,2,0,1,0,0,0,0,3,Brian Gorman,"C.Pavano (5-51-W), J.Manzanillo (1-H), A.Benitez (2-Sv)"
70,71,71,Jun 23,,ATL,"W,6-0",9.0,4,0,0,0,4,11,0,0,3.9,36,146,98,0.0,0.0,0,1,32,1,0,0,0,0,2,0,4,Dale Scott,"B.Penny (4-70-W), B.Koch (2), M.Perisho (4), B.Howard (4)"
71,72,72,Jun 24,,ATL,"L,4-9",9.0,13,9,9,0,9,7,1,0,3.97,47,192,114,0.0,0.0,0,0,38,4,2,1,0,0,1,1,4,Ron Kulpa,"D.Willis (4-23-L), T.Borland (4), B.Howard (0), B.Koch (0)"
72,73,73,Jun 25,@,TBD,"L,0-2",8.0,3,2,2,0,1,5,0,1,3.95,29,89,61,,,2,0,27,0,0,0,0,0,0,0,1,Terry Craft,A.Burnett (4-72-L)
73,74,74,Jun 26,@,TBD,"L,4-6",8.0,7,6,6,0,6,4,1,0,3.99,34,133,76,3.0,1.0,2,1,28,1,0,0,0,0,0,1,4,Mike DiMuro,"M.Tejera (99-35), J.Manzanillo (3-L), M.Perisho (2), B.Howard (1)"
74,75,75,Jun 27,@,TBD,"W,11-4",9.0,10,4,4,0,4,11,0,0,3.99,41,147,93,0.0,0.0,0,0,36,3,0,0,0,1,0,0,3,Joe West,"C.Pavano (4-69-W), D.Oliver (7), B.Koch (2)"
75,76,76,Jun 28,@,ATL,"L,1-6",8.0,11,6,6,0,6,5,1,1,4.02,41,145,85,0.0,0.0,0,0,31,2,1,0,1,2,0,0,3,Paul Nauert,"B.Penny (4-28-L), D.Oliver (0), B.Koch (0)"
76,77,77,Jun 29,@,ATL,"W,5-4",9.0,11,4,4,0,4,3,1,0,4.02,41,139,84,3.0,0.0,1,0,36,2,0,0,1,0,0,1,4,Randy Marsh,"D.Willis (4-29), J.Manzanillo (2-W), B.Howard (2-H), A.Benitez (6-Sv)"
77,78,78,Jun 30,@,ATL,"L,6-9",8.0,17,9,9,0,6,6,2,0,4.09,47,167,100,2.0,1.0,1,0,39,3,1,1,1,1,0,0,5,Larry Vanover,"A.Burnett (4-29), D.Oliver (1-L), B.Howard (0), M.Perisho (3), B.Koch (1)"
78,79,79,Jul 1,@,ATL,"L,1-9",8.0,9,9,9,0,6,6,1,1,4.16,39,131,72,3.0,3.0,0,0,32,2,1,0,0,0,0,1,4,Sam Holbrook,"M.Tejera (4-30-L), A.Small (99), B.Howard (0), M.Perisho (0)"
79,80,80,Jul 2,,TBD,"L,2-4",9.0,14,4,4,0,1,6,1,1,4.15,41,135,90,0.0,0.0,3,0,39,2,0,1,0,0,0,1,3,Ted Barrett,"C.Pavano (4-40-L), J.Manzanillo (2), M.Perisho (0)"
80,81,81,Jul 3,,TBD,"L,1-6",9.0,9,6,6,0,6,3,0,0,4.18,40,148,86,3.0,1.0,2,0,33,5,0,2,0,1,0,1,4,Rick Reed,"B.Penny (4-36-L), M.Perisho (0), A.Small (1), B.Koch (2)"
81,82,82,Jul 4,,TBD,"W,4-3",9.0,7,3,3,0,1,7,1,0,4.16,34,122,80,0.0,0.0,1,0,33,2,0,0,0,0,0,1,2,Alfonso Marquez,"A.Burnett (3-61-W), A.Benitez (4-Sv)"
82,83,83,Jul 5,,PIT,"L,1-3",9.0,7,3,2,1,3,10,1,0,4.14,36,141,90,0.0,0.0,1,1,33,1,0,0,0,0,0,0,4,Eric Cooper,"J.Beckett (17-47-L), B.Howard (3), N.Bump (19), B.Koch (1)"
83,84,84,Jul 6,,PIT,"W,6-3",9.0,9,3,3,0,3,5,1,0,4.12,39,149,98,4.0,1.0,2,0,35,1,0,2,0,1,0,0,5,Chuck Meriwether,"D.Willis (6-58), J.Manzanillo (3-BSv), M.Perisho (2), N.Bump (0-W), A.Benitez (1-Sv)"
84,85,85,Jul 7,,PIT,"L,3-4",9.0,8,4,1,3,3,8,0,2,4.09,37,143,88,0.0,0.0,0,1,32,3,0,0,0,0,1,2,3,CB Bucknor,"C.Pavano (4-52-L), J.Manzanillo (0), B.Koch (1)"
85,86,86,Jul 9,,NYM,"L,3-6",9.0,9,6,6,0,5,9,2,0,4.11,40,152,92,5.0,2.0,1,0,35,2,0,3,0,0,1,2,4,Marvin Hudson,"A.Burnett (4-68), J.Manzanillo (1-BL), N.Bump (2), M.Perisho (2)"
86,87,87,Jul 10,,NYM,"W,5-2",9.0,9,2,2,0,4,10,0,0,4.08,39,160,105,3.0,1.0,3,1,34,2,0,0,1,0,0,0,4,Dana DeMuth,"B.Penny (6-53-W), M.Perisho (0), B.Howard (4-H), A.Benitez (3-Sv)"
87,88,88,Jul 11,,NYM,"W,5-2",9.0,6,2,2,0,1,12,0,0,4.06,34,141,95,1.0,0.0,1,0,33,3,0,0,0,0,0,0,3,Jim Joyce,"D.Willis (4-59-W), B.Koch (3-H), A.Benitez (0-Sv)"
88,89,89,Jul 16,@,PIT,"L,2-6",8.0,11,6,6,0,0,9,2,0,4.09,35,139,89,0.0,0.0,1,0,35,1,0,0,0,0,0,0,3,Jim Wolf,"A.Burnett (6-34-L), J.Manzanillo (6), B.Howard (5)"
89,90,90,Jul 17,@,PIT,"L,2-4",8.0,10,4,4,0,4,4,0,2,4.09,39,146,91,1.0,1.0,0,0,31,2,0,1,1,1,0,0,2,Tony Randazzo,"C.Pavano (9-57), A.Benitez (5-BL)"
90,91,91,Jul 18,@,PIT,"L,2-4",8.0,11,4,4,0,1,2,1,0,4.1,32,94,66,2.0,0.0,2,0,30,3,1,0,0,1,0,3,5,Fieldin Culbreth,"B.Penny (7-52), B.Howard (1), B.Koch (6-L), M.Perisho (7), J.Manzanillo (1)"
91,92,92,Jul 19,@,NYM,"W,6-5",9.0,9,5,4,1,2,8,1,0,4.09,35,140,96,0.0,0.0,2,1,32,2,0,0,0,0,0,3,3,Doug Eddings,"D.Willis (7-47), J.Manzanillo (0-W), A.Benitez (1-Sv)"
92,93,93,Jul 20,@,NYM,"W,9-7",9.0,10,7,7,0,2,10,2,2,4.13,40,147,88,2.0,2.0,5,0,36,2,0,1,0,0,1,2,5,Dan Iassogna,"N.Bump (10-24), B.Howard (1-W), J.Manzanillo (0-H), B.Koch (1-H), A.Benitez (0-Sv)"
93,94,94,Jul 21,@,PHI,"L,1-2",8.0,8,2,2,0,1,6,1,0,4.11,30,104,69,1.0,0.0,1,1,29,1,0,0,0,0,0,2,2,Sam Holbrook,"A.Burnett (4-59-L), M.Perisho (2)"
94,95,95,Jul 22,@,PHI,"W,10-8",9.0,13,8,8,0,7,5,2,2,4.15,48,165,102,5.0,0.0,0,0,37,2,0,1,1,1,0,0,6,Paul Nauert,"C.Pavano (4-25-W), M.Perisho (0), B.Howard (1), N.Bump (1-H), B.Koch (1-H), A.Benitez (1-Sv)"
95,96,96,Jul 23,@,MON,"L,1-2",8.0,5,2,2,0,4,2,0,0,4.13,33,113,66,0.0,0.0,1,0,28,2,1,1,0,1,0,0,2,Laz Diaz,"B.Penny (4-51-L), M.Perisho (0)"
96,97,97,Jul 24,@,MON,"L,2-6",8.0,6,6,3,3,0,5,0,1,4.12,33,134,93,6.0,3.0,0,0,30,1,1,0,1,1,1,0,5,Bill Welke,"D.Willis (4-61-L), J.Manzanillo (3), M.Perisho (0), N.Bump (1), B.Howard (1)"
97,98,98,Jul 25,@,MON,"L,4-6",8.0,9,6,4,2,3,5,1,0,4.13,37,142,86,0.0,0.0,0,0,33,2,0,0,0,1,2,1,3,John Hirschbeck,"J.Wayne (51-31-L), N.Bump (0), B.Koch (2)"
98,99,99,Jul 26,,PHI,"W,11-3",9.0,12,3,3,0,5,11,1,0,4.12,44,198,120,1.0,0.0,2,0,39,2,0,0,0,0,0,0,4,Tim Welke,"A.Burnett (4-46-W), B.Howard (1), M.Perisho (1-H), N.Bump (0-Sv)"
99,100,100,Jul 27,,PHI,"W,5-2",9.0,7,2,2,0,3,6,0,1,4.1,36,130,85,0.0,0.0,1,0,32,2,0,0,0,0,0,2,2,Gary Cederstrom,"C.Pavano (4-61-W), J.Manzanillo (2-Sv)"
