,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 3,@,KCR,"W,3-1",38,35,3,9,0,0,3,3,3,0,8,0,0,0,0,0,1,1,0.257,0.316,0.514,0.83,8,9,R,S.Elarton(47)
1,1,2,2,Apr 5,@,KCR,"W,14-3",47,44,14,19,6,0,5,13,1,0,8,1,0,1,1,2,0,0,0.354,0.388,0.734,1.122,6,12,R,J.Mays(24)
2,2,3,3,Apr 6,@,TEX,"W,10-6",43,39,10,12,0,0,7,9,4,0,4,0,0,0,2,1,0,0,0.339,0.383,0.771,1.154,6,11,R,R.Dickey(16)
3,3,4,4,Apr 7,@,TEX,"W,5-2",38,35,5,10,2,0,1,4,2,0,3,1,0,0,1,1,0,2,0.327,0.373,0.693,1.066,6,9,L,J.Koronka(40)
4,4,5,5,Apr 8,@,TEX,"W,7-0",38,38,7,11,1,2,1,7,0,0,8,0,0,0,1,0,0,1,0.319,0.358,0.654,1.012,4,10,R,K.Millwood(43)
5,5,6,6,Apr 9,@,TEX,"L,3-5",36,33,3,8,3,0,0,3,3,0,7,0,0,0,0,2,0,0,0.308,0.35,0.607,0.957,6,9,R,V.Padilla(46)
6,6,7,7,Apr 10,,CHW,"L,3-5",35,33,3,7,2,0,1,3,2,0,6,0,0,0,0,1,2,0,0.296,0.338,0.576,0.914,5,9,R,F.Garcia(53)
7,7,8,8,Apr 12,,CHW,"L,3-4",35,34,3,8,1,1,2,3,1,0,3,0,0,0,0,1,0,0,0.289,0.329,0.567,0.896,5,9,R,J.Contreras(67)
8,8,9,9,Apr 13,,CHW,"L,9-13",46,45,9,21,5,0,2,9,1,0,7,0,0,0,0,1,0,0,0.313,0.348,0.586,0.935,10,9,R,J.Garland(14)
9,9,10,10,Apr 14,,CLE,"W,5-1",35,34,5,11,2,1,3,5,0,0,6,0,1,0,1,1,1,0,0.314,0.346,0.597,0.943,6,10,R,J.Westbrook(38)
10,10,11,11,Apr 15,,CLE,"L,2-7",36,31,2,7,1,0,0,2,3,0,10,1,0,1,0,2,0,0,0.307,0.343,0.571,0.914,7,9,R,R.Hernandez(60)
11,11,12,12,Apr 16,,CLE,"W,1-0",32,28,1,5,0,0,1,1,3,0,8,0,1,0,0,0,1,0,0.298,0.337,0.552,0.889,7,10,L,C.Lee(67)
12,12,13,13,Apr 17,,CLE,"L,2-10",34,31,2,4,0,0,2,2,3,0,7,0,0,0,0,0,0,0,0.287,0.328,0.537,0.865,5,10,R,P.Byrd(65)
13,13,14,14,Apr 18,@,OAK,"L,3-4",34,32,3,8,2,1,0,3,2,0,6,0,0,0,0,2,0,0,0.285,0.326,0.526,0.852,4,10,R,E.Loaiza(50)
14,14,15,15,Apr 19,@,OAK,"W,11-4",49,41,11,15,4,0,0,10,5,1,4,1,0,2,2,0,0,0,0.291,0.334,0.522,0.856,11,11,R,J.Blanton(13)
15,15,16,16,Apr 20,@,OAK,"W,4-3",39,31,4,7,2,0,0,4,6,0,3,2,0,0,1,3,0,1,0.287,0.338,0.509,0.847,8,11,L,B.Zito(66)
16,16,17,17,Apr 21,@,SEA,"W,2-1",32,30,2,5,1,0,1,2,0,0,3,1,0,1,0,1,0,0,0.281,0.33,0.498,0.829,3,10,L,J.Washburn(68)
17,17,18,18,Apr 22,@,SEA,"W,2-0",39,35,2,10,3,0,1,2,4,0,9,0,0,0,0,0,0,0,0.281,0.332,0.496,0.828,10,9,R,G.Meche(60)
18,18,19,19,Apr 23,@,SEA,"W,6-4",41,35,6,9,0,0,1,4,3,1,10,2,1,0,0,0,4,0,0.28,0.333,0.488,0.821,8,9,R,F.Hernandez(65)
19,19,20,20,Apr 24,@,LAA,"L,0-3",35,32,0,6,2,0,0,0,2,0,14,1,0,0,0,0,0,1,0.276,0.329,0.477,0.806,8,10,R,E.Santana(70)
20,20,21,21,Apr 25,@,LAA,"W,5-2",36,34,5,9,0,1,1,4,2,0,6,0,0,0,0,2,0,0,0.275,0.328,0.474,0.802,4,9,R,H.Carrasco(35)
21,21,22,22,Apr 26,@,LAA,"L,0-4",32,26,0,2,0,0,0,0,5,0,8,0,1,0,0,1,0,0,0.269,0.324,0.46,0.785,5,9,R,J.Lackey(83)
22,22,23,23,Apr 28,,MIN,"W,9-0",45,37,9,15,4,0,2,9,7,0,7,0,0,1,0,0,0,0,0.275,0.333,0.47,0.803,12,11,R,B.Radke(16)
23,23,24,24,Apr 29,,MIN,"W,18-1",51,48,18,23,6,0,4,15,2,0,10,1,0,0,1,0,1,0,0.287,0.343,0.492,0.835,9,11,R,C.Silva(7)
24,24,25,25,Apr 30,,MIN,"W,6-0",37,32,6,9,1,0,1,6,2,0,2,3,0,0,0,0,0,1,0.286,0.344,0.489,0.833,7,9,R,K.Lohse(28)
25,26,26,26,May 1,,KCR,"W,3-2",31,30,3,6,0,0,2,3,1,0,4,0,0,0,0,0,0,0,0.283,0.34,0.486,0.827,4,10,R,R.Hernandez(52)
26,27,27,27,May 2,,KCR,"W,4-1",32,29,4,8,1,0,2,4,2,1,3,0,1,0,0,0,0,1,0.283,0.34,0.487,0.827,4,9,L,M.Redman(45)
27,28,28,28,May 3,,LAA,"W,2-1",30,28,2,6,0,1,1,2,2,0,5,0,0,0,0,1,0,0,0.281,0.338,0.484,0.822,4,9,R,J.Weaver(62)
28,29,29,29,May 4,,LAA,"L,2-7",32,29,2,4,0,1,0,2,1,0,4,0,0,2,0,0,0,0,0.277,0.332,0.476,0.809,3,10,R,K.Gregg(70)
29,30,30,30,May 5,@,MIN,"W,9-6",45,39,9,13,2,1,3,9,4,0,8,0,1,1,0,0,2,0,0.279,0.335,0.483,0.818,9,9,R,K.Lohse(18)
30,31,31,31,May 6,@,MIN,"L,6-7",37,37,6,10,6,0,2,6,0,0,10,0,0,0,1,0,0,1,0.279,0.332,0.487,0.82,4,9,R,S.Baker(47)
31,32,32,32,May 7,@,MIN,"L,2-4",34,32,2,5,1,0,1,2,1,0,14,1,0,0,0,0,0,0,0.275,0.329,0.481,0.81,5,11,L,J.Santana(71)
32,33,33,33,May 9,@,BAL,"L,6-7",43,34,6,10,1,1,1,6,8,0,10,0,1,0,0,2,0,1,0.276,0.332,0.481,0.813,10,10,R,D.Cabrera(36)
33,34,34,34,May 10,@,BAL,"W,6-3",40,37,6,10,2,0,2,6,3,0,8,0,0,0,2,1,0,1,0.276,0.332,0.481,0.813,7,9,R,R.Lopez(38)
34,35,35,35,May 12,@,CLE,"W,5-4",38,38,5,12,3,0,2,5,0,0,8,0,0,0,0,1,0,0,0.277,0.332,0.483,0.815,6,9,L,C.Lee(42)
35,36,36,36,May 13,@,CLE,"W,3-0",37,34,3,7,2,0,1,3,1,1,11,0,2,0,3,1,0,0,0.275,0.329,0.48,0.809,7,11,L,C.Sabathia(69)
36,37,37,37,May 14,@,CLE,"W,3-2",35,32,3,9,3,0,0,2,3,0,5,0,0,0,1,3,1,1,0.275,0.329,0.477,0.806,5,9,R,J.Johnson(47)
37,38,38,38,May 16,,MIN,"W,7-4",38,32,7,10,3,0,0,7,5,0,7,0,1,0,0,0,0,1,0.276,0.331,0.475,0.807,7,9,R,K.Lohse(28)
38,39,39,39,May 17,,MIN,"W,2-0",27,26,2,4,1,0,1,2,1,0,12,0,0,0,0,0,0,2,0.274,0.329,0.472,0.801,1,9,L,J.Santana(77)
39,40,40,40,May 18,,MIN,"W,5-3",38,33,5,12,1,0,2,4,5,1,6,0,0,0,1,2,0,0,0.276,0.332,0.475,0.806,9,9,R,B.Radke(39)
40,41,41,41,May 19,,CIN,"L,4-9",39,38,4,12,1,0,1,4,1,0,5,0,0,0,0,1,0,0,0.277,0.332,0.473,0.805,8,9,L,B.Claussen(42)
41,42,42,42,May 20,,CIN,"W,7-6",44,39,7,12,3,0,2,6,4,0,7,1,0,0,1,2,1,1,0.278,0.333,0.475,0.808,8,10,L,E.Milton(26)
42,43,43,43,May 21,,CIN,"W,1-0",30,27,1,5,1,0,0,1,1,0,9,0,2,0,1,0,0,1,0.276,0.331,0.47,0.801,5,10,R,A.Harang(76)
43,44,44,44,May 22,@,KCR,"W,8-0",43,40,8,14,2,0,2,8,3,0,4,0,0,0,0,1,0,0,0.278,0.333,0.472,0.805,8,9,L,J.Affeldt(18)
44,45,45,45,May 23,@,KCR,"W,8-5",45,41,8,17,3,0,1,8,4,0,9,0,0,0,0,2,1,1,0.282,0.336,0.475,0.811,10,9,R,R.Hernandez(45)
45,46,46,46,May 24,@,KCR,"W,6-3",38,34,6,7,0,0,3,5,3,0,6,1,0,0,1,1,0,0,0.28,0.335,0.475,0.81,5,10,L,J.Gobble(55)
46,47,47,47,May 25,@,KCR,"W,13-8",50,42,13,15,1,1,4,13,7,1,6,1,0,0,1,1,0,0,0.282,0.339,0.481,0.82,10,11,R,D.Bautista(31)
47,48,48,48,May 26,,CLE,"W,8-3",37,32,8,9,2,1,0,7,4,0,4,0,0,1,0,0,0,0,0.282,0.339,0.479,0.818,5,9,R,J.Westbrook(24)
48,49,49,49,May 27,,CLE,"W,3-1",30,30,3,8,3,0,1,3,0,0,7,0,0,0,1,1,0,1,0.282,0.338,0.479,0.817,3,9,R,P.Byrd(67)
49,50,50,50,May 28,,CLE,"L,0-9",38,35,0,7,1,0,0,0,3,0,6,0,0,0,2,0,0,0,0.28,0.336,0.474,0.81,11,11,R,J.Johnson(62)
50,51,51,51,May 29,,NYY,"L,0-4",32,29,0,2,1,0,0,0,3,0,6,0,0,0,0,0,1,0,0.277,0.333,0.468,0.801,5,9,L,R.Johnson(69)
51,52,52,52,May 30,,NYY,"L,6-11",47,43,6,11,1,1,1,6,4,0,9,0,0,0,1,2,1,0,0.276,0.333,0.466,0.799,8,10,R,A.Small(41)
52,53,53,53,May 31,,NYY,"L,1-6",32,31,1,6,0,0,0,1,1,0,5,0,0,0,1,3,0,0,0.275,0.331,0.462,0.793,4,9,R,M.Mussina(77)
53,55,54,54,Jun 1,,NYY,"W,7-6",41,36,7,13,1,0,0,7,5,0,7,0,0,0,0,1,0,1,0.276,0.333,0.46,0.794,9,10,R,C.Wang(25)
54,56,55,55,Jun 2,,BOS,"L,2-3",36,36,2,8,2,0,0,2,0,0,12,0,0,0,1,0,2,0,0.275,0.331,0.457,0.788,7,10,R,C.Schilling(58)
55,57,56,56,Jun 3,,BOS,"W,6-2",32,29,6,9,1,0,3,6,2,0,7,0,1,0,0,2,0,0,0.276,0.332,0.46,0.791,2,9,R,T.Wakefield(57)
56,58,57,57,Jun 4,,BOS,"L,3-8",36,33,3,8,2,0,0,3,3,0,9,0,0,0,0,1,0,0,0.275,0.331,0.457,0.788,6,9,R,M.Clement(51)
57,59,58,58,Jun 6,@,CHW,"L,3-4",38,35,3,8,2,0,3,3,3,0,9,0,0,0,0,0,2,0,0.274,0.331,0.459,0.789,8,10,R,F.Garcia(47)
58,60,59,59,Jun 7,@,CHW,"L,3-4",40,34,3,9,0,0,1,2,4,1,6,1,0,1,1,2,1,0,0.274,0.331,0.457,0.788,10,10,R,J.Contreras(53)
59,61,60,60,Jun 8,@,CHW,"W,6-2",38,37,6,10,3,0,2,6,1,0,9,0,0,0,1,1,0,0,0.274,0.33,0.458,0.788,5,10,R,J.Garland(41)
60,62,61,61,Jun 9,@,TOR,"L,5-10",40,36,5,8,1,0,1,5,4,0,11,0,0,0,2,0,1,0,0.273,0.33,0.456,0.785,8,10,L,G.Chacin(45)
61,63,62,62,Jun 10,@,TOR,"W,5-3",33,31,5,3,1,0,2,5,2,0,12,0,0,0,1,0,0,0,0.271,0.327,0.454,0.781,1,10,L,T.Lilly(70)
62,64,63,63,Jun 11,@,TOR,"W,10-5",43,37,10,12,2,0,1,10,4,0,9,0,1,1,0,0,1,0,0.272,0.328,0.454,0.782,6,9,R,T.Taubenheim(43)
63,65,64,64,Jun 12,,TBD,"W,4-3",55,51,4,12,3,0,0,3,4,0,12,0,0,0,2,0,0,0,0.271,0.327,0.45,0.777,14,11,L,S.Kazmir(60)
64,66,65,65,Jun 13,,TBD,"W,7-1",40,35,7,11,1,0,0,7,3,0,6,1,0,1,1,0,0,0,0.272,0.328,0.449,0.777,9,9,R,S.McClung(25)
65,67,66,66,Jun 14,,TBD,"L,1-5",45,42,1,5,0,0,0,1,3,0,9,0,0,0,1,1,0,0,0.269,0.325,0.443,0.768,8,9,L,M.Hendrickson(84)
66,68,67,67,Jun 15,,TBD,"W,6-2",37,32,6,12,2,1,0,6,3,0,6,0,1,1,0,1,0,1,0.27,0.327,0.443,0.77,7,10,L,C.Fossum(25)
67,69,68,68,Jun 16,@,CHC,"W,5-3",40,35,5,10,4,1,1,5,4,0,11,0,0,1,0,0,0,1,0.27,0.327,0.445,0.772,8,14,L,G.Rusch(29)
68,70,69,69,Jun 17,@,CHC,"W,9-3",42,38,9,14,4,2,1,9,2,0,8,0,2,0,0,0,1,1,0.272,0.328,0.448,0.776,6,14,R,C.Marmol(44)
69,71,70,70,Jun 18,@,CHC,"W,12-3",43,39,12,13,1,0,8,12,2,0,6,1,1,0,1,0,0,0,0.273,0.329,0.457,0.786,4,12,R,M.Prior(18)
70,72,71,71,Jun 19,@,MIL,"W,3-1",36,32,3,6,1,0,0,2,3,0,13,1,0,0,0,1,0,0,0.272,0.328,0.453,0.782,6,14,L,D.Davis(79)
71,73,72,72,Jun 20,@,MIL,"W,10-1",39,36,10,9,3,0,4,10,1,0,10,1,0,1,1,0,0,0,0.272,0.328,0.457,0.784,2,11,R,R.Helling(21)
72,74,73,73,Jun 21,@,MIL,"L,3-4",37,36,3,9,5,0,0,3,1,0,13,0,0,0,0,0,0,0,0.271,0.327,0.456,0.782,7,13,L,C.Capuano(59)
73,75,74,74,Jun 23,,STL,"W,10-6",38,36,10,13,4,0,2,10,1,0,11,0,0,1,0,0,0,0,0.272,0.327,0.458,0.786,4,10,R,C.Carpenter(40)
74,76,75,75,Jun 24,,STL,"W,7-6",47,41,7,15,4,0,2,7,6,1,5,0,0,0,0,3,2,0,0.274,0.329,0.461,0.79,11,10,R,J.Suppan(36)
75,77,76,76,Jun 25,,STL,"W,4-1",30,27,4,9,3,0,0,4,2,0,1,0,1,0,0,2,0,0,0.275,0.33,0.46,0.79,2,10,R,S.Ponson(57)
76,78,77,77,Jun 26,,HOU,"W,10-4",39,36,10,14,6,0,1,10,2,0,5,0,0,1,0,1,0,1,0.276,0.331,0.463,0.794,5,10,L,W.Rodriguez(29)
77,79,78,78,Jun 27,,HOU,"W,4-0",31,29,4,5,1,0,1,2,2,0,4,0,0,0,1,1,1,0,0.275,0.33,0.461,0.791,3,10,R,R.Clemens(62)
78,80,79,79,Jun 28,,HOU,"W,5-0",38,34,5,10,1,0,0,3,3,1,6,0,1,0,1,1,3,0,0.275,0.33,0.459,0.79,9,10,L,A.Pettitte(39)
79,81,80,80,Jun 30,@,PIT,"W,7-6",41,34,7,7,0,1,2,6,6,1,6,1,0,0,0,0,0,0,0.274,0.33,0.459,0.789,7,13,R,K.Wells(19)
