,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 5,,STL,"L,3-7",37,32,3,7,4,0,0,3,4,0,3,0,1,0,0,1,1,0,0.219,0.306,0.344,0.649,7,15,R,C.Carpenter(67)
1,1,2,2,Apr 6,,STL,"W,4-1",38,35,4,15,2,1,0,4,2,0,4,0,1,0,0,2,0,1,0.328,0.384,0.448,0.831,10,15,R,J.Marquis(53)
2,2,3,3,Apr 8,,CIN,"W,3-2",35,29,3,8,0,1,0,3,5,1,9,0,0,1,0,1,1,0,0.313,0.38,0.417,0.796,8,13,R,R.Ortiz(56)
3,3,4,4,Apr 9,,CIN,"W,4-3",36,33,4,10,2,0,2,4,3,0,2,0,0,0,0,1,0,0,0.31,0.375,0.45,0.825,8,17,R,P.Wilson(44)
4,4,5,5,Apr 10,,CIN,"W,5-2",38,33,5,11,1,0,3,5,3,0,6,1,0,1,0,0,2,1,0.315,0.379,0.488,0.867,9,15,L,E.Milton(28)
5,5,6,6,Apr 11,@,NYM,"L,4-8",39,36,4,9,3,2,0,4,3,0,9,0,0,0,1,0,2,1,0.303,0.367,0.48,0.846,8,16,L,T.Glavine(63)
6,6,7,7,Apr 13,@,NYM,"L,0-1",42,35,0,4,2,0,0,0,5,0,8,1,1,0,0,1,1,0,0.275,0.347,0.433,0.781,9,17,L,K.Ishii(75)
7,7,8,8,Apr 14,@,NYM,"L,3-4",42,35,3,10,2,1,0,3,6,0,5,0,0,1,0,0,4,0,0.276,0.352,0.429,0.781,12,14,R,V.Zambrano(42)
8,8,9,9,Apr 15,@,CIN,"W,11-2",44,40,11,14,6,1,2,11,3,0,9,0,0,1,1,0,0,0,0.286,0.356,0.464,0.821,6,13,R,P.Wilson(33)
9,9,10,10,Apr 16,@,CIN,"L,2-3",34,32,2,5,2,0,0,2,2,0,9,0,0,0,0,0,0,0,0.274,0.343,0.441,0.784,5,14,L,E.Milton(72)
10,10,11,11,Apr 17,@,CIN,"L,5-6",37,33,5,9,4,0,1,5,4,0,11,0,0,0,0,1,0,1,0.273,0.344,0.445,0.789,5,16,R,A.Harang(56)
11,11,12,12,Apr 18,,ATL,"L,0-1",43,39,0,6,2,0,0,0,3,1,12,0,1,0,0,1,2,1,0.262,0.332,0.422,0.754,7,17,R,T.Hudson(87)
