,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 31,@,TOR,"W,8-4",40,33,8,7,2,0,2,8,6,0,2,1,0,0,1,1,0,0,0.212,0.35,0.455,0.805,5,10,R,R.Halladay(31)
1,2,2,Apr 1,@,TOR,"W,10-1",42,38,10,13,4,0,3,10,2,0,9,0,0,2,0,0,0,0,0.282,0.354,0.577,0.931,5,9,R,C.Lidle(45)
2,3,3,Apr 2,@,TOR,"W,9-7",51,45,9,17,8,0,2,9,5,2,6,1,0,0,1,0,2,0,0.319,0.391,0.621,1.012,15,10,L,M.Hendrickson(9)
3,4,4,Apr 4,@,TBD,"W,12-2",50,45,12,18,4,0,5,11,4,0,6,0,0,1,1,0,0,0,0.342,0.404,0.677,1.081,11,9,R,S.Parris(39)
4,5,5,Apr 5,@,TBD,"L,5-6",42,38,5,11,1,3,0,5,3,1,4,0,0,1,2,1,0,0,0.332,0.391,0.638,1.029,10,9,L,J.Kennedy(34)
5,6,6,Apr 6,@,TBD,"W,10-5",46,37,10,15,3,0,3,10,7,0,4,0,1,1,0,2,1,1,0.343,0.407,0.653,1.06,9,10,R,V.Zambrano(32)
6,7,7,Apr 8,,MIN,"W,7-3",35,32,7,9,1,0,2,7,3,1,5,0,0,0,0,0,1,1,0.336,0.4,0.634,1.034,4,9,R,J.Mays(24)
7,8,8,Apr 9,,MIN,"W,2-1",29,28,2,4,1,0,2,2,1,0,5,0,0,0,0,0,0,0,0.318,0.38,0.611,0.992,3,9,R,K.Lohse(67)
8,9,9,Apr 10,,MIN,"W,2-0",36,33,2,10,2,0,0,2,2,0,10,1,0,0,0,1,0,0,0.316,0.378,0.587,0.965,10,9,R,R.Reed(44)
9,10,10,Apr 12,,TBD,"W,5-4",41,37,5,12,3,0,1,5,3,1,2,1,0,0,2,2,0,0,0.317,0.38,0.577,0.956,11,12,L,J.Kennedy(38)
