,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 8,,OAK,"W,9-5",39,33,9,11,4,0,1,9,5,0,8,0,0,1,0,0,0,0,0.333,0.41,0.545,0.956,6,9,R,F.Montas(40)
1,2,2,Apr 9,,OAK,"W,4-2",34,29,4,7,2,0,3,4,4,0,7,1,0,0,0,1,0,0,0.29,0.384,0.581,0.964,6,10,L,C.Irvin(41)
2,3,3,Apr 10,,OAK,"L,1-4",32,29,1,3,0,0,1,1,3,0,7,0,0,0,0,1,0,0,0.231,0.324,0.462,0.785,4,10,R,D.Jefferies(63)
3,4,4,Apr 11,,NYM,"W,5-4",34,30,5,8,3,0,1,5,4,0,9,0,0,0,0,1,0,0,0.24,0.331,0.463,0.794,5,11,R,T.Walker(60)
4,5,5,Apr 12,,NYM,"L,0-2",32,31,0,6,2,0,0,0,0,0,12,0,1,0,0,1,0,0,0.23,0.306,0.421,0.727,5,11,R,T.Megill(67)
5,6,6,Apr 13,,NYM,"L,6-9",42,34,6,9,2,0,1,6,6,0,11,1,0,1,0,0,0,0,0.237,0.321,0.419,0.74,9,12,R,M.Scherzer(57)
6,7,7,Apr 14,@,MIA,"L,3-4",39,35,3,11,3,0,0,3,2,0,6,1,0,1,0,2,1,0,0.249,0.327,0.416,0.743,9,11,R,S.Alcantara(55)
7,8,8,Apr 15,@,MIA,"L,1-7",37,34,1,8,3,0,1,1,3,0,6,0,0,0,0,1,0,0,0.247,0.323,0.416,0.739,9,11,R,P.López(60)
8,9,9,Apr 16,@,MIA,"W,10-3",45,37,10,11,4,0,0,9,5,0,12,1,0,2,2,1,1,0,0.253,0.33,0.414,0.745,8,10,L,T.Rogers(18)
9,10,10,Apr 17,@,MIA,"L,3-11",38,34,3,8,1,0,2,3,2,0,7,2,0,0,0,1,0,0,0.252,0.329,0.417,0.746,8,12,R,E.Hernandez(62)
10,11,11,Apr 18,@,COL,"L,1-4",32,30,1,5,1,0,0,1,2,0,5,0,0,0,0,0,0,0,0.244,0.32,0.399,0.719,4,11,R,C.Kuhl(71)
