,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 2,@,LAD,"W,9-2",42,38,9,12,1,0,3,9,2,0,7,1,1,0,0,0,0,0,0.316,0.366,0.579,0.945,6,13,R,K.Brown(20)
1,2,2,Apr 3,@,LAD,"W,12-0",51,41,12,15,2,0,4,12,9,2,5,0,0,1,1,1,1,0,0.342,0.424,0.646,1.069,12,15,R,H.Nomo(28)
2,3,3,Apr 4,@,LAD,"W,3-0",35,31,3,5,1,0,0,3,1,0,11,2,0,1,1,1,0,0,0.291,0.37,0.518,0.888,5,11,L,O.Perez(53)
3,4,4,Apr 5,,SDP,"W,3-1",39,33,3,7,0,0,2,3,4,0,7,1,1,0,0,0,1,0,0.273,0.358,0.49,0.847,9,15,R,B.Tomko(65)
4,5,5,Apr 6,,SDP,"W,4-1",35,28,4,7,2,0,0,4,6,0,3,0,0,1,1,1,0,0,0.269,0.36,0.462,0.822,7,15,R,K.Jarvis(51)
5,6,6,Apr 7,,SDP,"W,10-1",40,36,10,12,5,1,2,10,2,0,3,0,0,2,2,0,0,0,0.28,0.358,0.502,0.861,6,12,R,B.Tollberg(28)
6,7,7,Apr 9,,LAD,"L,0-3",34,32,0,5,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0.264,0.339,0.456,0.795,7,13,R,H.Nomo(72)
7,8,8,Apr 10,,LAD,"W,2-1",30,28,2,7,1,0,1,2,0,0,4,0,2,0,0,0,0,1,0.262,0.331,0.449,0.781,4,13,L,O.Perez(65)
8,9,9,Apr 11,,LAD,"L,3-4",41,33,3,8,1,0,0,3,6,2,6,1,0,1,0,1,1,0,0.26,0.335,0.43,0.765,11,13,R,A.Ashby(49)
9,10,10,Apr 12,,MIL,"W,5-1",33,27,5,5,0,0,1,5,4,1,6,1,1,0,1,2,0,0,0.254,0.333,0.419,0.752,4,11,R,B.Sheets(52)
10,11,11,Apr 13,,MIL,"W,3-2",34,28,3,5,0,0,2,3,4,0,4,1,1,0,0,0,0,0,0.248,0.331,0.417,0.748,7,14,R,N.Figueroa(52)
11,12,12,Apr 14,,MIL,"L,3-4",43,37,3,10,0,0,0,2,6,2,6,0,0,0,1,1,1,0,0.25,0.335,0.403,0.738,13,18,R,R.Quevedo(45)
12,13,13,Apr 15,@,SDP,"L,3-4",36,35,3,8,1,0,3,3,1,1,8,0,0,0,0,0,0,0,0.248,0.329,0.412,0.741,6,15,R,B.Jones(52)
13,14,14,Apr 16,@,SDP,"W,5-1",45,37,5,11,4,1,1,5,7,2,9,0,0,1,1,1,0,0,0.252,0.335,0.422,0.757,13,14,R,B.Tomko(51)
14,15,15,Apr 17,@,SDP,"L,3-5",37,34,3,8,2,0,1,3,3,0,6,0,0,0,0,1,0,0,0.251,0.332,0.42,0.752,7,15,R,K.Jarvis(59)
15,16,16,Apr 19,@,HOU,"W,3-2",40,35,3,9,3,0,1,3,5,2,5,0,0,0,0,1,1,0,0.251,0.333,0.42,0.754,10,13,R,S.Reynolds(52)
16,17,17,Apr 20,@,HOU,"W,13-9",54,44,13,19,7,0,1,12,8,2,7,1,0,1,0,1,0,0,0.265,0.348,0.438,0.787,14,16,R,T.Redding(23)
17,18,18,Apr 21,@,HOU,"L,0-4",29,29,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0.256,0.337,0.422,0.759,2,13,R,D.Mlicki(83)
18,19,19,Apr 23,@,CHC,"W,12-4",51,39,12,13,4,0,3,11,8,1,4,1,0,3,2,0,1,0,0.26,0.343,0.437,0.78,12,16,R,J.Bere(22)
19,20,20,Apr 24,@,CHC,"L,4-10",40,36,4,9,0,0,1,4,4,0,12,0,0,0,0,0,0,0,0.26,0.342,0.432,0.774,9,14,R,M.Clement(41)
20,21,21,Apr 25,@,CHC,"L,1-2",34,31,1,7,2,0,0,1,0,0,5,0,2,1,0,0,0,0,0.258,0.337,0.426,0.763,6,9,R,J.Lieber(70)
21,22,22,Apr 26,@,CIN,"L,3-4",40,33,3,8,1,0,1,3,6,2,4,1,0,0,1,2,0,1,0.258,0.339,0.423,0.762,10,14,R,E.Dessens(58)
22,23,23,Apr 27,@,CIN,"L,4-8",34,32,4,8,1,0,0,4,2,0,5,0,0,0,0,0,0,0,0.257,0.337,0.417,0.754,6,16,R,J.Rijo(57)
23,24,24,Apr 28,@,CIN,"W,5-4",41,34,5,10,3,0,2,5,5,1,5,1,1,0,0,2,0,0,0.259,0.34,0.423,0.763,9,13,R,J.Haynes(46)
24,25,25,Apr 29,,PHI,"W,8-5",42,30,8,8,2,1,1,7,10,1,9,0,0,2,0,0,0,0,0.259,0.344,0.426,0.77,10,18,R,R.Person(43)
25,26,26,Apr 30,,PHI,"L,2-8",33,31,2,5,1,0,0,2,1,0,5,0,1,0,0,0,0,0,0.256,0.339,0.417,0.756,4,12,R,V.Padilla(76)
26,27,27,May 1,,PHI,"W,2-1",28,26,2,4,0,0,1,1,1,0,6,0,1,0,1,2,0,0,0.253,0.335,0.413,0.748,2,13,R,T.Adams(67)
27,28,28,May 3,,CIN,"W,6-1",37,33,6,9,0,0,2,6,3,0,5,1,0,0,0,0,0,0,0.253,0.336,0.415,0.75,7,11,R,J.Rijo(37)
28,29,29,May 4,,CIN,"W,3-0",36,30,3,6,1,0,1,3,6,3,6,0,0,0,1,1,0,0,0.252,0.335,0.412,0.748,9,14,R,J.Haynes(51)
29,30,30,May 5,,CIN,"W,6-5",43,35,6,11,0,0,1,6,7,1,5,0,0,1,0,1,0,0,0.254,0.339,0.412,0.75,10,17,R,C.Reitsma(51)
30,31,31,May 7,@,NYM,"W,5-1",43,36,5,10,4,1,0,5,5,3,6,1,1,0,0,0,2,0,0.255,0.34,0.413,0.753,11,12,R,S.Trachsel(33)
31,32,32,May 8,@,NYM,"W,8-2",43,36,8,10,2,1,2,8,5,0,3,1,1,0,0,0,2,0,0.256,0.341,0.418,0.759,8,11,L,S.Estes(38)
32,33,33,May 9,@,NYM,"W,4-3",34,31,4,7,0,0,2,4,1,0,8,0,1,1,0,0,0,0,0.255,0.339,0.418,0.757,3,13,R,P.Astacio(52)
33,34,34,May 10,@,MON,"L,3-6",35,34,3,8,3,0,1,3,1,0,5,0,0,0,0,0,0,0,0.254,0.337,0.417,0.754,5,12,R,J.Vazquez(65)
34,35,35,May 11,@,MON,"W,3-2",35,32,3,7,2,0,0,3,1,0,5,0,2,0,0,0,1,0,0.253,0.334,0.414,0.748,5,13,R,T.Ohka(67)
35,36,36,May 12,@,MON,"L,2-4",34,31,2,5,0,0,2,2,2,0,8,1,0,0,0,1,0,0,0.251,0.332,0.412,0.744,5,11,R,T.Armas(63)
36,37,37,May 13,,ATL,"W,7-6",49,42,7,13,1,1,1,7,6,3,6,0,1,0,1,1,3,1,0.253,0.334,0.414,0.748,11,18,R,K.Millwood(45)
37,38,38,May 14,,ATL,"W,2-0",34,27,2,8,3,0,0,2,6,1,5,0,1,0,0,2,0,0,0.254,0.336,0.413,0.75,8,10,L,D.Moss(53)
38,39,39,May 15,,ATL,"L,1-6",34,32,1,6,1,0,0,1,2,0,2,0,0,0,2,3,0,0,0.252,0.334,0.409,0.742,6,15,R,G.Maddux(69)
