,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 3,@,KCR,"W,3-1",9.0,4,1,1,0,1,9,0,0,1.0,31,128,84,0.0,0.0,0,0,30,1,0,0,0,0,0,1,3,Jim Joyce,"K.Rogers (99-67-W), J.Zumaya (99-H), F.Rodney (99-Sv)"
1,1,2,2,Apr 5,@,KCR,"W,14-3",9.0,6,3,3,0,0,11,2,0,2.0,33,118,87,1.0,1.0,0,0,33,3,1,0,0,0,0,0,3,Doug Eddings,"J.Bonderman (99-72-W), C.Spurling (99), J.Walker (99)"
2,2,3,3,Apr 6,@,TEX,"W,10-6",9.0,11,6,6,0,2,6,1,0,3.33,39,135,81,3.0,3.0,0,0,37,6,0,0,0,0,0,1,3,Fieldin Culbreth,"N.Robertson (99-44-W), J.Tata (99), F.Rodney (2)"
3,3,4,4,Apr 7,@,TEX,"W,5-2",9.0,11,2,2,0,2,2,1,1,3.0,38,139,83,3.0,1.0,0,0,35,0,0,0,0,0,0,3,4,Tim McClelland,"M.Maroth (99-47-W), J.Grilli (99), J.Zumaya (3-H), F.Rodney (0-Sv)"
4,4,5,5,Apr 8,@,TEX,"W,7-0",9.0,2,0,0,0,2,7,0,1,2.4,32,107,71,0.0,0.0,0,0,29,0,0,0,0,0,0,0,3,Bob Davidson,"J.Verlander (99-78-W), C.Spurling (2), B.Seay (99)"
5,5,6,6,Apr 9,@,TEX,"L,3-5",8.0,12,5,5,0,3,8,0,0,2.89,38,138,84,1.0,0.0,0,0,35,4,0,1,0,0,0,1,3,Bill Welke,"K.Rogers (5-28-L), J.Tata (2), J.Walker (3)"
6,6,7,7,Apr 10,,CHW,"L,3-5",9.0,7,5,5,0,2,9,3,0,3.19,36,122,80,0.0,0.0,0,0,34,1,0,0,0,0,0,0,3,Brian Gorman,"J.Bonderman (4-55-L), J.Walker (0), J.Zumaya (2)"
7,7,8,8,Apr 12,,CHW,"L,3-4",9.0,6,4,3,1,3,6,1,0,3.17,36,121,75,0.0,0.0,0,0,32,2,0,1,0,1,0,1,3,Eric Cooper,"N.Robertson (5-56-L), C.Spurling (3), F.Rodney (4)"
8,8,9,9,Apr 13,,CHW,"L,9-13",9.0,17,13,13,0,5,9,2,2,4.28,50,207,126,3.0,3.0,0,0,43,4,2,2,0,0,0,0,5,Bill Miller,"J.Verlander (4-15-L), J.Grilli (5), B.Seay (4), C.Spurling (0), J.Walker (2)"
9,9,10,10,Apr 14,,CLE,"W,5-1",9.0,8,1,1,0,3,6,0,1,3.94,38,125,77,0.0,0.0,0,0,34,1,0,0,0,0,1,2,2,Mike Winters,"K.Rogers (4-66-W), F.Rodney (1)"
10,10,11,11,Apr 15,,CLE,"L,2-7",9.0,10,7,7,0,4,8,1,0,4.22,40,156,98,3.0,0.0,1,0,36,3,0,0,0,0,0,1,3,Brian Runge,"J.Bonderman (4-20-L), J.Tata (5), B.Seay (1)"
11,11,12,12,Apr 16,,CLE,"W,1-0",9.0,4,0,0,0,3,7,0,0,3.87,32,133,83,0.0,0.0,0,0,28,2,0,0,1,0,0,2,3,Paul Emmel,"M.Maroth (8-74-W), J.Zumaya (5-H), F.Rodney (1-Sv)"
12,12,13,13,Apr 17,,CLE,"L,2-10",9.0,14,10,9,1,4,0,1,1,4.27,45,137,90,4.0,0.0,0,0,40,3,0,0,0,0,1,1,3,Bruce Froemming,"N.Robertson (4-14-L), J.Grilli (3), C.Spurling (3)"
13,13,14,14,Apr 18,@,OAK,"L,3-4",8.0,5,4,3,1,3,9,2,0,4.21,31,133,79,0.0,0.0,0,0,28,1,0,0,0,0,0,1,2,Hunter Wendelstedt,"J.Verlander (4-57-L), B.Seay (2)"
14,14,15,15,Apr 19,@,OAK,"W,11-4",9.0,5,4,4,0,2,1,2,0,4.2,35,129,81,1.0,1.0,0,0,33,1,0,0,0,0,3,1,3,Randy Marsh,"K.Rogers (4-59-W), C.Spurling (1), J.Walker (5)"
15,15,16,16,Apr 20,@,OAK,"W,4-3",9.0,6,3,3,0,4,3,0,0,4.12,36,136,83,0.0,0.0,0,0,32,1,1,0,0,0,0,1,2,Ramon Armendariz,"J.Bonderman (4-54), F.Rodney (3-W)"
16,16,17,17,Apr 21,@,SEA,"W,2-1",9.0,7,1,1,0,4,7,0,1,3.93,37,162,98,0.0,0.0,0,1,31,0,0,0,0,1,0,0,3,Mark Wegner,"M.Maroth (4-64-W), J.Zumaya (4-H), T.Jones (99-Sv)"
17,17,18,18,Apr 22,@,SEA,"W,2-0",9.0,2,0,0,0,2,7,0,1,3.71,29,108,72,0.0,0.0,0,1,26,0,0,0,0,0,0,1,3,Adam Dowdy,"N.Robertson (4-75-W), J.Walker (2-H), F.Rodney (1-Sv)"
18,18,19,19,Apr 23,@,SEA,"W,6-4",9.0,8,4,4,0,4,6,0,0,3.73,39,144,93,2.0,0.0,1,0,35,2,0,0,0,0,1,0,4,Ed Montague,"J.Verlander (4-66-W), J.Zumaya (1), F.Rodney (0-H), T.Jones (1-Sv)"
19,19,20,20,Apr 24,@,LAA,"L,0-3",8.0,5,3,2,1,3,4,1,0,3.66,31,111,67,0.0,0.0,0,0,27,3,0,0,0,1,0,1,2,CB Bucknor,"K.Rogers (4-61-L), J.Tata (8)"
20,20,21,21,Apr 25,@,LAA,"W,5-2",9.0,3,2,2,0,1,7,0,0,3.58,32,125,88,0.0,0.0,1,0,31,1,0,0,0,0,1,0,4,John Hirschbeck,"J.Bonderman (4-63-W), J.Walker (2-H), J.Zumaya (1-H), T.Jones (1-Sv)"
21,21,22,22,Apr 26,@,LAA,"L,0-4",8.0,9,4,4,0,4,2,1,0,3.62,36,102,63,4.0,0.0,1,0,31,1,0,0,1,0,0,1,3,Wally Bell,"M.Maroth (4-37-L), J.Grilli (8), B.Seay (7)"
22,22,23,23,Apr 28,,MIN,"W,9-0",9.0,6,0,0,0,2,7,0,1,3.46,35,130,84,0.0,0.0,0,0,32,2,0,0,0,0,1,2,3,Jim Reynolds,"N.Robertson (5-73-W), J.Tata (3), F.Rodney (4)"
23,23,24,24,Apr 29,,MIN,"W,18-1",9.0,7,1,1,0,3,5,0,0,3.35,36,135,85,0.0,0.0,0,1,33,1,0,0,0,0,0,0,3,Tim Welke,"J.Verlander (5-63-W), B.Seay (2), J.Grilli (2)"
24,24,25,25,Apr 30,,MIN,"W,6-0",9.0,2,0,0,0,1,4,0,0,3.22,30,105,69,0.0,0.0,0,0,29,0,0,0,0,0,0,0,2,Kerwin Danley,"K.Rogers (5-81-W), T.Jones (4)"
25,26,26,26,May 1,,KCR,"W,3-2",9.0,8,2,2,0,1,9,0,0,3.17,35,119,80,0.0,0.0,2,0,34,1,1,0,0,0,0,1,2,Marty Foster,"J.Bonderman (5-82-W), T.Jones (0-Sv)"
26,27,27,27,May 2,,KCR,"W,4-1",9.0,5,1,1,0,1,4,0,0,3.09,34,118,76,0.0,0.0,0,0,33,2,0,0,0,0,1,0,4,Fieldin Culbreth,"M.Maroth (5-61-W), J.Zumaya (6-H), F.Rodney (3-H), T.Jones (0-Sv)"
27,28,28,28,May 3,,LAA,"W,2-1",9.0,4,1,1,0,2,7,0,1,3.01,34,103,69,1.0,0.0,2,0,30,0,0,0,0,1,1,1,3,Joe West,"N.Robertson (4-70), J.Zumaya (0-W), F.Rodney (0-Sv)"
28,29,29,29,May 4,,LAA,"L,2-7",9.0,15,7,6,1,2,2,3,1,3.12,41,127,83,0.0,0.0,0,1,38,2,0,0,0,0,0,2,5,Ed Rapuano,"J.Verlander (4-41-L), J.Tata (5), J.Walker (8), J.Grilli (4), B.Seay (4)"
29,30,30,30,May 5,@,MIN,"W,9-6",9.0,11,6,6,0,2,5,1,0,3.21,38,146,94,0.0,0.0,0,0,36,4,0,0,0,0,0,2,5,Gary Darling,"K.Rogers (4-29-W), J.Grilli (0-H), J.Zumaya (1-H), F.Rodney (1-H), T.Jones (2-Sv)"
30,31,31,31,May 6,@,MIN,"L,6-7",8.1,13,7,7,0,4,4,0,0,3.35,38,121,71,2.0,1.0,0,1,34,2,1,1,0,0,0,3,4,Larry Poncino,"J.Bonderman (4-34), J.Walker (1), J.Zumaya (0-H), T.Jones (0-BL)"
31,32,32,32,May 7,@,MIN,"L,2-4",8.0,9,4,4,0,3,4,1,0,3.38,36,138,83,0.0,0.0,0,0,33,3,1,1,0,0,0,0,2,Bruce Dreckman,"M.Maroth (4-33-L), J.Tata (2)"
32,33,33,33,May 9,@,BAL,"L,6-7",8.0,9,7,4,3,6,5,4,0,3.41,39,159,94,1.0,0.0,0,0,31,0,0,0,2,0,2,2,3,Bill Miller,"N.Robertson (5-40), J.Grilli (3-H), F.Rodney (3-BL)"
33,34,34,34,May 10,@,BAL,"W,6-3",9.0,9,3,3,0,4,7,0,1,3.4,39,146,87,3.0,2.0,0,0,33,1,0,0,0,1,0,2,3,Gerry Davis,"J.Verlander (5-48-W), J.Zumaya (3-H), T.Jones (3-Sv)"
34,35,35,35,May 12,@,CLE,"W,5-4",9.0,10,4,4,0,2,6,2,0,3.42,35,136,87,0.0,0.0,0,1,33,1,0,0,0,0,0,1,4,Ed Hickox,"K.Rogers (6-52-W), J.Zumaya (1-H), F.Rodney (2-H), T.Jones (1-Sv)"
