,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 1,,BOS,"W,9-5",9.0,7,5,3,2,3,9,1,0,3.0,37,168,104,1.0,0.0,2,0,34,2,0,0,0,0,1,0,5,Tim McClelland,"C.Wilson (99-49), M.Lowe (99-H), A.Rhodes (99-H), D.Oliver (99-BW), N.Feliz (99)"
1,1,2,2,Apr 2,,BOS,"W,12-5",9.0,8,5,5,0,5,6,2,1,4.0,40,174,103,0.0,0.0,0,0,34,2,0,0,0,0,1,2,4,Ted Barrett,"C.Lewis (99-50-W), M.Tobin (99), P.Strop (99), D.O'Day (99)"
2,2,3,3,Apr 3,,BOS,"W,5-1",9.0,5,1,1,0,2,9,0,0,3.0,34,128,85,0.0,0.0,0,0,32,0,0,0,0,0,1,1,3,Brian Runge,"M.Harrison (99-69-W), D.Oliver (1-H), N.Feliz (1)"
3,3,4,4,Apr 4,,SEA,"W,6-4",9.0,10,4,4,0,1,8,0,0,3.25,37,152,96,0.0,0.0,1,0,36,4,0,0,0,0,0,0,4,Ed Rapuano,"D.Holland (99-50-W), D.O'Day (1-H), A.Rhodes (2-H), N.Feliz (0-Sv)"
4,4,5,5,Apr 5,,SEA,"W,3-2",9.0,6,2,2,0,2,5,0,0,3.0,36,142,88,2.0,1.0,0,0,34,1,0,0,0,0,1,0,4,Brian O'Nora,"A.Ogando (99-70-W), M.Lowe (3-H), D.Oliver (1-H), N.Feliz (0-Sv)"
5,5,6,6,Apr 6,,SEA,"W,7-3",9.0,6,3,2,1,2,2,0,0,2.83,35,126,83,0.0,0.0,1,0,32,3,0,0,0,1,1,1,3,Alfonso Marquez,"C.Wilson (4-55-W), A.Rhodes (1-H), D.O'Day (1)"
6,6,7,7,Apr 9(1),@,BAL,"L,0-5",8.0,7,5,4,1,2,4,2,1,3.05,33,116,73,0.0,0.0,0,1,30,0,0,0,0,0,1,1,2,Marty Foster,"C.Lewis (6-45-L), M.Tobin (6)"
7,7,8,8,Apr 9(2),@,BAL,"W,13-1",9.0,4,1,1,0,4,6,1,0,2.79,35,155,95,0.0,0.0,0,0,31,0,0,0,0,0,0,0,3,D.J. Reyburn,"M.Harrison (5-71-W), P.Strop (6), M.Lowe (3)"
8,8,9,9,Apr 10,@,BAL,"W,3-0",9.0,6,0,0,0,4,6,0,1,2.48,38,153,92,2.0,0.0,0,0,33,2,0,0,0,0,0,0,4,Bill Welke,"D.Holland (5-66-W), D.Oliver (4-H), D.O'Day (3-H), N.Feliz (4-Sv)"
9,9,10,10,Apr 11,@,DET,"W,2-0",9.0,4,0,0,0,2,6,0,0,2.22,32,116,73,0.0,0.0,0,0,30,2,0,1,0,0,0,0,3,Mark Carlson,"A.Ogando (5-76-W), D.Oliver (0-H), N.Feliz (0-Sv)"
10,10,11,11,Apr 12,@,DET,"L,4-5",8.2,9,5,5,0,6,7,0,0,2.49,40,152,93,1.0,0.0,2,0,31,3,1,0,2,1,0,1,3,Tim Timmons,"C.Wilson (5-45), P.Strop (2), D.O'Day (1-L)"
11,11,12,12,Apr 13,@,DET,"L,2-3",8.1,8,3,3,0,4,3,1,0,2.55,36,157,98,0.0,0.0,1,0,31,2,0,0,0,1,0,0,5,Mike Estabrook,"D.Bush (99-50), M.Tobin (3), M.Lowe (3-BSv), A.Rhodes (6), D.Oliver (1-L)"
12,12,13,13,Apr 15,@,NYY,"W,5-3",9.0,9,3,2,1,4,3,1,0,2.5,35,122,70,0.0,0.0,0,0,31,1,0,0,0,0,1,6,2,Gary Cederstrom,"M.Harrison (5-62-W), N.Feliz (3-Sv)"
13,13,14,14,Apr 16,@,NYY,"L,2-5",8.0,8,5,5,0,2,5,2,0,2.71,33,119,75,1.0,0.0,0,1,30,1,0,0,0,1,1,1,2,Lance Barksdale,"D.Holland (5-46-L), D.Oliver (2)"
14,14,15,15,Apr 17,@,NYY,"L,5-6",8.0,8,6,6,0,3,1,3,1,2.95,35,132,77,5.0,0.0,0,0,31,0,0,1,0,0,0,1,3,Fieldin Culbreth,"A.Ogando (5-41), A.Rhodes (3-L), P.Strop (4)"
15,15,16,16,Apr 18,,LAA,"W,7-1",9.0,10,1,1,0,1,9,0,0,2.83,36,134,86,0.0,0.0,0,0,35,2,0,0,0,0,0,1,3,Dan Iassogna,"C.Wilson (5-63-W), D.O'Day (5), P.Strop (0)"
16,16,17,17,Apr 19,,LAA,"L,4-15",9.0,15,15,12,3,6,6,3,0,3.38,47,198,116,2.0,2.0,0,1,41,3,0,0,0,0,1,1,4,Dale Scott,"C.Lewis (9-41-L), M.Tobin (5), M.Kirkman (99), D.Bush (5)"
17,17,18,18,Apr 20,,LAA,"L,1-4",9.0,5,4,4,0,6,8,2,2,3.42,41,160,88,2.0,0.0,2,0,31,1,1,0,2,0,2,1,4,John Tumpane,"M.Harrison (4-56-L), D.O'Day (1), P.Strop (1), N.Feliz (4)"
18,18,19,19,Apr 22,,KCR,"W,11-6",9.0,9,6,6,0,4,12,1,0,3.56,39,151,98,2.0,0.0,1,1,33,2,0,0,1,1,2,1,4,Hunter Wendelstedt,"D.Holland (5-50-W), P.Strop (1), A.Rhodes (4), D.Oliver (5)"
19,19,20,20,Apr 23,,KCR,"W,3-1",9.0,7,1,1,0,1,7,1,1,3.43,36,167,109,0.0,0.0,1,0,34,2,0,0,0,0,1,1,3,Vic Carapazza,"A.Ogando (5-62-W), C.Eppley (99-H), D.Oliver (0-Sv)"
20,20,21,21,Apr 24,,KCR,"W,8-7",9.0,12,7,7,0,1,13,3,0,3.6,38,164,103,0.0,0.0,2,0,37,2,0,0,0,0,0,1,3,Brian Knight,"C.Wilson (5-54-W), B.Tomko (99), A.Rhodes (1-Sv)"
21,21,22,22,Apr 25,,TOR,"L,4-6",9.0,9,6,6,0,5,4,3,0,3.71,37,142,89,0.0,0.0,0,1,32,0,1,0,0,0,0,2,3,Bruce Dreckman,"C.Lewis (5-28-L), D.Bush (5), P.Strop (2)"
22,22,23,23,Apr 26,,TOR,"L,3-10",9.0,12,10,10,0,5,7,2,0,3.99,43,146,87,0.0,0.0,1,0,38,2,0,0,0,0,1,1,3,Paul Emmel,"M.Harrison (5-13-L), B.Tomko (1), D.O'Day (5)"
23,23,24,24,Apr 27,,TOR,"W,7-6",9.0,14,6,6,0,4,4,1,0,4.08,42,162,96,1.0,0.0,0,1,37,2,0,0,0,1,0,1,4,Rob Drake,"D.Holland (4-24), C.Eppley (3-BW), A.Rhodes (2-H), D.Oliver (3-Sv)"
24,24,25,25,Apr 28,,TOR,"L,2-5",9.0,7,5,3,2,5,10,1,2,4.03,42,159,92,1.0,0.0,0,0,35,0,0,0,0,0,1,0,4,Gary Darling,"A.Ogando (4-60), C.Eppley (0), P.Strop (2), D.Oliver (0-L)"
25,25,26,26,Apr 29,@,OAK,"L,1-3",8.0,9,3,2,1,3,6,0,1,3.97,36,131,87,0.0,0.0,0,0,32,4,0,0,0,0,0,1,2,Kerwin Danley,"C.Wilson (4-49-L), R.Tucker (99)"
26,26,27,27,Apr 30,@,OAK,"W,11-2",9.0,7,2,2,0,3,7,2,0,3.89,37,130,83,0.0,0.0,1,0,34,2,0,0,0,0,0,0,2,Paul Nauert,"C.Lewis (4-67-W), B.Tomko (3)"
27,28,28,28,May 1,@,OAK,"L,2-7",8.0,11,7,5,2,3,5,0,1,3.95,38,155,97,3.0,0.0,1,2,34,5,0,0,0,0,3,2,4,Doug Eddings,"M.Harrison (4-26-L), D.Bush (5), R.Tucker (1), P.Strop (2)"
28,29,29,29,May 2,@,OAK,"L,4-5",9.0,11,5,4,1,4,5,3,0,3.95,41,146,95,0.0,0.0,0,1,36,2,0,1,1,0,1,1,4,Dana DeMuth,"D.Holland (4-53), A.Rhodes (4-BSv), C.Eppley (3), D.Oliver (3-L)"
29,30,30,30,May 3,@,SEA,"L,3-4",8.0,10,4,4,0,1,8,0,1,3.97,36,141,93,2.0,1.0,0,0,33,1,0,0,1,0,0,1,3,Dan Bellino,"A.Ogando (4-63), P.Strop (1-BL), D.Oliver (0)"
30,31,31,31,May 4,@,SEA,"W,5-2",9.0,6,2,1,1,1,12,0,0,3.87,34,125,81,,,2,0,31,0,0,0,0,2,1,1,1,Brian Gorman,C.Wilson (4-80-W)
31,32,32,32,May 5,@,SEA,"L,1-3",8.0,8,3,3,0,1,11,1,0,3.86,33,113,83,,,0,0,31,3,0,0,1,0,0,0,1,Larry Vanover,C.Lewis (4-64-L)
32,33,33,33,May 6,,NYY,"L,1-4",9.0,5,4,3,1,7,7,2,0,3.83,38,167,94,0.0,0.0,0,0,31,0,0,0,0,0,1,1,4,Tim Welke,"M.Harrison (4-52-L), R.Tucker (4), C.Eppley (3), M.Lowe (22)"
33,34,34,34,May 7,,NYY,"W,7-5",9.0,6,5,5,0,6,7,1,0,3.87,37,158,96,1.0,0.0,0,0,31,1,1,0,0,0,0,2,5,Jim Reynolds,"D.Holland (4-34), B.Tomko (6), A.Rhodes (4-W), D.Oliver (3-H), N.Feliz (16-Sv)"
34,35,35,35,May 8,,NYY,"L,5-12",9.0,16,12,11,1,3,3,5,1,4.07,46,154,95,0.0,0.0,2,0,42,1,0,0,0,0,1,2,5,Mike DiMuro,"D.Bush (6-44), R.Tucker (1), A.Rhodes (0-L), C.Eppley (1), M.Lowe (1)"
35,36,36,36,May 9,,OAK,"L,2-7",9.0,4,7,7,0,8,2,1,1,4.16,38,142,80,5.0,3.0,1,0,28,1,0,0,0,1,1,3,3,Gerry Davis,"C.Wilson (4-50-L), R.Tucker (0), B.Tomko (1)"
36,37,37,37,May 10,,OAK,"W,7-2",9.0,5,2,1,1,3,1,1,0,4.07,35,149,91,2.0,1.0,0,0,31,1,0,0,0,1,1,1,3,Sam Holbrook,"C.Lewis (4-63-W), D.Oliver (2), N.Feliz (2)"
37,38,38,38,May 13,,LAA,"W,4-1",9.0,6,1,1,0,2,5,1,1,3.99,35,140,92,1.0,0.0,0,0,32,1,0,0,0,0,0,1,4,Tom Hallion,"A.Ogando (9-63-W), C.Eppley (4-H), D.Oliver (2-H), N.Feliz (2-Sv)"
38,39,39,39,May 14,,LAA,"L,2-3",9.0,10,3,3,0,4,4,0,0,3.96,40,145,96,0.0,0.0,0,0,35,4,0,0,1,0,0,1,4,James Hoye,"D.Holland (6-53), M.Lowe (5), C.Eppley (0), D.Oliver (0-L)"
39,40,40,40,May 15,,LAA,"W,5-4",9.0,8,4,2,2,7,6,1,0,3.91,42,177,107,4.0,2.0,0,2,34,1,1,1,1,0,2,0,4,Phil Cuzzi,"C.Wilson (5-41), B.Tomko (5-BSv), M.Lowe (0-W), N.Feliz (1-Sv)"
40,41,41,41,May 16,@,CHW,"W,4-0",9.0,5,0,0,0,1,7,0,0,3.81,32,110,74,,,0,0,31,1,0,0,0,0,0,1,1,Tim Timmons,C.Lewis (5-83-W)
41,42,42,42,May 17,@,CHW,"L,3-4",8.0,4,4,4,0,6,8,1,0,3.83,31,132,75,2.0,0.0,0,1,25,0,0,0,0,0,0,2,3,Jeff Kellogg,"M.Harrison (10-61), C.Eppley (2-L), A.Rhodes (8)"
42,43,43,43,May 18,@,KCR,"W,5-4",11.0,9,4,4,0,5,9,1,0,3.81,44,183,111,2.0,0.0,0,1,37,0,0,0,2,0,0,0,5,Mike Winters,"A.Ogando (4-65), D.Oliver (3), N.Feliz (2-BSv), A.Rhodes (0-W), M.Lowe (2-Sv)"
43,44,44,44,May 19,@,KCR,"L,1-2",9.1,14,2,2,0,2,5,0,0,3.77,40,168,106,6.0,2.0,0,2,38,0,0,0,0,0,1,2,5,Mike Muchlinski,"D.Holland (4-64), N.Feliz (0-BSv), M.Lowe (0), D.Oliver (0-L), C.Eppley (1)"
44,45,45,45,May 20,@,PHI,"L,2-3",8.0,4,3,3,0,3,10,2,1,3.76,32,121,73,0.0,0.0,0,0,27,0,0,1,1,0,0,0,2,Andy Fletcher,"C.Wilson (4-65-L), D.Bush (11)"
45,46,46,46,May 21,@,PHI,"L,0-2",8.0,8,2,2,0,2,7,1,2,3.73,32,114,76,1.0,0.0,1,1,28,0,0,0,0,0,0,2,3,Jim Reynolds,"C.Lewis (4-56-L), A.Rhodes (2), B.Tomko (5)"
46,47,47,47,May 22,@,PHI,"W,2-0",9.0,5,0,0,0,3,3,0,0,3.65,34,127,77,1.0,0.0,0,0,29,0,0,0,2,0,0,1,2,Mike DiMuro,"M.Harrison (4-73-W), N.Feliz (2-Sv)"
47,48,48,48,May 23,,CHW,"W,4-0",9.0,5,0,0,0,3,6,0,0,3.57,32,115,76,,,0,0,29,0,0,0,0,0,0,2,1,Brian Runge,A.Ogando (4-80-W)
48,49,49,49,May 24,,CHW,"L,6-8",9.0,10,8,8,0,4,9,4,2,3.66,41,155,97,1.0,1.0,1,1,34,1,0,0,1,0,0,0,6,Tim McClelland,"D.Holland (4-41), B.Tomko (2-L), Y.Tateyama (99), A.Rhodes (2), M.Lowe (4), D.Bush (3)"
49,50,50,50,May 25,,CHW,"W,2-1",9.0,6,1,1,0,3,6,0,0,3.61,33,143,82,4.0,0.0,0,0,29,0,0,0,1,0,0,3,4,Marvin Hudson,"C.Wilson (4-64-W), M.Lowe (0-H), D.Oliver (5-H), N.Feliz (2-Sv)"
50,51,51,51,May 27,,KCR,"L,7-12",14.0,16,12,10,2,5,8,4,0,3.7,62,223,153,2.0,0.0,0,0,55,3,0,1,2,0,1,2,8,Marty Foster,"C.Lewis (5-39), A.Rhodes (2-H), M.Lowe (1-H), N.Feliz (1-BSv), D.Oliver (1), M.Kirkman (37), Y.Tateyama (2), D.Bush (2-L)"
51,52,52,52,May 28,,KCR,"W,10-1",9.0,7,1,0,1,1,2,0,0,3.62,34,136,93,0.0,0.0,0,0,33,0,0,0,0,0,1,2,2,Bill Welke,"M.Harrison (5-62-W), Y.Tateyama (0-Sv)"
52,53,53,53,May 29,,KCR,"W,7-6",9.0,9,6,5,1,2,7,1,0,3.65,39,167,106,1.0,0.0,0,0,36,1,0,0,0,1,1,0,4,Mike Estabrook,"A.Ogando (5-41), M.Kirkman (1), N.Feliz (1), A.Rhodes (1-W)"
53,54,54,54,May 30,@,TBR,"W,11-5",9.0,9,5,5,0,6,12,2,0,3.68,42,177,109,0.0,0.0,1,0,36,0,0,0,0,0,0,0,4,CB Bucknor,"D.Holland (5-41-W), M.Lowe (2), D.Oliver (2), D.Bush (2)"
54,55,55,55,May 31,@,TBR,"L,4-5",8.0,5,5,5,0,4,11,3,0,3.71,32,139,84,1.0,0.0,1,0,27,0,0,0,1,0,0,1,3,Jerry Meals,"C.Wilson (5-62), M.Lowe (0), A.Rhodes (1-BL)"
55,57,56,56,Jun 1,@,TBR,"W,3-0",9.0,5,0,0,0,2,8,0,0,3.64,32,128,87,0.0,0.0,1,1,30,1,0,0,0,0,0,1,2,Dale Scott,"C.Lewis (4-80-W), N.Feliz (2-Sv)"
56,58,57,57,Jun 2,@,CLE,"W,7-4",9.0,8,4,4,0,3,10,1,0,3.65,38,166,106,2.0,0.0,2,0,35,1,0,0,0,0,0,0,5,Mark Carlson,"D.Bush (2-44), M.Kirkman (3-W), D.Oliver (2-H), M.Lowe (1-H), N.Feliz (0-Sv)"
57,59,58,58,Jun 3,@,CLE,"W,11-2",9.0,5,2,2,0,1,8,1,0,3.62,32,121,81,0.0,0.0,0,0,31,0,0,0,0,0,0,1,2,Jeff Kellogg,"A.Ogando (4-75-W), Y.Tateyama (5)"
58,60,59,59,Jun 4,@,CLE,"W,4-0",9.0,5,0,0,0,1,5,0,1,3.56,34,112,77,,,0,0,32,1,0,0,0,0,1,0,1,Eric Cooper,D.Holland (4-81-W)
59,61,60,60,Jun 5,@,CLE,"W,2-0",9.0,3,0,0,0,2,9,0,1,3.5,31,118,78,1.0,0.0,0,0,28,1,0,0,0,0,0,2,3,Tim Timmons,"C.Wilson (4-78-W), D.Oliver (2-H), N.Feliz (2-Sv)"
60,62,61,61,Jun 6,,DET,"L,7-13",9.0,18,13,13,0,3,6,4,0,3.65,49,184,117,4.0,2.0,0,0,44,6,0,2,1,1,1,1,4,Alfonso Marquez,"C.Lewis (4-6-L), M.Kirkman (3), Y.Tateyama (2), A.Rhodes (5)"
61,63,62,62,Jun 7,,DET,"L,1-8",9.0,20,8,7,1,2,9,0,0,3.71,47,179,110,2.0,1.0,0,0,45,5,0,0,0,0,0,1,4,Ed Hickox,"M.Harrison (9-35-L), D.Bush (4), M.Lowe (4), Y.Tateyama (0)"
62,64,63,63,Jun 8,,DET,"W,7-3",9.0,9,3,3,0,2,10,1,0,3.7,39,133,90,4.0,2.0,0,1,37,1,0,0,0,0,2,0,3,Ed Rapuano,"A.Ogando (4-68-W), D.Oliver (2), N.Feliz (2)"
63,65,64,64,Jun 9,@,MIN,"L,4-5",8.2,10,5,5,0,2,11,2,0,3.72,38,134,96,3.0,1.0,0,0,36,2,0,0,0,0,0,0,3,Vic Carapazza,"D.Holland (4-55), M.Lowe (1-L), A.Rhodes (2)"
64,66,65,65,Jun 10,@,MIN,"W,9-3",9.0,8,3,3,0,3,4,0,1,3.71,38,133,88,0.0,0.0,0,0,34,3,0,0,0,0,0,0,3,Dana DeMuth,"C.Wilson (4-47-W), Y.Tateyama (2), M.Kirkman (3)"
65,67,66,66,Jun 11,@,MIN,"L,1-8",8.0,12,8,8,0,2,7,0,0,3.78,37,137,88,2.0,1.0,2,0,34,3,0,0,0,1,0,1,4,Paul Nauert,"C.Lewis (4-15-L), D.Bush (3), Y.Tateyama (0), A.Rhodes (1)"
66,68,67,67,Jun 12,@,MIN,"L,1-6",8.0,9,6,1,5,3,4,1,0,3.74,37,114,74,3.0,1.0,0,0,33,0,0,0,1,0,2,1,4,Doug Eddings,"M.Harrison (4-56-L), M.Lowe (2), Y.Tateyama (0), D.Oliver (3)"
67,69,68,68,Jun 14,@,NYY,"L,4-12",8.0,14,12,12,0,2,5,3,1,3.87,39,163,98,2.0,0.0,1,0,36,4,0,0,0,0,0,2,5,Cory Blaser,"A.Ogando (5-19-L), M.Kirkman (3), Y.Tateyama (1), A.Rhodes (2), D.Bush (2)"
68,70,69,69,Jun 15,@,NYY,"L,4-12",8.0,12,12,12,0,8,3,5,1,4.0,43,182,96,0.0,0.0,5,0,34,1,0,0,0,0,0,1,4,Mike Winters,"D.Holland (5-24-L), M.Lowe (2), D.Oliver (2), N.Feliz (6)"
