,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Mar 28,@,TBR,"W,5-1",9.0,4,1,1,0,1,12,1,2,1.0,34,124,90,0.0,0.0,0,0,31,1,0,0,0,0,1,0,3,Sam Holbrook,"J.Verlander (99-75-W), R.Pressly (99), R.Osuna (99)"
1,2,2,Mar 29,@,TBR,"L,2-4",8.0,6,4,1,3,1,13,1,0,1.06,32,133,93,0.0,0.0,1,0,31,0,0,0,0,0,2,0,3,Dan Iassogna,"G.Cole (99-62-L), H.Rondon (99), J.James (99)"
2,3,3,Mar 30,@,TBR,"L,1-3",8.0,7,3,3,0,1,13,0,0,1.8,32,123,82,0.0,0.0,3,0,30,3,0,0,1,0,0,0,3,Jim Wolf,"C.McHugh (99-61-L), W.Harris (99), C.Devenski (99)"
3,4,4,Mar 31,@,TBR,"L,1-3",8.0,8,3,3,0,0,8,1,0,2.18,32,110,78,0.0,0.0,0,0,32,2,0,0,0,0,0,0,2,Manny Gonzalez,"W.Miley (99-48-L), J.James (1)"
4,5,5,Apr 1,@,TEX,"W,2-1",9.0,2,1,1,0,0,7,1,0,1.93,28,113,73,0.0,0.0,0,1,28,0,0,0,0,0,0,0,3,Gabe Morales,"B.Peacock (99-71-W), R.Pressly (3-H), R.Osuna (3-Sv)"
5,6,6,Apr 2,@,TEX,"L,4-6",8.0,9,6,6,0,4,9,1,1,2.7,37,152,89,2.0,0.0,0,0,32,2,1,0,0,0,0,0,4,Jerry Meals,"J.Verlander (4-35), W.Harris (2), F.Valdez (99-L), H.Rondon (3)"
6,7,7,Apr 3,@,TEX,"L,0-4",8.0,5,4,4,0,4,13,1,0,2.95,33,142,95,0.0,0.0,2,0,29,1,0,0,0,0,0,0,2,Ron Kulpa,"G.Cole (4-58-L), J.James (2)"
7,8,8,Apr 5,,OAK,"W,3-2",9.0,7,2,2,0,3,7,0,0,2.82,36,137,88,0.0,0.0,1,1,33,1,0,0,0,0,0,0,4,Quinn Wolcott,"C.McHugh (5-63-W), H.Rondon (2-H), R.Pressly (3-H), R.Osuna (3-Sv)"
8,9,9,Apr 6,,OAK,"W,6-0",9.0,6,0,0,0,4,7,0,0,2.49,36,150,86,2.0,0.0,0,0,32,1,0,0,0,0,0,1,5,Gary Cederstrom,"W.Miley (5-63-W), W.Harris (3), J.James (2), C.Devenski (6), F.Valdez (3)"
9,10,10,Apr 7,,OAK,"W,9-8",9.0,11,8,8,0,2,5,3,1,3.07,40,148,94,0.0,0.0,1,0,37,3,0,0,0,0,1,0,4,Marvin Hudson,"B.Peacock (5-35), J.James (0-BSv), H.Rondon (1), R.Osuna (1-W)"
10,11,11,Apr 8,,NYY,"W,4-3",9.0,8,3,3,0,3,8,1,0,3.06,38,150,95,0.0,0.0,1,0,35,1,0,0,0,0,0,0,4,David Rackley,"J.Verlander (5-50), W.Harris (1), R.Pressly (2-W), R.Osuna (0-Sv)"
11,12,12,Apr 9,,NYY,"W,6-3",9.0,5,3,3,0,3,9,1,0,3.06,34,131,84,0.0,0.0,0,0,31,1,0,0,0,0,0,1,3,Larry Vanover,"G.Cole (5-60), H.Rondon (1-W), R.Osuna (0-Sv)"
12,13,13,Apr 10,,NYY,"W,8-6",9.0,10,6,6,0,3,13,2,0,3.29,40,168,112,3.0,2.0,0,0,35,2,0,0,0,2,0,0,5,Alfonso Marquez,"C.McHugh (4-64-W), C.Devenski (3), J.James (2), H.Rondon (0-H), R.Pressly (1-Sv)"
13,14,14,Apr 12,@,SEA,"W,10-6",9.0,9,6,5,1,3,11,1,0,3.42,40,157,99,2.0,0.0,2,0,37,1,0,0,0,0,0,0,4,Adam Hamari,"W.Miley (5-39), B.Peacock (4-W), C.Devenski (1), R.Osuna (2-Sv)"
