,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 7,@,BOS,"L,3-5",35,29,3,3,1,0,0,3,4,0,14,1,0,1,0,0,3,0,0.103,0.229,0.138,0.367,5,9,R,J.Beckett(76)
1,1,2,2,Apr 8,@,BOS,"W,7-2",39,37,7,13,3,0,2,5,2,0,6,0,0,0,0,2,0,0,0.242,0.311,0.394,0.705,5,9,L,J.Lester(34)
2,2,3,3,Apr 9,@,BOS,"W,4-3",43,35,4,10,4,0,3,4,7,1,7,1,0,0,0,2,1,0,0.257,0.35,0.485,0.836,12,12,R,D.Matsuzaka(36)
3,3,4,4,Apr 10,@,BAL,"L,4-5",36,34,4,9,2,0,3,4,2,0,9,0,0,0,0,0,1,0,0.259,0.34,0.511,0.851,5,9,L,M.Hendrickson(52)
4,4,5,5,Apr 11,@,BAL,"L,0-6",36,34,0,8,3,0,0,0,2,0,6,0,0,0,0,1,0,0,0.254,0.328,0.473,0.801,9,9,R,J.Guthrie(64)
5,5,6,6,Apr 12,@,BAL,"W,11-3",46,43,11,17,4,1,4,11,3,0,11,0,0,0,0,0,3,0,0.283,0.349,0.542,0.891,8,11,R,A.Eaton(34)
6,6,7,7,Apr 13,,NYY,"W,15-5",50,41,15,17,4,0,3,15,8,0,7,1,0,0,1,0,4,0,0.304,0.379,0.573,0.952,11,12,R,C.Wang(7)
7,7,8,8,Apr 14,,NYY,"L,2-7",30,28,2,3,0,0,0,2,1,0,12,0,0,1,0,0,0,0,0.285,0.356,0.527,0.882,1,9,R,A.Burnett(76)
8,8,9,9,Apr 15,,NYY,"L,3-4",32,31,3,6,3,0,1,3,1,0,6,0,0,0,0,0,0,1,0.276,0.343,0.513,0.856,2,9,L,A.Pettitte(57)
9,9,10,10,Apr 16,,CHW,"L,2-3",39,33,2,5,0,0,1,2,6,0,10,0,0,0,1,0,4,0,0.264,0.337,0.487,0.824,10,11,L,J.Danks(68)
10,10,11,11,Apr 17,,CHW,"W,6-5",35,32,6,9,4,0,2,6,3,0,5,0,0,0,0,0,1,0,0.265,0.337,0.496,0.833,5,10,R,B.Colon(40)
11,11,12,12,Apr 18,,CHW,"L,3-8",40,36,3,11,0,0,0,3,4,0,7,0,0,0,0,1,1,0,0.269,0.341,0.479,0.82,10,9,L,M.Buehrle(48)
12,12,13,13,Apr 19,,CHW,"L,2-12",34,34,2,8,2,0,1,2,0,0,9,0,0,0,0,1,1,0,0.266,0.333,0.472,0.805,5,10,R,G.Floyd(64)
