,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 2,@,BAL,"L,1-2",10.0,6,2,2,0,2,9,0,1,1.8,37,132,93,0.0,0.0,3,0,34,2,0,0,0,0,0,0,3,Jerry Crawford,"P.Martinez (99-70), R.Beck (99), D.Lowe (99-L)"
1,1,2,2,Apr 4,@,BAL,"W,3-0",9.0,0,0,0,0,3,11,0,0,0.95,30,110,69,,,0,0,27,0,0,0,0,0,1,0,1,Eric Cooper,H.Nomo (99-95-W)
2,2,3,3,Apr 5,@,BAL,"L,1-2",8.2,6,2,2,0,5,3,0,1,1.3,33,139,81,1.0,0.0,0,1,27,3,0,2,0,0,0,2,4,Brian Gorman,"F.Castillo (99-57), R.Garces (99), R.Beck (2), D.Lowe (2-L)"
3,3,4,4,Apr 6,,TBD,"W,11-4",9.0,8,4,4,0,2,10,0,0,1.96,36,167,110,0.0,0.0,1,0,34,2,0,0,0,0,0,1,4,Marvin Hudson,"T.Ohka (99-42), T.Wakefield (99-W), P.Schourek (99), R.Arrojo (99)"
4,4,5,5,Apr 7,,TBD,"W,6-2",9.0,4,2,2,0,2,12,1,0,1.97,33,131,84,0.0,0.0,0,0,31,0,0,0,0,0,0,0,2,Tim Welke,"P.Crawford (99-69-W), R.Beck (1)"
5,5,6,6,Apr 8,,TBD,"W,3-0",9.0,4,0,0,0,3,17,0,0,1.65,33,126,84,0.0,0.0,0,0,30,0,0,0,0,0,0,1,2,Tim Timmons,"P.Martinez (5-89-W), D.Lowe (2-Sv)"
6,6,7,7,Apr 10,,BAL,"W,10-1",9.0,6,1,1,0,4,6,0,1,1.55,35,127,79,0.0,0.0,1,1,30,2,0,0,0,0,0,2,2,CB Bucknor,"H.Nomo (5-60-W), T.Wakefield (3-Sv)"
7,7,8,8,Apr 11,,BAL,"L,4-5",9.0,10,5,4,1,1,5,0,0,1.86,37,147,95,1.0,0.0,1,0,35,4,0,0,0,1,0,0,4,Brian Runge,"F.Castillo (5-32-L), P.Schourek (4), R.Garces (5), R.Beck (3)"
8,8,9,9,Apr 12,,BAL,"W,8-2",9.0,9,2,2,0,4,9,0,0,1.87,39,163,102,0.0,0.0,0,1,35,3,0,0,0,0,0,0,2,Mike Reilly,"T.Ohka (5-56-W), R.Arrojo (5-Sv)"
9,9,10,10,Apr 13,,NYY,"W,3-2",10.0,8,2,2,0,4,4,0,0,1.87,40,145,91,0.0,0.0,0,1,35,1,0,0,1,0,0,1,4,Mark Carlson,"P.Crawford (5-56), R.Garces (1), R.Beck (1), D.Lowe (4-W)"
10,10,11,11,Apr 14,,NYY,"L,2-3",9.0,8,3,3,0,3,10,1,0,1.97,37,147,96,1.0,0.0,3,1,34,2,0,1,0,0,0,0,3,Tim Tschida,"P.Martinez (5-64), R.Beck (0), P.Schourek (2-L)"
11,11,12,12,Apr 15,,NYY,"W,5-4",9.0,7,4,3,1,4,8,2,0,2.05,39,135,82,2.0,1.0,0,1,35,1,0,0,0,0,2,1,4,Gerry Davis,"H.Nomo (4-59), R.Garces (1-W), D.Lowe (1-H), R.Arrojo (2-Sv)"
12,12,13,13,Apr 16,,NYY,"W,4-1",9.0,5,1,1,0,1,4,1,0,1.97,32,115,78,0.0,0.0,1,0,31,1,0,0,0,0,0,1,4,Rich Rieker,"F.Castillo (4-70-W), P.Schourek (1-H), T.Wakefield (5-H), R.Beck (1-Sv)"
13,13,14,14,Apr 17,@,TBD,"W,10-0",9.0,7,0,0,0,0,6,0,0,1.83,33,118,79,0.0,0.0,0,0,33,1,0,0,0,0,1,1,2,Chuck Meriwether,"T.Ohka (4-66-W), R.Garces (1)"
14,14,15,15,Apr 18,@,TBD,"W,9-1",9.0,6,1,1,0,1,8,0,1,1.78,34,130,86,1.0,0.0,3,1,31,1,0,0,0,1,0,0,2,Brian O'Nora,"P.Crawford (4-65), R.Arrojo (2-W)"
15,15,16,16,Apr 19,@,TBD,"W,8-3",9.0,10,3,2,1,0,15,0,1,1.79,38,151,109,1.0,0.0,0,0,37,3,0,0,0,0,1,0,2,Bill Welke,"P.Martinez (4-57-W), D.Lowe (3-Sv)"
16,16,17,17,Apr 20,@,NYY,"L,1-6",8.0,9,6,6,0,4,6,1,1,2.05,38,149,93,0.0,0.0,2,0,33,2,0,0,0,0,0,0,4,Jim Joyce,"H.Nomo (4-29-L), T.Wakefield (3), P.Schourek (3), R.Garces (2)"
17,17,18,18,Apr 21,@,NYY,"W,8-3",9.0,9,3,3,0,2,1,1,0,2.1,38,143,90,0.0,0.0,3,0,34,1,0,0,0,2,0,0,4,Terry Craft,"F.Castillo (4-42-W), P.Schourek (0-H), R.Arrojo (2-H), R.Beck (4)"
18,18,19,19,Apr 22,@,NYY,"L,3-4",9.2,12,4,4,0,1,10,4,1,2.19,41,161,106,1.0,0.0,2,1,39,2,0,1,0,0,0,0,5,Bill Miller,"T.Ohka (4-57), P.Schourek (0-H), R.Garces (1-BSv), R.Beck (0), D.Lowe (2-BL)"
19,19,20,20,Apr 24,,MIN,"W,9-4",9.0,8,4,4,0,2,8,2,0,2.28,37,145,95,0.0,0.0,1,0,35,1,0,0,0,0,0,0,2,Dana DeMuth,"P.Crawford (5-44-W), T.Wakefield (3-Sv)"
20,20,21,21,Apr 25,,MIN,"L,4-6",10.0,10,6,6,0,4,11,0,0,2.45,43,164,97,5.0,3.0,1,1,37,4,0,1,2,0,0,0,5,Charlie Reliford,"P.Martinez (5-65), R.Garces (2-H), R.Beck (2-BL), P.Schourek (2), R.Arrojo (3)"
21,21,22,22,Apr 26,,MIN,"W,2-0",9.0,2,0,0,0,5,9,0,0,2.34,34,132,87,0.0,0.0,4,0,29,0,0,0,0,0,0,0,2,Kerwin Danley,"H.Nomo (5-78-W), D.Lowe (3-Sv)"
22,22,23,23,Apr 27,,KCR,"W,9-2",9.0,7,2,2,0,4,9,0,0,2.32,36,122,77,1.0,0.0,0,0,32,3,0,0,0,0,0,1,2,Rocky Roe,"F.Castillo (5-52-W), R.Arrojo (1-Sv)"
23,23,24,24,Apr 28,,KCR,"L,2-8",9.0,12,8,4,4,3,4,1,0,2.39,44,158,99,2.0,1.0,1,0,39,3,0,0,0,2,3,1,3,Jim Reynolds,"T.Ohka (5-46-L), T.Wakefield (3), R.Beck (2)"
24,24,25,25,Apr 29,,KCR,"L,8-11",11.0,16,11,11,0,5,9,2,0,2.71,53,208,127,2.0,0.0,0,0,47,3,0,0,1,0,0,1,6,Richard Shulock,"P.Crawford (4-16), R.Garces (3), P.Schourek (3), R.Beck (0), R.Arrojo (1-H), D.Lowe (2-BL)"
25,26,26,26,May 1,@,SEA,"W,2-0",9.0,3,0,0,0,4,12,0,1,2.61,34,151,87,0.0,0.0,0,0,29,0,0,0,0,0,0,0,2,Joe Brinkman,"P.Martinez (5-84-W), R.Arrojo (1-Sv)"
