,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Mar 31,@,CIN,"W,4-2",9.0,3,2,2,0,4,10,0,1,2.0,34,124,80,0.0,0.0,0,0,29,0,1,0,0,0,0,1,4,Dana DeMuth,"B.Webb (99-60-W), C.Qualls (99-H), T.Pena (99-H), B.Lyon (99-Sv)"
1,1,2,2,Apr 2,@,CIN,"L,5-6",8.0,9,6,6,0,1,6,3,0,4.24,33,133,83,0.0,0.0,1,0,32,0,0,0,0,0,0,1,4,Ted Barrett,"D.Haren (99-55), C.Qualls (1-H), T.Pena (1-H), B.Lyon (1-BL)"
2,2,3,3,Apr 3,@,CIN,"L,2-3",8.0,5,3,2,1,9,7,1,0,3.6,37,152,79,2.0,0.0,0,0,28,3,0,1,0,0,1,1,5,James Hoye,"D.Davis (99-41-L), Y.Petit (99), B.Medders (99), D.Slaten (99), J.Cruz (99)"
3,3,4,4,Apr 4,@,COL,"W,8-1",9.0,2,1,1,0,3,11,1,0,2.91,32,133,86,1.0,0.0,1,0,29,1,0,0,0,0,1,1,3,Rob Drake,"M.Owings (99-73-W), C.Qualls (1), J.Cruz (0)"
4,4,5,5,Apr 5,@,COL,"W,7-2",9.0,8,2,1,1,2,8,1,0,2.51,39,138,88,0.0,0.0,0,0,37,2,1,0,0,0,2,0,3,Brian Knight,"B.Webb (4-65-W), T.Pena (2), B.Lyon (2)"
5,5,6,6,Apr 6,@,COL,"W,5-2",10.0,9,2,2,0,3,5,1,0,2.38,38,158,101,0.0,0.0,1,0,34,0,0,0,1,0,0,4,5,Wally Bell,"E.Gonzalez (99-55), B.Medders (2), J.Cruz (1), B.Lyon (0-BW), C.Qualls (1-Sv)"
6,6,7,7,Apr 7,,LAD,"W,9-3",9.0,8,3,1,2,2,8,1,0,2.18,36,142,90,0.0,0.0,0,0,34,1,0,0,0,0,0,1,4,Dale Scott,"D.Haren (4-57-W), C.Qualls (0-H), T.Pena (1), D.Slaten (3)"
7,7,8,8,Apr 8,,LAD,"W,10-5",9.0,11,5,5,0,4,9,0,0,2.54,41,161,93,3.0,0.0,0,0,36,3,1,0,0,1,0,0,6,Ron Kulpa,"D.Davis (4-57-W), J.Cruz (1-H), D.Slaten (0-H), B.Medders (1), T.Pena (0), Y.Petit (4)"
8,8,9,9,Apr 9,,LAD,"W,4-3",9.0,7,3,3,0,2,6,1,1,2.59,36,126,80,0.0,0.0,0,0,32,3,0,0,0,1,0,1,3,Dan Iassogna,"M.Owings (4-54-W), J.Cruz (0-H), B.Lyon (2-Sv)"
9,9,10,10,Apr 11,,COL,"W,8-2",9.0,4,2,2,0,2,6,0,0,2.53,33,116,72,0.0,0.0,1,0,30,0,0,0,0,1,0,0,2,Gerry Davis,"B.Webb (5-71-W), C.Qualls (3)"
10,10,11,11,Apr 12,,COL,"W,10-3",9.0,9,3,3,0,2,8,0,0,2.57,37,133,92,0.0,0.0,1,0,35,1,0,0,0,0,0,1,4,Brian Gorman,"D.Haren (4-63-W), B.Medders (3), J.Peguero (99), Y.Petit (3)"
