,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 3,,BOS,"L,3-7",9.0,12,7,7,0,2,5,2,0,7.0,40,168,107,4.0,1.0,0,0,38,3,0,1,0,0,0,0,5,Gary Darling,"K.Millwood (99-35-L), S.Feldman (99), B.Shouse (99), J.Benoit (99), A.Alfonseca (99)"
1,1,2,2,Apr 4,,BOS,"W,10-4",9.0,10,4,4,0,3,7,0,0,5.5,39,148,96,0.0,0.0,1,0,36,4,0,0,0,0,0,1,4,Larry Poncino,"V.Padilla (99-63-W), A.Alfonseca (0), A.Otsuka (99), F.Cordero (99)"
2,2,3,3,Apr 5,,BOS,"L,1-2",9.0,6,2,2,0,5,4,1,0,4.33,36,129,76,2.0,0.0,0,0,31,0,1,0,0,0,0,2,3,Bruce Dreckman,"K.Loe (99-52-L), J.Benoit (1), S.Feldman (1)"
3,3,4,4,Apr 6,,DET,"L,6-10",9.0,12,10,9,1,4,4,7,0,5.5,43,147,91,0.0,0.0,0,0,39,0,0,0,0,0,2,1,4,Fieldin Culbreth,"R.Dickey (99-16-L), F.Castro (99), A.Otsuka (1), B.Shouse (2)"
4,4,5,5,Apr 7,,DET,"L,2-5",9.0,10,5,5,0,2,3,1,1,5.4,38,130,81,0.0,0.0,0,2,35,2,0,0,0,0,1,1,3,Tim McClelland,"J.Koronka (99-40-L), R.Bauer (99), A.Alfonseca (2)"
5,5,6,6,Apr 8,,DET,"L,0-7",9.0,11,7,6,1,0,8,1,0,5.5,38,137,93,0.0,0.0,0,1,38,1,2,0,0,0,1,0,4,Bob Davidson,"K.Millwood (4-43-L), S.Feldman (2), J.Benoit (2), F.Cordero (3)"
6,6,7,7,Apr 9,,DET,"W,5-3",9.0,8,3,3,0,3,7,0,0,5.14,36,140,80,0.0,0.0,0,0,33,3,0,0,0,0,0,2,4,Bill Welke,"V.Padilla (4-46-W), A.Alfonseca (1-H), A.Otsuka (2-H), F.Cordero (0-Sv)"
7,7,8,8,Apr 10,@,LAA,"L,2-5",8.0,11,5,5,0,1,5,0,0,5.2,36,121,85,1.0,0.0,2,1,35,1,1,0,0,0,2,1,3,Gary Cederstrom,"K.Loe (4-31-L), S.Feldman (1), B.Shouse (3)"
8,8,9,9,Apr 11,@,LAA,"L,4-5",8.1,11,5,4,1,1,4,0,1,5.11,36,133,84,3.0,1.0,1,0,33,4,0,0,0,1,0,1,6,Jim Reynolds,"R.Bauer (3-56), B.Shouse (0-H), J.Benoit (2-H), A.Alfonseca (1-H), A.Otsuka (1-H), F.Cordero (1-BL)"
9,9,10,10,Apr 12,@,LAA,"W,11-3",9.0,8,3,3,0,2,8,0,1,4.89,38,133,83,0.0,0.0,0,0,34,2,1,0,0,1,0,0,4,Tim Welke,"J.Koronka (4-56-W), J.Benoit (0), S.Feldman (1), F.Castro (5)"
10,10,11,11,Apr 14,@,OAK,"W,6-3",9.0,10,3,3,0,0,9,2,0,4.72,35,133,88,0.0,0.0,0,0,35,2,0,0,0,0,0,2,3,Joe West,"K.Millwood (5-62-W), A.Otsuka (2-H), A.Alfonseca (2)"
11,11,12,12,Apr 15,@,OAK,"L,4-5",8.0,8,5,5,0,1,5,4,0,4.78,33,131,83,0.0,0.0,0,1,32,0,0,0,0,0,1,0,3,Tom Hallion,"V.Padilla (5-34-L), J.Benoit (2), C.Wilson (99)"
12,12,13,13,Apr 16,@,OAK,"W,5-3",9.0,9,3,2,1,3,3,0,0,4.57,38,147,91,1.0,0.0,0,0,35,2,0,0,0,0,0,1,3,Ed Rapuano,"K.Loe (5-66), A.Otsuka (1), F.Cordero (4-W)"
13,13,14,14,Apr 18,@,SEA,"W,7-4",9.0,10,4,4,0,4,8,0,0,4.52,40,163,103,0.0,0.0,3,0,35,2,1,0,0,1,0,0,5,Jim Joyce,"J.Koronka (5-53-W), R.Bauer (6), A.Alfonseca (3-H), A.Otsuka (1-H), F.Cordero (1-Sv)"
14,14,15,15,Apr 19,@,SEA,"L,6-9",8.1,18,9,9,0,1,4,1,1,4.85,42,126,86,6.0,3.0,0,1,38,5,0,0,1,1,0,2,5,Doug Eddings,"K.Millwood (4-45), A.Alfonseca (0-H), A.Otsuka (0-H), F.Cordero (0-BL), C.Wilson (3)"
15,15,16,16,Apr 20,@,SEA,"W,4-3",9.0,5,3,3,0,4,8,1,0,4.73,34,135,80,2.0,1.0,0,0,30,1,0,0,0,0,0,2,5,Bob Davidson,"V.Padilla (4-71), J.Benoit (4-H), B.Shouse (8-BSv), R.Bauer (1-W), F.Cordero (0-Sv)"
16,16,17,17,Apr 21,,TBD,"W,13-7",9.0,10,7,7,0,4,11,2,1,4.87,42,164,100,0.0,0.0,1,0,37,4,0,0,0,0,0,0,5,Bill Miller,"K.Loe (4-23), C.Wilson (1-W), J.Benoit (0), B.Shouse (0), F.Castro (8)"
17,17,18,18,Apr 22,,TBD,"W,6-5",9.0,13,5,5,0,1,9,2,1,4.88,41,161,95,0.0,0.0,1,0,39,1,0,0,0,0,0,1,5,Gerry Davis,"J.Rheinecker (99-43), R.Bauer (1), A.Alfonseca (2-H), A.Otsuka (2-H), F.Cordero (1-BW)"
18,18,19,19,Apr 23,,TBD,"W,8-3",9.0,5,3,3,0,1,11,2,0,4.78,33,113,74,0.0,0.0,0,0,32,1,0,0,0,0,0,0,2,Brian Gorman,"J.Koronka (4-67-W), J.Benoit (1)"
19,19,20,20,Apr 24,,OAK,"L,2-3",9.0,9,3,3,0,7,8,2,0,4.69,42,177,98,0.0,0.0,0,0,35,0,0,0,0,0,0,1,5,Laz Diaz,"K.Millwood (4-57), C.Wilson (2-BL), A.Alfonseca (1), R.Mahay (99), A.Otsuka (1)"
20,20,21,21,Apr 25,,OAK,"W,6-5",9.0,9,5,4,1,5,4,0,1,4.65,42,164,99,2.0,0.0,0,0,36,3,0,0,0,0,2,2,5,Rick Reed,"V.Padilla (4-46), J.Benoit (1-H), A.Alfonseca (0-H), A.Otsuka (0-H), F.Cordero (2-BW)"
21,21,22,22,Apr 26,,OAK,"L,4-6",10.0,11,6,6,0,4,7,3,0,4.69,42,170,104,0.0,0.0,0,2,37,2,0,0,1,0,0,1,5,Tim Tschida,"K.Loe (4-47), R.Mahay (1-H), J.Benoit (0-H), F.Cordero (0-BSv), C.Wilson (1-L)"
22,22,23,23,Apr 28,@,CLE,"L,6-7",8.0,8,7,5,2,7,4,0,0,4.73,39,160,90,4.0,2.0,0,0,32,4,0,0,0,0,1,0,4,Brian O'Nora,"J.Koronka (4-39), R.Bauer (5-L), R.Mahay (1), F.Cordero (1)"
23,23,24,24,Apr 29,@,CLE,"W,7-5",9.0,12,5,5,0,1,8,1,0,4.74,38,145,94,0.0,0.0,0,0,37,1,0,0,0,0,0,0,3,Phil Cuzzi,"K.Millwood (4-60-W), A.Alfonseca (3), A.Otsuka (3-Sv)"
24,24,25,25,Apr 30,@,CLE,"W,8-4",9.0,9,4,4,0,3,8,0,2,4.71,39,152,86,2.0,0.0,1,0,34,3,1,0,0,0,0,1,4,Jerry Crawford,"V.Padilla (4-47-W), C.Wilson (3-H), A.Alfonseca (0-H), J.Benoit (3)"
25,26,26,26,May 1,@,TBD,"W,3-0",9.0,4,0,0,0,0,5,0,0,4.53,31,107,75,0.0,0.0,0,0,31,1,0,0,0,0,0,0,3,Wally Bell,"K.Loe (4-72-W), F.Cordero (2-H), A.Otsuka (1-Sv)"
26,27,27,27,May 2,@,TBD,"W,7-5",9.0,7,5,3,2,9,7,1,1,4.47,44,185,109,3.0,1.0,1,0,33,0,0,0,0,1,1,1,7,Mark Carlson,"R.Tejeda (99-47-W), R.Mahay (3), J.Benoit (1), C.Wilson (1-H), A.Alfonseca (1-H), F.Cordero (0-H), A.Otsuka (0-Sv)"
27,28,28,28,May 3,,BAL,"W,2-1",12.0,8,1,1,0,0,6,1,0,4.29,41,142,93,1.0,0.0,0,2,41,2,0,0,0,0,1,2,5,Paul Nauert,"J.Koronka (4-71), A.Otsuka (0), J.Benoit (0), F.Cordero (0), R.Bauer (4-W)"
28,29,29,29,May 4,,BAL,"W,8-2",9.0,4,2,2,0,2,1,1,0,4.21,32,99,69,,,0,0,30,0,0,0,0,0,0,0,1,Charlie Reliford,K.Millwood (4-70-W)
29,30,30,30,May 5,,NYY,"L,7-8",9.0,9,8,5,3,8,5,0,0,4.24,45,177,93,2.0,0.0,0,0,37,2,0,0,0,0,2,1,4,Ron Kulpa,"V.Padilla (4-26-L), R.Bauer (1), C.Wilson (2), R.Mahay (2)"
30,31,31,31,May 6,,NYY,"L,1-6",9.0,10,6,6,0,3,6,2,0,4.3,39,149,86,0.0,0.0,1,0,36,0,0,0,0,0,0,0,5,Dale Scott,"K.Loe (4-37-L), R.Mahay (0), J.Benoit (2), A.Alfonseca (3), F.Cordero (2)"
31,32,32,32,May 7,,NYY,"L,5-8",9.0,12,8,8,0,5,6,1,1,4.41,43,169,104,5.0,0.0,2,0,37,1,0,0,0,0,0,2,6,Chad Fairchild,"R.Tejeda (4-23-L), C.Wilson (1), A.Alfonseca (0), R.Mahay (0), F.Cordero (0), A.Otsuka (3)"
