,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 1,,BOS,"W,9-5",41,34,9,10,3,0,3,9,5,0,1,2,0,0,1,1,0,0,0.294,0.415,0.647,1.062,8,10,L,J.Lester(35)
1,1,2,2,Apr 2,,BOS,"W,12-5",41,39,12,15,3,2,4,12,2,1,4,0,0,0,0,0,1,0,0.342,0.415,0.767,1.182,5,9,R,J.Lackey(6)
2,2,3,3,Apr 3,,BOS,"W,5-1",33,29,5,9,2,0,4,5,3,1,7,1,0,0,0,2,0,2,0.333,0.409,0.775,1.183,4,9,R,C.Buchholz(48)
3,3,4,4,Apr 4,,SEA,"W,6-4",35,31,6,7,2,1,2,5,4,0,3,0,0,0,1,1,1,0,0.308,0.387,0.722,1.108,5,9,L,E.Bedard(44)
4,4,5,5,Apr 5,,SEA,"W,3-2",30,28,3,5,3,1,0,3,1,0,5,0,1,0,0,0,0,0,0.286,0.358,0.658,1.016,3,9,R,M.Pineda(53)
5,5,6,6,Apr 6,,SEA,"W,7-3",36,33,7,9,2,0,0,5,3,0,7,0,0,0,1,1,1,0,0.284,0.353,0.603,0.957,5,9,R,F.Hernandez(56)
6,6,7,7,Apr 9 (1),@,BAL,"L,0-5",32,29,0,5,1,0,0,0,3,0,3,0,0,0,0,3,0,0,0.269,0.34,0.552,0.892,5,9,L,Z.Britton(70)
7,7,8,8,Apr 9 (2),@,BAL,"W,13-1",45,37,13,13,2,0,3,13,7,0,8,0,0,1,1,3,2,0,0.281,0.356,0.565,0.922,5,9,R,J.Arrieta(19)
8,8,9,9,Apr 10,@,BAL,"W,3-0",36,33,3,7,0,0,2,3,2,0,1,0,1,0,1,1,0,0,0.273,0.346,0.546,0.892,6,9,R,J.Guthrie(60)
9,9,10,10,Apr 11,@,DET,"W,2-0",33,32,2,6,2,0,0,2,1,0,4,0,0,0,0,1,0,0,0.265,0.333,0.517,0.85,4,9,R,J.Verlander(70)
10,10,11,11,Apr 12,@,DET,"L,4-5",36,31,4,10,2,1,0,4,1,0,3,2,1,1,0,1,3,0,0.27,0.337,0.511,0.848,5,10,R,B.Penny(49)
11,11,12,12,Apr 13,@,DET,"L,2-3",38,35,2,9,1,0,0,2,2,0,9,1,0,0,0,0,3,1,0.269,0.335,0.491,0.826,9,9,R,M.Scherzer(55)
12,12,13,13,Apr 15,@,NYY,"W,5-3",37,29,5,4,2,0,0,3,7,0,6,1,0,0,0,1,0,1,0.26,0.334,0.471,0.805,5,9,R,I.Nova(33)
13,13,14,14,Apr 16,@,NYY,"L,2-5",35,33,2,7,2,0,0,2,2,0,4,0,0,0,0,1,0,0,0.256,0.329,0.457,0.786,6,9,R,F.Garcia(68)
14,14,15,15,Apr 17,@,NYY,"L,5-6",38,35,5,10,3,0,1,5,3,0,8,0,0,0,1,3,1,0,0.258,0.33,0.457,0.787,6,10,L,C.Sabathia(45)
15,15,16,16,Apr 18,,LAA,"W,7-1",39,35,7,14,2,1,2,7,4,0,8,0,0,0,0,2,0,0,0.268,0.338,0.472,0.811,8,10,R,E.Santana(19)
16,16,17,17,Apr 19,,LAA,"L,4-15",39,35,4,9,2,0,1,4,2,0,5,1,0,1,0,0,0,0,0.267,0.337,0.468,0.804,8,10,R,M.Palmer(64)
17,17,18,18,Apr 20,,LAA,"L,1-4",32,32,1,6,3,0,0,1,0,0,8,0,0,0,0,0,0,0,0.263,0.329,0.458,0.787,4,9,R,J.Weaver(79)
18,18,19,19,Apr 22,,KCR,"W,11-6",41,35,11,15,3,1,5,11,5,0,4,0,1,0,1,2,0,2,0.272,0.339,0.488,0.827,6,9,L,J.Francis(23)
19,19,20,20,Apr 23,,KCR,"W,3-1",31,28,3,4,1,0,0,3,2,0,6,0,0,1,1,0,1,0,0.266,0.333,0.475,0.808,4,10,R,K.Davies(56)
20,20,21,21,Apr 24,,KCR,"W,8-7",39,33,8,11,2,0,3,8,6,0,7,0,0,0,0,1,3,1,0.27,0.338,0.484,0.822,7,9,L,B.Chen(24)
21,21,22,22,Apr 25,,TOR,"L,4-6",35,33,4,8,3,0,2,4,2,0,3,0,0,0,0,2,0,0,0.268,0.336,0.485,0.821,4,10,R,K.Drabek(50)
22,22,23,23,Apr 26,,TOR,"L,3-10",38,35,3,10,3,0,0,3,3,0,2,0,0,0,0,2,0,0,0.269,0.336,0.48,0.816,8,12,R,J.Litsch(45)
23,23,24,24,Apr 27,,TOR,"W,7-6",34,30,7,6,2,0,1,7,3,0,2,1,0,0,1,1,1,0,0.267,0.334,0.476,0.81,3,11,L,J.Reyes(36)
24,24,25,25,Apr 28,,TOR,"L,2-5",36,33,2,7,1,0,0,2,2,0,10,0,0,1,1,0,5,0,0.264,0.331,0.466,0.797,7,9,R,B.Morrow(57)
25,25,26,26,Apr 29,@,OAK,"L,1-3",40,36,1,11,0,0,0,1,4,0,6,0,0,0,0,1,0,0,0.266,0.333,0.46,0.793,12,10,R,T.Cahill(63)
26,26,27,27,Apr 30,@,OAK,"W,11-2",46,40,11,14,3,0,3,11,5,0,5,1,0,0,1,1,1,1,0.27,0.338,0.468,0.806,8,10,L,B.Anderson(20)
27,28,28,28,May 1,@,OAK,"L,2-7",38,34,2,8,2,0,0,2,3,0,9,1,0,0,0,1,0,0,0.269,0.337,0.462,0.799,9,9,L,G.Gonzalez(61)
28,29,29,29,May 2,@,OAK,"L,4-5",44,34,4,8,2,0,0,4,6,0,7,0,2,2,2,1,0,0,0.267,0.337,0.456,0.793,10,11,R,B.McCarthy(54)
29,30,30,30,May 3,@,SEA,"L,3-4",34,30,3,5,1,0,0,3,2,0,5,0,2,0,1,1,2,0,0.264,0.333,0.448,0.781,4,11,L,E.Bedard(66)
30,31,31,31,May 4,@,SEA,"W,5-2",36,32,5,7,1,0,2,4,3,0,10,0,1,0,0,0,1,1,0.263,0.332,0.448,0.78,4,9,R,M.Pineda(56)
31,32,32,32,May 5,@,SEA,"L,1-3",34,31,1,6,1,0,0,1,3,0,5,0,0,0,0,2,2,0,0.261,0.33,0.441,0.771,6,10,L,J.Vargas(64)
32,33,33,33,May 6,,NYY,"L,1-4",31,30,1,3,0,0,0,1,1,0,4,0,0,0,1,1,0,0,0.256,0.325,0.432,0.756,3,9,R,I.Nova(72)
33,34,34,34,May 7,,NYY,"W,7-5",38,34,7,14,1,1,2,7,2,0,6,0,1,1,0,1,0,0,0.261,0.328,0.439,0.767,7,10,R,B.Colon(28)
