,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 5,,BOS,"W,3-2",37,31,3,10,2,1,0,3,4,1,4,1,0,1,0,3,0,0,0.323,0.405,0.452,0.857,9,12,L,J.Lester(62)
1,1,2,2,Apr 7,,BOS,"W,10-0",39,36,10,12,1,0,5,9,2,0,4,1,0,0,1,1,0,0,0.328,0.395,0.627,1.022,5,11,R,J.Beckett(24)
2,2,3,3,Apr 8,,BOS,"W,13-12",51,46,13,17,2,0,2,12,2,0,9,1,0,2,0,1,0,0,0.345,0.394,0.593,0.987,6,10,R,C.Buchholz(18)
3,3,4,4,Apr 10,,TBR,"W,5-2",36,30,5,8,1,0,1,4,5,1,4,0,0,1,0,1,0,0,0.329,0.387,0.552,0.939,7,10,L,M.Moore(57)
4,4,5,5,Apr 11,,TBR,"L,2-4",32,31,2,6,1,0,0,1,1,0,5,0,0,0,0,1,0,1,0.305,0.359,0.494,0.853,3,10,R,J.Shields(66)
5,5,6,6,Apr 12,,TBR,"W,7-2",35,33,7,10,0,2,0,6,2,0,8,0,0,0,0,0,2,0,0.304,0.357,0.483,0.84,4,10,R,J.Niemann(51)
6,6,7,7,Apr 13,@,CHW,"L,2-5",34,31,2,6,1,0,1,2,2,0,10,1,0,0,0,1,0,1,0.29,0.345,0.462,0.807,5,9,R,J.Peavy(69)
7,7,8,8,Apr 14,@,CHW,"L,1-5",35,29,1,5,1,0,1,1,3,0,8,3,0,0,0,2,0,1,0.277,0.341,0.446,0.787,7,11,R,G.Floyd(69)
8,8,9,9,Apr 15,@,CHW,"W,5-2",41,37,5,10,4,0,1,3,4,0,8,0,0,0,0,0,0,0,0.276,0.341,0.447,0.789,9,11,L,C.Sale(48)
9,9,10,10,Apr 16,@,KCR,"W,3-2",35,32,3,7,2,0,2,3,3,1,9,0,0,0,0,1,0,0,0.271,0.336,0.449,0.785,5,10,L,D.Duffy(54)
10,10,11,11,Apr 17,@,KCR,"W,3-1",36,35,3,10,1,0,0,3,0,0,10,0,0,1,0,1,0,0,0.272,0.331,0.437,0.768,6,11,L,B.Chen(64)
11,11,12,12,Apr 18,@,KCR,"W,4-3",39,35,4,8,1,0,0,3,3,0,8,0,1,0,1,0,2,0,0.268,0.327,0.421,0.749,8,10,L,J.Sanchez(51)
12,12,13,13,Apr 19,,TEX,"L,3-10",38,32,3,5,1,0,0,3,6,0,7,0,0,0,1,0,0,0,0.26,0.324,0.404,0.729,8,9,R,Y.Darvish(65)
13,13,14,14,Apr 21 (1),,TEX,"L,4-10",35,35,4,8,2,0,2,4,0,0,8,0,0,0,0,0,0,0,0.258,0.318,0.408,0.726,4,9,L,M.Harrison(61)
14,14,15,15,Apr 21 (2),,TEX,"W,3-2",32,27,3,3,0,0,0,3,4,0,6,1,0,0,0,0,0,0,0.25,0.314,0.392,0.706,5,11,R,N.Feliz(66)
15,15,16,16,Apr 22,,TEX,"L,2-3",40,40,2,8,1,1,1,1,0,0,5,0,0,0,0,0,0,0,0.246,0.306,0.389,0.695,5,11,R,C.Lewis(57)
16,16,17,17,Apr 24,,SEA,"L,4-7",38,35,4,8,2,0,2,4,3,0,7,0,0,0,0,0,0,0,0.245,0.305,0.393,0.698,7,11,L,J.Vargas(47)
17,17,18,18,Apr 25,,SEA,"L,1-9",36,32,1,7,0,0,1,1,4,0,5,0,0,0,0,2,0,0,0.244,0.305,0.389,0.694,8,9,R,F.Hernandez(64)
18,18,19,19,Apr 26,,SEA,"L,4-5",36,32,4,8,0,1,1,4,2,0,5,0,2,0,1,2,0,0,0.244,0.305,0.39,0.695,5,10,R,H.Noesi(42)
19,19,20,20,Apr 27,@,NYY,"L,6-7",45,40,6,13,3,1,0,6,5,1,9,0,0,0,1,0,1,0,0.249,0.311,0.393,0.704,12,10,R,I.Nova(24)
20,20,21,21,Apr 28,@,NYY,"W,7-5",36,32,7,7,1,0,2,7,4,1,8,0,0,0,0,2,1,0,0.248,0.31,0.395,0.706,2,10,R,F.Garcia(22)
21,21,22,22,Apr 29,@,NYY,"L,2-6",33,31,2,4,2,0,1,2,2,0,10,0,0,0,0,0,0,0,0.243,0.305,0.391,0.696,4,10,L,C.Sabathia(72)
22,23,23,23,May 1,,KCR,"W,9-3",40,36,9,14,3,0,0,7,4,1,8,0,0,0,0,1,1,0,0.249,0.312,0.395,0.707,7,10,R,L.Hochevar(1)
23,24,24,24,May 2,,KCR,"L,2-3",35,31,2,5,2,0,1,2,3,0,5,1,0,0,0,1,0,0,0.246,0.31,0.392,0.702,6,12,L,J.Sanchez(65)
24,25,25,25,May 4,,CHW,"W,5-4",34,32,5,9,1,0,2,5,1,0,6,0,0,1,0,1,0,0,0.247,0.309,0.396,0.705,4,11,R,J.Peavy(58)
25,26,26,26,May 5,,CHW,"L,2-3",37,36,2,9,2,0,0,2,1,0,7,0,0,0,1,1,0,0,0.247,0.308,0.392,0.7,8,11,R,G.Floyd(61)
26,27,27,27,May 6,,CHW,"W,3-1",39,34,3,10,1,0,3,3,4,0,7,1,0,0,0,1,0,0,0.249,0.311,0.4,0.71,12,10,R,D.Axelrod(45)
27,28,28,28,May 7,@,SEA,"L,2-3",36,35,2,9,2,0,0,2,1,0,9,0,0,0,0,1,1,0,0.249,0.31,0.396,0.706,7,10,R,B.Beavan(48)
28,29,29,29,May 8,@,SEA,"W,6-4",41,35,6,10,3,0,1,6,5,0,8,0,1,0,0,1,0,0,0.251,0.312,0.399,0.711,8,11,R,K.Millwood(29)
29,30,30,30,May 9,@,SEA,"L,1-2",30,28,1,5,1,0,0,1,1,0,6,0,0,1,0,3,0,0,0.249,0.309,0.393,0.702,2,9,L,J.Vargas(74)
30,31,31,31,May 10,@,OAK,"W,10-6",45,44,10,17,5,0,1,10,1,0,4,0,0,0,1,0,0,1,0.255,0.313,0.401,0.713,8,11,R,B.Colon(9)
31,32,32,32,May 11,@,OAK,"L,4-11",37,33,4,8,1,0,0,3,4,0,7,0,0,0,1,3,0,0,0.254,0.313,0.397,0.71,6,9,L,T.Milone(66)
