,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 1,@,ARI,"L,2-6",8.0,15,6,5,1,1,8,0,0,5.62,38,154,103,2.0,1.0,0,1,36,7,0,1,0,1,0,1,4,Gerry Davis,"A.Wainwright (99-42-L), F.Salas (99), M.Rzepczynski (99), J.Kelly (99)"
1,1,2,2,Apr 2,@,ARI,"W,6-1",9.0,3,1,1,0,4,8,1,0,3.18,35,142,88,3.0,0.0,0,0,31,0,0,0,0,0,1,0,4,Dan Iassogna,"J.Garcia (99-61-W), E.Mujica (99-H), T.Rosenthal (99), M.Boggs (99)"
2,2,3,3,Apr 3,@,ARI,"L,9-10",15.1,17,10,10,0,7,13,3,1,4.45,71,285,166,3.0,2.0,1,0,59,1,1,1,2,2,0,0,8,Brian Knight,"L.Lynn (99-34), R.Choate (99), J.Kelly (1-BSv), E.Mujica (0-H), T.Rosenthal (0-BSv), M.Rzepczynski (1), M.Boggs (0-BSv), F.Salas (1-L)"
3,3,4,4,Apr 5,@,SFG,"L,0-1",8.0,6,1,0,1,6,3,0,0,3.57,36,134,78,2.0,0.0,0,0,28,0,0,0,2,0,1,1,3,Dana DeMuth,"J.Westbrook (99-55-L), R.Choate (1), T.Rosenthal (1)"
4,4,5,5,Apr 6,@,SFG,"W,6-3",9.0,7,3,3,0,5,7,2,0,3.47,38,130,80,3.0,0.0,1,0,33,1,0,0,0,0,0,0,5,Angel Hernandez,"S.Miller (99-52-W), R.Choate (0-H), F.Salas (2-H), E.Mujica (2-H), M.Boggs (2-Sv)"
5,5,6,6,Apr 7,@,SFG,"W,14-3",9.0,10,3,3,0,0,6,0,0,3.39,36,126,85,0.0,0.0,0,0,35,3,1,0,1,0,0,1,3,Doug Eddings,"A.Wainwright (5-61-W), M.Rzepczynski (3), J.Kelly (3)"
6,6,7,7,Apr 8,,CIN,"L,4-13",9.0,14,13,11,2,8,12,1,1,4.41,51,177,105,5.0,3.0,0,0,42,4,0,2,0,0,1,0,5,Lance Barksdale,"J.Garcia (5-57), R.Choate (1-H), T.Rosenthal (2-BSv), M.Boggs (1-L), M.Rzepczynski (0)"
7,7,8,8,Apr 9,,CIN,"W,5-1",9.0,5,1,1,0,1,14,0,0,4.01,32,135,90,0.0,0.0,0,0,30,0,0,0,0,1,0,1,4,Vic Carapazza,"L.Lynn (5-69-W), E.Mujica (2-H), T.Rosenthal (0-H), M.Boggs (0)"
8,8,9,9,Apr 10,,CIN,"W,10-0",9.0,5,0,0,0,4,3,0,1,3.59,35,111,69,,,0,1,29,1,0,0,1,0,0,1,1,Jeff Nelson,J.Westbrook (4-76-W)
9,9,10,10,Apr 12,,MIL,"W,2-0",9.0,2,0,0,0,1,10,0,1,3.24,31,150,112,0.0,0.0,1,0,29,0,0,0,0,0,0,0,3,Bill Miller,"S.Miller (5-83-W), T.Rosenthal (2-H), M.Boggs (2-Sv)"
