,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 4,@,BAL,"L,2-7",43,36,2,11,1,0,0,2,6,0,5,1,0,0,1,2,0,1,0.306,0.419,0.333,0.752,14,12,R,S.Ponson(51)
1,2,2,Apr 6,@,BAL,"W,4-1",40,32,4,5,0,0,1,2,8,0,3,0,0,0,2,2,1,0,0.235,0.373,0.294,0.668,9,12,L,E.DuBose(44)
2,3,3,Apr 7,@,BAL,"W,10-3",44,38,10,14,3,0,1,10,5,0,8,1,0,0,0,1,1,0,0.283,0.402,0.377,0.779,7,10,R,K.Ainsworth(11)
3,4,4,Apr 8,@,BAL,"L,2-3",52,46,2,6,0,0,1,2,6,0,11,0,0,0,1,0,0,0,0.237,0.352,0.322,0.674,11,13,L,M.Riley(62)
4,5,5,Apr 9,,TOR,"L,5-10",36,33,5,6,3,0,1,5,3,0,5,0,0,0,0,0,0,0,0.227,0.335,0.33,0.665,4,11,L,T.Lilly(43)
5,6,6,Apr 10,,TOR,"W,4-1",35,32,4,9,0,0,3,4,3,0,9,0,0,0,0,1,0,0,0.235,0.336,0.364,0.7,7,9,R,R.Halladay(56)
6,7,7,Apr 11,,TOR,"W,6-4",48,41,6,10,2,0,1,6,6,0,9,0,0,1,0,1,1,0,0.236,0.336,0.364,0.7,9,10,R,M.Batista(65)
7,8,8,Apr 15,,BAL,"L,7-12",50,44,7,11,1,0,1,7,5,0,11,1,0,0,1,0,1,0,0.238,0.336,0.361,0.697,10,11,R,S.Ponson(18)
8,9,9,Apr 16,,NYY,"W,6-2",36,31,6,9,1,0,3,5,5,0,5,0,0,0,2,3,0,1,0.243,0.341,0.384,0.726,6,10,R,J.Vazquez(34)
9,10,10,Apr 17,,NYY,"W,5-2",38,32,5,10,1,0,1,5,4,0,6,2,0,0,1,0,2,0,0.249,0.348,0.389,0.737,9,10,R,M.Mussina(37)
10,11,11,Apr 18,,NYY,"L,3-7",38,35,3,9,2,0,0,3,3,0,4,0,0,0,0,0,0,1,0.25,0.346,0.383,0.728,8,10,R,J.Contreras(34)
11,12,12,Apr 19,,NYY,"W,5-4",36,36,5,13,3,0,1,5,0,0,7,0,0,0,0,1,0,0,0.259,0.347,0.394,0.741,7,9,R,K.Brown(42)
12,13,13,Apr 20,@,TOR,"W,4-2",41,38,4,11,5,0,0,3,3,3,11,0,0,0,0,0,0,0,0.262,0.346,0.397,0.743,10,10,R,R.Halladay(48)
13,14,14,Apr 21,@,TOR,"W,4-2",37,34,4,8,1,0,2,3,3,0,9,0,0,0,0,1,1,0,0.26,0.343,0.4,0.743,6,10,L,T.Lilly(48)
14,15,15,Apr 22,@,TOR,"L,3-7",43,36,3,10,2,1,1,3,7,1,6,0,0,0,0,1,0,0,0.261,0.347,0.404,0.751,13,9,R,M.Batista(37)
15,16,16,Apr 23,@,NYY,"W,11-2",47,40,11,12,3,0,4,11,7,0,9,0,0,0,1,0,3,0,0.264,0.351,0.423,0.774,9,12,R,J.Contreras(29)
16,17,17,Apr 24,@,NYY,"W,3-2",53,39,3,6,3,0,0,3,7,0,5,3,1,3,1,0,1,0,0.257,0.348,0.411,0.759,14,12,R,K.Brown(60)
17,18,18,Apr 25,@,NYY,"W,2-0",36,31,2,4,1,0,1,2,4,1,11,1,0,0,1,0,0,1,0.251,0.343,0.404,0.747,7,10,R,J.Vazquez(63)
18,19,19,Apr 28,,TBD,"W,6-0",40,36,6,12,4,0,1,6,4,1,3,0,0,0,0,0,0,0,0.255,0.346,0.41,0.756,10,10,R,P.Abbott(40)
19,20,20,Apr 29 (1),,TBD,"W,4-0",37,29,4,8,4,0,1,4,6,1,13,1,0,1,0,1,0,1,0.256,0.349,0.414,0.763,9,11,R,V.Zambrano(56)
20,21,21,Apr 29 (2),,TBD,"W,7-3",38,36,7,12,2,0,1,7,2,0,5,0,0,0,0,0,1,0,0.26,0.349,0.417,0.767,7,10,L,D.Moss(11)
21,22,22,May 1 (1),@,TEX,"L,3-4",38,32,3,9,2,0,0,3,6,0,10,0,0,0,0,3,0,0,0.26,0.351,0.414,0.766,8,11,R,R.Drese(51)
22,23,23,May 1 (2),@,TEX,"L,5-8",39,36,5,11,2,1,1,5,2,0,6,0,0,1,0,1,0,0,0.262,0.351,0.418,0.769,7,10,R,J.Benoit(59)
