,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 1,@,NYY,"W,8-2",48,40,8,13,1,1,0,8,8,1,8,0,0,0,0,0,0,0,0.325,0.438,0.4,0.838,13,9,L,C.Sabathia(36)
1,2,2,Apr 3,@,NYY,"W,7-4",44,39,7,14,3,0,0,7,3,0,7,2,0,0,0,2,1,0,0.342,0.435,0.418,0.853,10,9,R,H.Kuroda(38)
2,3,3,Apr 4,@,NYY,"L,2-4",34,32,2,9,2,0,0,2,2,0,4,0,0,0,0,3,0,0,0.324,0.405,0.396,0.801,5,9,L,A.Pettitte(64)
3,4,4,Apr 5,@,TOR,"W,6-4",48,41,6,12,3,0,2,6,6,1,12,1,0,0,3,1,3,0,0.316,0.402,0.428,0.83,15,11,R,J.Johnson(44)
4,5,5,Apr 6,@,TOR,"L,0-5",31,28,0,2,1,0,0,0,3,0,11,0,0,0,0,0,2,1,0.278,0.366,0.378,0.744,4,9,L,J.Happ(69)
5,6,6,Apr 7,@,TOR,"W,13-0",46,41,13,15,4,0,6,13,4,0,9,0,0,1,0,0,2,0,0.294,0.375,0.475,0.85,6,11,R,R.Dickey(17)
6,7,7,Apr 8,,BAL,"W,3-1",29,27,3,5,1,0,1,3,2,0,4,0,0,0,0,1,0,1,0.282,0.361,0.46,0.82,2,10,L,W.Chen(52)
7,8,8,Apr 10,,BAL,"L,5-8",35,30,5,5,2,1,2,5,4,0,7,0,0,1,0,1,0,0,0.27,0.349,0.464,0.813,3,9,R,J.Arrieta(47)
8,9,9,Apr 11,,BAL,"L,2-3",37,35,2,8,0,0,0,2,2,0,9,0,0,0,0,0,0,0,0.265,0.341,0.438,0.779,8,10,R,C.Tillman(51)
9,10,10,Apr 13,,TBR,"W,2-1",38,35,2,7,0,0,1,2,3,0,12,0,0,0,0,0,2,0,0.259,0.333,0.422,0.756,8,10,L,D.Price(66)
10,11,11,Apr 14,,TBR,"W,5-0",34,29,5,8,2,0,0,4,3,1,6,1,0,1,0,0,1,1,0.26,0.335,0.416,0.751,5,9,R,A.Cobb(50)
11,12,12,Apr 15,,TBR,"W,3-2",31,28,3,4,2,1,1,3,3,0,11,0,0,0,0,0,0,1,0.252,0.327,0.415,0.742,3,9,R,J.Hellickson(71)
12,13,13,Apr 16,@,CLE,"W,7-2",42,32,7,6,2,0,0,7,9,0,16,0,0,1,0,0,1,0,0.247,0.33,0.403,0.733,8,11,R,U.Jimenez(19)
13,14,14,Apr 17,@,CLE,"W,6-3",43,40,6,15,3,1,0,5,1,0,10,1,1,0,1,1,0,1,0.258,0.336,0.411,0.747,10,11,R,J.Masterson(33)
14,15,15,Apr 18,@,CLE,"W,6-3",40,36,6,9,1,1,1,6,3,1,11,0,0,1,1,0,3,0,0.257,0.333,0.411,0.745,7,10,R,Z.McAllister(47)
15,16,16,Apr 20,,KCR,"W,4-3",34,27,4,7,1,0,1,4,5,0,8,1,1,0,1,3,0,0,0.257,0.337,0.411,0.748,6,11,R,J.Shields(65)
16,17,17,Apr 21 (1),,KCR,"L,2-4",36,35,2,8,1,0,0,2,1,0,9,0,0,0,0,0,0,0,0.256,0.332,0.402,0.734,7,10,R,E.Santana(64)
17,18,18,Apr 21 (2),,KCR,"L,4-5",43,37,4,10,3,1,1,4,6,1,8,0,0,0,0,0,2,1,0.257,0.334,0.407,0.741,9,9,R,J.Guthrie(36)
18,19,19,Apr 22,,OAK,"W,9-6",41,35,9,9,5,0,2,9,5,0,8,1,0,0,1,0,1,0,0.257,0.336,0.416,0.752,8,9,R,A.Griffin(16)
19,20,20,Apr 23,,OAK,"L,0-13",25,24,0,3,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0.252,0.33,0.405,0.736,4,11,R,B.Colon(77)
20,21,21,Apr 24,,OAK,"W,6-5",39,34,6,10,4,1,0,6,4,0,9,1,0,0,0,0,1,0,0.254,0.333,0.409,0.741,9,11,L,B.Anderson(25)
21,22,22,Apr 25,,HOU,"W,7-2",38,34,7,11,4,0,1,7,4,0,8,0,0,0,0,1,1,0,0.257,0.336,0.414,0.75,7,10,R,P.Humber(18)
22,23,23,Apr 26,,HOU,"W,7-3",39,39,7,17,4,1,4,7,0,0,10,0,0,0,0,1,1,0,0.266,0.34,0.438,0.779,8,9,L,E.Bedard(28)
23,24,24,Apr 27,,HOU,"W,8-4",43,34,8,12,4,0,0,8,8,0,8,0,0,1,0,0,1,0,0.27,0.346,0.44,0.786,11,10,R,B.Peacock(26)
24,25,25,Apr 28,,HOU,"W,6-1",36,34,6,11,4,1,0,6,2,0,9,0,0,0,1,0,0,1,0.272,0.347,0.442,0.789,6,10,R,B.Norris(42)
25,26,26,Apr 30,@,TOR,"L,7-9",40,35,7,9,1,0,3,7,5,0,11,0,0,0,1,1,0,1,0.271,0.347,0.446,0.793,6,10,R,B.Morrow(47)
26,27,27,May 1,@,TOR,"W,10-1",45,40,10,15,3,0,5,9,4,1,2,1,0,0,0,2,0,0,0.276,0.351,0.463,0.814,8,11,L,M.Buehrle(38)
27,28,28,May 2,@,TOR,"W,3-1",42,31,3,6,3,0,0,3,10,0,8,0,0,1,1,2,0,0,0.273,0.352,0.457,0.809,12,9,L,J.Happ(42)
28,29,29,May 3,@,TEX,"L,0-7",32,31,0,6,0,0,0,0,1,0,9,0,0,0,0,2,0,0,0.271,0.348,0.449,0.797,5,9,L,D.Holland(78)
29,30,30,May 4,@,TEX,"L,1-5",37,33,1,7,2,0,0,1,2,0,6,2,0,0,0,0,1,0,0.269,0.347,0.443,0.79,9,9,R,A.Ogando(58)
30,31,31,May 5,@,TEX,"L,3-4",37,32,3,5,0,0,2,3,5,0,16,0,0,0,0,0,3,0,0.265,0.344,0.44,0.784,7,12,R,Y.Darvish(69)
31,32,32,May 6,,MIN,"W,6-5",45,43,6,17,5,0,3,6,2,0,8,0,0,0,0,4,0,1,0.27,0.347,0.451,0.798,7,11,R,V.Worley(40)
32,33,33,May 7,,MIN,"L,1-6",31,29,1,4,0,0,1,1,2,0,3,0,0,0,0,2,0,0,0.267,0.343,0.446,0.789,3,11,L,S.Diamond(73)
33,34,34,May 8,,MIN,"L,8-15",42,36,8,12,2,0,2,8,4,0,7,0,0,2,0,0,0,0,0.269,0.345,0.449,0.794,7,11,L,P.Hernandez(19)
34,35,35,May 9,,MIN,"L,3-5",40,37,3,9,3,0,0,3,3,0,8,0,0,0,1,0,0,0,0.268,0.343,0.445,0.788,10,11,R,K.Correia(39)
35,36,36,May 10,,TOR,"W,5-0",38,33,5,10,4,0,0,5,5,1,4,0,0,0,1,2,0,0,0.269,0.345,0.445,0.789,9,9,R,R.Ortiz(51)
36,37,37,May 11,,TOR,"L,2-3",37,34,2,8,2,1,0,2,3,1,8,0,0,0,0,0,1,0,0.268,0.343,0.442,0.786,8,10,L,M.Buehrle(66)
37,38,38,May 12,,TOR,"L,4-12",39,35,4,10,3,0,2,4,2,0,6,1,0,1,0,1,1,0,0.269,0.343,0.445,0.788,8,11,R,C.Jenkins(46)
38,39,39,May 14,@,TBR,"L,3-5",35,30,3,3,2,0,1,3,4,0,12,1,0,0,0,0,0,0,0.265,0.34,0.441,0.781,5,9,L,M.Moore(60)
39,40,40,May 15,@,TBR,"W,9-2",40,37,9,10,4,0,2,9,3,0,6,0,0,0,0,0,0,0,0.265,0.34,0.443,0.784,4,11,L,D.Price(31)
40,41,41,May 16,@,TBR,"W,4-3",37,31,4,4,2,0,0,4,6,0,8,0,0,0,0,0,0,0,0.262,0.338,0.438,0.776,6,11,R,A.Cobb(67)
41,42,42,May 17,@,MIN,"W,3-2",44,35,3,10,1,0,0,3,7,1,6,0,1,1,0,3,1,0,0.263,0.34,0.435,0.775,11,10,R,V.Worley(56)
42,43,43,May 18,@,MIN,"W,12-5",45,35,12,13,2,0,3,12,8,0,3,0,0,2,0,2,0,0,0.265,0.343,0.441,0.784,6,9,L,S.Diamond(21)
43,44,44,May 19,@,MIN,"W,5-1",43,39,5,11,0,0,2,5,4,0,7,0,0,0,1,0,1,0,0.266,0.344,0.441,0.784,11,9,L,P.Hernandez(34)
44,45,45,May 20,@,CHW,"L,4-6",35,31,4,6,1,0,1,4,4,0,4,0,0,0,0,2,0,0,0.264,0.342,0.438,0.781,4,10,R,D.Axelrod(57)
45,46,46,May 21,@,CHW,"L,1-3",34,31,1,4,0,0,0,1,3,0,8,0,0,0,1,1,0,0,0.262,0.34,0.432,0.772,6,10,L,J.Quintana(70)
46,47,47,May 22,@,CHW,"W,6-2",43,33,6,9,1,0,0,5,8,0,11,1,0,1,0,2,1,0,0.262,0.342,0.43,0.771,10,9,L,H.Santiago(63)
47,48,48,May 23,,CLE,"L,3-12",36,33,3,7,2,0,1,3,3,0,11,0,0,0,0,0,0,0,0.261,0.34,0.428,0.769,6,11,R,Z.McAllister(47)
48,49,49,May 24,,CLE,"W,8-1",35,31,8,9,1,0,1,8,2,0,7,2,0,0,0,1,1,0,0.261,0.341,0.428,0.769,3,10,R,J.Masterson(44)
49,50,50,May 25,,CLE,"W,7-4",43,34,7,11,5,0,0,6,8,2,11,0,0,1,0,0,0,0,0.263,0.343,0.429,0.772,12,10,L,S.Kazmir(51)
50,51,51,May 26,,CLE,"W,6-5",37,30,6,7,3,1,0,6,5,0,10,1,0,1,0,1,3,0,0.262,0.343,0.428,0.772,5,10,R,C.Kluber(73)
51,52,52,May 27,,PHI,"W,9-3",43,38,9,15,5,0,2,8,5,0,8,0,0,0,0,0,0,0,0.265,0.346,0.434,0.78,10,10,R,T.Cloyd(16)
52,53,53,May 28,,PHI,"L,1-3",31,30,1,4,0,0,0,1,0,0,9,0,1,0,0,0,1,0,0.263,0.343,0.429,0.772,3,9,L,C.Lee(78)
53,54,54,May 29,@,PHI,"L,3-4",38,31,3,7,2,1,1,3,4,0,8,1,1,1,1,1,0,1,0.262,0.342,0.429,0.772,8,14,R,K.Kendrick(56)
54,55,55,May 30,@,PHI,"W,9-2",46,39,9,14,3,0,2,9,5,0,9,2,0,0,0,1,5,0,0.264,0.345,0.433,0.778,10,17,R,J.Pettibone(40)
55,56,56,May 31,@,NYY,"L,1-4",33,33,1,8,4,0,0,1,0,0,12,0,0,0,0,2,0,0,0.264,0.343,0.431,0.775,5,10,L,C.Sabathia(72)
56,57,57,Jun 1,@,NYY,"W,11-1",47,44,11,18,4,0,3,11,3,1,12,0,0,0,0,1,0,0,0.267,0.346,0.438,0.783,9,10,R,P.Hughes(34)
57,58,58,Jun 2,@,NYY,"W,3-0",25,25,3,8,0,0,2,3,0,0,6,0,0,0,0,0,0,1,0.268,0.345,0.439,0.785,4,9,R,H.Kuroda(45)
58,59,59,Jun 4,,TEX,"W,17-5",49,42,17,19,8,1,4,17,4,1,6,0,0,3,2,0,0,0,0.272,0.348,0.45,0.798,8,11,R,J.Grimm(7)
59,60,60,Jun 5,,TEX,"L,2-3",37,30,2,5,2,0,1,2,7,0,8,0,0,0,0,1,0,0,0.27,0.348,0.449,0.796,8,12,R,A.Ogando(62)
60,61,61,Jun 6,,TEX,"W,6-3",40,34,6,13,4,0,1,6,6,1,8,0,0,0,0,2,0,0,0.272,0.35,0.451,0.801,10,12,L,D.Holland(47)
61,62,62,Jun 8 (1),,LAA,"L,5-9",46,40,5,14,2,0,1,5,5,0,7,0,0,0,0,1,2,0,0.273,0.351,0.451,0.803,14,9,R,T.Hanson(45)
62,63,63,Jun 8 (2),,LAA,"W,7-2",41,37,7,13,3,0,1,7,3,0,8,0,1,0,1,0,1,0,0.275,0.352,0.453,0.804,10,9,L,C.Wilson(39)
63,64,64,Jun 9,,LAA,"W,10-5",41,37,10,11,1,1,4,10,4,0,8,0,0,0,2,0,1,0,0.275,0.352,0.457,0.809,7,10,R,J.Blanton(30)
64,65,65,Jun 10,@,TBR,"W,10-8",62,54,10,15,3,0,0,10,8,1,17,0,0,0,0,3,3,0,0.275,0.353,0.454,0.806,10,11,R,A.Cobb(25)
65,66,66,Jun 11,@,TBR,"L,3-8",38,33,3,9,0,0,0,3,2,1,9,1,1,1,0,2,2,0,0.275,0.352,0.451,0.803,8,9,R,R.Hernandez(54)
66,67,67,Jun 12,@,TBR,"W,2-1",37,32,2,5,0,0,1,2,4,0,11,1,0,0,0,0,3,0,0.273,0.351,0.448,0.799,8,10,R,C.Archer(49)
67,68,68,Jun 13,@,BAL,"L,4-5",47,45,4,9,2,0,2,4,0,0,11,0,0,1,0,0,1,1,0.272,0.348,0.447,0.795,4,11,R,K.Gausman(53)
68,69,69,Jun 14,@,BAL,"L,0-2",34,29,0,3,1,0,0,0,4,0,5,1,0,0,0,1,0,0,0.27,0.347,0.443,0.79,7,9,R,C.Tillman(65)
