,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Mar 31,,PHI,"L,5-8",9.0,10,8,2,6,8,9,0,0,2.0,47,198,110,2.0,1.0,0,0,39,1,0,0,0,0,3,1,7,Dana DeMuth,"J.Beckett (99-27-L), T.Phelps (99), T.Spooneybarger (99), A.Almanza (99), M.Tejera (99), V.Núñez (99), B.Looper (99)"
1,1,2,2,Apr 2,,PHI,"L,2-8",9.0,12,8,7,1,7,7,0,0,4.5,43,153,85,1.0,1.0,0,1,36,4,1,0,0,0,0,2,4,Jerry Layne,"C.Pavano (99-38-L), T.Spooneybarger (1), B.Neal (99), T.Phelps (1)"
2,2,3,3,Apr 3,,PHI,"W,8-3",9.0,9,3,2,1,1,12,1,0,3.67,37,145,97,2.0,0.0,0,0,36,2,1,0,0,0,0,0,4,Chris Guccione,"M.Redman (99-63-W), V.Núñez (2-H), A.Almanza (2), B.Looper (2)"
3,3,4,4,Apr 4,@,ATL,"L,7-12",8.0,16,12,10,2,3,8,2,0,5.4,45,151,93,3.0,2.0,0,0,41,5,0,0,1,0,2,0,5,Charlie Reliford,"M.Tejera (3-55), B.Neal (1-H), V.Núñez (0-BL), T.Spooneybarger (1), T.Phelps (1)"
4,4,5,5,Apr 5,@,ATL,"W,17-1",9.0,8,1,1,0,3,10,0,0,4.5,38,138,89,0.0,0.0,0,0,35,0,0,0,0,0,0,0,4,Mike Everitt,"J.Beckett (4-62-W), T.Phelps (0), T.Spooneybarger (0), B.Looper (1)"
5,5,6,6,Apr 6,@,ATL,"L,4-13",8.0,15,13,13,0,9,7,3,0,6.06,47,173,98,1.0,1.0,1,0,38,4,0,2,0,0,1,2,4,Hunter Wendelstedt,"B.Penny (99-28-L), A.Almanza (2), V.Núñez (1), B.Neal (1)"
6,6,7,7,Apr 7,@,ATL,"L,0-3",8.0,5,3,3,0,0,6,3,1,5.7,30,100,68,0.0,0.0,1,0,29,0,0,0,0,0,0,0,3,Dan Iassogna,"C.Pavano (4-55-L), T.Spooneybarger (1), B.Looper (1)"
7,7,8,8,Apr 8,,NYM,"L,2-4",9.0,8,4,3,1,4,2,1,0,5.35,38,133,75,1.0,0.0,0,0,32,1,0,0,1,1,1,2,4,Steve Rippley,"M.Redman (4-48-L), V.Núñez (1), A.Almanza (1), B.Looper (0)"
8,8,9,9,Apr 9,,NYM,"W,3-2",9.0,5,2,2,0,2,6,1,2,4.96,34,97,59,1.0,0.0,0,0,29,1,1,0,1,0,0,1,3,Gary Darling,"A.Burnett (99-61), A.Almanza (0), B.Looper (0-W)"
9,9,10,10,Apr 10,,NYM,"W,4-3",9.0,8,3,3,0,4,11,2,0,4.76,38,160,98,2.0,0.0,0,0,34,2,0,0,0,0,0,1,4,Larry Vanover,"J.Beckett (4-51), M.Tejera (5), V.Núñez (1), T.Spooneybarger (2-W)"
10,10,11,11,Apr 11,,ATL,"W,7-4",9.0,10,4,4,0,1,9,1,0,4.69,38,147,105,0.0,0.0,0,0,36,3,0,0,1,0,0,0,5,Doug Eddings,"B.Penny (4-41-W), B.Neal (4-H), T.Spooneybarger (0-H), A.Almanza (1-H), B.Looper (1-Sv)"
11,11,12,12,Apr 12,,ATL,"W,12-5",9.0,12,5,4,1,0,4,2,0,4.63,36,137,92,1.0,0.0,2,0,35,0,0,0,0,1,0,2,4,Ron Kulpa,"C.Pavano (4-45-W), A.Almanza (0-H), B.Neal (0), V.Núñez (1)"
12,12,13,13,Apr 13,,ATL,"L,1-7",9.0,12,7,7,0,6,7,1,0,4.82,44,173,103,0.0,0.0,0,0,38,6,0,0,0,0,0,1,3,Bruce Froemming,"M.Redman (4-35-L), M.Tejera (2), V.Núñez (0)"
13,13,14,14,Apr 14,@,PHI,"L,2-5",8.0,8,5,5,0,7,9,0,1,4.87,39,163,81,0.0,0.0,0,1,30,1,1,0,1,0,0,1,4,Brian Runge,"A.Burnett (4-49-L), B.Neal (1), A.Almanza (1), B.Looper (2)"
14,14,15,15,Apr 15,@,PHI,"L,3-4",8.0,6,4,4,0,2,7,1,1,4.85,34,117,69,1.0,0.0,0,0,31,0,0,0,0,0,1,0,3,Ed Montague,"J.Beckett (4-49-L), A.Almanza (0), T.Spooneybarger (3)"
15,15,16,16,Apr 16,@,PHI,"W,3-1",9.0,5,1,1,0,6,9,0,0,4.6,38,172,99,2.0,0.0,0,0,32,0,0,1,0,0,0,0,4,Brian Gorman,"B.Penny (4-78-W), M.Tejera (2-H), V.Núñez (2-H), B.Looper (1-Sv)"
16,16,17,17,Apr 17,@,PHI,"W,7-3",9.0,6,3,3,0,2,9,1,1,4.5,36,165,100,0.0,0.0,1,0,33,2,1,0,0,0,0,0,4,Bruce Dreckman,"C.Pavano (4-72-W), B.Neal (2), A.Almanza (1), T.Spooneybarger (1)"
17,17,18,18,Apr 18,@,NYM,"L,3-6",8.0,12,6,6,0,4,10,1,0,4.62,41,180,108,2.0,1.0,0,0,36,1,0,0,1,0,1,0,3,Tim Timmons,"M.Redman (4-52), M.Tejera (1-H), V.Núñez (1-BL)"
18,18,19,19,Apr 19,@,NYM,"W,6-5",9.0,7,5,3,2,9,7,0,0,4.53,44,193,110,4.0,1.0,1,0,34,2,0,1,1,0,2,0,4,Mike Reilly,"A.Burnett (4-47), A.Almanza (1-H), T.Spooneybarger (1-H), B.Looper (2-BW)"
19,19,20,20,Apr 20,@,NYM,"L,4-7",8.0,7,7,5,2,4,9,1,0,4.58,35,160,100,2.0,2.0,2,1,29,0,0,0,2,0,1,1,4,Bill Hohn,"J.Beckett (4-63), V.Núñez (1-BL), M.Tejera (1), B.Neal (2)"
20,20,21,21,Apr 22,,MIL,"W,4-2",9.0,10,2,2,0,2,6,0,0,4.45,38,156,110,0.0,0.0,0,0,36,4,0,0,0,0,1,1,3,Jim Joyce,"B.Penny (5-56), A.Almanza (2-W), B.Looper (2-Sv)"
21,21,22,22,Apr 23,,MIL,"W,5-4",12.0,12,4,4,0,1,13,0,1,4.36,48,176,115,3.0,1.0,0,0,45,3,1,0,0,1,0,1,5,Dale Scott,"C.Pavano (5-61), M.Tejera (2), T.Spooneybarger (3), B.Looper (0), A.Almanza (0-W)"
22,22,23,23,Apr 24,,MIL,"W,4-2",9.0,4,2,2,0,1,11,0,1,4.26,33,128,88,,,0,0,30,2,0,0,0,1,0,0,1,Laz Diaz,M.Redman (5-81-W)
23,23,24,24,Apr 25,,STL,"L,2-9",9.0,10,9,9,0,8,9,2,0,4.46,44,166,94,3.0,0.0,0,0,33,3,0,1,1,2,0,1,4,Fieldin Culbreth,"A.Burnett (5-41-L), M.Tejera (1), V.Núñez (4), B.Neal (4)"
24,24,25,25,Apr 26,,STL,"W,5-3",9.0,8,3,2,1,2,6,0,0,4.36,37,158,105,1.0,0.0,0,0,34,5,0,0,0,1,1,1,3,Marty Foster,"J.Beckett (5-62-W), A.Almanza (2-H), B.Looper (2-Sv)"
25,25,26,26,Apr 27,,STL,"L,6-7",20.0,22,7,6,1,5,8,0,0,4.22,83,290,186,2.0,0.0,0,0,73,1,4,1,3,2,0,2,8,Gary Darling,"B.Penny (4-47), M.Tejera (1), T.Spooneybarger (3), A.Almanza (0), B.Looper (0), T.Borland (99), A.Levrault (99), C.Pavano (3-L)"
26,26,27,27,Apr 28,@,ARI,"L,1-7",8.0,11,7,7,0,3,3,1,0,4.34,38,146,79,1.0,0.0,0,0,34,3,0,0,0,1,1,1,3,Paul Emmel,"J.Wayne (99-37-L), T.Borland (0), M.Tejera (0)"
27,27,28,28,Apr 29,@,ARI,"W,7-5",9.0,11,5,5,0,2,6,0,1,4.36,41,163,101,1.0,1.0,0,0,37,3,0,0,1,0,0,0,4,Joe West,"M.Redman (4-76-W), T.Spooneybarger (1), A.Almanza (1), B.Looper (1)"
28,28,29,29,Apr 30,@,ARI,"L,3-7",8.0,10,7,7,0,5,4,0,0,4.47,38,142,82,0.0,0.0,2,0,33,5,0,1,0,0,0,1,5,Jeff Kellogg,"C.Pavano (2-26-L), M.Tejera (1), T.Phelps (24), T.Borland (1), T.Spooneybarger (0)"
29,30,30,30,May 1,@,ARI,"W,4-3",9.0,8,3,3,0,4,8,1,0,4.42,38,138,87,2.0,0.0,0,0,34,3,0,1,0,0,0,0,3,Bill Miller,"J.Beckett (4-50), A.Almanza (1-W), B.Looper (1-Sv)"
30,31,31,31,May 2,@,HOU,"L,3-4",8.0,7,4,3,1,2,6,0,0,4.39,34,124,76,0.0,0.0,0,0,32,0,1,0,0,0,1,0,2,Bill Welke,"B.Penny (4-45-L), T.Spooneybarger (1)"
31,32,32,32,May 3,@,HOU,"L,2-5",8.0,10,5,5,0,6,4,0,2,4.42,40,145,85,3.0,0.0,0,0,31,4,0,1,0,1,0,1,5,Kerwin Danley,"J.Wayne (4-31-L), T.Phelps (2), A.Levrault (5), T.Borland (2), A.Almanza (1)"
32,33,33,33,May 4,@,HOU,"L,2-5",8.0,9,5,4,1,4,7,1,0,4.42,35,113,71,2.0,1.0,1,0,30,0,0,0,1,0,0,1,3,John Hirschbeck,"M.Tejera (3-58), T.Spooneybarger (1-L), B.Looper (2)"
33,34,34,34,May 6,,SFG,"L,2-4",9.0,10,4,4,0,3,6,2,0,4.41,40,131,86,6.0,1.0,0,0,36,1,0,0,1,0,1,1,5,Phil Cuzzi,"C.Pavano (5-56), T.Spooneybarger (1-BSv), A.Almanza (2-L), A.Levrault (2), T.Phelps (2)"
34,35,35,35,May 7,,SFG,"L,2-3",9.0,8,3,2,1,6,7,0,1,4.34,41,155,85,0.0,0.0,1,0,33,0,0,0,1,0,0,0,6,Jerry Crawford,"J.Beckett (5-43-L), J.Alvarez (99), T.Borland (3), T.Phelps (0), T.Spooneybarger (0), B.Looper (2)"
35,36,36,36,May 8,,SFG,"L,2-3",9.0,7,3,3,0,4,4,0,1,4.31,37,144,85,0.0,0.0,0,1,30,4,0,3,2,0,0,1,3,Brian O'Nora,"B.Penny (5-61), A.Almanza (1), B.Looper (0-L)"
36,37,37,37,May 9,,COL,"W,5-4",9.0,9,4,4,0,3,9,1,0,4.3,37,133,90,1.0,0.0,0,0,34,1,0,0,0,0,0,2,5,Joe Brinkman,"D.Willis (99-51), A.Levrault (2), A.Almanza (0), T.Spooneybarger (1), B.Looper (0-W)"
37,38,38,38,May 10,,COL,"L,4-5",9.0,7,5,4,1,4,7,1,0,4.29,37,150,89,3.0,0.0,0,0,32,1,0,0,0,1,0,0,5,Derryl Cousins,"M.Tejera (5-36-L), T.Borland (2), B.Neal (14), J.Alvarez (2), T.Spooneybarger (0)"
38,39,39,39,May 11,,COL,"W,7-2",9.0,12,2,2,0,1,8,0,0,4.23,38,138,95,0.0,0.0,1,0,36,2,0,0,1,0,0,2,3,Mike DiMuro,"C.Pavano (4-51-W), A.Levrault (1-H), J.Alvarez (0)"
39,40,40,40,May 12,@,SDP,"W,6-1",9.0,12,1,1,0,2,6,0,1,4.15,40,161,96,0.0,0.0,0,1,36,1,0,0,0,1,0,1,5,Bruce Dreckman,"T.Phelps (4-52), A.Levrault (0-W), B.Neal (1), T.Spooneybarger (1), A.Almanza (2)"
40,41,41,41,May 13,@,SDP,"L,5-6",9.1,10,6,6,0,3,4,1,0,4.19,37,141,87,1.0,0.0,0,0,34,3,0,0,0,0,0,3,4,Brian Runge,"B.Penny (4-38), T.Spooneybarger (0), A.Almanza (0), B.Looper (3-L)"
41,42,42,42,May 14,@,SDP,"W,10-3",9.0,7,3,3,0,6,8,0,0,4.16,37,160,88,0.0,0.0,1,1,31,2,1,0,0,0,0,2,4,Ed Montague,"D.Willis (4-48-W), T.Spooneybarger (0), J.Alvarez (2), T.Borland (3)"
42,43,43,43,May 16,@,LAD,"L,1-2",8.0,6,2,2,0,0,5,0,2,4.13,32,120,82,0.0,0.0,0,0,29,2,0,0,1,0,0,0,2,Ron Kulpa,"C.Pavano (4-73), A.Almanza (2-BL)"
43,44,44,44,May 17,@,LAD,"L,1-4",8.0,11,4,4,0,1,5,2,0,4.13,36,133,81,1.0,0.0,0,0,35,1,0,0,0,0,0,0,4,Mike Winters,"M.Tejera (6-48-L), A.Levrault (4), T.Phelps (4), B.Looper (3)"
44,45,45,45,May 18,@,LAD,"L,1-2",8.0,5,2,2,0,2,5,0,0,4.1,32,114,73,0.0,0.0,1,0,30,2,1,0,0,0,1,0,2,Bruce Froemming,"B.Penny (4-57-L), T.Spooneybarger (3)"
45,46,46,46,May 20,@,MON,"L,4-6",8.0,13,6,6,0,3,6,1,0,4.15,38,159,97,2.0,2.0,1,2,34,6,0,1,1,0,0,0,4,Gary Darling,"D.Willis (5-24-L), B.Neal (7), J.Alvarez (5), T.Phelps (2)"
46,47,47,47,May 21,@,MON,"L,2-7",8.0,11,7,7,0,1,7,0,0,4.22,36,125,83,1.0,1.0,1,0,33,6,0,1,1,1,0,0,4,Larry Vanover,"C.Pavano (4-42-L), A.Almanza (4), A.Levrault (3), B.Looper (3)"
47,48,48,48,May 22,@,MON,"L,2-8",8.0,12,8,8,0,4,7,0,0,4.31,39,135,83,4.0,2.0,0,0,34,4,0,0,0,1,0,1,5,Chris Guccione,"M.Tejera (4-17-L), B.Neal (1), J.Alvarez (1), A.Levrault (0), T.Spooneybarger (3)"
48,49,49,49,May 23,@,CIN,"W,8-4",9.0,9,4,4,0,2,6,0,0,4.3,36,122,73,2.0,0.0,1,0,34,1,1,0,0,0,0,2,3,Mike Reilly,"T.Phelps (2-57-W), T.Spooneybarger (0), B.Looper (1)"
49,50,50,50,May 24,@,CIN,"W,5-4",9.0,10,4,4,0,3,13,2,0,4.29,38,158,99,0.0,0.0,0,0,35,0,0,0,0,0,0,2,5,Tim Timmons,"B.Penny (5-60-W), A.Almanza (2-H), J.Alvarez (1), T.Spooneybarger (0-H), B.Looper (0-Sv)"
50,51,51,51,May 25,@,CIN,"W,6-2",9.0,9,2,2,0,2,9,0,0,4.25,37,132,82,2.0,0.0,0,0,35,1,0,0,0,0,0,0,3,Bill Hohn,"D.Willis (4-78-W), A.Almanza (0), B.Looper (0-Sv)"
