,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 5,@,HOU,"W,5-2",9.0,9,2,2,0,0,9,0,0,2.0,36,138,97,1.0,0.0,0,0,36,2,0,0,0,0,0,0,4,Tim Welke,"T.Lincecum (99-76-W), S.Romo (99), B.Medders (99), B.Wilson (99-Sv)"
1,1,2,2,Apr 6,@,HOU,"W,3-0",9.0,4,0,0,0,2,7,0,1,1.0,34,131,87,3.0,0.0,0,0,31,2,0,0,0,0,0,0,5,Tim Timmons,"B.Zito (99-70-W), W.Joaquin (99-H), D.Runzler (99-H), S.Romo (0-H), B.Wilson (0-Sv)"
2,2,3,3,Apr 7,@,HOU,"W,10-4",9.0,7,4,3,1,0,6,0,0,1.67,35,127,87,1.0,1.0,0,0,35,2,1,0,0,0,1,0,3,D.J. Reyburn,"M.Cain (99-53), J.Affeldt (99-BW), G.Mota (99)"
3,3,4,4,Apr 9,,ATL,"W,5-4",13.0,11,4,4,0,9,14,0,0,2.02,57,227,132,7.0,2.0,0,1,46,1,0,0,2,0,0,1,8,Tim Tschida,"J.Sanchez (99-41), B.Medders (3), G.Mota (1), W.Joaquin (2), D.Runzler (2), B.Wilson (2), S.Romo (2), J.Affeldt (1-W)"
4,4,5,5,Apr 10,,ATL,"L,2-7",9.0,10,7,6,1,6,5,1,1,2.76,45,161,95,6.0,2.0,1,0,37,2,0,1,1,0,2,1,5,Bob Davidson,"T.Wellemeyer (99-43-L), B.Medders (0), D.Runzler (0), W.Joaquin (0), G.Mota (0)"
5,5,6,6,Apr 11,,ATL,"W,6-3",9.0,6,3,3,0,1,11,2,0,2.79,34,138,94,0.0,0.0,0,0,33,2,0,0,0,0,0,0,2,Alfonso Marquez,"T.Lincecum (5-68-W), J.Affeldt (1-Sv)"
6,6,7,7,Apr 12,,PIT,"W,9-3",9.0,7,3,3,0,3,5,0,0,2.82,37,140,83,2.0,1.0,1,0,33,1,0,0,1,0,0,0,4,Gary Cederstrom,"B.Zito (5-48-W), S.Romo (2), D.Runzler (1), G.Mota (1)"
7,7,8,8,Apr 13,,PIT,"L,5-6",9.0,9,6,5,1,3,5,2,0,3.08,38,131,77,0.0,0.0,2,0,35,1,1,0,0,0,0,1,4,Ed Hickox,"M.Cain (5-51), S.Romo (0), J.Affeldt (1-L), B.Medders (2)"
8,8,9,9,Apr 14,,PIT,"W,6-0",9.0,3,0,0,0,4,13,0,0,2.75,33,126,80,0.0,0.0,0,0,29,1,0,0,0,0,0,1,2,Fieldin Culbreth,"J.Sanchez (4-84-W), B.Wilson (4)"
9,9,10,10,Apr 16,@,LAD,"L,8-10",8.0,12,10,10,0,8,4,3,0,3.48,42,157,92,0.0,0.0,0,1,34,0,0,0,0,0,0,1,3,Dan Iassogna,"T.Wellemeyer (5-23-L), W.Joaquin (5), B.Medders (2)"
10,10,11,11,Apr 17,@,LAD,"W,9-0",9.0,8,0,0,0,2,8,0,0,3.18,37,156,104,0.0,0.0,0,0,35,1,0,0,0,0,0,0,4,Dale Scott,"T.Lincecum (5-69-W), G.Mota (4), D.Runzler (4), B.Medders (0)"
11,11,12,12,Apr 18,@,LAD,"L,1-2",8.0,5,2,2,0,1,4,1,0,3.11,29,116,77,1.0,1.0,0,1,28,0,0,0,0,0,0,0,2,Jerry Meals,"B.Zito (5-68), S.Romo (4-BL)"
12,12,13,13,Apr 19,@,SDP,"L,2-3",9.0,10,3,3,0,2,5,1,0,3.1,38,134,84,1.0,0.0,1,0,31,1,1,0,3,2,0,0,4,Gerry Davis,"M.Cain (5-53), D.Runzler (1), G.Mota (1), J.Affeldt (5-L)"
13,13,14,14,Apr 20,@,SDP,"L,0-1",8.0,1,1,1,0,3,11,0,0,2.98,28,119,73,0.0,0.0,4,0,24,0,0,1,0,1,0,0,2,Brian Knight,"J.Sanchez (5-78-L), S.Romo (1)"
14,14,15,15,Apr 21,@,SDP,"L,2-5",8.0,9,5,5,0,4,3,2,0,3.13,38,153,84,0.0,0.0,2,0,32,2,0,0,2,0,1,0,4,Greg Gibson,"T.Wellemeyer (4-47-L), D.Runzler (1), G.Mota (1), B.Wilson (6)"
15,15,16,16,Apr 23,,STL,"W,4-1",9.0,8,1,1,0,3,12,0,0,3.0,37,157,96,0.0,0.0,2,0,34,2,0,0,0,0,0,1,3,Chad Fairchild,"T.Lincecum (5-66-W), S.Romo (2-H), B.Wilson (1-Sv)"
16,16,17,17,Apr 24,,STL,"W,2-0",9.0,4,0,0,0,3,10,0,0,2.82,32,130,83,0.0,0.0,0,1,29,0,0,0,0,0,0,1,2,Mike Reilly,"B.Zito (5-83-W), B.Wilson (0-Sv)"
17,17,18,18,Apr 25,,STL,"L,0-2",9.0,9,2,2,0,2,7,1,0,2.78,37,160,107,1.0,0.0,2,0,33,1,0,1,1,1,0,2,5,Eric Cooper,"M.Cain (5-50-L), D.Runzler (3), G.Mota (3), J.Affeldt (5), B.Medders (7)"
18,18,19,19,Apr 26,,PHI,"W,5-1",9.0,4,1,1,0,7,11,0,1,2.68,39,162,102,1.0,0.0,2,0,31,2,0,0,0,0,0,0,4,CB Bucknor,"J.Sanchez (5-58-W), G.Mota (0-H), J.Affeldt (0-H), S.Romo (2)"
19,19,20,20,Apr 27,,PHI,"W,6-2",9.0,5,2,2,0,3,7,0,0,2.65,32,122,78,1.0,1.0,1,0,27,1,0,0,1,1,0,1,3,Doug Eddings,"T.Wellemeyer (5-64-W), D.Runzler (1), B.Medders (1)"
20,20,21,21,Apr 28,,PHI,"L,6-7",11.0,8,7,6,1,4,14,1,2,2.78,47,168,109,4.0,1.0,0,0,39,3,0,1,2,0,1,1,4,Dana DeMuth,"T.Lincecum (4-79), B.Wilson (3-BSv), J.Affeldt (1), S.Romo (1-L)"
21,21,22,22,Apr 30,,COL,"W,5-2",9.0,6,2,2,0,3,5,0,0,2.75,35,135,84,1.0,0.0,3,0,31,2,0,0,1,0,0,1,3,Alfonso Marquez,"B.Zito (5-66-W), S.Romo (1-H), J.Affeldt (1-Sv)"
22,23,23,23,May 1,,COL,"W,6-1",9.0,3,1,1,0,3,9,0,0,2.67,33,147,100,0.0,0.0,1,0,30,1,0,0,0,0,0,0,2,Tim Timmons,"M.Cain (5-85-W), G.Mota (4)"
23,24,24,24,May 2,,COL,"L,1-4",9.0,8,4,4,0,7,9,0,1,2.72,41,167,101,2.0,2.0,3,1,33,0,0,0,0,0,1,1,4,Tim Tschida,"J.Sanchez (5-45-L), B.Medders (4), T.Wellemeyer (4), D.Runzler (4)"
24,25,25,25,May 4,@,FLA,"W,9-6",12.0,9,6,6,0,3,20,2,0,2.82,48,190,127,2.0,0.0,1,0,45,0,0,1,0,0,0,0,6,Marty Foster,"T.Lincecum (5-67), S.Romo (3-BSv), J.Affeldt (3), B.Wilson (5), D.Runzler (1-W), G.Mota (2-Sv)"
25,26,26,26,May 5,@,FLA,"W,3-2",9.0,9,2,2,0,1,7,0,1,2.79,37,129,95,3.0,0.0,0,0,35,1,0,0,0,0,0,1,3,Gary Cederstrom,"B.Zito (4-62-W), S.Romo (0-H), B.Wilson (0-Sv)"
26,27,27,27,May 6,@,FLA,"W,6-3",9.0,5,3,3,0,5,8,0,0,2.79,36,145,92,6.0,1.0,0,0,30,2,0,0,0,1,0,1,5,Ed Hickox,"M.Cain (4-64-W), D.Runzler (1), G.Mota (1-H), J.Affeldt (1), B.Wilson (0-Sv)"
27,28,28,28,May 7,@,NYM,"L,4-6",8.1,8,6,6,0,3,5,4,0,2.91,35,145,91,0.0,0.0,3,1,32,1,0,0,0,0,0,0,3,Hunter Wendelstedt,"J.Sanchez (4-49), D.Bautista (99), S.Romo (1-L)"
28,29,29,29,May 8,@,NYM,"L,4-5",10.0,7,5,5,0,7,9,1,1,2.97,44,169,100,1.0,0.0,1,1,34,1,1,1,1,1,0,0,4,Angel Hernandez,"T.Wellemeyer (5-40), B.Medders (5), J.Affeldt (1), G.Mota (1-L)"
29,30,30,30,May 9,@,NYM,"W,6-5",9.0,11,5,5,0,5,14,0,0,3.04,43,187,110,4.0,3.0,2,0,36,1,0,1,1,1,1,1,5,Paul Schrieber,"T.Lincecum (4-56), D.Runzler (2-H), S.Romo (1-BW), J.Affeldt (0-H), B.Wilson (2-Sv)"
30,31,31,31,May 11,,SDP,"L,2-3",9.0,8,3,3,0,12,4,0,0,3.04,45,180,99,3.0,0.0,3,1,32,1,0,1,1,0,1,1,5,Paul Emmel,"B.Zito (5-38-L), D.Bautista (3), B.Medders (2), D.Runzler (1), S.Romo (1)"
31,32,32,32,May 12,,SDP,"L,2-5",9.0,7,5,5,0,7,6,0,0,3.1,41,145,88,2.0,0.0,4,0,31,1,0,3,1,2,0,0,4,Gary Darling,"M.Cain (5-39-L), D.Runzler (0), D.Bautista (0), B.Medders (0)"
32,33,33,33,May 13,,SDP,"L,0-1",9.0,5,1,1,0,1,6,0,0,3.04,33,125,78,0.0,0.0,0,1,32,1,0,0,0,0,2,1,2,Bill Hohn,"J.Sanchez (5-76-L), B.Wilson (3)"
33,34,34,34,May 14,,HOU,"W,8-2",9.0,7,2,2,0,2,5,1,0,3.01,35,126,82,2.0,1.0,0,0,33,1,0,0,0,0,0,1,3,Jim Reynolds,"T.Wellemeyer (5-62-W), G.Mota (5), S.Romo (2)"
34,35,35,35,May 15,,HOU,"W,2-1",9.0,5,1,1,0,7,6,0,0,2.95,38,159,91,0.0,0.0,3,0,30,1,0,0,1,0,0,1,2,Bill Welke,"T.Lincecum (5-70-W), B.Wilson (1-Sv)"
35,36,36,36,May 16,,HOU,"W,4-3",9.0,9,3,3,0,1,6,1,0,2.95,36,131,84,0.0,0.0,0,0,34,2,0,0,1,0,0,1,3,Mike DiMuro,"B.Zito (4-56-W), J.Affeldt (6-H), B.Wilson (0-Sv)"
36,37,37,37,May 17,@,SDP,"L,1-3",8.0,8,3,3,0,8,6,1,1,2.96,40,163,93,3.0,1.0,1,1,28,0,0,2,3,0,0,0,4,Mike Everitt,"M.Cain (4-52-L), D.Runzler (4), S.Romo (2), D.Bautista (4)"
37,38,38,38,May 18,@,SDP,"W,7-6",12.0,12,6,6,0,4,14,0,0,3.01,49,177,107,0.0,0.0,0,1,45,1,0,1,0,0,0,1,6,Andy Fletcher,"J.Sanchez (4-49), B.Medders (5), J.Affeldt (1), G.Mota (3), D.Runzler (0-W), B.Wilson (1-Sv)"
38,39,39,39,May 19,@,ARI,"L,1-13",8.0,11,13,13,0,8,7,6,0,3.27,42,164,97,0.0,0.0,1,0,34,3,0,0,0,0,0,1,3,Jerry Meals,"T.Wellemeyer (4-37-L), D.Bautista (1), B.Medders (0)"
39,40,40,40,May 20,@,ARI,"L,7-8",8.0,9,8,8,0,9,9,1,0,3.4,42,164,91,5.0,1.0,1,0,32,5,1,1,0,1,0,0,5,Mark Wegner,"T.Lincecum (4-38), S.Romo (2-H), D.Runzler (1-H), G.Mota (1-BSv), J.Affeldt (1-L)"
