,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 5,,LAD,"W,11-5",41,34,11,10,4,0,3,11,4,1,3,2,1,0,2,1,2,0,0.294,0.4,0.676,1.076,6,16,R,V.Padilla(22)
1,1,2,2,Apr 7,,LAD,"W,4-3",45,35,4,9,0,0,1,4,9,0,7,0,1,0,1,1,0,0,0.275,0.405,0.507,0.912,13,17,L,C.Kershaw(40)
2,2,3,3,Apr 8,,LAD,"L,2-10",40,34,2,8,2,0,0,2,5,0,9,0,0,1,2,2,0,0,0.262,0.379,0.437,0.816,11,16,R,C.Billingsley(57)
3,3,4,4,Apr 9,@,ARI,"L,1-9",35,34,1,8,1,0,0,1,1,0,9,0,0,0,0,0,1,0,0.255,0.352,0.394,0.746,7,14,R,R.Lopez(60)
4,4,5,5,Apr 10,@,ARI,"W,6-3",39,36,6,9,1,0,2,5,2,0,10,0,1,0,1,0,3,0,0.254,0.34,0.405,0.745,6,14,R,D.Haren(41)
5,5,6,6,Apr 11,@,ARI,"L,6-15",40,37,6,12,2,1,2,5,2,0,4,0,1,0,0,1,1,0,0.267,0.343,0.438,0.781,7,15,R,E.Jackson(42)
6,6,7,7,Apr 12,@,SFG,"L,3-9",37,33,3,7,1,0,0,3,3,0,5,0,1,0,0,0,1,0,0.259,0.335,0.412,0.746,7,15,L,B.Zito(48)
7,7,8,8,Apr 13,@,SFG,"W,6-5",38,35,6,9,1,1,2,6,3,0,5,0,0,0,0,1,2,0,0.259,0.332,0.424,0.757,5,14,R,M.Cain(51)
8,8,9,9,Apr 14,@,SFG,"L,0-6",33,29,0,3,1,0,0,0,4,0,13,0,0,0,0,1,0,0,0.244,0.321,0.397,0.718,6,13,L,J.Sanchez(84)
9,9,10,10,Apr 16,,CIN,"W,4-3",39,30,4,9,0,0,0,3,5,0,5,0,3,1,2,1,1,0,0.249,0.327,0.389,0.716,9,15,R,M.Leake(49)
10,10,11,11,Apr 17,,CIN,"W,5-4",40,31,5,7,2,0,1,5,9,1,6,0,0,0,0,1,0,1,0.247,0.334,0.389,0.723,9,14,R,J.Cueto(45)
11,11,12,12,Apr 18,,CIN,"W,5-3",33,29,5,5,1,0,0,5,3,0,8,1,0,0,0,0,1,0,0.242,0.33,0.375,0.705,4,12,R,B.Arroyo(46)
12,12,13,13,Apr 20,,MIL,"L,1-8",35,31,1,6,3,0,0,1,4,0,2,0,0,0,1,2,0,0,0.238,0.326,0.369,0.696,7,15,R,D.Bush(69)
13,13,14,14,Apr 21,,MIL,"L,0-8",36,30,0,4,1,0,0,0,5,0,13,1,0,0,0,1,3,0,0.231,0.323,0.356,0.679,9,13,R,Y.Gallardo(68)
14,14,15,15,Apr 22,,MIL,"L,0-20",37,34,0,8,2,0,0,0,3,0,7,0,0,0,0,0,1,1,0.232,0.321,0.352,0.673,10,17,L,R.Wolf(60)
15,15,16,16,Apr 23,@,HOU,"L,3-4",33,32,3,4,0,0,2,3,1,0,5,0,0,0,1,0,0,0,0.225,0.312,0.349,0.661,3,10,R,R.Oswalt(62)
16,16,17,17,Apr 24,@,HOU,"L,2-5",36,34,2,7,0,0,1,2,2,0,10,0,0,0,1,0,1,0,0.224,0.308,0.346,0.654,7,19,L,W.Rodriguez(68)
17,17,18,18,Apr 25,@,HOU,"L,3-10",39,38,3,14,1,0,0,3,1,0,8,0,0,0,0,1,1,1,0.233,0.313,0.349,0.662,9,15,R,B.Myers(47)
18,18,19,19,Apr 26,@,MIL,"L,3-17",41,36,3,8,2,0,0,3,4,0,5,0,0,0,2,1,0,0,0.233,0.312,0.345,0.657,11,15,R,Y.Gallardo(59)
19,19,20,20,Apr 27,@,MIL,"W,7-3",43,39,7,14,3,0,3,7,2,1,5,0,1,1,0,0,0,0,0.24,0.316,0.364,0.68,9,14,L,R.Wolf(57)
20,20,21,21,Apr 28,@,MIL,"W,6-5",60,54,6,13,1,0,4,6,5,1,19,1,0,0,0,0,1,0,0.24,0.316,0.372,0.688,12,17,L,C.Narveson(49)
21,21,22,22,Apr 29,@,LAD,"W,2-0",36,32,2,5,0,1,0,2,4,1,10,0,0,0,0,0,1,0,0.236,0.313,0.366,0.679,7,12,L,C.Kershaw(62)
22,22,23,23,Apr 30,@,LAD,"L,2-6",35,32,2,7,4,0,0,2,3,1,7,0,0,0,0,2,0,0,0.236,0.312,0.365,0.677,6,13,R,C.Billingsley(53)
23,24,24,24,May 1,@,LAD,"L,1-5",35,30,1,6,2,0,1,1,2,0,8,2,1,0,0,1,0,1,0.234,0.311,0.365,0.677,7,13,R,C.Monasterios(52)
