,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 4,@,ARI,"L,4-6",37,33,4,6,1,0,2,4,3,0,10,0,1,0,1,0,0,0,0.182,0.25,0.394,0.644,6,14,L,R.Johnson(74)
1,1,2,2,Apr 5,@,ARI,"L,3-11",38,35,3,9,1,0,1,2,3,0,6,0,0,0,1,2,2,0,0.221,0.284,0.382,0.666,8,18,R,T.Stottlemyre(44)
2,2,3,3,Apr 6,@,ARI,"L,2-3",43,41,2,8,1,0,0,2,2,1,8,0,0,0,0,0,0,0,0.211,0.265,0.321,0.586,8,16,L,O.Daal(63)
3,3,4,4,Apr 7,@,HOU,"W,4-1",35,31,4,6,1,0,2,4,3,0,5,0,0,1,0,0,2,0,0.207,0.263,0.343,0.606,4,12,R,O.Dotel(58)
4,4,5,5,Apr 8,@,HOU,"L,5-8",38,34,5,11,3,0,1,5,3,0,4,1,0,0,0,2,1,0,0.23,0.289,0.374,0.663,6,16,R,D.Gooden(32)
5,5,6,6,Apr 9,@,HOU,"W,3-2",38,33,3,7,2,0,0,3,5,0,4,0,0,0,0,0,0,1,0.227,0.294,0.357,0.651,8,13,R,S.Reynolds(58)
6,6,7,7,Apr 10,,NYM,"W,9-7",34,29,9,9,3,1,1,8,2,0,4,0,1,2,1,0,0,0,0.237,0.299,0.386,0.684,1,16,R,B.Jones(25)
7,7,8,8,Apr 12,,NYM,"W,8-5",43,35,8,12,4,0,2,8,8,1,5,0,0,0,0,0,1,0,0.251,0.322,0.417,0.739,11,15,L,M.Hampton(18)
8,8,9,9,Apr 13,,NYM,"L,1-2",36,31,1,5,2,0,1,1,4,0,2,0,1,0,0,0,0,0,0.242,0.316,0.407,0.723,8,15,R,R.Reed(63)
9,9,10,10,Apr 14,,MON,"L,0-4",33,31,0,6,1,0,0,0,2,0,5,0,0,0,1,1,0,1,0.237,0.309,0.39,0.7,6,12,R,D.Hermanson(78)
10,10,11,11,Apr 16,,MON,"W,5-4",39,32,5,9,2,0,0,5,5,0,8,1,1,0,0,0,0,1,0.241,0.317,0.386,0.703,9,12,R,H.Irabu(61)
11,11,12,12,Apr 18,@,ATL,"L,3-4",51,45,3,9,1,0,1,3,5,0,9,1,0,0,1,0,1,0,0.237,0.315,0.376,0.69,12,15,R,G.Maddux(56)
12,12,13,13,Apr 19,@,ATL,"L,1-10",37,31,1,4,0,0,0,1,6,1,5,0,0,0,1,1,1,0,0.229,0.311,0.358,0.67,9,13,L,T.Glavine(64)
13,13,14,14,Apr 20,@,ATL,"L,4-6",38,34,4,8,0,0,3,4,4,0,7,0,0,0,1,2,0,0,0.229,0.312,0.368,0.68,7,14,R,K.Millwood(46)
14,14,15,15,Apr 21,@,FLA,"W,4-3",40,33,4,8,2,0,1,4,4,0,3,1,2,0,0,0,3,0,0.23,0.314,0.37,0.684,9,10,R,V.Núñez(46)
15,15,16,16,Apr 22,@,FLA,"L,2-4",36,32,2,8,2,0,0,2,2,0,6,2,0,0,1,2,0,1,0.231,0.315,0.367,0.681,7,15,L,J.Sanchez(53)
16,16,17,17,Apr 23,@,FLA,"L,2-5",34,32,2,6,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0.229,0.309,0.358,0.668,5,14,R,B.Penny(57)
17,17,18,18,Apr 24,@,FLA,"L,1-3",36,32,1,7,0,0,1,1,3,0,3,0,1,0,0,1,0,0,0.228,0.308,0.356,0.664,8,13,R,A.Fernandez(62)
18,18,19,19,Apr 25,,ARI,"L,2-10",36,31,2,5,2,0,0,2,4,0,14,0,1,0,0,0,0,0,0.225,0.306,0.35,0.655,7,16,L,R.Johnson(68)
19,19,20,20,Apr 26,,ARI,"L,4-10",36,32,4,6,2,0,2,4,4,0,7,0,0,0,0,1,0,0,0.223,0.304,0.354,0.658,5,17,R,T.Stottlemyre(40)
20,20,21,21,Apr 27,,ARI,"W,5-4",39,33,5,10,2,0,3,5,6,0,4,0,0,0,0,1,0,0,0.227,0.31,0.367,0.677,9,15,L,O.Daal(35)
21,21,22,22,Apr 28,,STL,"L,4-7",37,33,4,9,3,0,0,4,3,0,3,1,0,0,0,1,0,2,0.229,0.312,0.367,0.679,6,16,R,G.Stephenson(37)
22,22,23,23,Apr 29,,STL,"L,6-7",44,37,6,10,4,1,0,6,5,1,11,0,1,1,0,0,1,0,0.231,0.313,0.37,0.683,8,17,R,A.Benes(62)
23,23,24,24,Apr 30,,STL,"L,3-4",37,32,3,8,5,0,0,3,3,0,7,1,1,0,0,2,0,0,0.232,0.314,0.372,0.686,7,14,R,D.Kile(56)
24,25,25,25,May 2,,CIN,"L,0-7",35,30,0,3,1,0,0,0,5,0,7,0,0,0,1,1,0,0,0.227,0.311,0.363,0.674,8,12,L,D.Neagle(71)
25,26,26,26,May 3,,CIN,"W,5-2",33,28,5,9,1,0,0,3,3,0,6,0,2,0,1,3,0,0,0.23,0.313,0.363,0.676,4,11,R,S.Parris(41)
26,27,27,27,May 4,,CIN,"W,14-1",46,44,14,21,8,0,2,14,2,0,7,0,0,0,0,0,0,0,0.242,0.322,0.384,0.706,8,15,R,P.Harnisch(16)
27,28,28,28,May 5,@,ATL,"L,5-6",38,34,5,9,0,2,1,5,3,0,3,0,1,0,0,0,2,0,0.243,0.322,0.387,0.709,6,14,L,T.Glavine(65)
28,29,29,29,May 6,@,ATL,"W,6-0",43,39,6,13,4,0,1,6,3,0,6,0,1,0,0,1,0,0,0.247,0.324,0.392,0.716,10,9,R,K.Millwood(35)
