,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 2,@,NYY,"L,5-9",36,34,5,9,0,0,1,5,2,0,7,0,0,0,1,2,3,1,0.265,0.306,0.353,0.658,4,9,R,C.Pavano(33)
1,1,2,2,Apr 5,@,NYY,"W,7-6",43,36,7,12,2,0,1,5,6,0,6,0,0,1,2,1,3,2,0.3,0.367,0.414,0.781,9,9,L,A.Pettitte(37)
2,2,3,3,Apr 6,,TOR,"W,6-5",36,36,6,12,0,0,4,6,0,0,2,0,0,0,0,2,0,0,0.311,0.357,0.5,0.857,4,10,L,G.Chacin(50)
3,3,4,4,Apr 7,,TOR,"L,5-8",40,35,5,7,1,0,2,4,5,0,9,0,0,0,1,0,1,0,0.284,0.342,0.475,0.817,8,11,R,T.Ohka(29)
4,4,5,5,Apr 8,,TOR,"L,3-6",35,32,3,7,1,0,1,2,3,0,8,0,0,0,0,1,1,1,0.272,0.332,0.451,0.782,5,9,R,R.Halladay(55)
5,5,6,6,Apr 9,@,TEX,"L,4-8",36,34,4,8,2,0,1,4,2,0,8,0,0,0,0,0,1,1,0.266,0.323,0.44,0.763,5,10,R,B.McCarthy(57)
6,6,7,7,Apr 10,@,TEX,"L,9-12",43,38,9,12,5,1,2,9,5,0,7,0,0,0,1,0,0,2,0.273,0.335,0.473,0.808,7,9,R,J.Wright(26)
7,7,8,8,Apr 11,@,TEX,"W,6-5",39,37,6,12,2,0,2,6,1,0,8,0,0,1,0,0,2,1,0.28,0.334,0.482,0.817,6,9,R,R.Tejeda(26)
8,8,9,9,Apr 12,@,MIN,"L,2-3",40,37,2,12,3,0,1,2,3,0,8,0,0,0,0,0,0,0,0.285,0.339,0.483,0.822,11,9,R,C.Silva(62)
9,9,10,10,Apr 13,@,MIN,"W,4-2",35,33,4,7,1,0,1,4,2,0,12,0,0,0,0,0,0,1,0.278,0.332,0.469,0.8,4,9,L,J.Santana(58)
10,10,11,11,Apr 14,@,MIN,"L,5-12",41,36,5,10,4,1,1,5,5,0,12,0,0,0,0,0,0,0,0.278,0.335,0.474,0.809,9,12,R,S.Ponson(47)
11,11,12,12,Apr 15,@,MIN,"W,6-4",39,35,6,10,2,0,2,6,4,0,10,0,0,0,0,0,0,2,0.279,0.337,0.478,0.814,6,9,R,B.Bonser(45)
12,12,13,13,Apr 16,,BAL,"L,7-9",44,33,7,6,1,0,0,6,8,0,9,1,2,0,1,1,0,0,0.272,0.339,0.458,0.797,10,10,L,A.Loewen(33)
13,13,14,14,Apr 17,,BAL,"W,6-4",35,31,6,9,2,0,0,6,3,0,4,0,0,1,0,1,0,0,0.273,0.339,0.452,0.791,5,9,R,S.Trachsel(23)
14,14,15,15,Apr 18,,BAL,"L,4-6",38,33,4,7,2,1,1,4,4,0,12,0,1,0,0,0,1,0,0.269,0.336,0.45,0.786,7,10,L,E.Bedard(44)
15,15,16,16,Apr 20,,CLE,"L,3-4",33,31,3,7,3,0,1,2,1,0,8,1,0,0,0,1,2,2,0.267,0.333,0.448,0.781,3,9,L,C.Sabathia(60)
16,16,17,17,Apr 21,,CLE,"W,6-5",35,35,6,10,1,0,1,5,0,0,4,0,0,0,1,0,1,0,0.268,0.33,0.445,0.776,5,9,R,P.Byrd(34)
17,17,18,18,Apr 22,,CLE,"L,4-6",32,30,4,5,0,0,1,3,2,0,7,0,0,0,0,0,1,1,0.263,0.325,0.437,0.762,1,12,R,J.Westbrook(56)
18,18,19,19,Apr 23,,NYY,"W,10-8",44,38,10,15,4,0,2,10,6,1,6,0,0,0,0,1,2,0,0.271,0.334,0.45,0.784,10,9,L,K.Igawa(19)
19,19,20,20,Apr 24,,NYY,"W,6-4",34,33,6,10,1,0,1,6,1,1,4,0,0,0,0,1,1,0,0.272,0.334,0.448,0.782,4,9,R,C.Wang(42)
20,20,21,21,Apr 25,@,LAA,"L,1-9",37,35,1,8,2,0,0,1,2,0,11,0,0,0,0,0,1,0,0.27,0.331,0.44,0.771,9,12,R,J.Lackey(59)
21,21,22,22,Apr 26,@,LAA,"L,3-11",35,33,3,6,3,0,1,3,2,0,14,0,0,0,0,0,0,0,0.266,0.326,0.437,0.764,5,11,R,B.Colon(71)
22,22,23,23,Apr 27,@,OAK,"W,4-1",39,34,4,7,4,0,0,3,5,0,9,0,0,0,0,0,4,0,0.264,0.326,0.432,0.758,8,9,R,C.Gaudin(40)
23,23,24,24,Apr 28,@,OAK,"L,5-12",39,38,5,11,2,0,1,5,0,0,9,0,0,1,2,1,1,0,0.265,0.324,0.432,0.755,7,10,R,D.Haren(61)
