,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 5,,WSN,"L,1-2",34,33,1,6,0,1,0,1,1,0,7,0,0,0,1,1,0,1,0.182,0.206,0.242,0.448,6,14,R,S.Strasburg(67)
1,1,2,2,Apr 7,,WSN,"L,4-7",41,35,4,8,0,1,0,3,5,0,13,1,0,0,0,0,2,0,0.206,0.28,0.265,0.545,10,17,L,G.Gonzalez(34)
2,2,3,3,Apr 8,,WSN,"W,4-3",34,30,4,8,4,0,0,4,2,1,5,0,1,1,0,0,2,0,0.224,0.287,0.306,0.593,6,10,R,J.Zimmermann(63)
3,3,4,4,Apr 9,,MIL,"L,5-7",39,34,5,8,1,1,2,5,4,0,9,0,0,1,2,1,0,1,0.227,0.293,0.356,0.649,7,16,R,S.Marcum(56)
4,4,5,5,Apr 10,,MIL,"L,4-7",38,32,4,7,1,0,1,4,5,0,7,0,0,1,1,2,1,0,0.226,0.297,0.354,0.651,7,15,L,C.Narveson(47)
5,5,6,6,Apr 11,,MIL,"L,1-2",36,31,1,6,2,0,0,1,4,0,12,0,0,1,0,1,1,0,0.221,0.294,0.338,0.633,8,16,R,Y.Gallardo(67)
6,6,7,7,Apr 12,,MIL,"W,8-0",36,34,8,13,2,0,0,7,1,0,10,1,0,0,0,3,1,0,0.245,0.311,0.354,0.665,4,11,R,Z.Greinke(15)
7,7,8,8,Apr 13,@,STL,"W,9-5",40,35,9,10,1,0,2,8,4,0,8,1,0,0,0,2,1,0,0.25,0.32,0.371,0.691,4,15,R,A.Wainwright(14)
8,8,9,9,Apr 14,@,STL,"L,1-5",35,33,1,6,1,0,0,1,2,0,9,0,0,0,0,0,0,0,0.242,0.31,0.354,0.664,7,11,R,L.Lynn(59)
9,9,10,10,Apr 15,@,STL,"L,3-10",34,33,3,6,2,0,0,2,1,0,3,0,0,0,2,0,0,1,0.236,0.301,0.342,0.643,4,13,R,J.Westbrook(64)
10,10,11,11,Apr 17,@,MIA,"L,2-5",32,28,2,7,1,0,0,2,3,0,5,1,0,0,0,4,1,1,0.237,0.304,0.338,0.642,3,12,R,J.Johnson(55)
11,11,12,12,Apr 18,@,MIA,"L,1-9",32,32,1,6,1,0,0,1,0,0,6,0,0,0,1,2,0,0,0.233,0.295,0.328,0.624,4,13,L,M.Buehrle(71)
12,12,13,13,Apr 19,@,MIA,"L,3-5",38,34,3,8,1,1,0,3,3,1,8,0,1,0,0,0,0,1,0.233,0.296,0.328,0.623,8,14,R,R.Nolasco(41)
13,13,14,14,Apr 20,,CIN,"L,4-9",34,34,4,5,2,0,0,3,0,0,5,0,0,0,2,0,0,0,0.227,0.285,0.319,0.604,3,15,R,H.Bailey(59)
14,14,15,15,Apr 21,,CIN,"W,6-1",39,36,6,14,4,1,0,6,1,0,5,1,0,1,1,0,0,0,0.239,0.294,0.336,0.63,9,14,R,M.Leake(31)
15,15,16,16,Apr 22,,CIN,"L,3-4",42,34,3,6,0,1,0,2,5,0,11,2,1,0,2,0,0,0,0.235,0.296,0.33,0.626,12,17,R,J.Cueto(62)
16,16,17,17,Apr 23,,STL,"W,3-2",35,29,3,7,0,0,0,3,4,0,5,0,1,1,1,2,2,1,0.235,0.298,0.325,0.623,6,14,L,J.Garcia(66)
17,17,18,18,Apr 24,,STL,"W,3-2",41,37,3,10,3,0,1,3,2,2,10,0,1,1,1,0,2,0,0.237,0.298,0.332,0.629,9,16,R,A.Wainwright(62)
18,18,19,19,Apr 25,,STL,"L,1-5",33,31,1,6,2,0,1,1,2,0,8,0,0,0,0,2,0,0,0.235,0.295,0.333,0.628,5,13,R,L.Lynn(71)
19,19,20,20,Apr 27,@,PHI,"W,5-1",38,34,5,9,2,1,0,5,4,0,5,0,0,0,0,0,2,1,0.237,0.298,0.335,0.633,6,12,R,R.Halladay(56)
20,20,21,21,Apr 28,@,PHI,"L,2-5",34,34,2,8,1,0,0,2,0,0,11,0,0,0,0,1,2,0,0.237,0.295,0.332,0.627,5,13,R,J.Blanton(62)
21,21,22,22,Apr 29,@,PHI,"W,5-1",36,33,5,8,3,0,1,5,1,0,10,0,1,1,0,0,2,1,0.237,0.293,0.336,0.629,4,12,R,K.Kendrick(58)
22,22,23,23,Apr 30,@,PHI,"L,4-6",38,33,4,8,2,0,1,3,4,0,6,0,1,0,1,1,1,0,0.237,0.294,0.339,0.633,7,14,R,V.Worley(66)
23,24,24,24,May 2,@,CIN,"W,3-1",36,34,3,10,1,0,2,3,1,0,5,0,1,0,0,0,0,1,0.24,0.295,0.346,0.641,6,13,R,B.Arroyo(44)
24,25,25,25,May 3,@,CIN,"L,3-4",41,39,3,10,2,0,3,3,2,1,6,0,0,0,0,1,0,0,0.24,0.295,0.355,0.65,8,13,R,H.Bailey(45)
25,26,26,26,May 4,,LAD,"W,5-4",39,33,5,11,4,1,1,5,6,1,7,0,0,0,0,1,1,1,0.244,0.301,0.364,0.665,10,15,R,C.Billingsley(41)
26,27,27,27,May 5,,LAD,"L,1-5",34,32,1,5,0,0,0,1,2,0,9,0,0,0,1,1,0,0,0.241,0.298,0.357,0.654,6,14,L,C.Capuano(76)
27,28,28,28,May 6,,LAD,"W,4-3",46,37,4,12,5,0,0,4,7,1,7,1,1,0,0,0,0,2,0.244,0.304,0.361,0.665,12,15,R,A.Harang(49)
28,29,29,29,May 7,,ATL,"W,5-1",37,32,5,9,1,0,3,5,3,0,4,2,0,0,0,1,0,0,0.245,0.307,0.369,0.675,8,13,R,T.Hanson(55)
29,30,30,30,May 8,,ATL,"L,1-3",34,31,1,5,2,0,0,1,3,0,7,0,0,0,1,1,0,1,0.243,0.304,0.364,0.669,6,12,R,R.Delgado(61)
30,31,31,31,May 9,,ATL,"W,1-0",26,25,1,5,0,1,0,1,0,0,2,0,1,0,0,2,0,0,0.242,0.302,0.362,0.664,1,12,R,T.Hudson(64)
31,32,32,32,May 11,@,MIL,"L,7-8",59,51,7,12,2,2,1,6,7,1,13,1,0,0,1,1,1,1,0.241,0.304,0.364,0.668,13,21,L,R.Wolf(66)
32,33,33,33,May 12,@,MIL,"L,2-8",34,31,2,5,3,0,0,1,2,0,8,1,0,0,0,1,0,0,0.239,0.302,0.361,0.663,5,11,R,S.Marcum(71)
33,34,34,34,May 13,@,MIL,"W,8-2",42,39,8,13,4,0,2,6,3,0,7,0,0,0,1,2,2,0,0.242,0.305,0.369,0.674,7,17,R,M.Estrada(57)
34,35,35,35,May 14,@,STL,"W,6-4",47,39,6,15,2,0,1,5,5,3,7,1,2,0,1,2,2,1,0.247,0.31,0.374,0.684,14,13,R,J.Westbrook(27)
35,36,36,36,May 15,@,STL,"L,6-7",36,35,6,10,2,0,2,5,1,0,5,0,0,0,0,2,0,0,0.248,0.31,0.378,0.688,3,14,R,K.Lohse(41)
36,37,37,37,May 16,,PHI,"L,2-9",31,29,2,3,1,0,1,2,0,0,9,0,2,0,1,0,0,0,0.245,0.306,0.375,0.681,2,15,R,K.Kendrick(64)
37,38,38,38,May 17,,PHI,"L,7-8",36,31,7,9,2,0,2,7,2,0,4,1,1,1,0,2,0,1,0.246,0.307,0.379,0.686,2,16,R,R.Halladay(60)
38,39,39,39,May 18,,CHW,"L,2-3",36,33,2,8,3,0,0,2,2,0,5,0,0,1,1,1,1,0,0.246,0.306,0.378,0.684,7,13,R,P.Humber(56)
39,40,40,40,May 19,,CHW,"L,4-7",35,34,4,9,1,0,2,4,1,0,5,0,0,0,0,2,0,0,0.246,0.305,0.38,0.686,4,16,L,J.Danks(70)
40,41,41,41,May 20,,CHW,"L,0-6",37,32,0,5,1,0,0,0,5,0,10,0,0,0,0,0,0,0,0.244,0.305,0.376,0.68,10,15,R,J.Peavy(72)
41,42,42,42,May 21,@,HOU,"L,4-8",41,38,4,11,2,0,0,4,3,0,9,0,0,0,0,0,2,0,0.245,0.306,0.375,0.68,10,14,R,B.Norris(72)
42,43,43,43,May 22,@,HOU,"L,1-2",34,32,1,6,1,0,1,1,2,0,13,0,0,0,0,0,0,1,0.244,0.304,0.373,0.678,6,14,L,J.Happ(62)
