,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Mar 31,,BOS,"W,6-4",9.0,8,4,1,3,2,6,0,1,1.0,39,131,82,0.0,0.0,0,0,36,3,0,0,0,0,2,0,2,Charlie Reliford,"J.Kennedy (99-54), S.McClung (99-W)"
1,1,2,2,Apr 1,,BOS,"L,8-9",16.0,13,9,9,0,9,11,2,2,3.6,70,285,166,2.0,1.0,1,0,57,4,0,0,1,1,0,1,7,Mike Everitt,"V.Zambrano (99-27), B.Seay (99), J.Colome (99), T.Harper (99), L.Carter (99), M.Venafro (99), J.Sosa (99-L)"
2,2,3,3,Apr 2,,BOS,"L,5-7",9.0,8,7,7,0,5,7,1,0,4.5,40,150,86,0.0,0.0,0,1,35,3,0,0,0,0,2,1,2,Hunter Wendelstedt,"J.Parque (99-21-L), T.Harper (0)"
3,3,4,4,Apr 3,,BOS,"L,5-14",9.0,16,14,14,0,4,7,2,1,6.49,48,182,114,1.0,0.0,0,0,41,6,0,1,0,2,0,1,5,Dan Iassogna,"N.Bierbrodt (99-20-L), J.Sosa (1), M.Venafro (1), S.McClung (2), B.Seay (1)"
4,4,5,5,Apr 4,,NYY,"L,2-12",9.0,18,12,12,0,4,6,5,0,7.44,50,200,125,0.0,0.0,0,0,45,4,0,0,0,1,1,0,4,Marvin Hudson,"S.Parris (99-39-L), S.McClung (0), M.Venafro (0), J.Colome (2)"
5,5,6,6,Apr 5,,NYY,"W,6-5",9.0,11,5,4,1,3,4,0,0,6.93,42,146,85,3.0,0.0,0,0,38,1,3,1,0,1,2,1,4,Dana DeMuth,"J.Kennedy (4-34), T.Harper (2), B.Seay (1), L.Carter (3-W)"
6,6,7,7,Apr 6,,NYY,"L,5-10",9.0,15,10,10,0,7,4,3,0,7.33,46,182,97,3.0,1.0,1,1,37,3,0,0,1,1,0,2,4,Jerry Layne,"V.Zambrano (4-32-L), M.Venafro (1), T.Harper (0), J.Sosa (2)"
7,7,8,8,Apr 8,,BAL,"W,8-7",10.0,12,7,7,0,8,5,1,0,7.2,47,167,99,2.0,0.0,1,0,39,2,0,2,0,0,0,2,4,Bill Miller,"J.Parque (5-17), J.Sosa (1), S.McClung (3), L.Carter (2-W)"
8,8,9,9,Apr 9,,BAL,"W,10-7",9.0,10,7,5,2,2,3,2,1,6.98,41,151,101,1.0,0.0,0,0,37,3,0,1,1,0,2,1,4,Paul Emmel,"N.Bierbrodt (5-21), A.Levine (99-W), T.Harper (2-H), L.Carter (0-Sv)"
9,9,10,10,Apr 10,,BAL,"L,3-4",9.0,5,4,4,0,2,1,1,0,6.7,34,124,82,0.0,0.0,2,0,31,0,0,0,1,0,0,0,3,Joe West,"S.Parris (5-58), J.Colome (5-L), B.Seay (4)"
10,10,11,11,Apr 12,@,NYY,"L,4-5",8.1,12,5,4,1,3,2,1,1,6.52,41,137,80,3.0,0.0,0,0,37,3,0,1,0,0,2,2,3,Brian Gorman,"J.Kennedy (6-38), B.Seay (1), T.Harper (2-L)"
11,11,12,12,Apr 13,@,NYY,"W,2-1",9.0,5,1,1,0,8,4,0,0,6.09,37,138,72,3.0,1.0,0,1,29,2,0,0,0,0,0,2,4,Bruce Dreckman,"V.Zambrano (6-62), S.McClung (4-H), B.Seay (0-BSv), L.Carter (3-W)"
12,12,13,13,Apr 15,@,BOS,"L,5-6",8.1,15,6,6,0,3,3,1,0,6.11,42,141,94,7.0,2.0,0,0,39,5,0,0,0,0,0,1,6,Tim Welke,"N.Bierbrodt (5-25), M.Venafro (8), J.Colome (4), A.Levine (5-L), B.Seay (1), T.Harper (2)"
13,13,14,14,Apr 16,@,BOS,"L,4-6",8.0,10,6,6,0,4,4,2,0,6.15,36,151,91,1.0,1.0,1,1,32,2,0,0,0,0,0,1,3,Chuck Meriwether,"S.Parris (5-52), T.Harper (0-H), L.Carter (2-BL)"
14,14,15,15,Apr 17,@,BOS,"L,0-6",8.0,12,6,6,0,3,2,2,0,6.19,36,132,79,1.0,0.0,0,0,33,2,1,0,0,0,0,2,3,Gary Cederstrom,"J.Kennedy (4-28-L), M.Venafro (1), S.McClung (3)"
15,15,16,16,Apr 18,@,BAL,"L,7-9",8.0,8,9,9,0,5,1,1,1,6.4,38,136,77,0.0,0.0,0,0,31,2,0,0,0,1,0,0,2,Bruce Froemming,"V.Zambrano (4-24-L), J.Colome (2)"
16,16,17,17,Apr 19,@,BAL,"W,8-7",9.0,14,7,7,0,5,6,2,0,6.43,43,151,93,5.0,2.0,2,0,37,3,0,0,0,1,0,2,5,Mike Winters,"J.Sosa (10-59-W), T.Harper (2), B.Seay (3), A.Levine (3-H), L.Carter (2)"
17,17,18,18,Apr 20,@,BAL,"L,1-4",8.0,7,4,4,0,1,3,1,0,6.34,30,113,69,1.0,0.0,0,1,29,2,0,0,0,0,0,0,3,Doug Eddings,"N.Bierbrodt (4-27-L), S.McClung (2), A.Levine (0)"
18,18,19,19,Apr 21,@,BAL,"L,0-4",8.0,9,4,4,0,6,3,1,0,6.25,38,152,91,0.0,0.0,0,0,32,0,0,0,0,0,0,0,3,Ron Kulpa,"S.Parris (4-37-L), M.Venafro (3), J.Colome (2)"
19,19,20,20,Apr 22,,TOR,"W,4-3",9.0,5,3,3,0,3,7,0,1,6.09,36,121,77,0.0,0.0,0,0,32,2,0,0,0,0,0,0,2,Mike DiMuro,"J.Kennedy (4-63-W), L.Carter (2-Sv)"
20,20,21,21,Apr 23,,TOR,"W,4-3",9.0,8,3,3,0,2,5,3,0,5.95,36,142,86,3.0,0.0,2,0,34,0,0,0,0,0,0,0,5,Andy Fletcher,"V.Zambrano (4-50), B.Seay (3), T.Harper (3), M.Venafro (1-W), L.Carter (0-Sv)"
