,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Mar 30,@,CIN,"W,2-0",37,32,2,6,1,0,0,2,4,0,6,0,0,1,0,0,1,0,0.188,0.27,0.219,0.489,8,14,R,H.Bailey(60)
1,1,2,2,Mar 31,@,CIN,"W,13-7",45,38,13,14,2,0,4,13,4,1,8,1,0,2,0,0,0,1,0.286,0.354,0.5,0.854,5,16,R,L.Castillo(36)
2,2,3,3,Apr 1,@,CIN,"W,6-5",41,34,6,8,0,0,4,6,6,1,6,1,0,0,0,1,2,0,0.269,0.358,0.529,0.887,8,14,R,S.Romano(50)
3,3,4,4,Apr 2,@,ATL,"W,8-1",48,37,8,10,3,0,1,8,10,1,10,1,0,0,1,1,1,0,0.27,0.38,0.504,0.884,13,12,L,S.Newcomb(33)
4,4,5,5,Apr 3,@,ATL,"L,6-13",42,36,6,9,1,0,3,6,6,0,5,0,0,0,1,0,2,0,0.266,0.376,0.508,0.884,9,16,R,J.Teheran(24)
5,5,6,6,Apr 4,@,ATL,"L,1-7",40,32,1,6,1,0,0,1,6,0,12,2,0,0,0,0,1,0,0.254,0.372,0.464,0.836,12,15,R,M.Foltynewicz(62)
6,6,7,7,Apr 5,,NYM,"L,2-8",35,32,2,6,3,0,0,1,3,0,11,0,0,0,0,1,0,0,0.245,0.358,0.44,0.797,6,16,R,J.deGrom(60)
7,7,8,8,Apr 7,,NYM,"L,2-3",35,31,2,5,0,0,1,2,3,0,10,0,1,0,1,0,5,0,0.235,0.345,0.419,0.764,6,16,L,S.Matz(65)
8,8,9,9,Apr 8,,NYM,"L,5-6",55,47,5,13,3,0,1,5,7,2,7,1,0,0,1,1,2,1,0.241,0.35,0.417,0.767,14,19,R,M.Harvey(34)
9,9,10,10,Apr 9,,ATL,"W,2-0",36,29,2,6,4,0,0,2,7,2,10,0,0,0,0,0,1,0,0.239,0.351,0.411,0.762,10,10,R,J.Teheran(57)
10,10,11,11,Apr 10,,ATL,"W,4-1",35,32,4,8,2,1,0,3,2,0,7,0,1,0,2,0,0,1,0.239,0.347,0.408,0.755,7,11,R,M.Foltynewicz(48)
11,11,12,12,Apr 11,,ATL,"L,3-5",46,41,3,10,1,0,1,3,3,0,11,1,1,0,1,3,0,0,0.24,0.343,0.401,0.745,7,19,R,B.McCarthy(56)
12,12,13,13,Apr 12,,COL,"L,1-5",31,29,1,4,1,0,1,1,2,0,7,0,0,0,0,2,0,0,0.233,0.335,0.393,0.728,3,14,R,C.Bettis(70)
13,13,14,14,Apr 13,,COL,"L,1-2",35,30,1,4,1,0,0,1,4,0,10,0,0,1,0,0,0,0,0.227,0.328,0.379,0.707,7,15,L,K.Freeland(53)
14,14,15,15,Apr 14,,COL,"W,6-2",37,34,6,12,2,0,1,6,3,0,7,0,0,0,0,1,2,0,0.235,0.333,0.387,0.72,7,12,R,J.Gray(38)
15,15,16,16,Apr 15,,COL,"L,5-6",40,28,5,5,2,0,2,2,10,0,10,1,1,0,0,1,1,1,0.232,0.338,0.391,0.729,8,15,L,T.Anderson(52)
16,16,17,17,Apr 16,@,NYM,"W,8-6",41,36,8,10,0,0,2,8,4,1,13,1,0,0,0,1,2,0,0.235,0.339,0.394,0.734,6,17,R,J.deGrom(65)
17,17,18,18,Apr 17,@,NYM,"W,5-2",41,34,5,10,2,0,0,5,5,0,4,0,1,1,0,1,3,0,0.239,0.341,0.392,0.733,9,15,R,Z.Wheeler(45)
18,18,19,19,Apr 18,@,NYM,"L,5-11",32,30,5,5,0,1,2,5,1,0,12,0,0,1,0,0,0,1,0.235,0.335,0.394,0.729,0,14,L,S.Matz(49)
19,19,20,20,Apr 20,@,LAD,"W,5-2",39,36,5,10,3,0,0,5,3,0,6,0,0,0,0,1,0,0,0.237,0.335,0.392,0.727,7,15,L,C.Kershaw(47)
20,20,21,21,Apr 21,@,LAD,"L,0-4",33,29,0,2,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0.231,0.328,0.379,0.708,6,12,L,H.Ryu(78)
21,21,22,22,Apr 22,@,LAD,"L,3-4",38,33,3,9,3,0,1,3,3,1,9,0,0,2,0,0,2,0,0.232,0.328,0.382,0.71,8,16,L,A.Wood(53)
22,22,23,23,Apr 23,@,SFG,"L,2-4",37,31,2,5,0,1,0,2,4,0,8,0,0,2,1,0,2,0,0.23,0.324,0.376,0.701,8,15,R,C.Stratton(60)
23,23,24,24,Apr 24,@,SFG,"L,3-4",34,30,3,6,1,0,1,3,3,1,6,0,1,0,0,2,0,0,0.228,0.323,0.375,0.697,4,14,L,T.Blach(48)
24,24,25,25,Apr 25,@,SFG,"W,15-2",53,46,15,18,4,0,1,14,6,1,6,1,0,0,1,0,2,0,0.237,0.331,0.384,0.714,11,15,R,J.Samardzija(21)
25,25,26,26,Apr 27,,ARI,"L,4-5",41,37,4,11,1,0,1,4,3,0,11,0,0,1,0,0,0,0,0.24,0.331,0.385,0.716,10,14,R,Z.Godley(32)
26,26,27,27,Apr 28,,ARI,"L,3-4",41,36,3,8,3,0,2,3,3,1,10,2,0,0,0,1,1,0,0.239,0.331,0.388,0.719,8,20,L,P.Corbin(54)
27,27,28,28,Apr 29,,ARI,"W,3-1",36,31,3,7,1,0,2,2,5,1,4,0,0,0,2,2,1,0,0.239,0.331,0.39,0.721,9,13,L,R.Ray(54)
28,28,29,29,Apr 30,,PIT,"W,3-2",35,32,3,9,2,0,0,3,3,2,7,0,0,0,0,1,0,0,0.24,0.331,0.389,0.72,8,13,R,J.Taillon(49)
29,30,30,30,May 1,,PIT,"W,12-4",39,35,12,10,1,0,4,12,4,0,6,0,0,0,2,0,1,1,0.242,0.332,0.398,0.73,3,16,R,C.Kuhl(37)
30,31,31,31,May 2,,PIT,"W,9-3",42,38,9,14,3,0,2,7,3,1,10,0,1,0,1,0,2,0,0.246,0.335,0.405,0.74,9,12,R,I.Nova(19)
31,32,32,32,May 3,,PIT,"W,3-1",30,27,3,4,0,0,2,3,2,0,4,0,1,0,0,0,0,0,0.244,0.332,0.404,0.736,3,15,R,T.Williams(51)
32,33,33,33,May 4,,PHI,"W,7-3",39,32,7,9,1,0,3,7,7,1,8,0,0,0,0,0,0,0,0.245,0.334,0.41,0.744,8,15,R,N.Pivetta(17)
33,34,34,34,May 5,,PHI,"L,1-3",36,27,1,2,0,0,1,1,8,0,7,1,0,0,0,1,0,0,0.241,0.333,0.405,0.738,8,14,R,V.Velasquez(61)
34,35,35,35,May 6,,PHI,"W,5-4",36,29,5,7,0,0,1,5,6,0,6,1,0,0,1,1,0,2,0.241,0.335,0.403,0.738,7,17,R,J.Arrieta(64)
35,36,36,36,May 7,@,SDP,"W,8-5",42,34,8,8,3,0,3,8,7,0,8,1,0,0,0,1,0,0,0.241,0.336,0.408,0.744,7,12,R,T.Ross(43)
36,37,37,37,May 8,@,SDP,"W,4-0",36,33,4,9,3,0,0,4,1,0,10,0,1,1,0,1,0,0,0.242,0.335,0.407,0.742,5,13,L,C.Richard(64)
37,38,38,38,May 9,@,SDP,"L,1-2",34,32,1,8,1,0,1,1,2,0,12,0,0,0,0,1,0,2,0.242,0.334,0.406,0.74,6,14,L,J.Lucchesi(56)
38,39,39,39,May 10,@,ARI,"W,2-1",42,40,2,9,3,0,0,1,1,0,6,0,1,0,0,1,0,0,0.241,0.332,0.403,0.735,7,16,R,Z.Greinke(71)
39,40,40,40,May 11,@,ARI,"W,3-1",35,33,3,7,3,0,2,3,1,0,4,1,0,0,0,1,0,0,0.241,0.33,0.405,0.735,5,12,R,M.Koch(58)
40,41,41,41,May 12,@,ARI,"W,2-1",40,32,2,7,1,0,0,2,7,0,7,0,1,0,0,0,0,1,0.24,0.331,0.401,0.732,11,13,R,T.Scribner(43)
41,42,42,42,May 13,@,ARI,"W,6-4",38,36,6,9,2,0,4,6,2,0,8,0,0,0,0,0,1,0,0.24,0.33,0.408,0.737,5,16,R,Z.Godley(48)
42,43,43,43,May 15 susp,,NYY,"W,5-3",32,31,5,8,3,0,2,5,1,0,7,0,0,0,0,0,0,0,0.241,0.329,0.411,0.739,3,18,R,M.Tanaka(49)
43,44,44,44,May 19 (1),,LAD,"L,1-4",32,32,1,6,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0.239,0.326,0.406,0.732,4,13,R,R.Stripling(69)
44,45,45,45,May 19 (2),,LAD,"L,4-5",37,31,4,4,2,0,0,4,4,1,8,2,0,0,1,1,0,0,0.237,0.325,0.401,0.726,6,15,L,S.Alexander(59)
45,46,46,46,May 20,,LAD,"L,2-7",34,31,2,4,0,0,1,2,3,0,10,0,0,0,0,0,0,0,0.235,0.322,0.398,0.72,5,14,L,A.Wood(61)
46,47,47,47,May 21,,SDP,"W,10-2",40,37,10,15,4,1,4,10,2,0,4,0,1,0,0,1,0,0,0.239,0.325,0.409,0.734,6,12,L,R.Erlin(26)
47,48,48,48,May 22,,SDP,"W,2-1",35,32,2,8,1,0,1,2,3,0,9,0,0,0,1,1,0,0,0.239,0.325,0.409,0.733,8,13,L,E.Lauer(61)
48,49,49,49,May 23,,SDP,"L,1-3",34,33,1,7,1,0,1,1,1,0,12,0,0,0,0,1,0,0,0.239,0.323,0.407,0.73,6,15,R,T.Ross(68)
49,50,50,50,May 25,@,MIA,"W,9-5",42,36,9,10,3,0,2,7,5,1,10,1,0,0,1,2,0,0,0.24,0.324,0.41,0.734,6,16,R,J.Urena(52)
50,51,51,51,May 26,@,MIA,"W,4-1",38,34,4,7,2,0,2,4,4,1,8,0,0,0,0,0,1,0,0.239,0.324,0.41,0.734,7,14,L,W.Chen(72)
51,52,52,52,May 27,@,MIA,"W,5-2",38,35,5,11,4,2,2,5,2,1,4,0,0,1,0,1,0,0,0.24,0.324,0.417,0.741,6,16,R,E.Hernandez(50)
52,53,53,53,May 28,@,BAL,"W,6-0",40,36,6,10,2,0,1,6,4,0,6,0,0,0,0,1,0,0,0.241,0.325,0.417,0.741,7,9,R,A.Cobb(55)
53,54,54,54,May 29,@,BAL,"W,3-2",39,37,3,12,1,0,2,3,2,1,9,0,0,0,0,2,3,0,0.243,0.325,0.419,0.744,9,9,R,D.Bundy(44)
54,55,55,55,May 30,@,BAL,"W,2-0",35,33,2,7,1,0,1,2,2,0,2,0,0,0,0,1,0,0,0.242,0.324,0.417,0.741,6,9,R,D.Hess(61)
55,56,56,56,May 31,@,ATL,"L,2-4",34,30,2,5,2,0,0,2,2,0,7,0,1,1,0,0,3,0,0.241,0.322,0.414,0.736,5,12,L,S.Newcomb(61)
56,58,57,57,Jun 1,@,ATL,"L,0-4",29,28,0,2,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0.239,0.319,0.409,0.728,2,13,R,M.Foltynewicz(93)
57,59,58,58,Jun 2,@,ATL,"W,5-3",55,51,5,9,0,1,2,5,3,1,18,1,0,0,0,0,1,0,0.237,0.317,0.407,0.724,8,20,R,B.McCarthy(63)
58,60,59,59,Jun 3,@,ATL,"L,2-4",33,30,2,3,1,0,1,2,2,0,8,0,1,0,1,0,2,0,0.235,0.315,0.404,0.719,4,15,R,A.Sanchez(73)
59,61,60,60,Jun 5,,TBR,"W,4-2",30,29,4,4,0,1,1,3,1,0,8,0,0,0,0,0,0,0,0.234,0.313,0.403,0.716,2,10,R,N.Eovaldi(46)
60,62,61,61,Jun 6,,TBR,"W,11-2",42,38,11,15,4,0,0,9,4,1,7,0,0,0,0,0,2,0,0.236,0.316,0.405,0.72,7,14,L,J.Venters(24)
61,63,62,62,Jun 8,,SFG,"L,5-9",38,36,5,9,1,0,1,5,1,0,8,1,0,0,0,0,1,0,0.237,0.315,0.404,0.719,6,19,L,A.Suarez(39)
62,64,63,63,Jun 9,,SFG,"W,7-5",40,33,7,10,2,0,1,7,5,0,5,1,1,0,0,0,0,0,0.238,0.317,0.405,0.722,9,17,R,D.Rodriguez(25)
63,65,64,64,Jun 10,,SFG,"L,0-2",31,27,0,3,0,0,0,0,4,0,7,0,0,0,0,1,1,1,0.236,0.316,0.401,0.717,4,14,L,D.Holland(63)
64,66,65,65,Jun 12,@,NYY,"L,0-3",36,31,0,5,0,0,0,0,3,0,9,2,0,0,0,0,0,1,0.235,0.315,0.398,0.713,9,11,L,C.Sabathia(61)
65,67,66,66,Jun 13,@,NYY,"W,5-4",34,31,5,10,1,0,2,5,2,0,4,0,0,1,0,0,1,1,0.236,0.316,0.4,0.715,2,10,R,S.Gray(36)
66,68,67,67,Jun 15,@,TOR,"L,5-6",38,36,5,10,2,0,0,3,2,0,11,0,0,0,0,1,3,0,0.237,0.316,0.399,0.714,6,12,R,A.Sanchez(54)
67,69,68,68,Jun 16,@,TOR,"L,0-2",33,30,0,3,1,0,0,0,3,0,6,0,0,0,0,0,0,0,0.235,0.314,0.395,0.709,6,9,R,M.Estrada(70)
68,70,69,69,Jun 17,@,TOR,"L,6-8",41,38,6,13,2,0,0,5,3,0,12,0,0,0,0,0,5,0,0.237,0.315,0.395,0.71,8,11,R,S.Gaviglio(44)
69,71,70,70,Jun 18,,NYY,"L,2-4",38,33,2,7,2,0,0,2,3,0,15,1,0,1,0,0,0,0,0.237,0.315,0.394,0.708,9,17,R,S.Gray(53)
70,72,71,71,Jun 19,,BAL,"W,9-7",41,35,9,14,3,0,1,9,5,1,4,0,0,1,0,0,0,1,0.239,0.317,0.396,0.713,8,16,R,D.Hess(33)
71,73,72,72,Jun 20,,BAL,"L,0-3",36,32,0,5,2,0,0,0,4,0,9,0,0,0,1,1,0,0,0.238,0.316,0.394,0.71,9,15,R,A.Cashner(58)
72,74,73,73,Jun 21,,BAL,"W,4-2",33,28,4,8,3,1,1,4,4,0,5,0,0,1,0,1,0,0,0.238,0.317,0.396,0.713,5,12,R,K.Gausman(55)
73,75,74,74,Jun 22,,PHI,"L,2-12",36,33,2,8,4,0,0,2,2,0,7,0,0,1,0,1,1,0,0.238,0.316,0.395,0.712,7,16,R,Z.Eflin(51)
74,76,75,75,Jun 23,,PHI,"L,3-5",35,32,3,6,1,0,1,3,3,0,7,0,0,0,0,0,1,1,0.238,0.315,0.394,0.71,5,14,R,A.Nola(58)
75,77,76,76,Jun 24,,PHI,"W,8-6",43,39,8,17,4,1,1,8,4,1,8,0,0,0,0,2,2,0,0.241,0.318,0.399,0.717,11,16,R,N.Pivetta(48)
76,78,77,77,Jun 25,@,TBR,"L,0-11",32,28,0,2,1,0,0,0,4,0,11,0,0,0,0,1,0,0,0.239,0.317,0.395,0.712,5,11,L,B.Snell(81)
77,79,78,78,Jun 26,@,TBR,"L,0-1",34,29,0,3,1,0,0,0,4,0,12,1,0,0,0,0,0,1,0.238,0.316,0.393,0.708,7,11,R,N.Eovaldi(77)
78,80,79,79,Jun 28,@,PHI,"L,3-4",36,33,3,7,2,0,0,2,2,0,10,0,1,0,0,0,0,0,0.237,0.315,0.391,0.706,6,15,R,A.Nola(71)
79,81,80,80,Jun 29,@,PHI,"W,17-7",52,44,17,18,3,0,7,17,7,0,12,0,0,1,0,0,1,0,0.24,0.318,0.4,0.718,8,15,R,N.Pivetta(13)
80,82,81,81,Jun 30,@,PHI,"L,2-3",37,33,2,8,2,0,1,2,3,0,9,1,0,0,0,1,0,1,0.24,0.318,0.4,0.718,8,16,R,V.Velasquez(48)
81,84,82,82,Jul 1,@,PHI,"L,3-4",51,42,3,8,1,0,0,3,8,1,9,0,0,1,0,3,0,1,0.239,0.318,0.397,0.715,9,20,R,J.Arrieta(49)
82,85,83,83,Jul 2,,BOS,"L,3-4",40,35,3,9,0,0,3,3,5,0,9,0,0,0,0,0,0,0,0.24,0.318,0.399,0.717,10,16,R,R.Porcello(53)
83,86,84,84,Jul 3,,BOS,"L,4-11",40,38,4,12,1,0,2,4,2,0,7,0,0,0,0,0,0,1,0.241,0.319,0.4,0.719,9,13,L,B.Johnson(40)
84,87,85,85,Jul 4,,BOS,"L,0-3",34,33,0,6,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0.24,0.317,0.398,0.715,7,18,L,E.Rodriguez(71)
85,88,86,86,Jul 5,,MIA,"W,14-12",42,33,14,12,2,0,2,14,8,0,5,0,0,1,0,2,0,0,0.241,0.319,0.4,0.72,4,20,R,P.Lopez(38)
86,89,87,87,Jul 6,,MIA,"W,3-2",36,31,3,8,0,0,1,3,5,0,2,0,0,0,0,0,1,1,0.241,0.32,0.4,0.719,9,17,R,D.Straily(52)
87,90,88,88,Jul 7,,MIA,"W,18-4",45,40,18,17,3,0,3,18,4,1,3,0,0,1,0,0,0,0,0.244,0.322,0.404,0.726,3,13,L,W.Chen(22)
88,91,89,89,Jul 8,,MIA,"L,2-10",42,32,2,5,1,0,0,2,9,1,14,0,0,1,0,0,0,0,0.243,0.322,0.402,0.724,13,17,R,T.Richards(43)
89,92,90,90,Jul 9,@,PIT,"L,3-6",36,36,3,10,1,0,2,3,0,0,11,0,0,0,0,1,0,0,0.243,0.322,0.403,0.724,6,15,R,I.Nova(46)
90,93,91,91,Jul 10,@,PIT,"W,5-1",42,37,5,12,2,0,1,5,4,0,13,1,0,0,0,1,0,0,0.244,0.323,0.403,0.726,10,16,R,J.Musgrove(57)
91,94,92,92,Jul 11,@,PIT,"L,0-2",35,31,0,5,1,0,0,0,4,0,8,0,0,0,0,1,0,0,0.244,0.322,0.401,0.723,8,12,R,T.Williams(59)
92,95,93,93,Jul 12,@,NYM,"W,5-4",41,37,5,11,1,0,3,5,3,0,8,0,1,0,0,0,1,0,0.244,0.322,0.403,0.725,9,12,L,S.Matz(47)
93,96,94,94,Jul 13,@,NYM,"L,2-4",37,32,2,8,1,1,1,2,4,0,6,0,1,0,0,1,1,0,0.244,0.322,0.403,0.726,8,14,R,N.Syndergaard(50)
94,97,95,95,Jul 14,@,NYM,"L,4-7",36,34,4,8,1,0,1,4,2,0,8,0,0,0,0,1,0,0,0.244,0.322,0.403,0.725,5,14,R,Z.Wheeler(52)
95,98,96,96,Jul 15,@,NYM,"W,6-1",38,32,6,8,0,0,0,6,3,0,3,2,1,0,0,1,1,1,0.244,0.322,0.401,0.724,5,15,R,C.Oswalt(60)
96,99,97,97,Jul 20,,ATL,"L,5-8",38,34,5,8,1,0,3,4,3,0,10,0,1,0,0,0,2,0,0.244,0.322,0.403,0.725,6,15,R,A.Sanchez(53)
97,100,98,98,Jul 22,,ATL,"W,6-2",42,39,6,15,2,1,1,6,3,0,8,0,0,0,0,0,1,0,0.246,0.323,0.405,0.728,12,16,R,M.Foltynewicz(37)
98,101,99,99,Jul 23,@,MIL,"L,1-6",36,33,1,5,0,0,1,1,2,0,13,1,0,0,2,1,0,0,0.245,0.322,0.403,0.725,8,15,R,J.Chacin(70)
99,102,100,100,Jul 24,@,MIL,"L,4-5",40,38,4,8,2,0,1,4,2,0,8,0,0,0,1,0,0,1,0.244,0.321,0.402,0.724,6,18,R,J.Guerra(56)
100,103,101,101,Jul 25,@,MIL,"W,7-3",36,31,7,4,0,0,2,6,4,0,8,1,0,0,0,0,0,0,0.243,0.321,0.402,0.722,2,13,R,F.Peralta(39)
101,104,102,102,Jul 26,@,MIA,"W,10-3",47,37,10,13,5,2,2,10,9,3,6,1,0,0,0,1,0,0,0.245,0.323,0.405,0.728,10,16,R,D.Straily(50)
102,105,103,103,Jul 27,@,MIA,"W,9-1",47,39,9,16,3,1,1,8,5,1,6,1,1,1,0,1,0,0,0.246,0.325,0.408,0.732,11,14,R,P.Lopez(36)
103,106,104,104,Jul 28,@,MIA,"L,1-2",37,33,1,5,0,0,0,1,3,0,9,1,0,0,0,2,3,0,0.246,0.324,0.405,0.729,6,17,R,T.Richards(72)
104,107,105,105,Jul 29,@,MIA,"L,0-5",33,27,0,2,0,0,0,0,5,0,9,1,0,0,0,1,0,1,0.244,0.323,0.403,0.726,6,13,R,J.Urena(71)
105,108,106,106,Jul 31,,NYM,"W,25-4",59,50,25,26,5,2,5,25,8,1,6,1,0,0,0,0,2,0,0.248,0.327,0.411,0.738,10,14,L,S.Matz(9)
106,110,107,107,Aug 1,,NYM,"W,5-3",35,32,5,7,3,0,1,5,2,1,4,0,0,1,2,0,4,0,0.248,0.326,0.411,0.738,6,14,R,N.Syndergaard(56)
107,111,108,108,Aug 2,,CIN,"W,10-4",41,30,10,10,0,0,2,10,7,1,5,1,2,1,0,1,2,0,0.248,0.328,0.412,0.74,7,13,R,T.Mahle(21)
108,112,109,109,Aug 4 (1),,CIN,"L,1-7",36,33,1,7,3,0,0,1,2,0,4,1,0,0,0,1,0,0,0.248,0.327,0.411,0.738,8,14,R,A.DeSclafani(62)
109,113,110,110,Aug 4 (2),,CIN,"W,6-2",39,32,6,10,5,0,1,6,4,2,3,2,1,0,0,1,0,0,0.249,0.328,0.412,0.741,9,14,R,M.Harvey(23)
110,114,111,111,Aug 5,,CIN,"W,2-1",34,31,2,8,1,0,1,2,3,1,4,0,0,0,0,1,0,0,0.249,0.328,0.412,0.74,8,13,R,L.Castillo(49)
111,115,112,112,Aug 7 (1),,ATL,"W,8-3",42,34,8,11,4,0,2,8,7,2,6,0,0,1,0,0,1,0,0.249,0.329,0.414,0.743,10,17,L,M.Fried(55)
112,116,113,113,Aug 7 (2),,ATL,"L,1-3",35,32,1,7,2,0,1,1,2,0,10,1,0,0,0,1,0,0,0.249,0.329,0.414,0.742,7,13,L,S.Newcomb(62)
113,117,114,114,Aug 8,,ATL,"L,3-8",41,37,3,10,2,0,1,2,2,0,11,1,1,0,2,0,0,0,0.249,0.329,0.414,0.742,11,15,R,M.Foltynewicz(54)
114,118,115,115,Aug 9,,ATL,"W,6-3",37,33,6,11,1,0,1,6,3,1,6,0,0,1,0,0,0,1,0.25,0.329,0.414,0.743,7,13,R,A.Sanchez(55)
115,119,116,116,Aug 10,@,CHC,"L,2-3",38,34,2,9,1,0,0,2,2,0,8,1,1,0,1,0,1,0,0.25,0.329,0.413,0.742,9,16,R,K.Hendricks(53)
116,120,117,117,Aug 11,@,CHC,"W,9-4",45,37,9,13,0,0,3,9,5,0,12,0,2,1,0,0,1,0,0.251,0.33,0.415,0.745,9,13,L,J.Lester(11)
117,121,118,118,Aug 12,@,CHC,"L,3-4",33,29,3,3,0,1,0,3,3,1,12,0,0,1,0,0,0,0,0.25,0.329,0.413,0.742,3,14,L,C.Hamels(79)
118,122,119,119,Aug 13,@,STL,"L,6-7",37,32,6,8,1,0,2,6,3,0,5,0,2,0,0,1,0,0,0.25,0.329,0.413,0.742,4,17,R,M.Mikolas(56)
119,123,120,120,Aug 14,@,STL,"L,4-6",38,36,4,9,3,0,1,4,1,0,9,1,0,0,0,0,0,0,0.25,0.328,0.413,0.742,7,14,R,J.Gant(62)
120,124,121,121,Aug 15,@,STL,"L,2-4",37,32,2,7,2,1,1,2,4,0,7,0,0,1,0,1,0,0,0.25,0.328,0.414,0.742,8,15,L,A.Gomber(68)
