,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 1,@,ATL,"L,2-7",34,31,2,5,2,0,1,2,2,0,10,0,0,1,0,0,0,0,0.161,0.206,0.323,0.528,5,13,L,T.Glavine(60)
1,1,2,2,Apr 3,@,ATL,"W,3-1",37,34,3,9,4,0,1,3,2,0,9,0,1,0,0,1,0,0,0.215,0.257,0.4,0.657,7,12,R,K.Millwood(54)
2,2,3,3,Apr 4,@,ATL,"L,2-11",36,32,2,5,1,0,1,2,4,0,12,0,0,0,1,0,0,1,0.196,0.255,0.361,0.616,7,15,R,J.Marquis(59)
3,3,4,4,Apr 5,,FLA,"W,6-2",42,31,6,9,4,0,1,6,8,0,6,1,2,0,0,1,2,0,0.219,0.308,0.398,0.707,12,13,R,J.Tavarez(22)
4,4,5,5,Apr 6,,FLA,"L,3-7",40,35,3,9,2,1,0,2,5,0,6,0,0,0,1,1,0,1,0.227,0.317,0.393,0.71,10,17,R,J.Beckett(54)
5,5,6,6,Apr 7,,FLA,"W,3-2",42,36,3,9,2,0,1,3,6,0,8,0,0,0,0,2,1,0,0.231,0.325,0.392,0.717,9,13,R,R.Dempster(71)
6,6,7,7,Apr 8,,ATL,"L,1-2",33,31,1,6,2,0,0,1,2,0,10,0,0,0,0,2,0,0,0.226,0.314,0.374,0.688,5,13,R,K.Millwood(72)
7,7,8,8,Apr 9,,ATL,"W,7-4",37,34,7,11,2,0,1,6,3,1,6,0,0,0,1,1,0,0,0.239,0.322,0.386,0.709,6,13,R,J.Marquis(36)
8,8,9,9,Apr 10,,ATL,"W,7-5",48,39,7,13,4,1,2,7,7,1,6,0,1,1,1,2,0,2,0.251,0.336,0.419,0.755,10,17,R,J.Ennis(42)
9,9,10,10,Apr 11,,ATL,"L,2-6",36,33,2,7,1,0,0,2,3,0,5,0,0,0,0,1,0,1,0.247,0.331,0.402,0.732,7,15,L,T.Glavine(71)
10,10,11,11,Apr 12,,CIN,"L,5-8",42,38,5,11,3,0,0,4,4,0,5,0,0,0,1,1,0,0,0.251,0.333,0.398,0.732,10,14,R,C.Reitsma(25)
11,11,12,12,Apr 13,,CIN,"L,2-5",36,33,2,9,1,0,0,2,1,0,8,0,1,1,0,1,0,0,0.253,0.33,0.391,0.72,7,12,R,J.Hamilton(53)
12,12,13,13,Apr 14,,CIN,"W,3-1",35,33,3,8,1,0,0,3,2,1,7,0,0,0,1,0,1,0,0.252,0.327,0.382,0.708,8,10,R,E.Dessens(57)
13,13,14,14,Apr 16,@,FLA,"L,6-7",38,30,6,7,3,2,0,4,4,0,5,3,1,0,0,1,0,1,0.251,0.33,0.387,0.717,5,13,R,J.Tavarez(32)
14,14,15,15,Apr 17,@,FLA,"W,7-5",46,41,7,14,3,0,3,7,4,0,6,0,1,0,1,0,2,1,0.258,0.336,0.407,0.743,12,15,R,B.Penny(41)
