,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 3,,CLE,"L,5-8",37,34,5,8,2,1,3,5,3,0,12,0,0,0,0,0,1,1,0.235,0.297,0.618,0.915,5,9,R,C.Kluber(43)
1,1,2,2,Apr 4,,CLE,"L,3-4",34,32,3,7,2,0,1,3,1,0,10,1,0,0,0,1,0,0,0.227,0.282,0.5,0.782,4,11,R,C.Carrasco(59)
2,2,3,3,Apr 5,,CLE,"L,6-9",37,31,6,7,0,0,2,4,5,0,12,0,1,0,0,1,0,1,0.227,0.299,0.474,0.773,4,11,R,D.Salazar(46)
3,3,4,4,Apr 7,,OAK,"W,10-5",40,36,10,11,4,0,2,10,3,0,4,1,0,0,0,0,0,0,0.248,0.32,0.504,0.823,6,9,R,R.Alcantara(15)
4,4,5,5,Apr 8,,OAK,"L,1-6",30,29,1,2,0,0,1,1,1,0,8,0,0,0,1,1,0,0,0.216,0.282,0.444,0.727,2,9,R,K.Graveman(73)
5,5,6,6,Apr 9,,OAK,"W,8-1",40,33,8,7,0,0,2,8,5,0,12,2,0,0,2,0,1,0,0.215,0.295,0.436,0.731,8,9,L,S.Manaea(48)
6,6,7,7,Apr 11,@,LAA,"L,5-6",42,39,5,10,1,0,2,5,2,0,9,1,0,0,1,1,0,1,0.222,0.297,0.436,0.733,7,11,L,T.Skaggs(34)
7,7,8,8,Apr 12,@,LAA,"W,8-3",42,37,8,11,0,2,3,8,5,1,8,0,0,0,0,1,0,0,0.232,0.309,0.465,0.774,7,9,R,J.Chavez(34)
8,8,9,9,Apr 13,@,LAA,"W,8-3",41,37,8,11,2,0,2,8,3,0,7,0,0,0,1,1,2,1,0.24,0.314,0.471,0.785,6,10,R,R.Nolasco(38)
9,9,10,10,Apr 14,@,SEA,"L,1-2",34,33,1,7,1,0,0,1,0,0,5,1,0,0,0,1,1,0,0.238,0.307,0.449,0.755,6,9,R,F.Hernandez(65)
10,10,11,11,Apr 15,@,SEA,"L,0-5",29,28,0,2,1,0,0,0,1,0,12,0,0,0,0,1,0,0,0.225,0.292,0.423,0.715,2,9,L,J.Paxton(86)
11,11,12,12,Apr 16,@,SEA,"L,7-8",42,36,7,9,2,0,2,7,5,1,6,1,0,0,0,0,1,0,0.227,0.298,0.427,0.725,8,10,R,H.Iwakuma(23)
12,12,13,13,Apr 17,@,OAK,"W,7-0",41,33,7,7,3,0,0,7,7,1,6,0,1,0,0,0,1,0,0.226,0.302,0.418,0.72,7,9,R,J.Cotton(37)
13,13,14,14,Apr 18,@,OAK,"L,2-4",31,31,2,3,0,0,0,2,0,0,8,0,0,0,1,1,2,0,0.217,0.29,0.397,0.687,2,10,R,A.Triggs(67)
14,14,15,15,Apr 19,@,OAK,"L,1-9",34,30,1,3,0,0,1,1,4,0,6,0,0,0,0,0,0,0,0.21,0.285,0.385,0.67,6,10,R,J.Hahn(64)
15,15,16,16,Apr 20,,KCR,"W,1-0",45,41,1,6,3,0,0,1,4,0,8,0,0,0,0,2,0,0,0.206,0.28,0.372,0.652,7,9,L,D.Duffy(72)
16,16,17,17,Apr 21,,KCR,"W,6-2",34,30,6,6,0,0,4,6,4,0,9,0,0,0,1,0,1,0,0.205,0.281,0.384,0.665,4,9,R,N.Karns(33)
17,17,18,18,Apr 22,,KCR,"W,2-1",33,29,2,7,0,0,1,2,4,0,4,0,0,0,0,1,1,1,0.207,0.284,0.382,0.666,7,9,R,I.Kennedy(65)
18,18,19,19,Apr 23,,KCR,"W,5-2",36,31,5,9,0,0,2,5,3,0,9,2,0,0,0,1,1,1,0.211,0.289,0.387,0.676,7,9,R,J.Hammel(41)
