,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 2,@,MON,"L,6-7",8.2,11,7,7,0,4,9,1,1,7.27,40,162,96,1.0,1.0,0,1,34,5,0,1,1,0,0,1,3,Ed Montague,"R.Dempster (99-60), V.Núñez (99), B.Looper (99-BL)"
1,1,2,2,Apr 3,@,MON,"W,6-5",9.0,9,5,5,0,6,10,2,0,6.11,41,148,88,4.0,0.0,0,0,35,0,0,0,0,0,0,1,5,Jerry Layne,"A.Burnett (99-70-W), V.Darensbourg (99), K.Olsen (99-H), B.Looper (0), M.Tejera (99-Sv)"
2,2,3,3,Apr 4,@,MON,"W,1-0",9.0,4,0,0,0,3,3,0,0,4.05,30,104,58,,,0,2,27,0,0,0,0,0,0,2,1,Hunter Wendelstedt,B.Penny (99-79-W)
3,3,4,4,Apr 5,@,PHI,"L,2-6",8.0,9,6,6,0,8,6,1,1,4.67,42,176,94,7.0,2.0,2,0,31,4,0,0,2,0,0,1,6,Phil Cuzzi,"J.Tavarez (99-22-L), V.Darensbourg (1), G.Knotts (99), K.Olsen (1), B.Looper (1), V.Núñez (2)"
4,4,5,5,Apr 6,@,PHI,"W,7-3",9.0,9,3,2,1,5,6,0,0,4.12,40,154,88,3.0,1.0,0,1,35,2,1,0,0,0,1,1,3,Jerry Crawford,"J.Beckett (99-54), M.Tejera (2-BSv), V.Núñez (0-W)"
5,5,6,6,Apr 7,@,PHI,"L,2-3",10.0,9,3,3,0,6,8,1,0,3.86,42,169,102,5.0,1.0,1,0,36,2,0,0,0,0,0,2,5,Joe West,"R.Dempster (4-71), V.Darensbourg (1), G.Knotts (1), M.Tejera (0-H), B.Looper (1-BL)"
6,6,7,7,Apr 8,,MON,"L,2-10",9.0,15,10,10,0,4,13,2,0,4.74,45,198,133,0.0,0.0,0,1,40,2,2,1,0,1,0,0,4,Brian Runge,"A.Burnett (4-30-L), G.Knotts (0), V.Darensbourg (0), K.Olsen (2)"
7,7,8,8,Apr 10,,MON,"L,7-9",9.0,12,9,9,0,6,5,2,0,5.27,44,154,90,2.0,0.0,0,0,35,3,0,1,2,1,0,0,5,Jim Wolf,"B.Penny (5-20-L), M.Tejera (2), B.Looper (2), G.Knotts (1), V.Núñez (3)"
8,8,9,9,Apr 11,,MON,"W,7-5",9.0,8,5,5,0,5,7,0,1,5.24,40,145,81,3.0,1.0,0,1,34,4,0,0,0,0,1,0,5,Tim McClelland,"J.Tavarez (5-42-W), V.Darensbourg (2-H), M.Tejera (0-H), B.Looper (0-H), V.Núñez (0-Sv)"
9,9,10,10,Apr 12,,ATL,"L,0-2",9.0,8,2,2,0,6,7,1,0,4.92,39,155,91,5.0,0.0,3,1,32,1,0,0,1,0,0,1,5,Dana DeMuth,"J.Beckett (5-56-L), K.Olsen (3), V.Darensbourg (0), B.Looper (0), G.Knotts (1)"
10,10,11,11,Apr 13,,ATL,"W,5-4",14.0,11,4,4,0,7,7,0,0,4.6,57,196,121,0.0,0.0,0,2,50,1,0,0,0,0,0,1,5,Charlie Reliford,"R.Dempster (5-44), M.Tejera (1), V.Núñez (1), B.Looper (0), G.Knotts (0-W)"
11,11,12,12,Apr 14,,ATL,"W,7-0",9.0,4,0,0,0,3,8,0,0,4.23,33,124,78,,,0,0,30,0,0,0,0,0,0,1,1,Kerwin Danley,A.Burnett (5-84-W)
12,12,13,13,Apr 16,,PHI,"W,7-6",9.0,7,6,6,0,4,5,0,3,4.36,38,150,82,0.0,0.0,0,1,30,3,2,0,1,0,0,1,3,Andy Fletcher,"J.Tavarez (4-32), V.Darensbourg (3), G.Knotts (2-W)"
13,13,14,14,Apr 17,,PHI,"L,5-7",9.0,14,7,6,1,4,6,3,0,4.48,46,169,97,0.0,0.0,2,1,41,3,0,0,1,0,1,0,3,Joe Brinkman,"B.Penny (6-41), M.Tejera (3-BSv), B.Looper (3-L)"
14,14,15,15,Apr 18,,PHI,"W,8-7",9.0,9,7,7,0,3,6,0,0,4.64,38,160,103,2.0,1.0,3,0,34,2,1,0,0,1,0,0,5,Scott Higgins,"J.Beckett (5-50), V.Darensbourg (1-H), G.Knotts (1-H), M.Tejera (0), V.Núñez (4-BW)"
15,15,16,16,Apr 19,@,ATL,"L,2-3",8.0,7,3,3,0,2,4,1,0,4.57,32,112,68,,,1,0,29,1,0,0,1,0,0,1,1,Bill Miller,R.Dempster (5-58-L)
16,16,17,17,Apr 20,@,ATL,"L,1-3",8.0,4,3,0,3,2,2,1,0,4.34,31,98,59,0.0,0.0,0,0,28,1,0,0,1,0,1,0,3,Jerry Crawford,"A.Burnett (5-63-L), G.Knotts (1), B.Looper (2)"
17,17,18,18,Apr 21,@,ATL,"L,2-4",8.0,15,4,4,0,2,4,0,1,4.34,37,151,100,0.0,0.0,1,0,33,2,3,0,0,1,0,3,4,Bill Hohn,"K.Olsen (8-35-L), H.Izquierdo (99), V.Darensbourg (2), B.Looper (0)"
18,18,19,19,Apr 22,@,ATL,"W,8-3",9.0,8,3,2,1,5,2,1,0,4.22,38,142,87,2.0,0.0,0,0,32,0,0,0,1,0,1,2,3,Lance Barksdale,"B.Penny (4-43-W), G.Knotts (1-H), V.Núñez (3)"
19,19,20,20,Apr 23,,HOU,"W,4-3",12.0,5,3,0,3,4,15,0,0,3.95,45,175,120,0.0,0.0,0,0,41,2,1,1,0,0,1,1,4,Tony Randazzo,"J.Beckett (4-73), B.Looper (1), M.Tejera (4), V.Núñez (0-W)"
20,20,21,21,Apr 24,,HOU,"L,4-7",9.0,12,7,7,0,4,6,3,0,4.09,42,150,92,1.0,1.0,0,0,38,5,1,0,0,0,0,0,3,Bruce Froemming,"R.Dempster (4-28-L), V.Darensbourg (2), H.Izquierdo (2)"
21,21,22,22,Apr 25,,HOU,"W,5-4",9.0,6,4,4,0,6,9,0,2,4.09,41,155,86,1.0,0.0,1,0,30,0,0,0,2,1,0,0,3,Ed Rapuano,"A.Burnett (4-59-W), B.Looper (1-H), V.Núñez (1-Sv)"
22,22,23,23,Apr 26,,ARI,"L,3-5",9.0,12,5,3,2,4,4,1,0,4.04,41,158,104,2.0,2.0,5,1,37,2,0,0,0,0,1,2,5,Dale Scott,"K.Olsen (4-37-L), V.Darensbourg (1), H.Izquierdo (1), M.Tejera (2), G.Knotts (3)"
23,23,24,24,Apr 27,,ARI,"W,6-3",9.0,11,3,3,0,3,7,1,0,4.0,40,147,97,1.0,0.0,0,0,37,1,1,0,0,0,1,2,4,Jim Wolf,"B.Penny (4-50-W), V.Darensbourg (0-H), B.Looper (1-H), V.Núñez (1-Sv)"
24,24,25,25,Apr 28,,ARI,"L,4-5",9.0,8,5,5,0,1,7,3,0,4.04,35,141,88,0.0,0.0,1,0,33,1,0,0,1,0,0,1,4,Jeff Nelson,"J.Beckett (4-41-L), M.Tejera (1), V.Darensbourg (0), G.Knotts (1)"
25,25,26,26,Apr 30,@,STL,"W,7-2",9.0,3,2,0,2,4,4,1,0,3.88,33,140,82,0.0,0.0,0,1,29,1,0,0,0,0,1,0,2,Tim Tschida,"A.Burnett (4-71-W), V.Núñez (2)"
26,27,27,27,May 1,@,STL,"L,4-6",8.0,13,6,6,0,4,3,2,0,3.98,38,116,76,6.0,2.0,1,0,34,4,0,1,0,0,0,3,5,Mark Wegner,"R.Dempster (6-51-L), M.Tejera (2), G.Knotts (2), V.Darensbourg (2), O.Mairena (99)"
27,28,28,28,May 2,@,STL,"W,9-6",9.0,10,6,2,4,4,2,0,1,3.91,42,144,79,0.0,0.0,0,0,37,3,0,1,0,0,1,0,6,Bill Welke,"B.Penny (4-31), H.Izquierdo (5), M.Tejera (0-W), O.Mairena (0-H), B.Looper (4-H), V.Núñez (1-Sv)"
28,29,29,29,May 3,@,MIL,"W,8-4",9.0,7,4,3,1,4,8,1,0,3.88,36,143,84,0.0,0.0,0,0,30,1,0,0,2,0,1,2,4,Steve Rippley,"K.Olsen (6-48), V.Darensbourg (1-W), G.Knotts (1-H), V.Núñez (0)"
29,30,30,30,May 4,@,MIL,"L,4-6",8.0,10,6,6,0,1,4,0,0,3.96,34,130,81,2.0,1.0,0,0,32,6,0,0,0,1,0,1,4,Gary Darling,"N.Teut (99-29-L), H.Izquierdo (1), O.Mairena (1), B.Looper (1)"
30,31,31,31,May 5,@,MIL,"W,7-4",9.0,7,4,4,0,3,6,1,1,3.96,37,127,79,1.0,0.0,0,0,31,1,0,0,1,1,0,1,4,Paul Emmel,"A.Burnett (4-50-W), M.Tejera (2-H), G.Knotts (1-H), V.Núñez (1-Sv)"
31,32,32,32,May 7,,SDP,"W,12-4",9.0,9,4,4,0,6,8,1,0,3.96,41,153,90,2.0,1.0,0,1,34,2,0,0,1,0,0,0,3,CB Bucknor,"R.Dempster (5-51-W), B.Neal (99), V.Darensbourg (3)"
32,33,33,33,May 8,,SDP,"W,7-4",9.0,8,4,4,0,8,5,2,0,3.96,42,174,93,0.0,0.0,2,0,34,2,0,0,0,0,0,1,5,Mark Carlson,"K.Olsen (4-50), M.Tejera (2), G.Knotts (2-BSv), O.Mairena (3-W), V.Núñez (2-Sv)"
33,34,34,34,May 9,,SDP,"W,1-0",9.0,5,0,0,0,5,4,0,0,3.85,35,140,79,1.0,0.0,1,1,30,0,1,0,0,0,0,1,4,John Hirschbeck,"H.Izquierdo (4-60-W), M.Tejera (0-H), B.Looper (4-H), V.Núñez (0-Sv)"
34,35,35,35,May 10,,LAD,"W,4-3",9.0,6,3,3,0,6,11,0,0,3.82,38,141,84,0.0,0.0,0,0,31,1,0,0,0,1,0,0,2,Eric Cooper,"A.Burnett (4-70), V.Núñez (0-BW)"
35,36,36,36,May 11,,LAD,"L,0-3",9.0,6,3,2,1,2,8,0,0,3.77,35,124,80,0.0,0.0,0,0,33,2,0,0,0,0,2,2,4,Mike Reilly,"J.Tavarez (24-44-L), V.Darensbourg (3), K.Olsen (2), G.Knotts (2)"
36,37,37,37,May 12,,LAD,"W,11-3",9.0,9,3,3,0,2,7,1,1,3.75,35,108,73,,,0,1,31,2,0,0,0,1,0,3,1,Jeff Kellogg,R.Dempster (4-62-W)
37,38,38,38,May 13,@,COL,"L,3-7",8.0,8,7,5,2,6,5,2,0,3.8,37,147,74,0.0,0.0,1,0,30,1,0,1,0,1,1,1,4,Matt Hollowell,"B.Penny (10-56-L), G.Knotts (1), M.Tejera (3), H.Izquierdo (3)"
38,39,39,39,May 14,@,COL,"W,6-2",9.0,8,2,2,0,4,4,2,0,3.75,39,129,80,3.0,0.0,1,0,35,1,0,0,0,0,0,0,4,Mark Hirschbeck,"J.Beckett (15-57-W), B.Looper (4-H), O.Mairena (5), V.Núñez (3-Sv)"
39,40,40,40,May 15,@,COL,"L,2-7",8.0,10,7,7,0,5,6,3,0,3.84,35,142,86,2.0,2.0,1,1,30,1,0,0,0,0,0,2,2,Paul Schrieber,"A.Burnett (4-39-L), V.Darensbourg (3)"
40,41,41,41,May 16,@,COL,"L,3-10",8.0,12,10,10,0,5,4,2,0,4.0,41,139,86,1.0,1.0,1,0,35,2,0,0,1,0,1,0,2,Jim Reynolds,"J.Tavarez (4-3-L), K.Olsen (4)"
41,42,42,42,May 17,@,SFG,"L,3-9",8.0,10,9,9,0,3,10,2,0,4.13,35,158,89,0.0,0.0,0,2,32,0,2,0,0,0,0,0,2,Jim Joyce,"R.Dempster (4-56-L), B.Looper (2)"
42,43,43,43,May 18,@,SFG,"L,5-10",8.0,14,10,10,0,7,7,4,1,4.28,46,174,95,0.0,0.0,0,0,37,3,0,3,1,0,0,0,5,Jeff Nelson,"B.Penny (4-21-L), H.Izquierdo (4), V.Darensbourg (2), O.Mairena (3), M.Tejera (4)"
43,44,44,44,May 19,@,SFG,"W,4-2",9.0,2,2,2,0,2,7,1,0,4.23,31,123,77,0.0,0.0,2,0,28,0,0,0,0,1,0,0,3,Ron Kulpa,"J.Beckett (4-74-W), B.Looper (1-H), V.Núñez (4-Sv)"
