,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 6,@,HOU,"W,4-2",9.0,8,2,2,0,4,6,0,0,2.0,36,149,90,3.0,1.0,0,1,30,0,0,0,1,1,0,1,5,Derryl Cousins,"C.Zambrano (99-61-W), A.Heilman (99-H), N.Cotts (99-H), C.Marmol (99-H), K.Gregg (99-Sv)"
1,1,2,2,Apr 7,@,HOU,"L,2-3",9.1,10,3,3,0,6,8,1,0,2.45,42,163,98,4.0,1.0,1,1,36,0,1,1,0,0,1,1,5,Jim Joyce,"R.Dempster (99-54), A.Guzman (99), A.Heilman (0), N.Cotts (0-L), K.Gregg (0)"
2,2,3,3,Apr 8,@,HOU,"W,11-6",9.0,11,6,6,0,0,6,5,0,3.62,38,130,85,0.0,0.0,0,0,38,3,0,0,0,0,0,0,4,Bill Miller,"T.Lilly (99-34-W), D.Patton (99), C.Marmol (1), A.Guzman (0)"
3,3,4,4,Apr 10,@,MIL,"L,3-4",8.1,4,4,3,1,7,11,1,1,3.53,39,162,99,5.0,0.0,0,0,29,2,0,1,2,0,1,0,7,Jim Reynolds,"R.Harden (99-68), A.Heilman (2-H), N.Cotts (2), C.Marmol (1-H), S.Marshall (99), L.Vizcaino (99-H), K.Gregg (2-BL)"
4,4,5,5,Apr 11,@,MIL,"W,6-5",9.0,9,5,5,0,6,12,1,0,3.83,40,177,108,5.0,2.0,0,0,34,2,0,0,0,0,0,1,5,Tim Welke,"C.Zambrano (4-50), A.Guzman (2), N.Cotts (0), A.Heilman (0-W), C.Marmol (0-Sv)"
5,5,6,6,Apr 12,@,MIL,"W,8-5",9.0,8,5,5,0,4,10,2,1,4.02,40,156,98,0.0,0.0,0,0,33,1,0,1,0,2,0,0,4,Angel Hernandez,"R.Dempster (4-47-W), S.Marshall (1-H), C.Marmol (0-H), K.Gregg (1)"
6,6,7,7,Apr 13,,COL,"W,4-0",9.0,1,0,0,0,4,12,0,0,3.45,32,150,89,2.0,0.0,0,0,27,0,0,0,1,0,0,0,4,Andy Fletcher,"T.Lilly (4-78-W), A.Guzman (1-H), A.Heilman (1-H), K.Gregg (0)"
7,7,8,8,Apr 15,,COL,"L,2-5",9.0,9,5,5,0,7,14,1,0,3.64,41,182,110,0.0,0.0,0,0,34,3,0,0,0,0,0,1,5,Tim McClelland,"R.Harden (4-37-L), D.Patton (6), L.Vizcaino (4), N.Cotts (3), A.Guzman (1)"
8,8,9,9,Apr 16,,STL,"L,4-7",9.0,12,7,7,0,4,7,3,0,4.02,42,170,98,3.0,1.0,0,1,36,2,0,2,2,0,0,0,6,Larry Vanover,"S.Marshall (3-43), A.Heilman (2-BSv), D.Patton (0-L), N.Cotts (0), A.Guzman (0), L.Vizcaino (0)"
9,9,10,10,Apr 17,,STL,"W,8-7",9.0,10,7,7,0,4,9,3,1,4.32,41,142,93,0.0,0.0,0,0,34,2,0,0,0,2,0,1,3,Sam Holbrook,"C.Zambrano (5-35), A.Heilman (0-W), C.Marmol (4-Sv)"
10,10,11,11,Apr 18,,STL,"W,7-5",11.0,6,5,5,0,8,7,1,1,4.29,47,194,117,4.0,0.0,0,0,36,3,0,0,2,0,0,0,6,Dan Iassogna,"R.Dempster (5-48), N.Cotts (1), C.Marmol (0-BSv), K.Gregg (4), A.Heilman (0), A.Guzman (1-W)"
11,11,12,12,Apr 21,,CIN,"W,7-2",9.0,6,2,2,0,3,12,1,0,4.1,36,146,92,2.0,0.0,1,0,33,2,0,0,0,0,0,0,5,Randy Marsh,"R.Harden (5-64-W), A.Heilman (2), N.Cotts (2), C.Marmol (2), L.Vizcaino (4)"
12,12,13,13,Apr 22,,CIN,"L,0-3",9.0,9,3,2,1,0,4,1,0,3.94,36,142,96,0.0,0.0,1,0,34,1,0,0,1,1,1,1,3,Lance Barksdale,"T.Lilly (8-67-L), A.Guzman (3), K.Gregg (3)"
13,13,14,14,Apr 23,,CIN,"L,1-7",9.0,13,7,6,1,2,9,1,0,4.09,40,155,97,0.0,0.0,1,0,38,3,1,0,0,0,0,1,3,James Hoye,"C.Zambrano (5-54-L), N.Cotts (1), J.Samardzija (99)"
14,14,15,15,Apr 24,@,STL,"L,3-4",8.0,9,4,4,0,1,6,0,1,4.11,33,108,71,2.0,0.0,1,0,31,2,0,0,0,0,0,2,4,Eric Cooper,"R.Dempster (5-51), A.Heilman (2), C.Marmol (2-L), A.Guzman (1)"
15,15,16,16,Apr 25,@,STL,"L,2-8",8.0,10,8,8,0,4,7,1,0,4.39,38,135,90,2.0,0.0,0,0,32,2,0,0,2,0,0,0,3,Scott Barry,"S.Marshall (8-52-L), D.Patton (8), N.Cotts (1)"
16,16,17,17,Apr 26,@,STL,"W,10-3",9.0,8,3,3,0,4,9,2,1,4.3,39,155,99,1.0,0.0,1,0,34,2,0,0,0,0,0,1,4,Laz Diaz,"R.Harden (4-63-W), N.Cotts (0), A.Heilman (1), K.Gregg (3)"
17,17,18,18,Apr 27,@,ARI,"L,2-7",8.0,8,7,6,1,5,7,1,0,4.43,37,150,83,0.0,0.0,5,1,31,4,0,0,1,0,1,0,3,Rob Drake,"T.Lilly (4-34-L), D.Patton (1), J.Samardzija (3)"
18,18,19,19,Apr 28,@,ARI,"W,11-3",9.0,10,3,3,0,3,5,0,0,4.35,39,141,89,0.0,0.0,0,0,36,3,0,0,0,0,0,1,2,Tim Timmons,"C.Zambrano (4-50-W), A.Guzman (3)"
19,19,20,20,Apr 29,@,ARI,"L,0-10",8.0,8,10,10,0,10,9,1,0,4.66,42,170,95,7.0,4.0,2,0,30,2,0,1,2,0,0,0,5,Jeff Kellogg,"R.Dempster (4-41-L), C.Marmol (4), J.Samardzija (1), K.Gregg (2), D.Patton (1)"
20,20,21,21,Apr 30,,FLA,"L,2-8",10.0,10,8,6,2,6,9,1,0,4.7,44,182,118,1.0,1.0,0,1,37,3,0,0,1,0,3,3,5,Jim Wolf,"S.Marshall (4-65), C.Marmol (0-BSv), K.Gregg (0), A.Heilman (3-L), A.Guzman (1)"
21,22,22,22,May 1,,FLA,"W,8-6",9.0,8,6,6,0,9,7,0,1,4.76,45,182,108,3.0,0.0,0,0,33,2,0,0,2,0,0,0,6,Brian O'Nora,"R.Harden (4-27), J.Samardzija (1), D.Patton (1-W), N.Cotts (4-H), C.Marmol (0-H), K.Gregg (0-Sv)"
22,23,23,23,May 2,,FLA,"W,6-1",9.0,5,1,1,0,0,13,1,0,4.59,32,116,85,0.0,0.0,0,0,32,0,0,0,0,0,0,0,2,Fieldin Culbreth,"T.Lilly (4-78-W), A.Heilman (1)"
23,24,24,24,May 3,,FLA,"W,6-4",9.0,7,4,4,0,3,5,1,0,4.57,37,158,103,0.0,0.0,0,1,33,2,0,0,0,1,1,0,4,Brian Knight,"C.Zambrano (4-53-W), A.Guzman (2), C.Marmol (1-H), K.Gregg (1-Sv)"
24,25,25,25,May 4,,SFG,"W,4-2",9.0,6,2,2,0,3,11,0,0,4.47,35,140,89,0.0,0.0,1,0,32,1,0,0,0,0,0,1,3,Jerry Layne,"R.Dempster (4-64-W), C.Marmol (0-H), K.Gregg (0-Sv)"
25,26,26,26,May 5,,SFG,"L,2-6",9.0,11,6,6,0,2,2,1,1,4.53,40,122,76,5.0,2.0,2,0,36,1,0,0,1,0,0,1,4,Tony Randazzo,"S.Marshall (4-41-L), J.Samardzija (3), N.Cotts (3), D.Patton (3)"
26,27,27,27,May 6,@,HOU,"W,6-3",9.0,8,3,3,0,3,5,1,0,4.47,37,121,83,1.0,0.0,0,0,34,1,0,0,0,0,0,1,3,Wally Bell,"R.Harden (4-50-W), C.Marmol (1-H), K.Gregg (1-Sv)"
27,28,28,28,May 7,@,HOU,"W,8-5",9.0,8,5,5,0,4,11,1,0,4.49,39,145,87,1.0,1.0,1,0,34,2,2,0,0,1,1,1,5,Adrian Johnson,"T.Lilly (4-58-W), A.Heilman (4-H), C.Marmol (0-H), C.Fox (99), K.Gregg (0)"
28,29,29,29,May 8,@,MIL,"L,2-3",8.0,7,3,3,0,3,10,2,0,4.45,33,138,87,0.0,0.0,0,0,30,1,0,0,0,0,0,1,3,Tom Hallion,"R.Wells (99-60), A.Guzman (4-H), A.Heilman (0-BL)"
29,30,30,30,May 9,@,MIL,"L,6-12",8.0,12,12,11,1,9,11,2,1,4.69,46,194,103,4.0,4.0,1,1,34,1,0,0,0,2,0,0,5,Jerry Crawford,"R.Dempster (4-47-L), N.Cotts (3), D.Patton (3), C.Fox (1), A.Heilman (0)"
30,31,31,31,May 10,@,MIL,"W,4-2",9.0,6,2,2,0,6,9,1,0,4.6,39,167,98,0.0,0.0,0,0,33,3,1,0,0,0,0,0,4,Phil Cuzzi,"S.Marshall (4-50-W), A.Guzman (1-H), C.Marmol (2-H), K.Gregg (2-Sv)"
31,32,32,32,May 12,,SDP,"W,6-2",9.0,5,2,2,0,2,7,1,0,4.52,33,148,90,0.0,0.0,1,0,31,1,0,0,0,0,0,1,4,Angel Hernandez,"R.Harden (5-60-W), A.Heilman (2-H), C.Marmol (1-H), K.Gregg (1)"
32,33,33,33,May 13,,SDP,"W,6-4",8.0,11,4,4,0,2,7,2,0,4.52,35,116,84,1.0,0.0,0,0,32,1,0,0,1,0,0,1,3,Bill Welke,"T.Lilly (5-52-W), A.Guzman (2-H), C.Marmol (0-Sv)"
33,34,34,34,May 14,,SDP,"W,11-3",9.0,4,3,3,0,2,8,2,0,4.48,33,139,85,0.0,0.0,0,0,31,1,0,0,0,0,0,0,2,Tim Welke,"R.Dempster (4-66-W), J.Ascanio (99)"
34,35,35,35,May 16,,HOU,"W,5-4",9.0,9,4,4,0,4,8,2,1,4.46,39,158,98,6.0,2.0,0,0,34,0,0,0,0,0,0,2,6,Bill Hohn,"R.Wells (7-65), A.Guzman (2-H), C.Marmol (2-H), K.Gregg (3), A.Heilman (3-BSv), S.Marshall (5-W)"
35,36,36,36,May 17,,HOU,"L,5-6",9.0,7,6,6,0,4,10,1,2,4.5,40,160,99,0.0,0.0,0,1,34,2,0,0,0,0,1,0,3,Angel Campos,"R.Harden (4-48-L), J.Ascanio (2), N.Cotts (7)"
36,37,37,37,May 19,@,STL,"L,0-3",8.0,5,3,3,0,3,5,1,0,4.48,31,121,81,0.0,0.0,1,0,27,1,0,0,1,0,0,1,2,Gerry Davis,"T.Lilly (5-59-L), K.Gregg (2)"
37,38,38,38,May 20,@,STL,"L,1-2",8.0,6,2,2,0,2,4,0,0,4.42,30,115,75,0.0,0.0,1,0,25,3,0,2,2,1,0,2,2,Brian Gorman,"R.Dempster (5-58-L), C.Marmol (3)"
38,39,39,39,May 21,@,STL,"L,1-3",8.0,6,3,2,1,1,7,2,0,4.37,32,125,81,1.0,0.0,0,0,31,1,1,0,0,0,1,0,4,CB Bucknor,"S.Marshall (4-51-L), J.Ascanio (3), N.Cotts (3), A.Guzman (4)"
39,40,40,40,May 22,@,SDP,"L,0-4",8.0,7,4,4,0,5,11,1,1,4.38,37,162,98,2.0,1.0,0,0,29,2,0,1,0,2,0,0,4,Dana DeMuth,"C.Zambrano (18-49-L), A.Heilman (5), N.Cotts (0), K.Gregg (2)"
40,41,41,41,May 23,@,SDP,"L,1-3",8.0,5,3,3,0,2,7,0,1,4.35,31,111,70,0.0,0.0,0,0,28,1,0,0,0,0,0,1,2,Doug Eddings,"R.Wells (6-61-L), C.Marmol (2)"
41,42,42,42,May 24,@,SDP,"L,2-7",8.0,9,7,7,0,3,7,1,0,4.43,35,126,84,1.0,1.0,1,0,30,4,0,2,2,0,0,2,3,Hunter Wendelstedt,"T.Lilly (4-39-L), A.Heilman (1), N.Cotts (1)"
42,43,43,43,May 25,,PIT,"L,8-10",9.0,18,10,10,0,5,5,2,1,4.56,50,203,126,0.0,0.0,1,0,43,4,1,0,1,0,0,2,5,Bob Davidson,"R.Dempster (4-24), J.Ascanio (3), N.Cotts (0-BL), A.Heilman (0), D.Patton (15)"
43,44,44,44,May 26,,PIT,"W,6-1",5.0,4,1,1,0,2,6,0,0,4.53,21,83,55,,,1,0,19,0,0,0,0,0,0,0,1,Jeff Nelson,S.Marshall (4-59-W)
44,45,45,45,May 27,,PIT,"W,5-2",9.0,8,2,1,1,5,8,0,0,4.45,39,161,99,0.0,0.0,0,0,34,0,0,1,0,0,0,0,4,Mark Carlson,"C.Zambrano (4-56), A.Guzman (5), C.Marmol (3-W), K.Gregg (4-Sv)"
45,46,46,46,May 28,,LAD,"L,1-2",9.0,8,2,2,0,3,9,0,0,4.39,36,144,87,2.0,0.0,3,0,33,1,0,0,0,0,0,1,4,Mark Wegner,"R.Wells (4-59-L), A.Heilman (2), J.Ascanio (2), A.Guzman (0)"
