,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 1,@,ARI,"L,2-6",31,30,2,5,3,0,0,2,1,0,10,0,0,0,0,1,0,0,0.167,0.194,0.267,0.46,2,13,R,I.Kennedy(66)
1,1,2,2,Apr 2,@,ARI,"W,6-1",40,36,6,10,2,0,3,6,3,0,10,1,0,0,0,0,0,0,0.227,0.282,0.439,0.721,7,13,R,T.Cahill(52)
2,2,3,3,Apr 3,@,ARI,"L,9-10",69,60,9,16,5,0,1,8,4,1,12,1,4,0,0,0,0,0,0.246,0.301,0.421,0.722,12,20,R,B.McCarthy(26)
3,3,4,4,Apr 5,@,SFG,"L,0-1",31,28,0,3,0,0,0,0,3,0,6,0,0,0,0,2,0,0,0.221,0.281,0.364,0.645,4,12,L,B.Zito(72)
4,4,5,5,Apr 6,@,SFG,"W,6-3",39,35,6,11,0,0,0,6,2,0,7,0,2,0,0,1,1,0,0.238,0.294,0.354,0.649,6,14,R,R.Vogelsong(34)
5,5,6,6,Apr 7,@,SFG,"W,14-3",47,41,14,15,2,1,0,14,3,0,9,1,0,2,1,0,0,0,0.261,0.315,0.374,0.689,6,14,R,M.Cain(11)
6,6,7,7,Apr 8,,CIN,"L,4-13",34,32,4,4,1,0,0,1,2,0,8,0,0,0,2,1,0,0,0.244,0.298,0.347,0.646,3,16,R,M.Latos(58)
7,7,8,8,Apr 9,,CIN,"W,5-1",33,32,5,9,3,0,1,4,1,1,3,0,0,0,0,0,0,0,0.248,0.299,0.361,0.659,4,15,R,B.Arroyo(47)
8,8,9,9,Apr 10,,CIN,"W,10-0",41,36,10,14,4,0,4,10,4,0,5,0,1,0,0,1,0,0,0.264,0.316,0.412,0.728,7,11,R,H.Bailey(20)
9,9,10,10,Apr 12,,MIL,"W,2-0",29,28,2,6,1,0,1,2,0,0,2,0,1,0,0,1,0,0,0.26,0.308,0.408,0.716,3,12,R,K.Lohse(59)
10,10,11,11,Apr 13,,MIL,"W,8-0",35,34,8,10,1,0,0,7,0,0,5,1,0,0,1,1,0,0,0.263,0.309,0.401,0.709,3,11,R,Y.Gallardo(35)
