,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 1,@,OAK,"W,8-1",9.0,6,1,0,1,3,10,0,1,0.0,35,155,102,2.0,0.0,1,0,30,2,0,0,0,1,0,2,5,Brian Gorman,"Z.Greinke (99-70-W), E.Paredes (99-H), J.Smith (99), B.Taylor (99-H), R.Stanek (99)"
1,1,2,2,Apr 2,@,OAK,"W,9-5",9.0,8,5,5,0,3,7,1,2,2.5,39,164,97,2.0,0.0,0,0,33,1,1,0,0,1,0,1,6,Adrian Johnson,"C.Javier (99-51), B.Abreu (99-W), B.Raley (99), J.Smith (0-H), B.Taylor (0-H), R.Pressly (99)"
2,2,3,3,Apr 3,@,OAK,"W,9-1",9.0,3,1,1,0,5,11,0,1,2.0,35,150,86,3.0,0.0,0,0,29,0,0,0,0,0,1,2,4,Dan Bellino,"L.McCullers (99-63-W), R.Stanek (1), E.Paredes (1), B.Raley (0-Sv)"
3,3,4,4,Apr 4,@,OAK,"W,9-2",9.0,4,2,2,0,2,9,0,0,2.0,33,145,95,1.0,1.0,0,0,31,2,1,0,0,0,0,0,2,Sean Barber,"J.Urquidy (99-50), B.Bielak (99-W)"
4,4,5,5,Apr 5,@,LAA,"L,6-7",8.0,10,7,6,1,5,3,1,1,2.86,41,165,103,6.0,3.0,0,0,34,0,0,1,0,1,0,0,6,Ted Barrett,"L.Garcia (99-42), R.Stanek (1), B.Raley (1-H), B.Abreu (2-H), J.Smith (2-L), B.Taylor (2-BSv)"
5,5,6,6,Apr 6,@,LAA,"W,4-2",9.0,7,2,2,0,1,6,1,0,2.72,33,125,83,0.0,0.0,1,0,32,1,0,0,0,0,0,2,2,Angel Hernandez,"Z.Greinke (4-62), R.Pressly (3-W)"
6,6,7,7,Apr 8,,OAK,"W,6-2",9.0,6,2,2,0,4,10,0,0,2.61,37,160,102,2.0,0.0,0,0,33,2,0,0,0,0,0,0,6,Stu Scheurwater,"C.Javier (5-66-W), R.Stanek (2-H), B.Taylor (2), E.Paredes (4), J.Smith (2), B.Raley (2)"
7,7,8,8,Apr 9,,OAK,"L,2-6",9.0,7,6,6,0,4,9,3,1,3.04,39,159,96,1.0,1.0,0,1,33,0,0,0,1,0,0,0,4,Jose Navas,"L.McCullers (5-62), B.Abreu (3-L), B.Taylor (0), J.Smith (0)"
8,8,9,9,Apr 10,,OAK,"L,3-7",9.0,11,7,7,0,2,9,2,0,3.49,39,146,97,0.0,0.0,1,0,37,0,0,0,0,0,0,0,4,Ted Barrett,"J.Urquidy (5-49-L), B.Bielak (5), R.Stanek (1), R.Pressly (3)"
9,9,10,10,Apr 12,,DET,"L,2-6",9.0,12,6,6,0,4,9,3,0,3.74,43,152,102,1.0,0.0,0,0,38,2,0,0,0,1,0,0,2,Angel Hernandez,"Z.Greinke (5-19-L), L.Garcia (6)"
