,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 5,,TOR,"W,5-4",9.0,8,4,4,0,2,7,2,0,4.0,37,141,87,3.0,0.0,1,0,35,1,0,1,0,0,1,1,4,Gerry Davis,"S.Feldman (99-58), N.Feliz (99), D.Oliver (99), F.Francisco (99-W)"
1,1,2,2,Apr 7,,TOR,"L,4-7",9.0,5,7,5,2,10,10,3,2,4.5,45,176,98,6.0,1.0,0,0,32,2,0,0,0,1,1,0,5,Brian Knight,"R.Harden (99-54), D.Nippert (99-L), D.O'Day (99), D.Oliver (1), C.Ray (99)"
2,2,3,3,Apr 8,,TOR,"L,1-3",9.0,9,3,3,0,4,13,1,0,4.0,39,148,91,5.0,0.0,0,0,34,2,1,0,0,1,0,1,5,Greg Gibson,"C.Wilson (99-74), N.Feliz (2-H), F.Francisco (2-BL), D.O'Day (0), D.Oliver (0)"
3,3,4,4,Apr 9,,SEA,"W,6-2",9.0,6,2,2,0,4,5,1,0,3.5,35,129,77,0.0,0.0,0,1,31,2,0,0,0,0,0,1,3,Lance Barksdale,"C.Lewis (99-62-W), C.Ray (1), D.Mathis (99)"
4,4,5,5,Apr 10,,SEA,"L,3-4",9.0,12,4,4,0,2,6,0,1,3.6,40,158,100,2.0,1.0,0,0,36,1,0,0,1,0,0,1,5,Ed Rapuano,"M.Harrison (99-59), D.Nippert (2-H), N.Feliz (1-H), F.Francisco (1-BL), D.O'Day (1)"
5,5,6,6,Apr 11,,SEA,"W,9-2",9.0,9,2,1,1,1,5,0,0,3.17,34,151,93,0.0,0.0,1,1,33,2,0,0,0,0,0,1,3,Todd Tichenor,"S.Feldman (5-60-W), D.Mathis (1), C.Ray (1)"
6,6,7,7,Apr 12,@,CLE,"W,4-2",10.0,7,2,2,0,3,7,1,0,2.95,38,172,104,1.0,0.0,1,0,34,2,0,0,0,1,0,0,5,Marvin Hudson,"R.Harden (4-53), D.Nippert (1), D.Oliver (3), F.Francisco (1-W), N.Feliz (1-Sv)"
7,7,8,8,Apr 14,@,CLE,"W,6-2",9.0,5,2,2,0,8,12,0,2,2.84,41,193,118,4.0,2.0,1,0,31,2,0,0,0,0,0,1,5,Jim Wolf,"C.Lewis (4-60-W), D.Nippert (1-H), D.Oliver (1-H), C.Ray (2), N.Feliz (1-Sv)"
8,8,9,9,Apr 15,@,CLE,"L,2-3",8.0,6,3,1,2,1,3,1,1,2.67,34,123,78,0.0,0.0,0,0,32,1,0,0,0,0,2,1,2,Derryl Cousins,"M.Harrison (4-61-L), D.O'Day (4)"
9,9,10,10,Apr 16,@,NYY,"L,1-5",6.0,7,5,3,2,3,5,0,2,2.79,29,112,66,,,1,1,24,0,0,0,0,0,1,1,1,Tim Timmons,C.Wilson (7-44-L)
10,10,11,11,Apr 17,@,NYY,"L,3-7",8.0,13,7,7,0,2,4,2,0,3.22,38,150,93,2.0,2.0,1,0,36,1,0,0,0,0,0,1,4,D.J. Reyburn,"S.Feldman (5-27-L), D.Mathis (5), C.Ray (2), F.Francisco (4)"
11,11,12,12,Apr 18,@,NYY,"L,2-5",8.0,7,5,5,0,8,10,2,2,3.41,39,157,93,2.0,0.0,4,1,28,0,0,0,0,1,0,1,3,Mike DiMuro,"R.Harden (5-34-L), D.Nippert (3), D.Oliver (3)"
12,12,13,13,Apr 20,@,BOS,"L,6-7",8.2,13,7,7,0,5,7,2,1,3.71,45,194,122,3.0,1.0,0,0,38,3,0,1,1,0,0,0,5,Jerry Crawford,"C.Lewis (5-48), C.Ray (2), D.O'Day (4-H), D.Oliver (1-BSv), F.Francisco (2-L)"
13,13,14,14,Apr 21,@,BOS,"L,7-8",11.2,9,8,8,0,6,12,3,0,3.94,49,204,119,1.0,0.0,0,0,43,2,0,1,0,0,0,1,6,Brian O'Nora,"M.Harrison (5-28), D.Mathis (3), C.Ray (0), D.O'Day (0), N.Feliz (6), D.Nippert (2-L)"
14,14,15,15,Apr 22,@,BOS,"W,3-0",9.0,6,0,0,0,2,4,0,0,3.67,33,138,88,3.0,0.0,0,0,31,0,0,0,0,0,0,2,3,Phil Cuzzi,"C.Wilson (5-66-W), D.O'Day (0-H), D.Oliver (1-Sv)"
15,15,16,16,Apr 23,,DET,"W,5-4",9.0,10,4,4,0,4,9,0,0,3.69,40,165,110,3.0,0.0,0,0,36,3,0,0,0,0,0,0,5,Mike Everitt,"R.Harden (4-44), D.Nippert (1), F.Francisco (2-H), C.Ray (1-H), N.Feliz (1-BW)"
16,16,17,17,Apr 24,,DET,"L,4-8",9.0,11,8,4,4,7,4,0,0,3.71,43,167,97,1.0,1.0,1,0,36,4,0,0,0,0,0,1,3,Andy Fletcher,"S.Feldman (6-18-L), D.Mathis (2), F.Francisco (0)"
17,17,18,18,Apr 25,,DET,"W,8-4",9.0,8,4,4,0,2,10,1,0,3.73,35,125,78,1.0,0.0,0,0,33,2,0,0,0,0,0,2,3,Adrian Johnson,"C.Lewis (4-51-W), D.Oliver (2), N.Feliz (1)"
18,18,19,19,Apr 26,,DET,"L,6-8",9.0,13,8,8,0,4,7,3,0,3.96,43,149,95,0.0,0.0,0,0,39,4,0,0,0,0,0,0,4,Tim McClelland,"M.Harrison (4-34), C.Ray (2), F.Francisco (1), N.Feliz (0-L)"
19,19,20,20,Apr 27,,CHW,"W,4-2",9.0,6,2,2,0,3,7,0,1,3.86,35,148,88,0.0,0.0,1,0,31,2,0,0,0,0,0,2,3,Ron Kulpa,"C.Wilson (4-56-W), D.Nippert (3-H), F.Francisco (0-Sv)"
20,20,21,21,Apr 28,,CHW,"W,6-5",9.0,7,5,5,0,5,3,1,2,3.91,37,134,76,0.0,0.0,0,1,30,2,0,0,0,0,1,4,4,Todd Tichenor,"R.Harden (4-49-W), D.Oliver (2-H), C.Ray (1-H), N.Feliz (1-Sv)"
21,21,22,22,Apr 29,,CHW,"L,5-7",9.0,8,7,4,3,7,5,2,0,3.92,42,158,88,5.0,3.0,3,1,33,1,0,0,1,1,1,0,4,Ed Rapuano,"S.Feldman (4-60), D.O'Day (6-L), D.Nippert (1-BSv), D.Mathis (4)"
