,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 7,@,LAA,"W,3-1",38,35,3,8,4,0,2,3,3,1,10,0,0,0,0,0,1,0,0.229,0.289,0.514,0.804,8,9,R,S.Ohtani(60)
1,2,2,Apr 8,@,LAA,"W,13-6",43,40,13,14,3,0,6,13,3,0,8,0,0,0,0,1,1,0,0.293,0.346,0.707,1.052,3,12,L,R.Detmers(49)
2,3,3,Apr 9,@,LAA,"L,0-2",32,29,0,2,0,0,0,0,2,0,5,1,0,0,1,1,1,0,0.231,0.292,0.529,0.821,5,10,R,N.Syndergaard(63)
3,4,4,Apr 10,@,LAA,"W,4-1",39,34,4,7,1,0,0,3,5,1,6,0,0,0,0,0,0,0,0.225,0.296,0.457,0.753,8,9,L,J.Suarez(49)
4,5,5,Apr 12,@,ARI,"W,2-1",39,34,2,8,2,0,1,2,5,0,2,0,0,0,1,1,0,1,0.227,0.304,0.442,0.746,10,9,L,M.Bumgarner(53)
5,6,6,Apr 13,@,ARI,"L,2-3",40,34,2,6,0,0,0,2,4,1,8,0,0,2,0,1,1,0,0.218,0.294,0.398,0.692,9,11,R,M.Kelly(66)
6,7,7,Apr 15,@,SEA,"L,1-11",32,31,1,5,1,0,0,1,0,0,8,1,0,0,0,1,0,0,0.211,0.281,0.371,0.653,4,10,L,M.Gonzales(71)
7,8,8,Apr 16,@,SEA,"W,4-0",38,34,4,8,2,1,1,4,3,0,7,0,0,1,0,0,0,0,0.214,0.282,0.38,0.662,7,9,R,C.Flexen(52)
8,9,9,Apr 17,@,SEA,"L,2-7",35,27,2,4,1,0,1,2,7,0,10,1,0,0,0,3,0,1,0.208,0.289,0.372,0.661,6,9,R,M.Brash(55)
9,10,10,Apr 18,,LAA,"W,8-3",40,32,8,9,1,0,2,8,6,0,6,1,1,0,0,0,0,0,0.215,0.301,0.385,0.686,8,10,R,M.Lorenzen(36)
10,11,11,Apr 19,,LAA,"L,2-7",37,33,2,6,2,0,1,2,3,0,6,0,0,0,1,0,0,1,0.212,0.297,0.38,0.677,8,10,L,P.Sandoval(55)
11,12,12,Apr 20,,LAA,"L,0-6",29,28,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0.199,0.282,0.355,0.637,2,9,R,S.Ohtani(81)
12,13,13,Apr 22,,TOR,"L,3-4",36,34,3,7,1,0,0,3,2,0,10,0,0,0,0,0,0,0,0.2,0.279,0.346,0.625,6,12,R,R.Stripling(41)
13,14,14,Apr 23,,TOR,"L,2-3",35,34,2,8,0,0,1,2,1,0,10,0,0,0,0,0,0,0,0.203,0.278,0.344,0.622,6,10,R,A.Manoah(55)
14,15,15,Apr 24,,TOR,"W,8-7",44,38,8,11,5,0,2,7,5,0,10,0,1,0,1,1,0,0,0.209,0.285,0.362,0.647,9,10,L,Y.Kikuchi(42)
15,16,16,Apr 25,@,TEX,"L,2-6",38,35,2,8,1,0,1,2,3,0,9,0,0,0,0,0,2,0,0.211,0.285,0.361,0.646,9,9,R,D.Dunning(55)
16,17,17,Apr 26,@,TEX,"W,5-1",36,32,5,6,1,0,1,5,4,0,8,0,0,0,0,0,0,2,0.209,0.285,0.358,0.643,4,9,L,T.Hearn(44)
17,18,18,Apr 27,@,TEX,"W,4-3",38,34,4,7,1,0,1,4,4,0,10,0,0,0,1,1,0,0,0.209,0.285,0.356,0.641,7,10,R,G.Otto(50)
18,19,19,Apr 28,@,TEX,"W,3-2",32,30,3,3,1,0,1,3,1,0,6,1,0,0,0,0,0,0,0.204,0.279,0.35,0.63,2,10,L,M.Pérez(73)
19,20,20,Apr 29,@,TOR,"W,11-7",48,38,11,14,5,0,3,11,8,0,11,0,0,2,0,1,0,0,0.213,0.291,0.372,0.663,10,9,L,Y.Kikuchi(35)
20,21,21,Apr 30,@,TOR,"L,1-2",39,36,1,8,1,0,1,1,3,0,8,0,0,0,1,0,0,0,0.214,0.29,0.37,0.661,11,11,R,J.Berríos(54)
21,22,22,May 1,@,TOR,"L,2-3",35,35,2,8,2,1,0,2,0,0,12,0,0,0,1,0,2,0,0.214,0.288,0.369,0.657,6,10,R,K.Gausman(67)
22,23,23,May 2,,SEA,"W,3-0",34,32,3,8,3,0,2,3,2,0,4,0,0,0,0,0,0,0,0.216,0.288,0.376,0.664,7,9,L,M.Gonzales(44)
23,24,24,May 3,,SEA,"W,4-0",34,28,4,5,0,0,2,4,6,0,4,0,0,0,0,0,1,0,0.215,0.289,0.376,0.666,6,9,R,C.Flexen(58)
24,25,25,May 4,,SEA,"W,7-2",37,31,7,10,3,0,0,7,5,0,9,0,0,1,0,1,0,0,0.219,0.294,0.378,0.672,6,10,R,M.Brash(30)
25,26,26,May 5,,DET,"W,3-2",33,31,3,8,1,0,2,3,2,0,11,0,0,0,0,0,0,1,0.22,0.294,0.382,0.676,6,10,L,T.Skubal(61)
26,27,27,May 6,,DET,"W,3-2",36,31,3,7,1,0,2,3,5,0,3,0,0,0,0,0,1,0,0.22,0.296,0.384,0.68,9,9,R,B.Brieske(45)
27,28,28,May 7,,DET,"W,3-2",34,28,3,4,0,1,1,3,6,1,9,0,0,0,0,0,0,0,0.218,0.296,0.382,0.678,7,11,L,E.Rodriguez(73)
28,29,29,May 8,,DET,"W,5-0",34,28,5,5,0,0,2,5,6,0,12,0,0,0,0,1,0,0,0.217,0.297,0.383,0.679,5,10,R,W.Peralta(54)
29,30,30,May 10,@,MIN,"W,5-0",45,33,5,7,1,0,0,5,9,0,7,1,0,2,0,0,2,0,0.217,0.3,0.378,0.678,13,10,R,J.Ryan(36)
30,31,31,May 11,@,MIN,"W,11-3",45,41,11,15,4,0,2,11,3,0,6,0,0,1,0,0,0,0,0.223,0.304,0.387,0.691,7,9,R,C.Archer(30)
31,32,32,May 12,@,MIN,"W,5-0",41,35,5,9,3,0,2,4,6,0,9,0,0,0,0,1,2,0,0.224,0.306,0.391,0.697,9,10,R,J.Winder(33)
32,33,33,May 13,@,WSN,"W,6-1",36,33,6,7,2,0,3,6,2,0,6,1,0,0,0,1,0,0,0.223,0.305,0.396,0.701,3,10,R,J.Gray(39)
33,34,34,May 14,@,WSN,"L,6-13",43,38,6,12,3,1,1,6,4,0,12,1,0,0,1,2,1,0,0.226,0.308,0.401,0.709,10,11,R,E.Fedde(43)
34,35,35,May 15,@,WSN,"W,8-0",40,37,8,11,0,0,4,7,3,0,7,0,0,0,0,1,1,0,0.229,0.309,0.408,0.717,5,10,L,P.Corbin(43)
