,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 3,,TOR,"W,8-1",42,39,8,15,4,1,2,8,3,0,7,0,0,0,1,1,0,0,0.385,0.429,0.692,1.121,10,10,R,S.Parris(27)
1,1,2,2,Apr 4,,TOR,"L,8-11",44,39,8,13,2,0,1,7,4,0,7,0,1,0,1,1,0,0,0.359,0.412,0.577,0.989,9,10,R,J.Hamilton(44)
2,2,3,3,Apr 5,,TOR,"L,0-11",31,29,0,4,1,0,0,0,2,0,12,0,0,0,0,2,0,0,0.299,0.353,0.467,0.821,4,12,R,C.Carpenter(84)
3,3,4,4,Apr 6,@,BOS,"L,4-11",36,34,4,8,2,0,0,4,2,0,10,0,0,0,0,1,1,0,0.284,0.336,0.426,0.761,5,9,R,T.Ohka(42)
4,4,5,5,Apr 7,@,BOS,"L,2-6",33,31,2,4,0,0,1,2,2,0,12,0,0,0,0,0,0,0,0.256,0.308,0.39,0.698,4,10,R,P.Crawford(69)
5,5,6,6,Apr 8,@,BOS,"L,0-3",33,30,0,4,0,0,0,0,3,0,17,0,0,0,0,1,0,0,0.238,0.294,0.351,0.645,6,9,R,P.Martinez(89)
6,6,7,7,Apr 9,@,TOR,"L,1-8",36,32,1,8,2,0,0,1,4,0,6,0,0,0,0,3,0,0,0.239,0.299,0.346,0.645,8,9,R,J.Hamilton(56)
7,7,8,8,Apr 10,@,TOR,"L,2-3",37,36,2,6,1,0,2,2,1,0,8,0,0,0,0,0,1,0,0.23,0.285,0.348,0.633,5,9,R,C.Carpenter(67)
8,8,9,9,Apr 11,@,TOR,"W,4-3",37,36,4,8,2,0,0,4,1,0,5,0,0,0,1,0,2,0,0.229,0.28,0.34,0.62,6,9,R,E.Loaiza(46)
9,9,10,10,Apr 13,@,BAL,"W,2-0",30,29,2,3,1,0,1,2,1,0,10,0,0,0,0,0,0,0,0.218,0.268,0.331,0.599,1,9,R,P.Hentgen(82)
10,10,11,11,Apr 14,@,BAL,"L,5-6",39,34,5,7,1,0,3,5,4,0,4,1,0,0,1,0,2,1,0.217,0.272,0.347,0.619,7,12,L,C.McElroy(33)
11,11,12,12,Apr 15,@,BAL,"W,7-4",39,38,7,13,2,0,4,7,1,0,6,0,0,0,0,2,0,0,0.229,0.28,0.381,0.661,5,9,R,S.Ponson(41)
12,12,13,13,Apr 16,@,BAL,"L,2-6",32,27,2,4,2,0,0,2,3,0,5,1,0,1,0,1,1,2,0.224,0.278,0.371,0.649,3,9,R,J.Johnson(63)
13,13,14,14,Apr 17,,BOS,"L,0-10",33,33,0,7,1,0,0,0,0,0,6,0,0,0,1,1,0,0,0.223,0.273,0.362,0.635,6,9,R,T.Ohka(66)
14,14,15,15,Apr 18,,BOS,"L,1-9",34,31,1,6,1,0,0,1,1,0,8,1,0,1,0,0,3,1,0.221,0.271,0.353,0.624,6,9,R,P.Crawford(65)
15,15,16,16,Apr 19,,BOS,"L,3-8",38,37,3,10,3,0,0,3,0,0,15,1,0,0,1,0,0,0,0.224,0.272,0.353,0.626,8,9,R,P.Martinez(57)
16,16,17,17,Apr 20,,BAL,"L,3-6",39,36,3,10,2,0,0,3,3,0,8,0,0,0,0,0,2,0,0.228,0.276,0.352,0.628,9,12,R,W.Roberts(60)
17,17,18,18,Apr 21,,BAL,"W,6-5",40,33,6,10,4,0,1,5,6,0,6,1,0,0,1,2,0,0,0.232,0.285,0.361,0.646,10,10,R,J.Johnson(40)
18,18,19,19,Apr 22,,BAL,"L,8-10",47,41,8,10,3,0,2,8,5,0,12,1,0,0,0,0,2,1,0.233,0.289,0.367,0.656,6,13,R,J.Mercedes(55)
19,19,20,20,Apr 24,,KCR,"W,4-2",34,33,4,9,0,0,2,4,1,0,3,0,0,0,0,0,0,0,0.235,0.289,0.372,0.661,6,10,R,B.Meadows(36)
20,20,21,21,Apr 25,,KCR,"W,5-3",34,30,5,8,1,0,0,5,4,1,7,0,0,0,0,0,1,2,0.236,0.292,0.369,0.661,5,10,R,J.Suppan(37)
21,21,22,22,Apr 26,,KCR,"L,0-6",33,31,0,6,1,0,0,0,2,0,5,0,0,0,1,2,0,0,0.234,0.29,0.363,0.653,6,9,R,M.Suzuki(73)
22,22,23,23,Apr 27,@,DET,"L,2-4",34,30,2,7,2,0,0,2,4,0,2,0,0,0,1,3,0,0,0.234,0.291,0.36,0.652,5,11,R,D.Mlicki(58)
23,23,24,24,Apr 28,@,DET,"W,7-3",41,32,7,8,2,0,0,6,9,1,3,0,0,0,0,2,1,1,0.235,0.297,0.358,0.655,7,10,L,M.Perisho(20)
24,24,25,25,Apr 29,@,DET,"L,1-6",34,32,1,7,2,0,1,1,2,0,5,0,0,0,1,2,1,0,0.234,0.296,0.359,0.655,6,9,R,J.Weaver(68)
25,25,26,26,Apr 30,@,BAL,"L,3-5",36,31,3,5,2,0,0,3,3,0,7,1,0,1,0,0,0,0,0.231,0.294,0.354,0.648,6,11,R,W.Roberts(54)
26,27,27,27,May 1,@,BAL,"L,1-3",34,31,1,4,1,1,0,1,3,0,8,0,0,0,1,0,1,1,0.228,0.291,0.35,0.641,6,9,R,J.Johnson(64)
27,28,28,28,May 2,@,BAL,"W,7-1",44,39,7,15,1,0,1,7,3,0,4,1,0,1,0,2,1,0,0.234,0.297,0.355,0.653,10,9,R,J.Mercedes(39)
28,29,29,29,May 4,,CLE,"L,6-8",43,38,6,13,3,1,1,6,5,0,9,0,0,0,0,2,0,0,0.239,0.302,0.363,0.665,10,9,R,B.Colon(53)
29,30,30,30,May 5,,CLE,"L,4-9",38,35,4,8,1,0,1,4,1,0,5,2,0,0,1,1,0,0,0.238,0.302,0.362,0.664,7,9,R,T.Drew(40)
30,31,31,31,May 6,,CLE,"L,3-10",39,34,3,9,2,0,1,3,3,0,9,0,1,1,0,0,0,0,0.239,0.302,0.364,0.666,9,9,L,C.Finley(70)
31,32,32,32,May 8,,BAL,"W,4-3",33,32,4,8,2,0,1,4,1,0,7,0,0,0,1,0,0,1,0.24,0.301,0.365,0.667,5,11,R,J.Mercedes(56)
32,33,33,33,May 9,,BAL,"L,6-8",37,34,6,9,3,0,2,6,3,0,8,0,0,0,1,0,1,1,0.24,0.302,0.37,0.672,4,11,R,S.Ponson(50)
33,34,34,34,May 10,,BAL,"L,5-9",42,31,5,7,4,0,0,5,9,1,2,0,1,1,0,1,1,0,0.24,0.305,0.37,0.675,10,11,R,P.Hentgen(44)
34,35,35,35,May 11,@,CLE,"L,6-10",39,36,6,12,1,0,3,6,1,0,13,1,0,1,0,1,0,1,0.243,0.307,0.377,0.684,6,9,R,T.Drew(31)
35,36,36,36,May 12,@,CLE,"L,0-8",38,37,0,10,1,0,0,0,1,0,15,0,0,0,0,0,0,0,0.244,0.306,0.375,0.681,11,10,L,C.Finley(73)
36,37,37,37,May 13,@,CLE,"W,7-0",47,41,7,14,4,0,1,7,5,1,6,1,0,0,0,0,0,0,0.247,0.31,0.379,0.689,13,9,R,D.Burba(24)
37,38,38,38,May 15,@,KCR,"L,2-6",37,34,2,10,0,0,0,1,2,0,3,0,1,0,1,3,1,0,0.248,0.311,0.377,0.688,8,10,R,B.Meadows(49)
38,39,39,39,May 16,@,KCR,"L,5-9",39,36,5,11,0,0,1,5,2,0,10,0,1,0,1,0,2,1,0.25,0.312,0.377,0.689,7,10,R,J.Suppan(35)
39,40,40,40,May 17,@,KCR,"L,2-4",36,34,2,9,0,0,0,1,2,0,5,0,0,0,1,3,1,0,0.25,0.311,0.375,0.686,7,11,R,C.Durbin(54)
40,41,41,41,May 18,,DET,"L,2-18",33,29,2,4,3,0,0,2,3,0,8,0,1,0,0,1,0,0,0.248,0.309,0.372,0.681,4,10,R,V.Santos(64)
41,42,42,42,May 19,,DET,"L,5-10",38,36,5,12,7,0,1,5,1,0,7,0,1,0,0,2,0,0,0.25,0.31,0.378,0.688,6,10,R,C.Holt(38)
42,43,43,43,May 20,,DET,"W,10-2",41,35,10,13,1,0,4,9,4,0,7,1,1,0,0,0,1,0,0.253,0.314,0.387,0.701,7,10,R,D.Mlicki(15)
43,44,44,44,May 22,,TEX,"L,2-5",38,31,2,8,0,1,0,2,7,0,8,0,0,0,1,4,0,1,0.253,0.316,0.385,0.701,9,10,L,K.Rogers(63)
44,45,45,45,May 23,,TEX,"W,10-6",42,34,10,14,4,0,1,8,6,0,6,0,1,1,1,2,0,1,0.256,0.32,0.391,0.711,8,10,R,A.Myette(20)
45,46,46,46,May 24,,TEX,"L,3-9",37,36,3,11,3,0,1,3,1,0,5,0,0,0,0,1,0,1,0.258,0.32,0.392,0.713,7,9,R,R.Helling(56)
46,47,47,47,May 25,,ANA,"L,4-6",39,38,4,13,2,0,0,4,1,0,7,0,0,0,0,0,2,1,0.26,0.321,0.392,0.713,8,11,R,P.Rapp(33)
47,48,48,48,May 26,,ANA,"L,4-10",33,30,4,6,0,0,2,4,3,0,5,0,0,0,0,1,0,1,0.258,0.32,0.393,0.713,2,9,L,J.Washburn(52)
48,49,49,49,May 27,,ANA,"W,4-3",39,34,4,7,0,0,0,4,4,0,4,0,1,0,0,0,1,1,0.257,0.319,0.389,0.708,6,12,R,I.Valdez(54)
49,50,50,50,May 28,,ANA,"L,1-3",39,33,1,5,1,0,0,1,5,0,7,1,0,0,2,0,0,1,0.255,0.319,0.385,0.703,11,10,L,S.Schoeneweis(67)
