,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 6,,BOS,"L,0-8",33,31,0,3,1,0,0,0,2,0,9,0,0,0,1,0,0,0,0.097,0.152,0.129,0.281,6,17,R,C.Buchholz(79)
1,1,2,2,Apr 8,,BOS,"W,4-2",34,31,4,6,0,0,1,4,2,0,7,0,0,1,2,0,1,0,0.145,0.194,0.21,0.404,6,13,R,R.Porcello(50)
2,2,3,3,Apr 9,,BOS,"L,2-6",35,32,2,5,0,0,0,1,3,0,10,0,0,0,0,0,0,0,0.149,0.206,0.191,0.397,6,16,R,J.Masterson(63)
3,3,4,4,Apr 10,,WSN,"W,4-1",34,27,4,7,2,0,0,4,4,0,5,2,0,1,0,1,0,1,0.174,0.25,0.223,0.473,6,14,L,G.Gonzalez(51)
4,4,5,5,Apr 11,,WSN,"W,3-2",43,41,3,13,5,0,0,3,2,1,5,0,0,0,0,0,0,0,0.21,0.274,0.278,0.552,12,17,R,D.Fister(61)
5,5,6,6,Apr 12,,WSN,"L,3-4",43,39,3,9,0,0,1,3,4,0,12,0,0,0,0,0,2,0,0.214,0.279,0.284,0.563,10,16,R,M.Scherzer(62)
6,6,7,7,Apr 13,@,NYM,"L,0-2",34,31,0,7,0,0,0,0,2,0,5,0,1,0,0,2,0,0,0.216,0.278,0.276,0.554,7,11,R,J.deGrom(61)
7,7,8,8,Apr 14,@,NYM,"L,5-6",38,33,5,7,1,0,4,5,1,0,12,2,1,0,0,0,1,0,0.215,0.278,0.317,0.595,6,14,R,M.Harvey(58)
8,8,9,9,Apr 15,@,NYM,"L,1-6",39,35,1,9,3,1,0,1,4,0,5,0,0,0,1,2,0,0,0.22,0.285,0.327,0.612,11,13,L,J.Niese(53)
9,9,10,10,Apr 16,@,WSN,"L,2-5",36,31,2,5,1,1,0,2,4,1,6,0,0,1,1,1,0,0,0.215,0.281,0.32,0.602,7,13,R,D.Fister(60)
10,10,11,11,Apr 17,@,WSN,"L,2-7",35,35,2,7,0,1,0,2,0,0,11,0,0,0,1,0,0,0,0.213,0.274,0.314,0.589,6,14,R,M.Scherzer(79)
11,11,12,12,Apr 18,@,WSN,"W,5-3",38,34,5,7,3,0,0,5,4,0,4,0,0,0,1,0,3,0,0.213,0.276,0.313,0.588,6,15,R,J.Zimmermann(52)
12,12,13,13,Apr 19,@,WSN,"L,1-4",36,34,1,7,2,0,0,1,2,0,8,0,0,0,0,0,0,0,0.212,0.274,0.309,0.582,8,15,R,S.Strasburg(69)
13,13,14,14,Apr 21,,MIA,"W,7-3",34,30,7,7,1,1,2,7,3,0,8,0,0,1,0,0,1,0,0.213,0.275,0.323,0.598,3,14,R,D.Haren(52)
14,14,15,15,Apr 22,,MIA,"L,1-6",30,30,1,5,0,1,1,1,0,0,7,0,0,0,0,2,0,0,0.211,0.269,0.324,0.593,2,15,R,J.Cosart(64)
15,15,16,16,Apr 23,,MIA,"L,1-9",35,32,1,8,2,0,0,1,2,0,7,0,0,1,0,1,0,0,0.213,0.27,0.323,0.593,7,15,R,D.Phelps(74)
