,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Mar 28,@,TOR,"W,2-0",37,32,2,4,1,0,1,2,4,0,15,1,0,0,0,1,0,1,0.125,0.243,0.25,0.493,5,9,R,M.Stroman(76)
1,1,2,2,Mar 29,@,TOR,"L,0-6",31,29,0,2,1,1,0,0,2,0,9,0,0,0,0,0,0,0,0.098,0.191,0.213,0.404,4,9,R,M.Shoemaker(78)
2,2,3,3,Mar 30,@,TOR,"L,0-3",36,31,0,5,0,0,0,0,4,0,13,1,0,0,0,0,0,0,0.12,0.221,0.196,0.417,9,10,R,A.Sanchez(64)
3,3,4,4,Mar 31,@,TOR,"W,4-3",48,43,4,10,3,0,0,4,4,1,13,1,0,0,0,0,0,0,0.156,0.25,0.23,0.48,11,9,R,T.Thornton(71)
4,4,5,5,Apr 1,@,NYY,"L,1-3",36,29,1,2,1,0,0,0,7,0,9,0,0,0,0,0,0,0,0.14,0.25,0.207,0.457,8,10,R,D.German(65)
5,5,6,6,Apr 2,@,NYY,"W,3-1",38,37,3,11,5,0,0,3,1,0,12,0,0,0,0,1,0,0,0.169,0.261,0.249,0.51,8,10,R,M.Tanaka(61)
6,6,7,7,Apr 3,@,NYY,"W,2-1",33,29,2,3,1,0,1,2,3,0,8,0,0,1,0,0,2,0,0.161,0.251,0.248,0.499,4,10,R,J.Loaisiga(57)
7,7,8,8,Apr 4,,KCR,"W,5-4",37,29,5,6,3,0,0,5,7,0,10,0,0,1,0,0,2,0,0.166,0.264,0.255,0.518,8,9,R,J.Junis(53)
8,8,9,9,Apr 6,,KCR,"W,7-4",40,33,7,10,3,0,1,6,6,0,3,1,0,0,1,1,0,0,0.182,0.283,0.281,0.564,9,10,R,J.Lopez(56)
9,9,10,10,Apr 7,,KCR,"W,3-1",33,28,3,5,2,1,0,2,4,0,7,1,0,0,0,1,0,0,0.181,0.285,0.284,0.569,6,9,R,B.Keller(50)
10,10,11,11,Apr 9,,CLE,"L,2-8",37,36,2,8,3,0,0,2,1,0,8,0,0,0,1,0,0,0,0.185,0.281,0.287,0.567,8,10,R,C.Kluber(59)
11,11,12,12,Apr 10,,CLE,"W,4-1",38,36,4,12,2,0,2,4,2,0,13,0,0,0,0,0,0,0,0.199,0.288,0.311,0.6,10,10,R,T.Bauer(39)
12,12,13,13,Apr 11,,CLE,"L,0-4",32,31,0,3,0,0,0,0,1,0,7,0,0,0,1,0,1,0,0.191,0.277,0.296,0.573,5,9,R,S.Bieber(76)
13,13,14,14,Apr 13,@,MIN,"L,3-4",37,35,3,10,3,0,1,3,1,0,9,0,0,1,0,0,1,0,0.199,0.279,0.308,0.587,7,10,R,M.Pineda(49)
14,14,15,15,Apr 14,@,MIN,"L,4-6",41,35,4,8,2,0,1,4,4,0,13,2,0,0,0,0,0,0,0.201,0.283,0.312,0.596,10,9,R,J.Berrios(64)
15,15,16,16,Apr 16,,PIT,"L,3-5",39,38,3,9,4,0,0,2,1,0,10,0,0,0,0,0,0,0,0.203,0.282,0.315,0.596,6,10,R,J.Musgrove(62)
16,16,17,17,Apr 17,,PIT,"L,2-3",39,35,2,7,2,0,0,2,1,0,9,2,0,1,0,1,1,0,0.203,0.28,0.311,0.591,7,10,R,T.Williams(56)
17,17,18,18,Apr 18,,CHW,"W,9-7",40,34,9,14,5,0,0,8,1,1,4,3,0,2,0,1,2,0,0.215,0.29,0.325,0.615,7,9,R,I.Nova(30)
18,18,19,19,Apr 19,,CHW,"L,3-7",35,32,3,7,2,0,3,3,3,0,8,0,0,0,0,1,0,0,0.215,0.29,0.337,0.627,5,9,L,C.Rodon(65)
19,19,20,20,Apr 21,,CHW,"W,4-3",32,32,4,9,3,1,1,4,0,0,9,0,0,0,1,0,1,1,0.218,0.29,0.346,0.636,4,9,R,R.Lopez(56)
20,20,21,21,Apr 23 (1),@,BOS,"W,7-4",41,36,7,12,4,0,2,7,5,0,12,0,0,0,0,1,1,1,0.224,0.296,0.36,0.656,7,10,L,C.Sale(57)
21,21,22,22,Apr 23 (2),@,BOS,"W,4-2",37,34,4,12,5,0,0,4,3,0,11,0,0,0,0,1,0,1,0.23,0.301,0.366,0.668,6,9,R,H.Velazquez(45)
22,22,23,23,Apr 24,@,BOS,"L,4-11",40,32,4,6,2,0,0,4,7,0,14,0,0,1,0,0,0,0,0.228,0.302,0.362,0.664,9,10,L,E.Rodriguez(68)
23,23,24,24,Apr 25,@,BOS,"L,3-7",37,34,3,7,1,0,1,3,3,0,6,0,0,0,0,0,0,0,0.228,0.301,0.36,0.661,7,9,R,R.Porcello(51)
24,24,25,25,Apr 26,@,CHW,"L,11-12",48,40,11,15,2,0,5,11,7,0,12,0,0,1,0,1,0,0,0.235,0.309,0.381,0.69,10,10,L,C.Rodon(11)
25,25,26,26,Apr 28,@,CHW,"L,1-4",33,29,1,2,1,0,0,1,4,0,20,0,0,0,1,0,1,1,0.229,0.305,0.372,0.676,5,10,R,R.Lopez(77)
