,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 3,,TOR,"W,8-1",9.0,7,1,1,0,3,8,1,0,1.0,36,121,87,0.0,0.0,0,1,33,0,0,0,0,0,0,0,2,Mike Reilly,"A.Lopez (99-67-W), D.Creek (99)"
1,1,2,2,Apr 4,,TOR,"L,8-11",9.0,14,11,10,1,2,6,5,1,5.5,42,141,91,1.0,1.0,0,0,37,4,0,0,1,1,0,1,4,Jeff Kellogg,"P.Wilson (99-43), T.Sturtze (99-BSv), D.Creek (0), K.Hill (99-BL)"
2,2,3,3,Apr 5,,TOR,"L,0-11",9.0,13,11,5,6,1,4,0,1,5.33,44,149,106,0.0,0.0,0,1,41,3,2,1,0,1,4,0,3,CB Bucknor,"B.Rekar (99-42-L), A.Prieto (99), E.Yan (99)"
3,3,4,4,Apr 6,@,BOS,"L,4-11",8.0,11,11,9,2,5,9,3,0,6.43,41,165,99,3.0,3.0,0,0,35,2,0,0,0,1,1,0,3,Marvin Hudson,"R.Rupe (99-16-L), M.Judd (99), D.Creek (1)"
4,4,5,5,Apr 7,@,BOS,"L,2-6",8.0,14,6,6,0,3,3,2,0,6.49,40,146,86,0.0,0.0,0,0,36,5,0,2,1,0,0,2,3,Tim Welke,"T.Harper (99-30-L), K.Hill (2), T.Sturtze (2)"
5,5,6,6,Apr 8,@,BOS,"L,0-3",8.0,7,3,3,0,5,7,0,0,6.0,36,133,79,0.0,0.0,0,0,31,4,0,0,0,0,0,0,2,Tim Timmons,"A.Lopez (4-54-L), E.Yan (2)"
6,6,7,7,Apr 9,@,TOR,"L,1-8",8.0,9,8,3,5,2,5,1,2,5.64,38,135,87,1.0,1.0,0,0,33,4,0,0,0,1,2,1,3,Brian Gorman,"P.Wilson (4-43-L), R.Meacham (99), A.Prieto (3)"
7,7,8,8,Apr 10,@,TOR,"L,2-3",9.1,6,3,3,0,2,8,2,0,5.27,35,130,80,0.0,0.0,0,0,33,1,0,0,0,0,0,1,2,Doug Eddings,"B.Rekar (4-62), T.Sturtze (2-L)"
8,8,9,9,Apr 11,@,TOR,"W,4-3",9.0,7,3,2,1,2,10,1,0,4.89,36,136,86,1.0,0.0,0,0,33,1,0,0,0,1,1,0,4,Jerry Crawford,"R.Rupe (4-50), D.Creek (4), R.Meacham (1), E.Yan (2-W)"
9,9,10,10,Apr 13,@,BAL,"W,2-0",9.0,3,0,0,0,2,4,0,2,4.38,34,112,66,,,0,0,29,1,0,0,1,0,0,0,1,Mike Everitt,A.Lopez (4-83-W)
10,10,11,11,Apr 14,@,BAL,"L,5-6",8.0,9,6,5,1,4,6,0,1,4.48,36,158,88,5.0,1.0,0,2,31,1,0,0,0,0,1,1,4,Rocky Roe,"P.Wilson (4-33), R.Meacham (2-L), K.Hill (6), T.Sturtze (3)"
11,11,12,12,Apr 15,@,BAL,"W,7-4",9.0,9,4,4,0,3,7,2,0,4.44,38,159,95,1.0,1.0,0,0,35,1,0,0,0,0,0,1,4,Jim Reynolds,"B.Rekar (4-44), D.Creek (3-W), T.Sturtze (0-H), E.Yan (3-Sv)"
12,12,13,13,Apr 16,@,BAL,"L,2-6",8.0,8,6,4,2,5,3,1,1,4.45,39,158,88,3.0,0.0,2,1,32,1,0,0,0,1,2,0,4,Richard Shulock,"R.Rupe (4-49-L), K.Hill (1), R.Meacham (1), M.Judd (9)"
13,13,14,14,Apr 17,,BOS,"L,0-10",9.0,11,10,4,6,3,6,4,1,4.41,42,171,104,0.0,0.0,1,0,37,2,0,0,0,1,1,1,3,Chuck Meriwether,"T.Harper (9-28-L), M.Judd (0), R.Meacham (0)"
14,14,15,15,Apr 18,,BOS,"L,1-9",9.0,15,9,9,0,4,9,2,0,4.73,45,172,107,3.0,2.0,0,0,41,2,1,0,0,0,1,1,4,Brian O'Nora,"A.Lopez (4-65), T.Sturtze (2-BL), K.Hill (1), D.Wheeler (99)"
15,15,16,16,Apr 19,,BOS,"L,3-8",9.0,8,8,7,1,3,4,1,2,4.88,40,146,90,0.0,0.0,0,0,35,2,0,0,0,0,1,0,5,Bill Welke,"P.Wilson (4-27-L), D.Wheeler (0), T.Phelps (99), D.Creek (3), E.Yan (3)"
16,16,17,17,Apr 20,,BAL,"L,3-6",9.0,8,6,5,1,1,4,1,1,4.89,38,135,88,2.0,0.0,1,0,36,1,0,0,0,0,1,0,3,Gerry Davis,"B.Rekar (4-34-L), R.Meacham (2), T.Sturtze (1)"
17,17,18,18,Apr 21,,BAL,"W,6-5",9.0,11,5,5,0,3,6,0,2,4.89,41,158,97,2.0,0.0,1,0,36,3,1,0,0,0,0,2,4,Rich Rieker,"R.Rupe (4-47-W), D.Creek (1-H), T.Sturtze (0-H), E.Yan (1-Sv)"
18,18,19,19,Apr 22,,BAL,"L,8-10",11.0,16,10,9,1,5,6,2,0,5.06,51,184,113,2.0,1.0,2,0,45,1,0,0,1,0,1,2,6,Mark Carlson,"M.Judd (4-28), T.Phelps (2), D.Creek (0), T.Sturtze (0), D.Wheeler (2), E.Yan (0-L)"
19,19,20,20,Apr 24,,KCR,"W,4-2",9.0,8,2,2,0,3,6,0,0,4.9,36,144,91,0.0,0.0,3,0,33,0,0,0,0,0,0,1,3,Jerry Layne,"A.Lopez (5-56-W), R.Meacham (3-H), E.Yan (1-Sv)"
20,20,21,21,Apr 25,,KCR,"W,5-3",9.0,4,3,2,1,3,6,0,1,4.76,35,138,96,0.0,0.0,0,0,30,0,0,0,0,1,1,1,4,Paul Schrieber,"P.Wilson (5-50-W), D.Creek (2-H), T.Sturtze (2-H), E.Yan (0-Sv)"
21,21,22,22,Apr 26,,KCR,"L,0-6",9.0,10,6,6,0,1,6,1,0,4.82,35,144,97,1.0,1.0,0,1,34,3,0,0,0,0,0,2,3,Tony Randazzo,"B.Rekar (5-37-L), J.Wallace (99), B.Rose (5)"
22,22,23,23,Apr 27,@,DET,"L,2-4",8.0,7,4,4,0,7,4,1,1,4.8,38,159,90,1.0,0.0,1,0,29,1,1,0,0,1,1,0,3,Greg Gibson,"R.Rupe (5-36-L), D.Creek (1), R.Meacham (2)"
23,23,24,24,Apr 28,@,DET,"W,7-3",9.0,8,3,1,2,7,5,0,1,4.64,43,182,98,0.0,0.0,1,1,34,1,0,0,0,1,1,0,4,Dana DeMuth,"M.Judd (5-55-W), B.Rose (1), J.Wallace (1), T.Sturtze (2)"
