,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Mar 31,@,MIA,"L,1-10",33,32,1,6,0,0,1,1,1,0,10,0,0,0,0,1,0,0,0.188,0.212,0.281,0.493,5,12,R,J.Fernandez(67)
1,1,2,2,Apr 1,@,MIA,"L,3-4",37,34,3,9,4,0,0,3,2,0,8,0,0,1,0,0,1,0,0.227,0.257,0.333,0.59,7,13,R,N.Eovaldi(57)
2,2,3,3,Apr 2,@,MIA,"W,6-5",42,36,6,12,1,0,0,5,4,0,6,0,1,1,2,2,0,0,0.265,0.306,0.343,0.649,9,15,R,H.Alvarez(26)
3,3,4,4,Apr 3,@,MIA,"L,5-8",39,36,5,10,0,1,1,5,3,0,5,0,0,0,0,1,2,0,0.268,0.313,0.362,0.676,7,14,R,J.Turner(34)
4,4,5,5,Apr 4,,ARI,"W,12-2",47,40,12,17,3,2,2,12,6,1,4,1,0,0,1,1,0,1,0.303,0.36,0.449,0.81,11,14,R,R.Delgado(19)
5,5,6,6,Apr 5,,ARI,"W,9-4",36,34,9,12,3,0,3,9,1,0,6,0,0,1,0,0,1,0,0.311,0.361,0.491,0.851,3,15,R,B.McCarthy(36)
6,6,7,7,Apr 6,,ARI,"L,3-5",33,28,3,8,3,0,0,2,3,0,2,0,0,2,0,5,1,0,0.308,0.357,0.479,0.836,3,13,L,W.Miley(60)
7,7,8,8,Apr 7,,CHW,"W,8-1",42,36,8,13,3,0,2,8,5,0,6,0,0,1,1,1,0,0,0.315,0.367,0.496,0.863,10,14,R,F.Paulino(19)
8,8,9,9,Apr 8,,CHW,"L,3-15",35,31,3,7,2,0,1,3,3,0,4,0,0,1,0,2,0,0,0.306,0.359,0.485,0.844,5,15,L,J.Quintana(61)
9,9,10,10,Apr 9,,CHW,"W,10-4",41,37,10,16,3,1,0,10,2,0,7,1,1,0,0,0,1,1,0.32,0.371,0.494,0.865,7,17,R,E.Johnson(38)
10,10,11,11,Apr 11,@,SFG,"L,5-6",38,35,5,11,2,0,1,4,2,0,10,0,1,0,0,0,0,1,0.319,0.369,0.491,0.86,6,17,L,M.Bumgarner(43)
11,11,12,12,Apr 12,@,SFG,"W,1-0",34,29,1,4,2,0,0,1,3,1,10,0,1,1,0,0,2,0,0.306,0.358,0.471,0.828,6,15,R,M.Cain(70)
12,12,13,13,Apr 13,@,SFG,"L,4-5",36,34,4,7,2,0,2,4,1,0,6,0,1,0,0,1,0,1,0.299,0.348,0.468,0.817,2,16,R,T.Hudson(57)
13,13,14,14,Apr 14,@,SDP,"L,4-5",40,35,4,9,1,0,1,3,5,0,5,0,0,0,0,0,0,0,0.296,0.348,0.461,0.81,9,15,L,E.Stults(36)
14,14,15,15,Apr 15,@,SDP,"W,3-2",39,34,3,10,2,0,0,3,4,0,11,0,0,1,1,2,2,0,0.295,0.349,0.454,0.803,9,16,L,R.Erlin(46)
15,15,16,16,Apr 16,@,SDP,"L,2-4",37,35,2,10,2,0,1,2,1,0,8,0,0,1,0,1,0,0,0.295,0.346,0.452,0.798,8,14,R,A.Cashner(58)
16,16,17,17,Apr 17,@,SDP,"W,3-1",33,30,3,4,3,0,0,3,3,0,8,0,0,0,0,1,1,0,0.286,0.339,0.441,0.78,3,15,R,I.Kennedy(62)
17,17,18,18,Apr 18,,PHI,"W,12-1",45,42,12,18,3,0,1,12,3,1,3,0,0,0,0,0,0,0,0.296,0.348,0.45,0.797,9,14,R,J.Pettibone(11)
18,18,19,19,Apr 19,,PHI,"W,3-1",30,30,3,6,0,0,1,3,0,0,5,0,0,0,0,0,1,0,0.292,0.341,0.443,0.784,3,11,R,K.Kendrick(56)
19,19,20,20,Apr 20,,PHI,"L,9-10",46,38,9,15,5,1,2,9,4,1,9,2,1,1,0,0,1,1,0.297,0.349,0.459,0.808,10,18,R,R.Hernandez(22)
20,20,21,21,Apr 21,,SFG,"W,8-2",38,34,8,11,3,0,5,8,4,1,7,0,0,0,0,1,1,0,0.299,0.351,0.478,0.829,6,14,R,R.Vogelsong(19)
21,21,22,22,Apr 22,,SFG,"W,2-1",33,32,2,9,0,0,2,2,1,1,6,0,0,0,1,2,1,0,0.298,0.349,0.477,0.826,7,12,L,M.Bumgarner(61)
22,22,23,23,Apr 23,,SFG,"L,10-12",52,46,10,16,1,0,3,9,5,0,6,0,1,0,0,1,1,1,0.301,0.353,0.482,0.835,9,18,R,M.Cain(25)
23,23,24,24,Apr 25,@,LAD,"W,5-4",42,41,5,8,1,0,2,5,1,0,7,0,0,0,0,1,2,0,0.296,0.346,0.477,0.823,4,16,R,J.Beckett(72)
24,24,25,25,Apr 26,@,LAD,"L,3-6",37,30,3,7,1,0,0,3,6,0,7,0,1,0,0,2,0,0,0.293,0.347,0.47,0.816,7,16,L,P.Maholm(59)
25,25,26,26,Apr 27,@,LAD,"W,6-1",39,37,6,11,4,0,1,5,0,0,5,1,1,0,2,1,0,1,0.294,0.346,0.47,0.816,6,12,L,H.Ryu(30)
26,26,27,27,Apr 28,@,ARI,"W,8-5",40,35,8,12,6,0,2,8,3,0,7,0,1,1,0,0,0,0,0.295,0.347,0.478,0.825,5,15,L,W.Miley(25)
27,27,28,28,Apr 29,@,ARI,"W,5-4",39,38,5,11,1,1,2,5,1,0,8,0,0,0,0,0,0,0,0.295,0.346,0.48,0.826,7,14,R,M.Bolsinger(37)
28,28,29,29,Apr 30,@,ARI,"L,4-5",39,35,4,8,3,0,2,3,2,0,5,0,2,0,0,0,0,0,0.293,0.343,0.48,0.824,5,15,R,J.Collmenter(47)
29,30,30,30,May 1,,NYM,"W,7-4",36,32,7,11,1,1,1,7,1,0,9,1,0,2,0,1,0,0,0.294,0.344,0.482,0.826,5,11,R,B.Colon(18)
30,31,31,31,May 2,,NYM,"W,10-3",38,33,10,12,2,0,1,10,2,0,4,0,1,2,2,0,0,0,0.297,0.345,0.483,0.828,4,15,R,Z.Wheeler(27)
31,32,32,32,May 3,,NYM,"W,11-10",42,36,11,13,1,0,3,11,4,1,6,1,0,1,1,0,0,0,0.299,0.348,0.488,0.836,6,18,R,J.Mejia(14)
32,33,33,33,May 4,,NYM,"L,1-5",35,34,1,8,2,0,1,1,1,0,8,0,0,0,0,1,0,0,0.297,0.345,0.485,0.83,7,13,R,D.Gee(64)
33,34,34,34,May 5,,TEX,"W,8-2",40,35,8,13,7,0,3,8,4,1,7,0,0,1,1,2,0,0,0.299,0.348,0.495,0.843,8,10,L,M.Perez(35)
34,35,35,35,May 6,,TEX,"W,12-1",46,42,12,21,6,0,2,12,2,0,1,1,0,1,0,1,1,0,0.306,0.354,0.505,0.859,10,17,L,R.Ross(20)
35,36,36,36,May 7,@,TEX,"W,9-2",44,40,9,16,4,1,1,9,1,0,3,1,0,2,0,0,2,0,0.309,0.355,0.509,0.864,8,9,R,C.Lewis(10)
36,37,37,37,May 8,@,TEX,"L,0-5",34,30,0,5,2,0,0,0,4,0,8,0,0,0,0,1,0,0,0.306,0.353,0.502,0.856,7,9,L,M.Harrison(60)
37,38,38,38,May 9,@,CIN,"L,3-4",35,33,3,6,2,0,1,3,2,0,8,0,0,0,0,0,0,0,0.302,0.35,0.498,0.848,5,12,R,J.Cueto(71)
38,39,39,39,May 10,@,CIN,"W,11-2",45,42,11,16,6,0,5,10,3,1,8,0,0,0,0,1,1,0,0.305,0.352,0.51,0.862,7,16,R,A.Simon(23)
39,40,40,40,May 11,@,CIN,"L,1-4",33,30,1,4,1,0,1,1,3,0,10,0,0,0,0,0,0,1,0.301,0.349,0.505,0.854,5,12,R,H.Bailey(70)
40,41,41,41,May 13,@,KCR,"L,1-5",32,31,1,5,0,0,0,1,1,0,12,0,0,0,0,1,0,0,0.298,0.346,0.497,0.843,4,9,R,J.Shields(71)
41,42,42,42,May 14,@,KCR,"L,2-3",34,32,2,6,1,0,1,2,2,0,11,0,0,0,0,0,0,0,0.296,0.344,0.493,0.837,5,10,L,J.Vargas(63)
42,43,43,43,May 16,,SDP,"W,3-1",35,33,3,9,2,0,0,2,1,0,6,0,1,0,1,0,3,0,0.295,0.343,0.49,0.832,8,13,L,E.Stults(57)
43,44,44,44,May 17,,SDP,"L,5-8",37,35,5,14,3,0,1,5,0,0,6,1,0,1,0,5,1,0,0.298,0.344,0.492,0.836,5,17,L,R.Erlin(35)
44,45,45,45,May 18,,SDP,"W,8-6",42,37,8,13,0,0,3,8,3,0,7,1,1,0,0,0,0,3,0.299,0.346,0.494,0.84,5,16,R,D.Roach(33)
45,46,46,46,May 20,,SFG,"W,5-4",41,36,5,11,3,0,1,5,3,0,8,1,1,0,1,1,0,0,0.299,0.346,0.493,0.84,10,15,L,M.Bumgarner(49)
46,47,47,47,May 21,,SFG,"L,1-5",33,31,1,5,1,0,0,0,1,0,7,1,0,0,0,1,0,0,0.296,0.344,0.488,0.832,5,15,R,M.Cain(62)
47,48,48,48,May 22 susp,,SFG,"L,2-4",41,37,2,13,0,0,0,1,3,0,3,1,0,0,0,3,1,0,0.298,0.346,0.485,0.83,12,20,R,T.Hudson(44)
48,49,49,49,May 23,@,ATL,"L,2-3",35,34,2,8,2,0,1,2,0,0,11,0,1,0,0,0,0,0,0.296,0.344,0.483,0.826,6,14,R,G.Floyd(59)
49,50,50,50,May 24,@,ATL,"W,3-1",35,32,3,6,1,0,2,3,3,0,6,0,0,0,0,2,1,0,0.294,0.342,0.481,0.823,5,14,L,M.Minor(56)
50,51,51,51,May 25,@,ATL,"L,0-7",33,31,0,4,0,0,0,0,1,0,9,0,1,0,1,0,0,0,0.292,0.339,0.475,0.814,6,14,R,J.Teheran(70)
51,52,52,52,May 26,@,PHI,"L,0-9",36,31,0,7,0,0,0,0,4,0,5,0,1,0,0,1,0,0,0.29,0.338,0.471,0.809,9,17,R,K.Kendrick(60)
52,53,53,53,May 27,@,PHI,"W,6-2",37,32,6,6,1,1,1,6,3,1,5,1,0,1,0,0,3,0,0.289,0.337,0.469,0.806,4,16,L,C.Hamels(57)
53,54,54,54,May 28,@,PHI,"L,3-6",45,36,3,9,3,0,2,3,9,1,7,0,0,0,1,1,0,0,0.288,0.339,0.47,0.808,15,18,R,R.Hernandez(48)
54,55,55,55,May 30,@,CLE,"L,2-5",32,31,2,5,1,0,1,2,1,0,15,0,0,0,0,1,0,0,0.286,0.336,0.467,0.803,3,9,R,C.Kluber(71)
55,56,56,56,May 31,@,CLE,"L,6-7",36,34,6,8,1,0,2,5,2,0,11,0,0,0,0,1,2,0,0.285,0.335,0.466,0.802,3,9,R,T.Bauer(63)
56,58,57,57,Jun 1,@,CLE,"L,4-6",37,32,4,7,2,0,1,4,2,0,12,0,2,1,1,0,0,0,0.284,0.334,0.465,0.799,6,9,R,J.Tomlin(58)
57,59,58,58,Jun 3,,ARI,"L,2-4",35,33,2,7,2,0,2,2,2,1,7,0,0,0,0,0,0,0,0.283,0.333,0.465,0.797,6,13,R,C.Anderson(61)
58,60,59,59,Jun 4,,ARI,"L,8-16",44,40,8,13,3,0,0,7,4,1,5,0,0,0,0,0,0,0,0.283,0.334,0.463,0.797,9,18,R,J.Collmenter(33)
59,61,60,60,Jun 5,,ARI,"L,7-12",42,38,7,10,3,0,3,7,4,1,5,0,0,0,1,0,4,0,0.283,0.334,0.466,0.799,8,15,R,B.Arroyo(47)
60,62,61,61,Jun 6,,LAD,"L,2-7",40,36,2,9,2,1,1,2,3,0,9,1,0,0,1,1,1,0,0.283,0.334,0.465,0.799,11,15,L,H.Ryu(48)
61,63,62,62,Jun 7,,LAD,"W,5-4",43,42,5,16,0,1,0,5,1,0,7,0,0,0,0,2,0,1,0.284,0.335,0.465,0.799,9,16,R,Z.Greinke(46)
62,64,63,63,Jun 8,,LAD,"L,1-6",18,18,1,3,0,0,1,1,0,0,9,0,0,0,0,0,0,0,0.283,0.333,0.463,0.797,2,10,L,C.Kershaw(66)
63,65,64,64,Jun 9,,ATL,"L,1-3",35,30,1,4,1,0,1,1,4,0,7,0,1,0,0,0,0,0,0.281,0.332,0.461,0.793,7,15,R,G.Floyd(65)
64,66,65,65,Jun 10,,ATL,"L,10-13",46,36,10,13,0,1,1,9,6,0,7,1,0,3,0,0,2,0,0.283,0.334,0.461,0.795,9,18,L,M.Minor(8)
65,67,66,66,Jun 11,,ATL,"W,8-2",37,34,8,13,3,1,0,7,1,0,6,1,0,1,0,0,0,0,0.284,0.335,0.462,0.797,5,12,R,J.Teheran(30)
66,68,67,67,Jun 12,,ATL,"W,10-3",39,33,10,12,4,0,2,9,4,1,9,1,0,1,0,0,0,1,0.285,0.337,0.465,0.802,5,15,R,E.Santana(41)
67,69,68,68,Jun 13,@,SFG,"W,7-4",37,33,7,8,0,0,0,6,4,1,9,0,0,0,0,0,0,2,0.285,0.336,0.462,0.799,3,17,R,T.Lincecum(62)
68,70,69,69,Jun 14,@,SFG,"W,5-4",39,36,5,12,5,0,1,5,2,0,5,0,1,0,0,0,0,1,0.285,0.337,0.464,0.8,7,15,R,R.Vogelsong(42)
69,71,70,70,Jun 15,@,SFG,"W,8-7",40,33,8,10,2,1,1,8,5,0,10,1,1,0,0,2,0,0,0.286,0.338,0.464,0.802,5,17,L,M.Bumgarner(54)
70,72,71,71,Jun 16,@,LAD,"L,1-6",32,31,1,4,2,0,1,1,1,0,9,0,0,0,0,0,0,0,0.284,0.336,0.462,0.798,4,14,L,H.Ryu(67)
71,73,72,72,Jun 17,@,LAD,"L,2-4",42,37,2,11,2,0,0,2,4,1,7,0,0,1,0,1,0,0,0.284,0.336,0.46,0.797,13,13,R,Z.Greinke(59)
72,74,73,73,Jun 18,@,LAD,"L,0-8",28,28,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0.281,0.333,0.455,0.788,1,15,L,C.Kershaw(102)
73,75,74,74,Jun 20,,MIL,"L,10-13",44,43,10,16,4,0,3,10,1,0,11,0,0,0,0,0,3,0,0.282,0.334,0.459,0.793,7,16,R,M.Estrada(27)
74,76,75,75,Jun 21,,MIL,"L,4-9",37,36,4,9,1,0,1,4,1,0,3,0,0,0,1,0,2,0,0.282,0.333,0.458,0.79,6,14,R,W.Peralta(50)
75,77,76,76,Jun 22,,MIL,"L,5-6",44,40,5,15,2,2,1,5,4,1,4,0,0,0,0,0,3,1,0.283,0.334,0.46,0.794,12,15,R,K.Lohse(41)
76,78,77,77,Jun 23,,STL,"L,0-8",30,30,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.281,0.332,0.456,0.788,3,13,R,L.Lynn(83)
77,79,78,78,Jun 24,,STL,"W,10-5",47,40,10,17,2,0,2,10,6,1,5,1,0,0,0,0,2,1,0.283,0.335,0.458,0.793,13,14,R,S.Miller(31)
78,80,79,79,Jun 25,,STL,"L,6-9",40,35,6,9,3,0,1,6,4,0,8,0,1,0,0,0,0,0,0.283,0.335,0.458,0.793,7,16,L,M.Gonzales(34)
79,81,80,80,Jun 26,@,MIL,"L,4-7",39,35,4,10,2,0,1,4,4,0,10,0,0,0,0,1,1,1,0.283,0.335,0.457,0.792,8,15,R,W.Peralta(45)
80,82,81,81,Jun 27,@,MIL,"L,2-3",35,31,2,9,2,0,1,2,2,0,6,0,2,0,0,2,0,1,0.283,0.335,0.457,0.792,6,15,R,K.Lohse(61)
81,83,82,82,Jun 28,@,MIL,"L,4-7",35,33,4,10,2,0,0,4,1,0,9,0,0,1,0,0,0,2,0.283,0.335,0.456,0.791,4,13,R,M.Garza(44)
82,84,83,83,Jun 29,@,MIL,"W,10-4",45,42,10,15,3,0,1,7,2,0,6,0,0,1,1,0,0,0,0.284,0.335,0.457,0.792,8,15,R,Y.Gallardo(23)
83,85,84,84,Jun 30,@,WSN,"L,3-7",36,32,3,9,2,0,0,2,2,0,6,0,1,1,0,0,0,1,0.284,0.335,0.456,0.791,6,13,R,J.Zimmermann(54)
84,87,85,85,Jul 1,@,WSN,"L,1-7",34,31,1,5,0,0,1,1,3,0,9,0,0,0,0,1,0,0,0.283,0.334,0.454,0.788,6,15,R,S.Strasburg(72)
85,88,86,86,Jul 2,@,WSN,"L,3-4",36,35,3,9,1,0,1,3,1,0,8,0,0,0,0,1,0,0,0.283,0.333,0.453,0.786,6,13,R,D.Fister(56)
